iter,step,fold,acc,prec,rec,f1score
0,2,0,30.769,41.909,30.769,29.984
1,2,0,30.0,34.454,30.0,27.716
2,2,0,28.462,32.83,28.462,27.349
3,2,0,29.231,32.798,29.231,27.872
4,2,0,26.154,33.399,26.154,24.802
5,2,0,25.385,30.496,25.385,23.067
6,2,0,26.923,39.941,26.923,25.293
7,2,0,26.923,44.77,26.923,24.726
8,2,0,32.308,35.628,32.308,28.252
9,2,0,33.077,36.979,33.077,29.166
10,2,0,32.308,36.406,32.308,27.992
11,2,0,34.615,50.888,34.615,30.626
12,2,0,35.385,43.827,35.385,31.254
13,2,0,33.077,29.172,33.077,28.84
14,2,0,32.308,27.858,32.308,27.929
15,2,0,35.385,48.2,35.385,33.995
16,2,0,36.923,48.498,36.923,34.891
17,2,0,36.923,47.802,36.923,35.358
18,2,0,38.462,49.055,38.462,36.514
19,2,0,34.615,45.916,34.615,33.343
20,2,0,33.846,45.453,33.846,32.749
21,2,0,33.846,45.328,33.846,32.641
22,2,0,33.846,44.811,33.846,32.023
23,2,0,33.846,40.859,33.846,32.235
24,2,0,35.385,39.448,35.385,33.773
25,2,0,35.385,38.141,35.385,33.897
26,2,0,32.308,31.092,32.308,29.097
27,2,0,33.846,33.393,33.846,31.293
28,2,0,34.615,33.985,34.615,31.889
29,2,0,34.615,33.823,34.615,31.674
30,2,0,34.615,33.823,34.615,31.674
31,2,0,37.692,38.583,37.692,34.465
32,2,0,37.692,38.605,37.692,34.445
33,2,0,37.692,38.605,37.692,34.445
34,2,0,36.923,37.702,36.923,33.537
35,2,0,36.923,37.719,36.923,33.588
36,2,0,37.692,38.267,37.692,34.352
37,2,0,37.692,38.339,37.692,34.466
38,2,0,37.692,38.339,37.692,34.466
39,2,0,40.0,43.735,40.0,38.143
40,2,0,41.538,45.394,41.538,39.937
41,2,0,41.538,45.393,41.538,39.97
42,2,0,41.538,45.449,41.538,39.91
43,2,0,40.0,45.001,40.0,37.817
44,2,0,39.231,44.231,39.231,36.939
45,2,0,40.769,45.476,40.769,38.351
46,2,0,41.538,46.071,41.538,39.029
47,2,0,42.308,47.022,42.308,39.987
48,2,0,45.385,51.412,45.385,43.618
49,2,0,45.385,51.676,45.385,43.685
50,2,0,46.154,52.639,46.154,44.67
0,2,1,29.231,35.765,29.231,28.958
1,2,1,29.231,35.724,29.231,28.956
2,2,1,32.308,35.753,32.308,30.755
3,2,1,29.231,32.075,29.231,26.416
4,2,1,30.0,34.544,30.0,26.459
5,2,1,31.538,39.717,31.538,29.493
6,2,1,31.538,37.045,31.538,27.429
7,2,1,32.308,36.343,32.308,28.409
8,2,1,32.308,36.721,32.308,28.296
9,2,1,33.077,37.759,33.077,29.16
10,2,1,34.615,38.727,34.615,30.667
11,2,1,34.615,38.727,34.615,30.667
12,2,1,34.615,38.626,34.615,30.602
13,2,1,33.846,37.119,33.846,30.124
14,2,1,34.615,38.16,34.615,31.11
15,2,1,34.615,38.16,34.615,31.11
16,2,1,36.923,43.097,36.923,34.058
17,2,1,36.154,43.164,36.154,33.534
18,2,1,36.154,42.737,36.154,32.601
19,2,1,36.154,42.267,36.154,32.843
20,2,1,37.692,42.741,37.692,34.088
21,2,1,35.385,45.319,35.385,30.874
22,2,1,35.385,45.63,35.385,30.472
23,2,1,35.385,45.63,35.385,30.472
24,2,1,33.846,44.232,33.846,28.895
25,2,1,33.077,43.551,33.077,28.405
26,2,1,34.615,44.523,34.615,29.149
27,2,1,35.385,36.086,35.385,30.677
28,2,1,37.692,38.801,37.692,33.857
29,2,1,36.154,36.019,36.154,33.287
30,2,1,36.154,36.338,36.154,33.283
31,2,1,36.154,36.932,36.154,33.899
32,2,1,34.615,34.776,34.615,31.923
33,2,1,33.846,34.069,33.846,31.094
34,2,1,33.846,34.448,33.846,31.166
35,2,1,33.846,35.372,33.846,31.497
36,2,1,33.846,35.372,33.846,31.497
37,2,1,33.077,35.417,33.077,30.566
38,2,1,33.846,36.272,33.846,31.508
39,2,1,33.846,34.397,33.846,30.889
40,2,1,31.538,30.591,31.538,27.855
41,2,1,33.846,33.321,33.846,30.939
42,2,1,33.846,35.687,33.846,31.33
43,2,1,33.846,36.289,33.846,31.508
44,2,1,31.538,34.997,31.538,28.974
45,2,1,33.846,39.173,33.846,30.831
46,2,1,33.846,40.571,33.846,30.968
47,2,1,33.846,35.762,33.846,29.868
48,2,1,36.923,38.253,36.923,33.18
49,2,1,36.923,37.369,36.923,33.514
50,2,1,39.231,40.405,39.231,35.843
0,2,2,24.615,33.454,24.615,23.819
1,2,2,23.846,37.123,23.846,23.356
2,2,2,29.231,34.974,29.231,27.491
3,2,2,27.692,31.283,27.692,26.336
4,2,2,22.308,26.198,22.308,22.408
5,2,2,22.308,27.061,22.308,22.236
6,2,2,27.692,32.912,27.692,26.862
7,2,2,31.538,34.045,31.538,30.762
8,2,2,33.077,37.216,33.077,32.601
9,2,2,34.615,40.341,34.615,34.622
10,2,2,33.077,43.35,33.077,34.638
11,2,2,33.077,42.464,33.077,32.983
12,2,2,33.077,41.105,33.077,32.505
13,2,2,33.077,40.496,33.077,32.838
14,2,2,33.077,40.763,33.077,32.869
15,2,2,35.385,46.313,35.385,35.399
16,2,2,36.154,47.454,36.154,35.73
17,2,2,36.154,47.783,36.154,36.366
18,2,2,35.385,44.703,35.385,36.069
19,2,2,39.231,41.258,39.231,37.38
20,2,2,40.0,41.798,40.0,37.95
21,2,2,40.769,42.23,40.769,38.554
22,2,2,39.231,40.577,39.231,36.829
23,2,2,39.231,41.197,39.231,37.541
24,2,2,36.154,39.634,36.154,33.358
25,2,2,35.385,40.405,35.385,32.829
26,2,2,35.385,40.05,35.385,32.635
27,2,2,36.154,41.096,36.154,33.552
28,2,2,36.923,41.52,36.923,34.368
29,2,2,38.462,43.32,38.462,36.383
30,2,2,39.231,41.963,39.231,37.242
31,2,2,40.769,43.265,40.769,38.351
