iter,step,fold,acc,prec,rec,f1score
0,2,0,30.769,41.909,30.769,29.984
1,2,0,28.462,35.822,28.462,28.349
2,2,0,28.462,35.822,28.462,28.349
3,2,0,32.308,41.065,32.308,32.841
4,2,0,33.077,41.975,33.077,33.363
5,2,0,31.538,39.915,31.538,32.555
6,2,0,31.538,39.915,31.538,32.555
7,2,0,31.538,39.88,31.538,33.048
8,2,0,31.538,39.88,31.538,33.048
9,2,0,29.231,37.828,29.231,30.557
10,2,0,34.615,40.729,34.615,35.787
11,2,0,41.538,44.816,41.538,40.823
12,2,0,40.0,44.021,40.0,39.329
13,2,0,37.692,45.541,37.692,37.743
14,2,0,37.692,45.541,37.692,37.743
15,2,0,36.154,42.025,36.154,35.372
16,2,0,36.154,42.025,36.154,35.372
17,2,0,36.154,41.529,36.154,35.225
18,2,0,36.154,41.529,36.154,35.225
19,2,0,36.923,42.95,36.923,34.864
20,2,0,40.769,42.699,40.769,38.503
21,2,0,40.769,42.849,40.769,38.174
22,2,0,40.769,42.849,40.769,38.174
23,2,0,43.077,43.798,43.077,40.648
24,2,0,43.077,43.798,43.077,40.648
25,2,0,44.615,52.252,44.615,41.199
26,2,0,44.615,52.252,44.615,41.199
27,2,0,49.231,55.409,49.231,45.478
28,2,0,49.231,55.409,49.231,45.478
29,2,0,49.231,55.735,49.231,45.624
30,2,0,49.231,55.735,49.231,45.624
31,2,0,50.0,56.591,50.0,46.748
32,2,0,50.0,56.591,50.0,46.748
33,2,0,50.769,57.932,50.769,48.152
34,2,0,50.769,57.932,50.769,48.152
35,2,0,50.769,57.932,50.769,48.152
36,2,0,50.769,57.932,50.769,48.152
37,2,0,51.538,58.424,51.538,48.961
38,2,0,51.538,58.424,51.538,48.961
39,2,0,50.0,57.117,50.0,47.383
40,2,0,50.0,57.117,50.0,47.383
41,2,0,50.769,58.171,50.769,48.197
42,2,0,50.769,58.171,50.769,48.197
43,2,0,51.538,58.328,51.538,48.886
44,2,0,51.538,58.328,51.538,48.886
45,2,0,51.538,58.084,51.538,48.87
46,2,0,50.769,58.476,50.769,48.039
47,2,0,50.0,57.4,50.0,47.353
48,2,0,50.0,57.4,50.0,47.353
49,2,0,49.231,56.706,49.231,46.579
50,2,0,50.769,58.775,50.769,47.994
0,2,1,29.231,35.765,29.231,28.958
1,2,1,33.846,35.822,33.846,31.985
2,2,1,31.538,27.357,31.538,26.271
3,2,1,37.692,36.114,37.692,34.74
4,2,1,37.692,36.628,37.692,34.071
5,2,1,38.462,36.727,38.462,36.215
6,2,1,38.462,36.727,38.462,36.215
7,2,1,41.538,39.716,41.538,37.952
8,2,1,41.538,39.716,41.538,37.952
9,2,1,40.769,38.844,40.769,37.099
10,2,1,41.538,39.481,41.538,37.276
11,2,1,40.769,39.361,40.769,37.159
12,2,1,40.769,39.361,40.769,37.159
13,2,1,41.538,40.121,41.538,37.426
14,2,1,41.538,40.121,41.538,37.426
15,2,1,46.923,45.297,46.923,43.007
16,2,1,46.923,45.297,46.923,43.007
17,2,1,46.923,45.318,46.923,43.067
18,2,1,46.923,45.318,46.923,43.067
