iter,step,fold,acc,prec,rec,f1score
0,2,0,30.769,41.909,30.769,29.984
1,2,0,31.538,41.642,31.538,30.109
2,2,0,22.308,29.421,22.308,21.942
3,2,0,25.385,40.395,25.385,24.97
4,2,0,23.846,32.016,23.846,23.311
5,2,0,29.231,36.968,29.231,29.632
6,2,0,31.538,37.936,31.538,31.004
7,2,0,34.615,40.788,34.615,34.658
8,2,0,36.154,43.769,36.154,36.387
9,2,0,36.923,44.911,36.923,38.091
10,2,0,38.462,42.34,38.462,38.514
11,2,0,38.462,42.011,38.462,38.288
12,2,0,36.923,40.552,36.923,37.023
13,2,0,39.231,43.484,39.231,39.657
14,2,0,39.231,43.953,39.231,39.625
15,2,0,40.0,44.853,40.0,40.452
16,2,0,43.077,45.961,43.077,42.983
17,2,0,42.308,45.39,42.308,42.077
18,2,0,42.308,46.205,42.308,42.078
19,2,0,42.308,45.992,42.308,41.878
20,2,0,42.308,47.473,42.308,41.684
21,2,0,43.077,46.284,43.077,42.444
22,2,0,43.077,45.818,43.077,42.29
23,2,0,41.538,44.186,41.538,40.692
24,2,0,42.308,44.781,42.308,41.427
25,2,0,43.077,44.922,43.077,42.017
26,2,0,45.385,45.97,45.385,44.436
27,2,0,46.923,47.823,46.923,46.397
28,2,0,46.923,47.221,46.923,46.373
29,2,0,46.923,46.744,46.923,46.334
30,2,0,48.462,48.346,48.462,47.501
31,2,0,46.923,47.782,46.923,46.421
32,2,0,49.231,49.943,49.231,49.121
33,2,0,49.231,50.055,49.231,49.128
34,2,0,50.769,52.158,50.769,50.781
35,2,0,50.0,51.135,50.0,49.996
36,2,0,51.538,52.988,51.538,51.791
37,2,0,51.538,52.988,51.538,51.791
38,2,0,53.846,55.268,53.846,54.158
39,2,0,53.846,55.268,53.846,54.158
40,2,0,53.077,55.3,53.077,53.668
41,2,0,53.077,55.3,53.077,53.668
42,2,0,54.615,58.4,54.615,55.396
43,2,0,53.846,57.24,53.846,54.536
44,2,0,53.846,56.426,53.846,54.298
45,2,0,54.615,56.905,54.615,55.048
46,2,0,55.385,57.843,55.385,55.859
47,2,0,56.154,58.519,56.154,56.681
48,2,0,58.462,60.75,58.462,58.748
49,2,0,57.692,60.17,57.692,57.893
50,2,0,56.154,58.986,56.154,56.551
0,2,1,29.231,35.765,29.231,28.958
1,2,1,29.231,33.133,29.231,28.932
2,2,1,30.769,36.362,30.769,29.768
3,2,1,29.231,31.638,29.231,28.662
4,2,1,40.769,40.145,40.769,39.256
5,2,1,38.462,37.839,38.462,37.155
6,2,1,40.769,40.129,40.769,39.111
7,2,1,40.0,39.437,40.0,38.531
8,2,1,37.692,40.058,37.692,36.869
9,2,1,40.0,42.106,40.0,40.029
10,2,1,39.231,40.587,39.231,38.405
11,2,1,38.462,40.275,38.462,37.669
12,2,1,39.231,40.261,39.231,38.665
13,2,1,36.923,40.245,36.923,36.683
14,2,1,38.462,40.648,38.462,38.09
15,2,1,38.462,39.786,38.462,38.107
16,2,1,36.154,38.148,36.154,35.809
17,2,1,36.923,39.164,36.923,36.466
18,2,1,39.231,43.698,39.231,39.252
19,2,1,39.231,43.977,39.231,39.538
20,2,1,42.308,47.498,42.308,43.043
21,2,1,44.615,51.1,44.615,44.879
22,2,1,43.846,46.164,43.846,43.062
23,2,1,43.846,45.828,43.846,43.013
24,2,1,46.154,49.348,46.154,45.627
25,2,1,46.154,49.396,46.154,45.794
26,2,1,46.923,51.092,46.923,46.648
27,2,1,46.923,51.092,46.923,46.648
28,2,1,52.308,54.781,52.308,51.765
29,2,1,52.308,54.582,52.308,51.686
30,2,1,54.615,55.832,54.615,53.817
31,2,1,54.615,56.11,54.615,53.83
32,2,1,56.154,55.797,56.154,55.042
33,2,1,56.154,56.506,56.154,55.584
34,2,1,56.923,57.873,56.923,56.478
35,2,1,57.692,58.679,57.692,57.166
36,2,1,57.692,58.679,57.692,57.166
37,2,1,58.462,58.487,58.462,57.932
38,2,1,60.769,60.705,60.769,60.439
39,2,1,61.538,61.463,61.538,61.154
40,2,1,60.769,60.75,60.769,60.346
41,2,1,61.538,61.803,61.538,61.31
42,2,1,61.538,62.263,61.538,61.546
43,2,1,61.538,62.263,61.538,61.546
44,2,1,60.0,60.7,60.0,59.916
45,2,1,58.462,58.827,58.462,58.191
46,2,1,59.231,60.064,59.231,59.156
47,2,1,60.0,61.122,60.0,60.024
48,2,1,62.308,63.872,62.308,62.696
49,2,1,62.308,63.872,62.308,62.696
50,2,1,64.615,65.778,64.615,64.901
0,2,2,24.615,33.454,24.615,23.819
1,2,2,23.077,33.629,23.077,22.831
2,2,2,26.154,35.691,26.154,26.428
3,2,2,30.0,46.98,30.0,28.91
4,2,2,36.154,45.299,36.154,34.891
5,2,2,35.385,44.963,35.385,34.458
6,2,2,41.538,54.173,41.538,40.745
7,2,2,43.077,52.528,43.077,42.371
8,2,2,46.154,56.472,46.154,45.272
9,2,2,45.385,56.324,45.385,43.894
10,2,2,44.615,54.085,44.615,43.229
11,2,2,46.154,54.303,46.154,44.78
12,2,2,45.385,50.376,45.385,44.827
13,2,2,46.923,52.323,46.923,46.465
14,2,2,46.154,50.336,46.154,46.004
15,2,2,43.846,48.64,43.846,43.709
16,2,2,46.154,48.044,46.154,46.129
17,2,2,44.615,47.573,44.615,44.841
18,2,2,46.923,48.905,46.923,46.791
19,2,2,46.923,49.865,46.923,46.854
20,2,2,48.462,52.757,48.462,48.4
21,2,2,49.231,54.536,49.231,49.41
22,2,2,50.0,54.168,50.0,49.777
23,2,2,50.769,54.749,50.769,50.504
24,2,2,50.0,52.625,50.0,49.359
25,2,2,49.231,51.659,49.231,48.2
26,2,2,51.538,57.22,51.538,51.525
27,2,2,51.538,57.22,51.538,51.525
28,2,2,50.769,55.608,50.769,51.058
29,2,2,50.769,55.794,50.769,51.128
30,2,2,49.231,54.977,49.231,49.939
31,2,2,48.462,54.475,48.462,49.264
32,2,2,50.0,55.352,50.0,50.742
33,2,2,51.538,56.298,51.538,52.542
34,2,2,52.308,55.07,52.308,52.914
35,2,2,52.308,54.579,52.308,52.657
36,2,2,51.538,54.501,51.538,52.189
37,2,2,53.077,56.118,53.077,53.542
38,2,2,52.308,55.265,52.308,52.877
39,2,2,53.077,55.476,53.077,53.694
40,2,2,53.077,56.043,53.077,53.887
41,2,2,53.077,56.043,53.077,53.887
42,2,2,53.846,57.55,53.846,54.655
43,2,2,53.846,57.55,53.846,54.655
44,2,2,54.615,58.144,54.615,55.404
45,2,2,54.615,59.277,54.615,55.538
46,2,2,56.154,60.421,56.154,56.861
47,2,2,57.692,62.06,57.692,58.374
48,2,2,61.538,64.302,61.538,62.055
49,2,2,62.308,65.426,62.308,63.018
50,2,2,63.077,65.411,63.077,63.638
0,5,0,30.769,41.909,30.769,29.984
1,5,0,26.923,37.014,26.923,25.436
2,5,0,30.0,31.579,30.0,27.723
3,5,0,30.0,31.186,30.0,26.427
4,5,0,30.0,28.372,30.0,25.472
5,5,0,31.538,38.034,31.538,28.498
6,5,0,29.231,34.13,29.231,28.697
7,5,0,36.154,39.75,36.154,35.496
8,5,0,40.0,42.598,40.0,36.998
9,5,0,42.308,44.47,42.308,39.038
10,5,0,44.615,48.081,44.615,42.437
11,5,0,46.154,48.79,46.154,43.441
12,5,0,47.692,49.314,47.692,45.925
13,5,0,47.692,49.72,47.692,46.254
14,5,0,50.769,53.048,50.769,49.195
15,5,0,52.308,54.265,52.308,51.061
16,5,0,53.077,56.169,53.077,52.003
17,5,0,52.308,55.325,52.308,51.268
18,5,0,55.385,59.557,55.385,55.287
19,5,0,56.923,60.295,56.923,56.724
20,5,0,55.385,56.723,55.385,54.422
0,5,1,29.231,35.765,29.231,28.958
1,5,1,26.923,31.699,26.923,26.651
2,5,1,30.769,40.516,30.769,30.649
3,5,1,34.615,45.379,34.615,32.889
4,5,1,44.615,47.501,44.615,44.361
5,5,1,46.923,49.335,46.923,46.901
6,5,1,48.462,50.691,48.462,48.427
7,5,1,49.231,54.558,49.231,50.016
8,5,1,51.538,55.206,51.538,51.532
9,5,1,53.846,57.369,53.846,53.936
10,5,1,55.385,60.315,55.385,56.346
11,5,1,57.692,61.034,57.692,58.574
12,5,1,56.154,60.024,56.154,56.818
13,5,1,56.154,61.555,56.154,57.331
14,5,1,55.385,59.62,55.385,55.892
15,5,1,56.154,60.824,56.154,56.658
16,5,1,60.769,66.064,60.769,61.281
17,5,1,59.231,64.476,59.231,59.733
18,5,1,60.769,64.334,60.769,61.003
19,5,1,60.769,64.334,60.769,61.003
20,5,1,61.538,64.718,61.538,61.784
0,5,2,24.615,33.454,24.615,23.819
1,5,2,28.462,35.118,28.462,28.547
2,5,2,30.0,29.273,30.0,28.317
3,5,2,33.077,35.044,33.077,31.958
4,5,2,43.077,45.433,43.077,38.941
5,5,2,42.308,36.076,42.308,38.096
6,5,2,43.077,39.822,43.077,40.079
7,5,2,43.846,44.725,43.846,42.108
8,5,2,46.154,45.775,46.154,45.13
9,5,2,52.308,52.309,52.308,51.418
10,5,2,50.769,52.085,50.769,50.417
11,5,2,53.077,52.536,53.077,51.947
12,5,2,56.923,56.848,56.923,55.668
13,5,2,53.077,52.135,53.077,51.897
14,5,2,55.385,54.622,55.385,54.496
15,5,2,57.692,58.604,57.692,57.152
16,5,2,60.0,60.893,60.0,59.511
17,5,2,60.0,60.435,60.0,59.403
18,5,2,60.769,61.796,60.769,60.169
19,5,2,61.538,62.32,61.538,60.915
20,5,2,62.308,63.429,62.308,62.076
0,10,0,30.769,41.909,30.769,29.984
1,10,0,27.692,38.815,27.692,27.338
2,10,0,37.692,32.488,37.692,31.94
3,10,0,41.538,41.076,41.538,38.239
4,10,0,49.231,54.397,49.231,48.982
5,10,0,53.846,57.703,53.846,53.998
6,10,0,50.0,57.562,50.0,49.968
7,10,0,50.769,60.032,50.769,51.332
8,10,0,51.538,57.383,51.538,51.578
9,10,0,54.615,60.981,54.615,55.118
10,10,0,57.692,61.823,57.692,58.159
0,10,1,29.231,35.765,29.231,28.958
1,10,1,31.538,45.95,31.538,32.824
2,10,1,37.692,46.598,37.692,36.871
3,10,1,42.308,48.583,42.308,41.578
4,10,1,50.0,53.983,50.0,50.208
5,10,1,52.308,57.585,52.308,53.254
6,10,1,53.846,60.743,53.846,55.136
7,10,1,53.846,62.042,53.846,55.247
8,10,1,53.846,60.357,53.846,54.286
9,10,1,56.154,61.763,56.154,56.632
10,10,1,55.385,57.758,55.385,55.592
0,10,2,24.615,33.454,24.615,23.819
1,10,2,33.077,34.8,33.077,33.261
2,10,2,35.385,41.238,35.385,35.446
3,10,2,38.462,44.495,38.462,38.404
4,10,2,48.462,52.494,48.462,48.683
5,10,2,46.923,50.316,46.923,46.502
6,10,2,55.385,61.021,55.385,55.207
7,10,2,53.846,57.561,53.846,53.788
8,10,2,52.308,54.502,52.308,52.234
9,10,2,55.385,56.937,55.385,54.942
10,10,2,53.846,56.669,53.846,53.983
0,25,0,30.769,41.909,30.769,29.984
1,25,0,31.538,32.215,31.538,30.79
2,25,0,46.923,56.095,46.923,46.597
3,25,0,48.462,59.277,48.462,49.237
