iter,step,fold,acc,prec,rec,f1score
0,2,0,30.769,41.909,30.769,29.984
1,2,0,30.0,34.472,30.0,28.481
2,2,0,39.231,40.572,39.231,37.977
3,2,0,38.462,39.352,38.462,37.879
4,2,0,38.462,41.598,38.462,39.012
5,2,0,37.692,43.281,37.692,39.046
6,2,0,35.385,40.111,35.385,36.242
7,2,0,33.846,37.72,33.846,34.219
8,2,0,34.615,37.827,34.615,34.583
9,2,0,36.923,40.015,36.923,37.288
10,2,0,37.692,40.472,37.692,37.678
11,2,0,37.692,40.755,37.692,37.991
12,2,0,40.769,43.927,40.769,41.133
13,2,0,40.769,43.939,40.769,41.155
14,2,0,41.538,45.34,41.538,42.078
15,2,0,41.538,44.579,41.538,41.917
16,2,0,42.308,44.559,42.308,42.623
17,2,0,42.308,44.655,42.308,42.843
18,2,0,42.308,46.478,42.308,42.575
19,2,0,43.077,48.113,43.077,43.621
20,2,0,44.615,49.48,44.615,45.185
21,2,0,46.154,51.727,46.154,47.108
22,2,0,50.0,54.679,50.0,50.628
23,2,0,50.0,54.274,50.0,50.564
24,2,0,48.462,51.98,48.462,48.849
25,2,0,47.692,51.354,47.692,48.1
26,2,0,48.462,50.235,48.462,48.403
27,2,0,47.692,48.823,47.692,47.254
28,2,0,50.0,51.952,50.0,49.33
29,2,0,50.0,51.65,50.0,49.403
30,2,0,50.769,52.166,50.769,49.977
31,2,0,52.308,53.705,52.308,51.429
32,2,0,53.077,54.745,53.077,52.014
33,2,0,53.846,55.777,53.846,53.254
34,2,0,53.846,55.955,53.846,53.131
35,2,0,53.077,54.19,53.077,52.17
36,2,0,52.308,54.792,52.308,52.04
37,2,0,52.308,54.664,52.308,52.006
38,2,0,53.846,55.603,53.846,53.3
39,2,0,53.077,54.144,53.077,52.431
40,2,0,53.846,54.049,53.846,53.364
41,2,0,53.846,54.049,53.846,53.364
42,2,0,53.077,53.119,53.077,52.468
43,2,0,53.077,53.404,53.077,52.379
44,2,0,55.385,55.783,55.385,54.808
45,2,0,55.385,55.749,55.385,54.625
46,2,0,56.154,56.43,56.154,55.33
47,2,0,55.385,55.478,55.385,54.486
48,2,0,55.385,55.478,55.385,54.486
49,2,0,55.385,55.478,55.385,54.486
50,2,0,56.923,57.854,56.923,55.858
0,2,1,29.231,35.765,29.231,28.958
1,2,1,33.077,35.468,33.077,31.353
2,2,1,32.308,41.298,32.308,31.143
3,2,1,33.077,41.551,33.077,31.447
4,2,1,33.077,38.722,33.077,31.732
5,2,1,38.462,40.163,38.462,37.382
6,2,1,36.154,37.705,36.154,35.572
7,2,1,41.538,43.46,41.538,40.886
8,2,1,36.154,39.714,36.154,35.931
9,2,1,36.154,39.902,36.154,36.454
10,2,1,40.0,41.788,40.0,39.868
11,2,1,38.462,40.299,38.462,38.225
12,2,1,40.0,44.932,40.0,40.214
13,2,1,40.769,45.575,40.769,40.927
14,2,1,39.231,44.572,39.231,39.328
15,2,1,40.0,45.725,40.0,40.373
16,2,1,42.308,47.689,42.308,41.845
17,2,1,43.846,48.615,43.846,43.107
18,2,1,44.615,49.603,44.615,44.004
19,2,1,44.615,49.603,44.615,44.004
20,2,1,43.077,45.93,43.077,43.125
21,2,1,44.615,47.036,44.615,44.703
22,2,1,44.615,46.999,44.615,44.319
23,2,1,46.923,49.461,46.923,47.069
24,2,1,46.154,49.579,46.154,46.589
25,2,1,46.923,49.958,46.923,47.407
26,2,1,46.923,50.175,46.923,47.424
27,2,1,46.923,50.175,46.923,47.424
28,2,1,45.385,48.553,45.385,45.822
29,2,1,45.385,47.995,45.385,45.67
30,2,1,49.231,51.763,49.231,49.758
31,2,1,50.769,53.976,50.769,51.301
32,2,1,50.769,55.075,50.769,51.62
33,2,1,50.769,55.075,50.769,51.62
34,2,1,50.0,54.03,50.0,50.789
35,2,1,49.231,53.307,49.231,50.041
36,2,1,48.462,52.349,48.462,49.342
37,2,1,48.462,52.626,48.462,49.442
38,2,1,48.462,55.609,48.462,49.838
39,2,1,47.692,55.211,47.692,48.669
40,2,1,49.231,56.823,49.231,50.33
41,2,1,49.231,56.823,49.231,50.33
42,2,1,49.231,56.511,49.231,50.257
43,2,1,49.231,56.233,49.231,50.185
44,2,1,48.462,55.952,48.462,49.735
45,2,1,49.231,57.468,49.231,50.543
46,2,1,46.923,55.493,46.923,47.989
47,2,1,46.154,55.087,46.154,47.202
48,2,1,46.923,54.967,46.923,47.64
49,2,1,47.692,55.011,47.692,48.236
50,2,1,47.692,54.753,47.692,48.179
0,2,2,24.615,33.454,24.615,23.819
1,2,2,28.462,37.876,28.462,26.756
2,2,2,26.154,33.724,26.154,25.946
3,2,2,27.692,33.775,27.692,25.899
4,2,2,26.923,35.538,26.923,25.544
5,2,2,29.231,40.016,29.231,27.207
6,2,2,30.0,34.149,30.0,29.038
7,2,2,28.462,34.026,28.462,27.959
8,2,2,26.923,37.594,26.923,27.431
9,2,2,29.231,40.478,29.231,29.631
10,2,2,31.538,43.11,31.538,33.07
11,2,2,31.538,42.147,31.538,32.708
12,2,2,32.308,41.416,32.308,33.006
13,2,2,32.308,41.416,32.308,33.006
14,2,2,35.385,42.891,35.385,36.288
15,2,2,37.692,44.773,37.692,38.758
16,2,2,39.231,44.951,39.231,39.349
17,2,2,38.462,44.475,38.462,38.571
18,2,2,39.231,45.354,39.231,39.458
19,2,2,40.769,47.06,40.769,41.146
20,2,2,39.231,47.637,39.231,39.351
21,2,2,40.0,48.216,40.0,39.868
22,2,2,41.538,50.594,41.538,41.662
23,2,2,43.077,51.151,43.077,43.17
24,2,2,44.615,52.588,44.615,44.927
25,2,2,44.615,51.792,44.615,44.894
26,2,2,45.385,49.484,45.385,45.342
27,2,2,44.615,48.733,44.615,44.785
28,2,2,46.154,50.734,46.154,46.288
29,2,2,46.154,51.573,46.154,46.723
30,2,2,46.154,50.293,46.154,46.373
31,2,2,46.154,50.293,46.154,46.373
32,2,2,47.692,51.417,47.692,48.17
33,2,2,47.692,51.04,47.692,47.971
34,2,2,48.462,51.975,48.462,48.762
35,2,2,50.0,54.787,50.0,50.876
36,2,2,50.0,54.426,50.0,51.063
37,2,2,50.0,55.56,50.0,51.339
38,2,2,50.769,56.411,50.769,51.788
39,2,2,51.538,55.598,51.538,52.381
40,2,2,53.077,56.922,53.077,53.915
41,2,2,53.846,56.378,53.846,54.246
42,2,2,56.923,58.612,56.923,57.194
43,2,2,56.154,57.582,56.154,56.296
44,2,2,55.385,56.267,55.385,55.223
45,2,2,53.846,55.677,53.846,53.808
46,2,2,56.154,57.341,56.154,55.735
47,2,2,55.385,56.483,55.385,54.859
48,2,2,56.154,56.275,56.154,55.527
49,2,2,56.154,56.275,56.154,55.527
50,2,2,55.385,55.957,55.385,54.844
0,5,0,30.769,41.909,30.769,29.984
1,5,0,32.308,42.664,32.308,32.158
2,5,0,31.538,42.884,31.538,33.759
3,5,0,33.077,41.857,33.077,34.948
4,5,0,37.692,40.728,37.692,37.138
5,5,0,38.462,42.306,38.462,37.691
6,5,0,38.462,47.775,38.462,36.664
7,5,0,38.462,47.905,38.462,37.631
8,5,0,42.308,47.26,42.308,42.95
9,5,0,42.308,47.252,42.308,42.986
10,5,0,48.462,53.88,48.462,49.526
11,5,0,50.769,54.609,50.769,51.411
12,5,0,49.231,52.834,49.231,50.145
13,5,0,50.769,53.99,50.769,51.683
14,5,0,50.769,54.029,50.769,51.966
15,5,0,50.769,52.741,50.769,51.4
16,5,0,53.846,56.124,53.846,54.699
17,5,0,55.385,57.683,55.385,56.184
18,5,0,56.923,58.273,56.923,57.403
19,5,0,57.692,59.106,57.692,58.203
20,5,0,59.231,62.548,59.231,60.257
0,5,1,29.231,35.765,29.231,28.958
1,5,1,33.077,37.123,33.077,31.026
2,5,1,37.692,41.782,37.692,38.045
3,5,1,40.0,44.568,40.0,40.073
4,5,1,41.538,41.829,41.538,38.628
5,5,1,35.385,36.376,35.385,33.229
6,5,1,38.462,39.738,38.462,37.54
7,5,1,39.231,41.236,39.231,38.434
8,5,1,42.308,42.136,42.308,39.72
9,5,1,45.385,46.233,45.385,43.39
10,5,1,46.154,47.2,46.154,44.276
11,5,1,47.692,47.668,47.692,45.732
12,5,1,46.154,46.555,46.154,44.287
13,5,1,49.231,51.71,49.231,48.234
14,5,1,49.231,51.89,49.231,47.972
15,5,1,49.231,52.119,49.231,47.891
16,5,1,52.308,54.398,52.308,50.307
17,5,1,52.308,53.449,52.308,50.319
18,5,1,59.231,60.341,59.231,58.195
19,5,1,58.462,59.877,58.462,57.484
20,5,1,58.462,60.401,58.462,57.458
0,5,2,24.615,33.454,24.615,23.819
1,5,2,28.462,31.003,28.462,27.283
2,5,2,36.923,44.73,36.923,36.948
3,5,2,33.077,41.751,33.077,32.885
4,5,2,40.769,42.922,40.769,40.069
5,5,2,40.0,43.281,40.0,39.371
6,5,2,43.077,42.467,43.077,41.343
7,5,2,43.846,42.692,43.846,42.007
8,5,2,52.308,51.398,52.308,51.507
9,5,2,53.077,52.009,53.077,52.084
10,5,2,54.615,53.707,54.615,53.138
11,5,2,53.846,53.146,53.846,52.447
12,5,2,51.538,50.874,51.538,49.482
13,5,2,53.846,54.112,53.846,52.474
14,5,2,54.615,55.242,54.615,53.451
15,5,2,56.923,57.845,56.923,56.186
16,5,2,60.0,60.513,60.0,58.673
17,5,2,60.769,61.203,60.769,59.186
18,5,2,60.0,60.64,60.0,58.583
19,5,2,59.231,59.408,59.231,57.828
20,5,2,61.538,62.472,61.538,60.802
0,10,0,30.769,41.909,30.769,29.984
1,10,0,29.231,29.531,29.231,26.677
2,10,0,35.385,36.421,35.385,34.301
3,10,0,43.077,45.182,43.077,42.343
4,10,0,49.231,55.202,49.231,47.786
5,10,0,51.538,53.834,51.538,50.85
6,10,0,53.077,53.518,53.077,52.636
7,10,0,53.846,53.777,53.846,52.906
8,10,0,51.538,55.348,51.538,51.786
9,10,0,56.154,60.719,56.154,55.659
10,10,0,57.692,61.728,57.692,57.281
0,10,1,29.231,35.765,29.231,28.958
1,10,1,33.846,36.192,33.846,32.168
2,10,1,42.308,49.965,42.308,41.809
3,10,1,40.0,47.222,40.0,39.506
4,10,1,37.692,40.563,37.692,36.273
5,10,1,38.462,44.702,38.462,39.011
6,10,1,40.769,47.421,40.769,41.315
7,10,1,47.692,56.194,47.692,49.434
8,10,1,51.538,59.142,51.538,52.55
9,10,1,51.538,59.159,51.538,52.441
10,10,1,55.385,62.12,55.385,56.832
0,10,2,24.615,33.454,24.615,23.819
1,10,2,23.846,28.404,23.846,24.348
2,10,2,36.923,35.948,36.923,34.853
3,10,2,37.692,39.601,37.692,36.71
4,10,2,42.308,47.704,42.308,41.893
5,10,2,43.846,49.584,43.846,42.904
6,10,2,41.538,45.214,41.538,40.741
7,10,2,42.308,44.966,42.308,41.35
8,10,2,48.462,50.065,48.462,47.249
9,10,2,47.692,49.152,47.692,46.543
10,10,2,49.231,48.393,49.231,47.173
0,25,0,30.769,41.909,30.769,29.984
1,25,0,30.0,44.215,30.0,29.695
2,25,0,52.308,54.585,52.308,52.419
3,25,0,52.308,54.821,52.308,52.875
4,25,0,55.385,56.433,55.385,54.784
0,25,1,29.231,35.765,29.231,28.958
1,25,1,31.538,42.921,31.538,29.257
2,25,1,46.923,54.075,46.923,47.76
3,25,1,50.0,56.144,50.0,50.886
4,25,1,55.385,58.401,55.385,55.521
0,25,2,24.615,33.454,24.615,23.819
1,25,2,34.615,44.77,34.615,34.889
2,25,2,50.0,53.203,50.0,50.435
3,25,2,53.846,58.553,53.846,54.602
4,25,2,54.615,57.664,54.615,55.254
