iter,step,fold,acc,prec,rec,f1score
0,2,0,30.769,41.909,30.769,29.984
1,2,0,31.538,47.282,31.538,30.825
2,2,0,31.538,47.282,31.538,30.825
3,2,0,28.462,54.999,28.462,28.888
4,2,0,30.769,43.573,30.769,31.126
5,2,0,26.923,47.107,26.923,28.552
6,2,0,26.923,47.107,26.923,28.552
7,2,0,28.462,45.729,28.462,29.911
8,2,0,32.308,37.667,32.308,31.239
9,2,0,31.538,36.567,31.538,30.469
10,2,0,31.538,36.567,31.538,30.469
11,2,0,31.538,36.035,31.538,30.603
12,2,0,33.077,39.079,33.077,31.712
13,2,0,34.615,41.832,34.615,33.741
14,2,0,34.615,41.832,34.615,33.741
15,2,0,38.462,43.219,38.462,36.208
16,2,0,38.462,43.219,38.462,36.208
17,2,0,35.385,39.346,35.385,33.372
18,2,0,33.077,37.961,33.077,31.315
19,2,0,32.308,36.679,32.308,30.999
20,2,0,35.385,43.712,35.385,35.098
21,2,0,39.231,47.804,39.231,39.311
22,2,0,39.231,47.804,39.231,39.311
23,2,0,40.0,51.367,40.0,40.525
24,2,0,40.0,51.367,40.0,40.525
25,2,0,40.769,52.87,40.769,41.526
26,2,0,45.385,56.398,45.385,45.237
27,2,0,46.154,57.392,46.154,46.222
28,2,0,46.154,57.392,46.154,46.222
29,2,0,45.385,56.494,45.385,45.68
30,2,0,45.385,56.494,45.385,45.68
31,2,0,43.077,53.441,43.077,43.521
32,2,0,49.231,57.599,49.231,50.765
33,2,0,45.385,55.679,45.385,45.681
34,2,0,43.846,54.206,43.846,44.329
35,2,0,44.615,54.672,44.615,44.947
36,2,0,44.615,54.672,44.615,44.947
37,2,0,46.154,55.981,46.154,46.763
38,2,0,47.692,57.146,47.692,48.465
39,2,0,50.0,58.85,50.0,49.82
40,2,0,50.0,58.85,50.0,49.82
41,2,0,49.231,57.693,49.231,48.939
42,2,0,49.231,57.78,49.231,48.984
43,2,0,50.0,58.401,50.0,49.841
44,2,0,50.0,58.401,50.0,49.841
45,2,0,49.231,57.885,49.231,48.8
46,2,0,53.846,60.274,53.846,54.242
47,2,0,53.846,60.817,53.846,53.987
48,2,0,53.846,60.817,53.846,53.987
49,2,0,54.615,61.982,54.615,54.857
50,2,0,54.615,61.982,54.615,54.857
0,2,1,29.231,35.765,29.231,28.958
1,2,1,25.385,34.121,25.385,24.745
2,2,1,23.077,34.324,23.077,23.521
3,2,1,26.923,37.771,26.923,27.087
4,2,1,26.923,37.771,26.923,27.087
5,2,1,28.462,41.789,28.462,28.595
6,2,1,28.462,41.789,28.462,28.595
7,2,1,29.231,42.053,29.231,28.945
8,2,1,29.231,42.053,29.231,28.945
9,2,1,30.769,38.755,30.769,28.781
10,2,1,30.769,38.755,30.769,28.781
11,2,1,31.538,40.573,31.538,29.481
12,2,1,33.077,38.916,33.077,30.646
13,2,1,31.538,36.631,31.538,29.848
14,2,1,31.538,36.631,31.538,29.848
15,2,1,36.154,40.32,36.154,36.818
16,2,1,36.154,40.32,36.154,36.818
17,2,1,37.692,41.623,37.692,38.244
18,2,1,40.0,43.839,40.0,40.14
19,2,1,39.231,42.697,39.231,39.265
20,2,1,39.231,42.697,39.231,39.265
21,2,1,39.231,43.163,39.231,39.444
22,2,1,39.231,43.163,39.231,39.444
23,2,1,41.538,46.062,41.538,41.735
24,2,1,42.308,46.204,42.308,41.928
25,2,1,43.846,48.518,43.846,43.839
26,2,1,43.846,48.518,43.846,43.839
27,2,1,43.846,48.518,43.846,43.839
28,2,1,40.769,43.592,40.769,39.148
29,2,1,40.0,42.923,40.0,38.203
30,2,1,41.538,46.554,41.538,39.631
31,2,1,43.077,46.41,43.077,41.352
32,2,1,43.077,46.41,43.077,41.352
33,2,1,43.846,43.948,43.846,42.018
34,2,1,45.385,46.653,45.385,43.478
35,2,1,46.923,47.208,46.923,44.811
36,2,1,46.923,47.208,46.923,44.811
37,2,1,47.692,46.967,47.692,45.411
38,2,1,47.692,46.967,47.692,45.411
39,2,1,48.462,47.809,48.462,46.441
40,2,1,51.538,52.542,51.538,50.289
41,2,1,52.308,53.226,52.308,51.13
42,2,1,52.308,53.226,52.308,51.13
43,2,1,50.769,51.57,50.769,49.694
44,2,1,49.231,50.818,49.231,47.797
45,2,1,48.462,50.71,48.462,46.829
46,2,1,48.462,50.71,48.462,46.829
47,2,1,49.231,48.604,49.231,47.686
48,2,1,49.231,48.604,49.231,47.686
49,2,1,49.231,48.604,49.231,47.686
50,2,1,49.231,48.604,49.231,47.686
0,2,2,24.615,33.454,24.615,23.819
1,2,2,25.385,28.346,25.385,24.582
2,2,2,26.923,36.889,26.923,26.404
3,2,2,29.231,39.168,29.231,26.992
4,2,2,29.231,39.168,29.231,26.992
5,2,2,28.462,39.311,28.462,25.854
6,2,2,26.923,41.417,26.923,25.261
7,2,2,28.462,41.802,28.462,26.831
8,2,2,28.462,41.802,28.462,26.831
9,2,2,30.0,41.007,30.0,29.374
10,2,2,33.077,42.121,33.077,32.183
11,2,2,30.0,35.942,30.0,29.638
12,2,2,30.0,35.942,30.0,29.638
13,2,2,32.308,38.258,32.308,32.624
14,2,2,32.308,38.258,32.308,32.624
15,2,2,30.769,31.957,30.769,29.482
16,2,2,34.615,32.817,34.615,31.753
17,2,2,35.385,34.58,35.385,32.874
18,2,2,34.615,33.078,34.615,31.657
19,2,2,36.154,34.851,36.154,33.247
20,2,2,36.154,34.851,36.154,33.247
21,2,2,37.692,36.186,37.692,34.656
22,2,2,37.692,36.186,37.692,34.656
23,2,2,37.692,36.955,37.692,34.911
24,2,2,37.692,36.955,37.692,34.911
25,2,2,37.692,37.803,37.692,35.619
26,2,2,37.692,37.803,37.692,35.619
27,2,2,37.692,38.256,37.692,35.676
28,2,2,37.692,38.256,37.692,35.676
29,2,2,39.231,40.764,39.231,37.733
30,2,2,39.231,40.764,39.231,37.733
31,2,2,40.0,42.787,40.0,38.641
32,2,2,40.0,42.787,40.0,38.641
33,2,2,41.538,42.587,41.538,39.972
34,2,2,42.308,43.515,42.308,40.645
35,2,2,43.846,46.113,43.846,41.806
36,2,2,42.308,44.616,42.308,40.376
37,2,2,41.538,46.03,41.538,39.17
38,2,2,40.769,50.0,40.769,37.709
39,2,2,42.308,50.533,42.308,39.582
40,2,2,42.308,50.533,42.308,39.582
41,2,2,43.846,52.352,43.846,41.352
42,2,2,44.615,52.69,44.615,41.928
43,2,2,45.385,52.684,45.385,42.685
44,2,2,45.385,52.684,45.385,42.685
45,2,2,44.615,46.756,44.615,42.046
46,2,2,43.077,48.827,43.077,40.453
47,2,2,43.846,49.24,43.846,41.009
48,2,2,43.846,47.816,43.846,41.141
49,2,2,44.615,48.345,44.615,41.828
50,2,2,44.615,48.345,44.615,41.828
0,5,0,30.769,41.909,30.769,29.984
1,5,0,30.769,41.61,30.769,32.892
2,5,0,30.769,41.61,30.769,32.892
3,5,0,31.538,40.342,31.538,32.187
4,5,0,35.385,43.509,35.385,36.839
5,5,0,34.615,39.946,34.615,36.069
6,5,0,34.615,39.946,34.615,36.069
7,5,0,36.154,37.815,36.154,35.74
8,5,0,36.154,37.815,36.154,35.74
9,5,0,39.231,39.433,39.231,37.798
10,5,0,37.692,43.418,37.692,37.011
11,5,0,43.846,46.053,43.846,43.22
12,5,0,43.077,43.499,43.077,41.888
13,5,0,43.077,43.591,43.077,41.169
14,5,0,39.231,40.235,39.231,37.314
15,5,0,39.231,39.795,39.231,37.272
16,5,0,39.231,39.795,39.231,37.272
17,5,0,39.231,35.593,39.231,36.546
18,5,0,39.231,35.593,39.231,36.546
19,5,0,41.538,42.991,41.538,39.74
20,5,0,43.846,44.229,43.846,41.007
0,5,1,29.231,35.765,29.231,28.958
1,5,1,32.308,33.434,32.308,30.959
2,5,1,37.692,37.292,37.692,33.972
3,5,1,34.615,36.181,34.615,30.757
4,5,1,34.615,36.181,34.615,30.757
5,5,1,32.308,35.87,32.308,29.923
6,5,1,32.308,35.87,32.308,29.923
7,5,1,36.154,43.819,36.154,35.442
8,5,1,36.154,43.819,36.154,35.442
9,5,1,39.231,46.095,39.231,37.098
10,5,1,39.231,46.095,39.231,37.098
11,5,1,37.692,49.78,37.692,36.637
12,5,1,37.692,49.78,37.692,36.637
13,5,1,36.154,53.526,36.154,34.716
14,5,1,38.462,48.545,38.462,35.82
15,5,1,40.0,49.968,40.0,37.802
16,5,1,42.308,52.998,42.308,40.754
17,5,1,43.077,54.325,43.077,41.535
18,5,1,42.308,53.035,42.308,41.101
19,5,1,40.0,51.158,40.0,39.758
20,5,1,40.0,51.158,40.0,39.758
0,5,2,24.615,33.454,24.615,23.819
1,5,2,25.385,35.966,25.385,25.365
2,5,2,25.385,37.14,25.385,26.403
3,5,2,26.923,39.215,26.923,27.833
4,5,2,26.923,39.215,26.923,27.833
5,5,2,33.846,38.35,33.846,34.363
6,5,2,37.692,37.556,37.692,36.516
7,5,2,40.0,40.082,40.0,37.499
8,5,2,40.0,40.082,40.0,37.499
9,5,2,38.462,39.366,38.462,36.498
10,5,2,38.462,39.366,38.462,36.498
11,5,2,40.769,43.31,40.769,39.958
12,5,2,40.769,43.31,40.769,39.958
13,5,2,41.538,43.45,41.538,40.663
14,5,2,41.538,43.45,41.538,40.663
15,5,2,43.846,48.237,43.846,43.388
16,5,2,43.846,48.237,43.846,43.388
17,5,2,45.385,46.645,45.385,43.712
18,5,2,45.385,46.645,45.385,43.712
19,5,2,44.615,45.843,44.615,43.116
20,5,2,46.154,47.467,46.154,45.822
0,10,0,30.769,41.909,30.769,29.984
1,10,0,30.769,34.138,30.769,31.768
2,10,0,30.769,34.138,30.769,31.768
3,10,0,33.077,36.223,33.077,33.061
4,10,0,46.154,56.899,46.154,45.879
5,10,0,45.385,54.537,45.385,45.156
6,10,0,45.385,54.537,45.385,45.156
7,10,0,45.385,54.767,45.385,46.077
8,10,0,46.923,57.374,46.923,47.309
9,10,0,52.308,60.198,52.308,52.699
10,10,0,55.385,60.363,55.385,55.157
0,10,1,29.231,35.765,29.231,28.958
1,10,1,25.385,28.864,25.385,25.522
2,10,1,34.615,36.913,34.615,29.142
3,10,1,36.154,37.511,36.154,32.794
4,10,1,36.154,37.511,36.154,32.794
5,10,1,37.692,38.32,37.692,31.725
6,10,1,34.615,46.131,34.615,29.467
7,10,1,40.0,48.757,40.0,37.249
8,10,1,40.0,48.757,40.0,37.249
9,10,1,42.308,45.008,42.308,39.837
10,10,1,44.615,48.58,44.615,43.045
0,10,2,24.615,33.454,24.615,23.819
1,10,2,27.692,29.582,27.692,27.693
2,10,2,27.692,29.582,27.692,27.693
3,10,2,30.0,34.311,30.0,30.893
4,10,2,30.0,34.311,30.0,30.893
5,10,2,30.769,34.412,30.769,31.078
6,10,2,40.769,43.362,40.769,39.783
7,10,2,42.308,40.139,42.308,39.922
8,10,2,42.308,40.139,42.308,39.922
9,10,2,43.077,48.449,43.077,41.677
10,10,2,43.077,48.449,43.077,41.677
0,25,0,30.769,41.909,30.769,29.984
1,25,0,32.308,41.233,32.308,31.259
2,25,0,40.769,49.508,40.769,38.084
3,25,0,49.231,51.027,49.231,48.739
4,25,0,49.231,51.027,49.231,48.739
0,25,1,29.231,35.765,29.231,28.958
1,25,1,35.385,49.038,35.385,36.594
2,25,1,43.077,54.891,43.077,44.28
3,25,1,43.846,47.159,43.846,43.322
4,25,1,51.538,51.155,51.538,49.933
0,25,2,24.615,33.454,24.615,23.819
