iter,step,fold,acc,prec,rec,f1score
0,2,0,28.462,30.673,28.462,27.313
1,2,0,31.538,35.518,31.538,30.876
2,2,0,33.077,37.491,33.077,31.835
3,2,0,30.769,35.938,30.769,29.568
4,2,0,30.769,35.938,30.769,29.568
5,2,0,32.308,39.442,32.308,32.515
6,2,0,40.769,44.933,40.769,40.803
7,2,0,39.231,43.719,39.231,39.208
8,2,0,39.231,43.719,39.231,39.208
9,2,0,39.231,39.639,39.231,37.733
10,2,0,39.231,39.639,39.231,37.733
11,2,0,40.0,41.057,40.0,38.536
12,2,0,40.0,41.057,40.0,38.536
13,2,0,40.769,41.728,40.769,39.465
14,2,0,40.769,41.728,40.769,39.465
15,2,0,43.077,44.721,43.077,40.967
16,2,0,43.077,44.721,43.077,40.967
17,2,0,43.846,45.804,43.846,41.852
18,2,0,43.846,45.804,43.846,41.852
19,2,0,43.846,45.794,43.846,41.917
20,2,0,43.846,45.794,43.846,41.917
21,2,0,45.385,47.275,45.385,44.793
22,2,0,45.385,47.275,45.385,44.793
23,2,0,47.692,49.594,47.692,46.487
24,2,0,47.692,49.594,47.692,46.487
25,2,0,47.692,49.131,47.692,46.643
26,2,0,50.0,53.44,50.0,49.239
27,2,0,51.538,54.324,51.538,51.083
28,2,0,51.538,54.324,51.538,51.083
29,2,0,50.769,53.669,50.769,50.486
30,2,0,52.308,54.743,52.308,51.309
31,2,0,51.538,53.701,51.538,50.139
32,2,0,51.538,53.701,51.538,50.139
33,2,0,52.308,54.805,52.308,51.013
34,2,0,52.308,54.805,52.308,51.013
35,2,0,51.538,54.038,51.538,50.257
36,2,0,49.231,51.15,49.231,47.579
37,2,0,50.769,53.479,50.769,49.026
38,2,0,50.769,53.479,50.769,49.026
39,2,0,50.0,50.946,50.0,47.433
40,2,0,48.462,50.013,48.462,45.175
41,2,0,48.462,50.357,48.462,45.41
42,2,0,48.462,50.357,48.462,45.41
43,2,0,46.923,48.621,46.923,44.185
44,2,0,46.923,48.621,46.923,44.185
45,2,0,48.462,51.819,48.462,46.93
46,2,0,48.462,51.819,48.462,46.93
47,2,0,46.923,51.234,46.923,45.078
48,2,0,46.923,51.234,46.923,45.078
49,2,0,47.692,50.377,47.692,45.454
50,2,0,47.692,50.377,47.692,45.454
0,2,1,35.385,40.688,35.385,35.301
1,2,1,32.308,39.908,32.308,33.059
2,2,1,30.769,35.746,30.769,30.679
3,2,1,31.538,36.542,31.538,32.003
4,2,1,31.538,35.954,31.538,31.477
5,2,1,31.538,34.426,31.538,30.495
6,2,1,31.538,34.426,31.538,30.495
7,2,1,31.538,35.529,31.538,31.932
8,2,1,32.308,36.737,32.308,33.381
9,2,1,36.154,40.404,36.154,37.578
10,2,1,36.154,40.404,36.154,37.578
11,2,1,38.462,41.442,38.462,39.3
12,2,1,38.462,41.442,38.462,39.3
13,2,1,38.462,41.618,38.462,39.311
14,2,1,38.462,41.618,38.462,39.311
15,2,1,39.231,42.552,39.231,39.664
16,2,1,39.231,42.552,39.231,39.664
17,2,1,40.0,43.32,40.0,40.312
18,2,1,40.0,43.32,40.0,40.312
19,2,1,45.385,47.133,45.385,44.744
20,2,1,45.385,47.133,45.385,44.744
21,2,1,46.154,49.652,46.154,46.524
22,2,1,46.154,49.652,46.154,46.524
23,2,1,48.462,51.261,48.462,48.253
24,2,1,48.462,51.261,48.462,48.253
25,2,1,50.0,52.167,50.0,49.251
26,2,1,49.231,49.657,49.231,48.109
27,2,1,50.769,51.414,50.769,49.714
28,2,1,47.692,48.113,47.692,46.719
29,2,1,50.0,53.755,50.0,48.936
30,2,1,50.0,53.755,50.0,48.936
31,2,1,53.077,58.424,53.077,51.632
32,2,1,55.385,57.83,55.385,54.66
33,2,1,57.692,59.56,57.692,56.664
34,2,1,57.692,59.56,57.692,56.664
35,2,1,56.923,59.88,56.923,55.878
36,2,1,56.923,59.88,56.923,55.878
37,2,1,54.615,56.546,54.615,53.737
38,2,1,53.846,55.59,53.846,53.139
39,2,1,55.385,57.382,55.385,54.658
40,2,1,55.385,56.477,55.385,55.022
41,2,1,56.154,56.998,56.154,55.839
42,2,1,55.385,56.342,55.385,55.102
43,2,1,53.846,54.735,53.846,53.933
44,2,1,55.385,56.217,55.385,55.2
45,2,1,57.692,59.015,57.692,57.868
46,2,1,52.308,53.024,52.308,51.55
47,2,1,56.154,57.403,56.154,55.456
48,2,1,56.154,57.403,56.154,55.456
49,2,1,55.385,55.986,55.385,54.848
50,2,1,55.385,55.986,55.385,54.848
0,2,2,26.923,28.839,26.923,25.716
1,2,2,30.0,29.667,30.0,27.737
2,2,2,30.0,29.667,30.0,27.737
3,2,2,32.308,33.659,32.308,30.511
4,2,2,32.308,33.659,32.308,30.511
5,2,2,31.538,32.442,31.538,29.381
6,2,2,31.538,32.442,31.538,29.381
7,2,2,32.308,31.676,32.308,29.21
8,2,2,32.308,31.676,32.308,29.21
9,2,2,34.615,33.534,34.615,31.021
10,2,2,33.846,32.78,33.846,30.072
11,2,2,34.615,34.451,34.615,30.57
12,2,2,34.615,34.451,34.615,30.57
13,2,2,34.615,33.695,34.615,30.162
14,2,2,34.615,36.537,34.615,32.526
15,2,2,36.923,39.86,36.923,34.898
16,2,2,38.462,37.645,38.462,35.803
17,2,2,36.154,35.231,36.154,33.791
18,2,2,37.692,40.124,37.692,36.393
19,2,2,37.692,38.792,37.692,36.355
20,2,2,39.231,45.825,39.231,36.989
21,2,2,39.231,37.484,39.231,36.717
22,2,2,40.769,42.881,40.769,39.216
23,2,2,41.538,45.629,41.538,40.227
24,2,2,43.846,44.822,43.846,42.177
25,2,2,41.538,40.31,41.538,39.522
26,2,2,41.538,40.31,41.538,39.522
27,2,2,43.846,44.99,43.846,42.306
28,2,2,43.846,44.99,43.846,42.306
29,2,2,45.385,46.419,45.385,43.139
30,2,2,45.385,44.457,45.385,43.213
31,2,2,43.077,43.821,43.077,41.356
32,2,2,43.846,43.266,43.846,41.55
33,2,2,45.385,46.808,45.385,43.434
34,2,2,45.385,46.808,45.385,43.434
35,2,2,43.077,42.395,43.077,40.121
36,2,2,43.077,42.395,43.077,40.121
37,2,2,46.154,47.758,46.154,43.878
38,2,2,46.154,47.758,46.154,43.878
39,2,2,45.385,46.315,45.385,43.043
40,2,2,45.385,46.315,45.385,43.043
41,2,2,46.154,47.094,46.154,44.188
42,2,2,49.231,50.675,49.231,47.285
43,2,2,53.077,55.008,53.077,51.818
44,2,2,53.077,55.008,53.077,51.818
45,2,2,51.538,53.235,51.538,49.966
46,2,2,51.538,53.235,51.538,49.966
47,2,2,48.462,48.168,48.462,47.125
48,2,2,50.769,52.734,50.769,49.185
49,2,2,50.769,51.65,50.769,49.304
50,2,2,55.385,56.504,55.385,54.402
0,5,0,28.462,30.673,28.462,27.313
1,5,0,32.308,36.732,32.308,32.198
2,5,0,36.923,37.952,36.923,34.65
3,5,0,43.077,45.537,43.077,40.79
4,5,0,43.077,45.537,43.077,40.79
5,5,0,40.0,43.745,40.0,38.84
6,5,0,40.0,43.745,40.0,38.84
7,5,0,41.538,44.376,41.538,40.592
8,5,0,42.308,43.813,42.308,40.704
9,5,0,43.846,46.361,43.846,42.029
10,5,0,43.846,46.361,43.846,42.029
11,5,0,48.462,51.967,48.462,47.393
12,5,0,48.462,51.967,48.462,47.393
13,5,0,52.308,58.052,52.308,51.164
14,5,0,53.846,61.679,53.846,52.895
15,5,0,53.846,60.694,53.846,52.994
16,5,0,53.846,60.694,53.846,52.994
17,5,0,56.154,63.57,56.154,55.184
18,5,0,55.385,63.21,55.385,54.054
19,5,0,56.923,64.604,56.923,55.815
20,5,0,56.923,64.604,56.923,55.815
0,5,1,35.385,40.688,35.385,35.301
1,5,1,32.308,39.078,32.308,33.48
2,5,1,36.923,45.655,36.923,37.78
3,5,1,36.923,43.137,36.923,35.575
4,5,1,36.923,43.137,36.923,35.575
5,5,1,38.462,44.553,38.462,38.947
6,5,1,43.077,50.894,43.077,43.811
7,5,1,44.615,54.143,44.615,45.577
8,5,1,43.846,52.348,43.846,45.107
9,5,1,43.077,50.483,43.077,43.558
10,5,1,43.077,50.483,43.077,43.558
11,5,1,45.385,51.933,45.385,45.863
12,5,1,45.385,51.933,45.385,45.863
13,5,1,46.154,52.694,46.154,47.203
14,5,1,46.154,52.694,46.154,47.203
15,5,1,48.462,52.296,48.462,48.894
16,5,1,49.231,51.355,49.231,49.002
17,5,1,50.769,52.253,50.769,50.668
18,5,1,50.0,52.057,50.0,49.646
19,5,1,50.769,50.959,50.769,49.09
20,5,1,54.615,55.857,54.615,53.071
0,5,2,26.923,28.839,26.923,25.716
1,5,2,31.538,31.184,31.538,29.512
2,5,2,38.462,35.454,38.462,35.1
3,5,2,42.308,42.88,42.308,40.025
4,5,2,42.308,42.88,42.308,40.025
5,5,2,45.385,43.78,45.385,42.93
6,5,2,45.385,43.78,45.385,42.93
7,5,2,46.154,47.888,46.154,44.257
8,5,2,51.538,51.164,51.538,49.713
9,5,2,50.0,50.986,50.0,48.454
10,5,2,50.0,50.986,50.0,48.454
