iter,step,fold,acc,prec,rec,f1score
0,2,0,33.846,36.33,33.846,31.092
1,2,0,33.077,37.699,33.077,31.392
2,2,0,35.385,41.19,35.385,34.432
3,2,0,36.154,33.909,36.154,33.378
4,2,0,36.154,37.777,36.154,33.874
5,2,0,34.615,35.397,34.615,31.278
6,2,0,36.923,46.931,36.923,34.734
7,2,0,34.615,30.281,34.615,29.671
8,2,0,36.923,39.759,36.923,33.863
9,2,0,33.846,35.819,33.846,30.924
10,2,0,40.0,39.813,40.0,38.366
11,2,0,38.462,38.79,38.462,36.627
12,2,0,40.0,38.798,40.0,38.377
13,2,0,40.0,38.587,40.0,38.114
14,2,0,40.769,39.372,40.769,39.243
15,2,0,43.846,42.623,43.846,42.572
16,2,0,45.385,45.003,45.385,44.42
17,2,0,46.154,45.671,46.154,45.157
18,2,0,43.846,43.303,43.846,43.09
19,2,0,44.615,43.648,44.615,43.592
20,2,0,45.385,44.033,45.385,43.542
21,2,0,46.154,45.639,46.154,44.799
22,2,0,43.846,42.803,43.846,42.128
23,2,0,43.846,44.248,43.846,42.251
24,2,0,44.615,44.783,44.615,43.178
25,2,0,44.615,44.731,44.615,43.556
26,2,0,50.0,50.44,50.0,48.556
27,2,0,50.0,48.628,50.0,47.958
28,2,0,52.308,52.669,52.308,50.95
29,2,0,51.538,50.9,51.538,50.205
30,2,0,54.615,55.752,54.615,53.616
31,2,0,56.154,57.442,56.154,55.553
32,2,0,53.077,53.344,53.077,52.612
33,2,0,56.154,56.476,56.154,55.632
34,2,0,57.692,57.657,57.692,57.331
35,2,0,55.385,54.946,55.385,54.788
36,2,0,58.462,58.785,58.462,58.051
37,2,0,57.692,58.279,57.692,57.547
38,2,0,56.923,56.635,56.923,56.362
39,2,0,57.692,57.428,57.692,57.108
40,2,0,56.923,58.053,56.923,56.646
41,2,0,57.692,58.535,57.692,57.742
42,2,0,60.769,61.197,60.769,60.869
43,2,0,60.769,60.922,60.769,60.69
44,2,0,63.846,63.597,63.846,63.61
45,2,0,64.615,64.891,64.615,64.617
46,2,0,63.846,64.997,63.846,63.386
47,2,0,64.615,64.617,64.615,64.207
48,2,0,64.615,65.537,64.615,64.657
49,2,0,64.615,66.106,64.615,64.42
50,2,0,67.692,68.082,67.692,67.422
0,2,1,31.538,30.352,31.538,28.638
1,2,1,35.385,33.834,35.385,32.112
2,2,1,31.538,33.529,31.538,30.402
3,2,1,34.615,36.285,34.615,33.179
4,2,1,42.308,41.774,42.308,38.763
5,2,1,43.077,42.215,43.077,39.815
6,2,1,43.077,39.665,43.077,38.994
7,2,1,42.308,39.856,42.308,38.543
8,2,1,46.154,44.541,46.154,43.813
9,2,1,47.692,46.83,47.692,45.48
10,2,1,50.769,51.827,50.769,49.392
11,2,1,52.308,55.182,52.308,50.902
12,2,1,55.385,57.652,55.385,53.835
13,2,1,56.923,56.766,56.923,55.302
14,2,1,57.692,56.254,57.692,56.496
15,2,1,55.385,55.366,55.385,55.01
16,2,1,56.923,55.496,56.923,55.884
17,2,1,60.769,59.95,60.769,59.843
18,2,1,57.692,56.849,57.692,56.79
19,2,1,58.462,57.726,58.462,57.561
20,2,1,58.462,59.627,58.462,57.267
21,2,1,60.0,59.513,60.0,59.054
22,2,1,57.692,56.615,57.692,56.707
23,2,1,57.692,56.786,57.692,56.985
24,2,1,60.0,59.214,60.0,58.941
25,2,1,58.462,58.486,58.462,57.957
26,2,1,62.308,62.992,62.308,62.153
27,2,1,59.231,59.86,59.231,58.908
28,2,1,64.615,65.797,64.615,64.469
29,2,1,64.615,66.1,64.615,64.644
30,2,1,65.385,65.99,65.385,65.123
31,2,1,64.615,64.89,64.615,64.181
32,2,1,66.154,66.495,66.154,65.843
33,2,1,67.692,67.828,67.692,67.379
34,2,1,66.154,65.973,66.154,65.781
35,2,1,63.846,63.703,63.846,63.475
36,2,1,67.692,67.112,67.692,66.906
37,2,1,67.692,67.584,67.692,67.178
38,2,1,67.692,67.793,67.692,67.343
39,2,1,69.231,69.366,69.231,68.863
40,2,1,64.615,63.688,64.615,63.962
41,2,1,69.231,68.893,69.231,68.541
42,2,1,66.154,65.752,66.154,65.511
43,2,1,64.615,64.072,64.615,64.008
44,2,1,67.692,68.285,67.692,67.275
45,2,1,69.231,69.891,69.231,68.86
46,2,1,67.692,67.398,67.692,67.027
47,2,1,66.923,67.73,66.923,66.736
48,2,1,69.231,69.027,69.231,68.335
49,2,1,66.923,67.222,66.923,66.337
50,2,1,66.923,67.097,66.923,66.148
0,2,2,33.077,33.796,33.077,30.667
1,2,2,31.538,33.543,31.538,30.027
2,2,2,36.923,36.348,36.923,32.702
3,2,2,36.923,38.386,36.923,34.015
4,2,2,36.923,35.967,36.923,33.543
5,2,2,36.923,38.351,36.923,33.932
6,2,2,36.923,44.384,36.923,34.427
7,2,2,38.462,46.441,38.462,35.798
8,2,2,36.923,38.394,36.923,34.099
9,2,2,38.462,39.418,38.462,35.543
10,2,2,40.0,40.573,40.0,37.445
11,2,2,40.0,42.108,40.0,38.202
12,2,2,43.077,44.079,43.077,40.419
13,2,2,43.077,44.045,43.077,40.738
14,2,2,46.923,49.941,46.923,45.604
15,2,2,44.615,47.504,44.615,42.571
16,2,2,41.538,43.541,41.538,40.447
17,2,2,43.846,44.315,43.846,41.956
18,2,2,48.462,50.37,48.462,47.528
19,2,2,45.385,45.697,45.385,44.07
20,2,2,45.385,45.176,45.385,44.214
21,2,2,46.154,45.691,46.154,44.762
22,2,2,46.923,46.586,46.923,45.52
23,2,2,46.923,46.367,46.923,45.452
24,2,2,46.923,45.871,46.923,45.249
25,2,2,47.692,46.902,47.692,45.922
26,2,2,51.538,51.777,51.538,49.92
27,2,2,48.462,50.122,48.462,47.455
28,2,2,48.462,49.522,48.462,47.863
29,2,2,47.692,48.557,47.692,46.668
30,2,2,51.538,52.312,51.538,50.847
31,2,2,51.538,52.198,51.538,50.83
32,2,2,50.769,51.713,50.769,50.4
33,2,2,51.538,51.433,51.538,50.7
34,2,2,51.538,53.109,51.538,51.37
35,2,2,53.077,54.328,53.077,52.733
