iter,step,fold,acc,prec,rec,f1score
0,2,0,33.846,41.418,33.846,34.201
1,2,0,30.769,27.946,30.769,27.29
2,2,0,33.846,45.47,33.846,32.404
3,2,0,32.308,48.233,32.308,30.192
4,2,0,32.308,48.233,32.308,30.192
5,2,0,33.846,47.705,33.846,31.529
6,2,0,36.923,36.252,36.923,33.626
7,2,0,37.692,36.454,37.692,34.383
8,2,0,37.692,36.454,37.692,34.383
9,2,0,36.923,37.14,36.923,34.131
10,2,0,37.692,40.969,37.692,36.295
11,2,0,40.0,43.778,40.0,39.165
12,2,0,41.538,46.244,41.538,41.59
13,2,0,40.769,47.449,40.769,41.161
14,2,0,40.769,44.495,40.769,40.916
15,2,0,45.385,48.96,45.385,45.329
16,2,0,45.385,48.96,45.385,45.329
17,2,0,47.692,51.667,47.692,47.966
18,2,0,47.692,51.667,47.692,47.966
19,2,0,49.231,54.424,49.231,49.449
20,2,0,49.231,54.424,49.231,49.449
21,2,0,49.231,52.997,49.231,49.147
22,2,0,51.538,57.926,51.538,52.326
23,2,0,55.385,61.493,55.385,56.38
24,2,0,55.385,61.493,55.385,56.38
25,2,0,50.0,56.06,50.0,51.28
26,2,0,54.615,59.782,54.615,55.565
27,2,0,55.385,60.874,55.385,56.161
28,2,0,56.154,61.837,56.154,56.873
29,2,0,57.692,61.807,57.692,58.207
30,2,0,58.462,63.182,58.462,59.241
31,2,0,55.385,59.474,55.385,56.282
32,2,0,55.385,59.474,55.385,56.282
33,2,0,57.692,61.866,57.692,58.691
34,2,0,61.538,65.078,61.538,62.433
35,2,0,63.846,66.578,63.846,64.694
36,2,0,60.769,65.222,60.769,61.884
37,2,0,62.308,64.672,62.308,62.696
38,2,0,66.154,68.416,66.154,66.71
39,2,0,66.154,68.921,66.154,66.626
40,2,0,66.154,68.921,66.154,66.626
41,2,0,66.923,69.71,66.923,67.366
42,2,0,66.923,69.71,66.923,67.366
43,2,0,67.692,69.9,67.692,68.084
44,2,0,67.692,69.9,67.692,68.084
45,2,0,65.385,66.749,65.385,65.647
46,2,0,65.385,66.749,65.385,65.647
47,2,0,66.154,68.237,66.154,66.209
48,2,0,66.154,68.237,66.154,66.209
49,2,0,65.385,67.624,65.385,65.074
50,2,0,66.154,68.273,66.154,66.041
0,2,1,38.462,44.457,38.462,39.399
1,2,1,36.154,39.958,36.154,34.057
2,2,1,33.077,38.46,33.077,31.001
3,2,1,32.308,39.752,32.308,30.727
4,2,1,33.846,41.652,33.846,32.183
5,2,1,35.385,42.481,35.385,33.567
6,2,1,35.385,39.724,35.385,33.87
7,2,1,35.385,43.102,35.385,33.709
8,2,1,35.385,43.102,35.385,33.709
9,2,1,33.846,40.104,33.846,31.82
10,2,1,35.385,46.666,35.385,33.309
11,2,1,34.615,35.982,34.615,32.893
12,2,1,34.615,35.982,34.615,32.893
13,2,1,34.615,37.305,34.615,33.2
14,2,1,34.615,37.305,34.615,33.2
15,2,1,39.231,40.125,39.231,38.145
16,2,1,37.692,39.827,37.692,37.007
17,2,1,38.462,41.854,38.462,38.51
18,2,1,44.615,47.583,44.615,44.342
19,2,1,40.769,43.812,40.769,40.039
20,2,1,43.846,45.035,43.846,42.804
21,2,1,44.615,44.953,44.615,43.965
22,2,1,44.615,45.356,44.615,44.107
23,2,1,45.385,45.103,45.385,44.705
24,2,1,45.385,45.103,45.385,44.705
25,2,1,46.923,47.472,46.923,46.551
26,2,1,46.923,47.472,46.923,46.551
27,2,1,50.0,50.768,50.0,49.733
28,2,1,49.231,50.373,49.231,49.233
29,2,1,48.462,50.432,48.462,48.374
30,2,1,46.923,50.784,46.923,47.462
31,2,1,47.692,50.073,47.692,47.925
32,2,1,47.692,50.073,47.692,47.925
33,2,1,50.0,54.944,50.0,50.685
34,2,1,50.0,54.944,50.0,50.685
35,2,1,52.308,55.08,52.308,53.024
36,2,1,52.308,55.08,52.308,53.024
37,2,1,54.615,56.448,54.615,55.036
38,2,1,54.615,56.784,54.615,54.955
39,2,1,55.385,58.02,55.385,55.846
40,2,1,55.385,58.02,55.385,55.846
41,2,1,55.385,59.105,55.385,56.38
42,2,1,55.385,59.105,55.385,56.38
43,2,1,53.846,57.658,53.846,54.475
44,2,1,57.692,60.072,57.692,57.649
45,2,1,57.692,60.781,57.692,58.013
46,2,1,57.692,60.781,57.692,58.013
47,2,1,57.692,60.204,57.692,57.17
48,2,1,53.846,56.908,53.846,52.742
49,2,1,54.615,57.952,54.615,54.088
50,2,1,56.154,59.205,56.154,55.284
0,2,2,31.538,34.588,31.538,31.399
1,2,2,33.077,33.763,33.077,31.319
2,2,2,33.077,33.763,33.077,31.319
3,2,2,33.077,35.224,33.077,31.569
4,2,2,34.615,39.116,34.615,32.471
5,2,2,31.538,32.088,31.538,29.736
6,2,2,31.538,32.088,31.538,29.736
7,2,2,31.538,33.165,31.538,30.284
8,2,2,31.538,33.165,31.538,30.284
9,2,2,33.846,34.315,33.846,32.199
10,2,2,33.846,34.315,33.846,32.199
11,2,2,33.846,32.927,33.846,31.748
12,2,2,34.615,35.4,34.615,33.278
13,2,2,34.615,34.19,34.615,33.223
14,2,2,37.692,39.192,37.692,37.308
15,2,2,36.923,38.481,36.923,36.87
16,2,2,39.231,41.456,39.231,38.873
17,2,2,36.154,38.953,36.154,35.125
18,2,2,40.769,41.58,40.769,38.77
19,2,2,45.385,46.71,45.385,43.672
20,2,2,43.077,44.071,43.077,41.25
21,2,2,48.462,50.326,48.462,46.898
22,2,2,46.154,49.693,46.154,44.045
23,2,2,45.385,45.8,45.385,42.829
24,2,2,43.077,41.819,43.077,40.69
25,2,2,40.769,39.264,40.769,38.006
26,2,2,40.769,39.264,40.769,38.006
27,2,2,42.308,40.921,42.308,39.039
28,2,2,42.308,40.853,42.308,39.181
29,2,2,46.154,45.141,46.154,44.251
30,2,2,46.154,44.893,46.154,43.765
31,2,2,44.615,42.29,44.615,41.986
32,2,2,44.615,42.29,44.615,41.986
33,2,2,45.385,43.325,45.385,42.75
34,2,2,49.231,47.858,49.231,47.319
35,2,2,52.308,50.958,52.308,50.697
36,2,2,52.308,50.958,52.308,50.697
37,2,2,52.308,51.367,52.308,50.752
38,2,2,52.308,51.367,52.308,50.752
39,2,2,53.077,51.339,53.077,51.105
40,2,2,53.077,51.339,53.077,51.105
41,2,2,53.846,52.725,53.846,52.092
42,2,2,53.846,52.725,53.846,52.092
43,2,2,53.077,51.457,53.077,50.801
44,2,2,53.846,51.816,53.846,51.571
45,2,2,53.846,52.104,53.846,51.408
46,2,2,53.846,52.104,53.846,51.408
47,2,2,53.846,52.279,53.846,52.06
48,2,2,53.846,52.279,53.846,52.06
49,2,2,54.615,53.405,54.615,53.214
50,2,2,54.615,53.405,54.615,53.214
0,5,0,33.846,41.418,33.846,34.201
1,5,0,34.615,44.149,34.615,31.453
2,5,0,34.615,44.149,34.615,31.453
3,5,0,36.923,41.422,36.923,35.439
4,5,0,38.462,42.697,38.462,36.53
5,5,0,39.231,47.57,39.231,39.829
6,5,0,39.231,47.57,39.231,39.829
7,5,0,43.846,51.381,43.846,43.922
8,5,0,43.077,47.169,43.077,42.238
9,5,0,46.923,49.757,46.923,45.295
10,5,0,49.231,50.485,49.231,47.686
11,5,0,48.462,45.822,48.462,45.857
12,5,0,48.462,45.822,48.462,45.857
13,5,0,50.0,52.037,50.0,48.225
14,5,0,51.538,52.684,51.538,50.875
15,5,0,56.154,58.464,56.154,55.887
16,5,0,51.538,53.291,51.538,50.962
17,5,0,52.308,53.498,52.308,51.493
18,5,0,56.154,57.407,56.154,55.512
19,5,0,57.692,62.217,57.692,56.892
20,5,0,57.692,62.217,57.692,56.892
0,5,1,38.462,44.457,38.462,39.399
1,5,1,34.615,40.426,34.615,32.528
2,5,1,36.923,36.407,36.923,33.399
3,5,1,37.692,49.082,37.692,33.942
4,5,1,37.692,49.082,37.692,33.942
5,5,1,40.0,49.369,40.0,38.957
6,5,1,39.231,48.253,39.231,38.852
7,5,1,40.0,44.177,40.0,39.285
8,5,1,42.308,47.813,42.308,41.283
9,5,1,46.154,51.472,46.154,45.582
10,5,1,51.538,55.237,51.538,51.669
11,5,1,51.538,58.092,51.538,50.534
12,5,1,47.692,50.204,47.692,45.96
13,5,1,46.923,49.024,46.923,45.571
14,5,1,47.692,51.436,47.692,46.242
15,5,1,50.0,53.346,50.0,48.679
16,5,1,51.538,52.624,51.538,49.798
17,5,1,53.077,53.971,53.077,51.271
18,5,1,53.077,53.971,53.077,51.271
19,5,1,55.385,56.429,55.385,55.21
20,5,1,55.385,56.429,55.385,55.21
0,5,2,31.538,34.588,31.538,31.399
1,5,2,35.385,31.218,35.385,32.215
2,5,2,35.385,31.218,35.385,32.215
3,5,2,37.692,38.233,37.692,35.402
4,5,2,43.077,45.508,43.077,42.08
5,5,2,43.077,43.973,43.077,42.136
6,5,2,43.077,43.973,43.077,42.136
7,5,2,45.385,49.212,45.385,45.438
8,5,2,43.077,43.105,43.077,42.267
9,5,2,47.692,47.471,47.692,47.25
10,5,2,47.692,47.471,47.692,47.25
11,5,2,50.0,49.355,50.0,49.146
12,5,2,50.0,49.355,50.0,49.146
13,5,2,49.231,47.401,49.231,47.488
