iter,step,fold,acc,prec,rec,f1score
0,2,0,33.846,41.418,33.846,34.201
1,2,0,34.615,42.217,34.615,34.213
2,2,0,35.385,41.228,35.385,33.676
3,2,0,40.0,45.97,40.0,39.023
4,2,0,43.846,55.211,43.846,43.044
5,2,0,45.385,57.048,45.385,44.429
6,2,0,43.846,55.241,43.846,42.596
7,2,0,43.077,56.047,43.077,44.84
8,2,0,48.462,62.3,48.462,49.981
9,2,0,45.385,56.758,45.385,46.142
10,2,0,46.923,50.005,46.923,46.472
11,2,0,43.077,45.031,43.077,41.689
12,2,0,47.692,57.525,47.692,46.505
13,2,0,47.692,54.31,47.692,47.206
14,2,0,47.692,51.189,47.692,46.4
15,2,0,50.769,54.91,50.769,50.663
16,2,0,51.538,54.819,51.538,50.107
17,2,0,53.077,56.199,53.077,52.592
18,2,0,53.846,58.069,53.846,54.535
19,2,0,54.615,59.043,54.615,55.275
20,2,0,53.077,59.113,53.077,53.449
21,2,0,53.846,58.772,53.846,54.773
22,2,0,53.846,57.568,53.846,54.135
23,2,0,55.385,59.877,55.385,55.845
24,2,0,57.692,61.128,57.692,58.346
25,2,0,55.385,59.963,55.385,56.421
26,2,0,57.692,62.708,57.692,58.844
27,2,0,56.154,61.914,56.154,57.542
28,2,0,55.385,60.132,55.385,56.189
29,2,0,57.692,63.397,57.692,59.109
30,2,0,57.692,61.524,57.692,58.342
31,2,0,57.692,60.069,57.692,57.897
32,2,0,56.154,60.822,56.154,56.879
33,2,0,52.308,55.758,52.308,52.3
34,2,0,58.462,62.656,58.462,58.574
35,2,0,56.923,60.855,56.923,56.974
36,2,0,58.462,63.022,58.462,58.912
37,2,0,59.231,64.339,59.231,60.004
38,2,0,56.923,63.432,56.923,58.424
39,2,0,55.385,62.858,55.385,56.661
40,2,0,52.308,60.064,52.308,53.879
41,2,0,53.846,59.913,53.846,55.262
42,2,0,55.385,61.504,55.385,56.808
43,2,0,54.615,62.15,54.615,56.352
44,2,0,60.769,65.936,60.769,62.186
45,2,0,61.538,66.506,61.538,62.845
46,2,0,62.308,66.06,62.308,63.28
47,2,0,60.0,64.445,60.0,60.814
48,2,0,63.846,67.372,63.846,64.702
49,2,0,60.0,64.083,60.0,60.772
50,2,0,60.0,64.39,60.0,61.217
0,2,1,38.462,44.457,38.462,39.399
1,2,1,36.923,45.737,36.923,37.615
2,2,1,32.308,43.329,32.308,32.647
3,2,1,35.385,42.869,35.385,35.178
4,2,1,38.462,47.171,38.462,38.433
5,2,1,36.923,43.89,36.923,37.003
6,2,1,38.462,45.657,38.462,39.065
7,2,1,41.538,48.84,41.538,42.088
8,2,1,39.231,45.809,39.231,39.877
9,2,1,40.0,44.293,40.0,40.448
10,2,1,36.154,40.821,36.154,36.583
11,2,1,40.0,45.789,40.0,41.171
12,2,1,38.462,44.888,38.462,39.727
13,2,1,42.308,47.545,42.308,43.259
14,2,1,45.385,52.006,45.385,46.697
15,2,1,45.385,50.849,45.385,46.088
16,2,1,46.923,56.459,46.923,48.418
17,2,1,50.0,57.204,50.0,51.653
18,2,1,50.0,58.493,50.0,51.931
19,2,1,50.769,59.111,50.769,52.922
20,2,1,53.077,62.02,53.077,55.479
21,2,1,51.538,61.089,51.538,53.76
22,2,1,53.846,61.681,53.846,55.957
23,2,1,52.308,58.967,52.308,53.811
24,2,1,53.077,59.504,53.077,54.149
25,2,1,51.538,56.813,51.538,52.387
26,2,1,58.462,61.404,58.462,58.718
27,2,1,58.462,61.361,58.462,58.406
28,2,1,59.231,62.64,59.231,59.305
29,2,1,59.231,61.105,59.231,59.046
30,2,1,60.0,62.435,60.0,59.579
31,2,1,59.231,60.81,59.231,58.71
32,2,1,59.231,62.594,59.231,58.864
33,2,1,57.692,63.158,57.692,58.369
34,2,1,56.923,61.867,56.923,57.477
35,2,1,53.846,57.716,53.846,54.332
36,2,1,57.692,62.556,57.692,58.196
37,2,1,56.154,59.957,56.154,56.569
38,2,1,57.692,62.112,57.692,57.858
39,2,1,58.462,62.957,58.462,58.756
40,2,1,58.462,61.522,58.462,57.905
41,2,1,57.692,61.448,57.692,57.686
42,2,1,59.231,62.068,59.231,59.024
43,2,1,59.231,64.033,59.231,59.683
44,2,1,57.692,61.479,57.692,57.752
45,2,1,60.769,63.958,60.769,60.652
46,2,1,60.0,61.607,60.0,59.397
47,2,1,63.077,66.692,63.077,63.805
48,2,1,60.0,63.923,60.0,59.974
49,2,1,63.077,66.517,63.077,63.153
50,2,1,61.538,65.623,61.538,62.154
0,2,2,31.538,34.588,31.538,31.399
1,2,2,34.615,36.566,34.615,33.819
2,2,2,35.385,35.31,35.385,34.658
3,2,2,36.154,37.777,36.154,35.712
4,2,2,39.231,38.619,39.231,38.306
5,2,2,40.0,38.58,40.0,38.645
6,2,2,40.769,40.041,40.769,39.837
7,2,2,43.846,42.676,43.846,42.753
8,2,2,44.615,43.446,44.615,42.871
9,2,2,46.154,44.992,46.154,44.751
10,2,2,49.231,47.262,49.231,47.146
11,2,2,50.0,47.801,50.0,47.891
12,2,2,46.923,46.457,46.923,44.514
13,2,2,52.308,49.997,52.308,50.037
14,2,2,53.846,53.457,53.846,52.201
15,2,2,52.308,55.266,52.308,51.385
16,2,2,49.231,51.123,49.231,48.172
17,2,2,50.769,52.823,50.769,49.12
18,2,2,53.846,56.564,53.846,53.368
19,2,2,50.769,54.101,50.769,50.223
20,2,2,53.077,57.514,53.077,52.219
21,2,2,53.846,56.696,53.846,52.34
22,2,2,56.923,58.99,56.923,55.279
23,2,2,56.154,59.004,56.154,55.136
24,2,2,56.154,58.932,56.154,55.813
25,2,2,56.923,59.155,56.923,56.437
26,2,2,57.692,59.457,57.692,57.417
27,2,2,56.154,57.974,56.154,55.795
28,2,2,56.923,58.398,56.923,56.48
29,2,2,57.692,59.514,57.692,57.784
30,2,2,60.0,62.245,60.0,59.85
31,2,2,60.0,61.676,60.0,59.556
32,2,2,58.462,60.81,58.462,58.222
33,2,2,60.0,61.618,60.0,59.808
34,2,2,63.077,64.497,63.077,62.691
35,2,2,63.077,63.95,63.077,62.549
36,2,2,59.231,60.52,59.231,59.103
37,2,2,61.538,63.723,61.538,61.504
38,2,2,64.615,66.135,64.615,64.193
39,2,2,67.692,68.923,67.692,67.367
40,2,2,63.846,64.475,63.846,63.391
41,2,2,64.615,65.582,64.615,63.935
42,2,2,63.846,64.311,63.846,63.227
43,2,2,66.923,68.024,66.923,66.344
44,2,2,64.615,65.697,64.615,63.809
45,2,2,65.385,66.524,65.385,64.598
46,2,2,65.385,65.816,65.385,65.086
47,2,2,64.615,64.282,64.615,63.108
48,2,2,67.692,68.237,67.692,66.723
49,2,2,68.462,68.854,68.462,67.865
50,2,2,68.462,70.258,68.462,68.238
0,5,0,33.846,41.418,33.846,34.201
1,5,0,36.923,37.511,36.923,36.369
2,5,0,43.077,44.94,43.077,41.778
3,5,0,43.077,45.225,43.077,41.438
4,5,0,50.769,49.417,50.769,49.619
5,5,0,47.692,45.301,47.692,46.12
6,5,0,53.077,54.399,53.077,52.816
7,5,0,52.308,55.124,52.308,52.964
8,5,0,56.923,58.872,56.923,57.074
9,5,0,56.923,58.179,56.923,56.811
10,5,0,63.846,64.206,63.846,63.471
11,5,0,60.0,61.911,60.0,60.133
12,5,0,62.308,63.762,62.308,61.711
13,5,0,62.308,63.764,62.308,61.737
14,5,0,66.154,68.016,66.154,65.457
15,5,0,63.846,65.262,63.846,62.867
16,5,0,63.846,66.056,63.846,62.871
17,5,0,66.154,68.221,66.154,65.296
18,5,0,68.462,69.92,68.462,67.949
19,5,0,70.769,70.97,70.769,70.002
20,5,0,67.692,69.478,67.692,67.616
0,5,1,38.462,44.457,38.462,39.399
1,5,1,36.154,42.922,36.154,36.775
2,5,1,38.462,39.434,38.462,36.695
3,5,1,40.0,38.756,40.0,36.745
4,5,1,46.154,49.701,46.154,44.951
5,5,1,46.154,51.357,46.154,45.26
6,5,1,47.692,58.164,47.692,45.689
7,5,1,51.538,62.684,51.538,50.973
8,5,1,54.615,61.907,54.615,55.193
9,5,1,55.385,62.557,55.385,55.637
10,5,1,53.846,61.411,53.846,55.029
11,5,1,52.308,58.419,52.308,52.747
12,5,1,59.231,63.592,59.231,59.497
13,5,1,60.0,65.282,60.0,60.971
14,5,1,57.692,62.68,57.692,59.206
15,5,1,54.615,60.002,54.615,55.916
16,5,1,60.0,62.824,60.0,60.72
17,5,1,60.0,63.443,60.0,60.882
18,5,1,67.692,70.984,67.692,68.738
19,5,1,65.385,66.728,65.385,65.704
20,5,1,70.769,74.28,70.769,71.857
0,5,2,31.538,34.588,31.538,31.399
1,5,2,33.846,34.193,33.846,33.087
2,5,2,35.385,34.9,35.385,33.86
3,5,2,37.692,37.431,37.692,36.414
4,5,2,42.308,42.767,42.308,41.267
5,5,2,45.385,44.612,45.385,42.911
6,5,2,48.462,49.409,48.462,46.541
7,5,2,46.923,49.285,46.923,46.208
8,5,2,55.385,55.941,55.385,54.239
9,5,2,54.615,55.569,54.615,53.678
10,5,2,57.692,58.83,57.692,57.268
11,5,2,60.0,60.501,60.0,59.264
