iter,step,fold,acc,prec,rec,f1score
0,2,0,20.769,16.938,20.769,15.752
1,2,0,23.077,16.651,23.077,18.119
2,2,0,23.077,16.651,23.077,18.119
3,2,0,21.538,15.729,21.538,17.578
4,2,0,21.538,15.729,21.538,17.578
5,2,0,16.923,20.974,16.923,16.909
6,2,0,28.462,33.187,28.462,28.662
7,2,0,33.077,37.045,33.077,33.791
8,2,0,30.0,42.827,30.0,29.634
9,2,0,26.923,40.199,26.923,26.76
10,2,0,30.769,44.785,30.769,31.179
11,2,0,30.0,44.517,30.0,30.594
12,2,0,35.385,45.839,35.385,36.856
13,2,0,37.692,48.999,37.692,40.069
14,2,0,41.538,50.511,41.538,43.372
15,2,0,42.308,50.807,42.308,43.783
16,2,0,42.308,50.807,42.308,43.783
17,2,0,40.769,48.648,40.769,41.195
18,2,0,40.769,48.648,40.769,41.195
19,2,0,39.231,46.479,39.231,39.224
20,2,0,39.231,46.479,39.231,39.224
21,2,0,40.0,47.481,40.0,40.036
22,2,0,48.462,54.517,48.462,49.5
23,2,0,47.692,54.364,47.692,48.375
24,2,0,47.692,54.364,47.692,48.375
25,2,0,47.692,54.158,47.692,48.355
26,2,0,44.615,52.572,44.615,46.117
27,2,0,43.846,52.014,43.846,45.441
28,2,0,43.846,52.014,43.846,45.441
29,2,0,45.385,54.091,45.385,46.42
30,2,0,44.615,49.416,44.615,44.889
31,2,0,44.615,49.003,44.615,44.561
32,2,0,44.615,49.003,44.615,44.561
33,2,0,45.385,49.726,45.385,44.868
34,2,0,45.385,49.726,45.385,44.868
35,2,0,45.385,49.726,45.385,44.868
36,2,0,45.385,49.726,45.385,44.868
37,2,0,45.385,50.04,45.385,44.937
38,2,0,45.385,50.04,45.385,44.937
39,2,0,43.846,48.717,43.846,43.287
40,2,0,43.846,48.717,43.846,43.287
41,2,0,44.615,49.711,44.615,44.062
42,2,0,44.615,49.711,44.615,44.062
43,2,0,44.615,49.711,44.615,44.062
44,2,0,46.154,50.86,46.154,45.568
45,2,0,45.385,48.17,45.385,44.181
46,2,0,45.385,48.17,45.385,44.181
47,2,0,46.923,56.05,46.923,45.177
48,2,0,46.154,55.708,46.154,44.11
49,2,0,46.923,56.275,46.923,45.271
50,2,0,46.923,56.275,46.923,45.271
0,2,1,22.308,14.845,22.308,14.999
1,2,1,35.385,28.194,35.385,29.898
2,2,1,35.385,28.194,35.385,29.898
3,2,1,36.923,32.144,36.923,32.915
4,2,1,36.923,32.144,36.923,32.915
5,2,1,35.385,34.686,35.385,32.952
6,2,1,35.385,34.686,35.385,32.952
7,2,1,34.615,37.081,34.615,33.03
8,2,1,34.615,37.081,34.615,33.03
9,2,1,35.385,40.934,35.385,35.198
10,2,1,35.385,40.934,35.385,35.198
11,2,1,38.462,40.106,38.462,36.779
12,2,1,38.462,43.455,38.462,38.86
13,2,1,36.923,40.977,36.923,38.061
14,2,1,36.923,37.587,36.923,36.814
15,2,1,36.154,37.008,36.154,36.153
16,2,1,36.154,37.008,36.154,36.153
17,2,1,36.154,38.851,36.154,36.537
18,2,1,37.692,38.837,37.692,37.933
19,2,1,39.231,39.54,39.231,39.244
20,2,1,36.154,32.909,36.154,33.946
21,2,1,35.385,32.556,35.385,33.473
22,2,1,35.385,32.556,35.385,33.473
23,2,1,31.538,29.792,31.538,29.879
24,2,1,31.538,29.792,31.538,29.879
25,2,1,34.615,33.134,34.615,32.936
26,2,1,37.692,34.459,37.692,35.021
27,2,1,37.692,35.061,37.692,35.405
28,2,1,37.692,35.061,37.692,35.405
29,2,1,39.231,37.915,39.231,37.471
30,2,1,36.154,33.322,36.154,33.757
31,2,1,37.692,39.319,37.692,36.111
32,2,1,37.692,39.319,37.692,36.111
33,2,1,36.154,38.625,36.154,33.832
34,2,1,41.538,47.171,41.538,36.491
35,2,1,39.231,36.995,39.231,34.087
36,2,1,36.923,34.093,36.923,31.106
37,2,1,36.154,34.937,36.154,30.614
38,2,1,36.154,34.937,36.154,30.614
39,2,1,35.385,34.847,35.385,29.418
