iter,step,fold,acc,prec,rec,f1score
0,2,0,20.769,16.938,20.769,15.752
1,2,0,18.462,23.735,18.462,14.059
2,2,0,18.462,23.735,18.462,14.059
3,2,0,25.385,27.25,25.385,19.887
4,2,0,25.385,27.25,25.385,19.887
5,2,0,20.769,25.139,20.769,16.458
6,2,0,29.231,40.03,29.231,28.992
7,2,0,33.077,38.411,33.077,30.455
8,2,0,33.077,38.411,33.077,30.455
9,2,0,32.308,37.232,32.308,28.66
10,2,0,35.385,53.674,35.385,35.994
11,2,0,36.154,49.311,36.154,35.893
12,2,0,36.154,49.311,36.154,35.893
13,2,0,37.692,49.391,37.692,37.056
14,2,0,37.692,44.642,37.692,38.477
15,2,0,31.538,38.028,31.538,31.78
16,2,0,34.615,40.115,34.615,34.18
17,2,0,35.385,40.423,35.385,34.62
18,2,0,39.231,44.379,39.231,38.572
19,2,0,39.231,44.234,39.231,38.461
20,2,0,40.769,44.875,40.769,39.507
21,2,0,40.769,42.972,40.769,39.42
22,2,0,40.769,42.972,40.769,39.42
23,2,0,41.538,44.267,41.538,40.074
24,2,0,41.538,44.267,41.538,40.074
25,2,0,42.308,45.318,42.308,40.898
26,2,0,42.308,45.318,42.308,40.898
27,2,0,40.769,42.796,40.769,39.006
28,2,0,40.769,42.796,40.769,39.006
29,2,0,40.769,42.351,40.769,38.844
30,2,0,40.769,42.351,40.769,38.844
31,2,0,39.231,39.481,39.231,36.943
32,2,0,39.231,39.481,39.231,36.943
33,2,0,38.462,38.632,38.462,36.136
34,2,0,43.077,50.205,43.077,42.023
35,2,0,43.077,50.205,43.077,42.023
36,2,0,43.077,50.205,43.077,42.023
37,2,0,43.077,50.205,43.077,42.023
38,2,0,43.077,50.205,43.077,42.023
39,2,0,43.846,51.332,43.846,42.927
40,2,0,45.385,53.078,45.385,44.242
41,2,0,46.154,54.608,46.154,44.823
42,2,0,46.154,54.608,46.154,44.823
43,2,0,49.231,57.571,49.231,48.303
44,2,0,50.769,59.856,50.769,50.041
45,2,0,50.769,59.706,50.769,49.966
46,2,0,50.769,59.706,50.769,49.966
47,2,0,50.769,59.608,50.769,50.31
48,2,0,50.769,59.608,50.769,50.31
49,2,0,52.308,59.18,52.308,51.432
50,2,0,46.923,56.829,46.923,44.811
0,2,1,22.308,14.845,22.308,14.999
1,2,1,34.615,28.297,34.615,25.342
2,2,1,30.769,25.598,30.769,24.548
3,2,1,32.308,26.242,32.308,25.159
