iter,step,fold,acc,prec,rec,f1score
0,2,0,37.692,43.647,37.692,36.938
1,2,0,36.923,44.074,36.923,36.618
2,2,0,43.846,43.681,43.846,41.806
3,2,0,46.154,49.903,46.154,44.769
4,2,0,43.077,39.439,43.077,40.662
5,2,0,43.846,43.165,43.846,40.917
6,2,0,46.923,45.551,46.923,44.803
7,2,0,51.538,53.618,51.538,49.583
8,2,0,50.769,47.879,50.769,48.277
9,2,0,53.077,51.519,53.077,51.047
10,2,0,46.154,43.571,46.154,42.071
11,2,0,53.077,49.232,53.077,49.549
12,2,0,51.538,53.947,51.538,46.273
13,2,0,50.0,53.978,50.0,46.92
14,2,0,49.231,52.726,49.231,44.528
15,2,0,51.538,54.075,51.538,47.051
16,2,0,50.0,54.651,50.0,47.856
17,2,0,55.385,58.674,55.385,52.58
18,2,0,49.231,52.701,49.231,45.184
19,2,0,51.538,53.306,51.538,47.983
20,2,0,57.692,60.117,57.692,57.047
21,2,0,53.846,55.027,53.846,52.631
22,2,0,47.692,46.543,47.692,45.321
23,2,0,53.077,54.442,53.077,51.649
24,2,0,56.923,59.45,56.923,55.377
25,2,0,56.154,58.161,56.154,53.91
26,2,0,58.462,60.443,58.462,57.049
27,2,0,56.154,59.605,56.154,54.699
28,2,0,58.462,58.158,58.462,57.359
29,2,0,60.769,65.012,60.769,60.847
30,2,0,60.769,62.687,60.769,60.493
31,2,0,64.615,66.428,64.615,64.175
32,2,0,60.769,62.853,60.769,60.492
33,2,0,59.231,62.104,59.231,58.25
34,2,0,56.923,59.734,56.923,56.21
35,2,0,56.154,59.489,56.154,55.566
36,2,0,60.769,61.836,60.769,59.516
37,2,0,54.615,57.184,54.615,53.927
38,2,0,57.692,61.632,57.692,56.957
39,2,0,58.462,62.238,58.462,58.03
40,2,0,60.769,64.77,60.769,59.028
41,2,0,56.923,59.974,56.923,56.37
42,2,0,61.538,63.56,61.538,60.872
43,2,0,56.154,58.849,56.154,55.255
44,2,0,63.846,65.967,63.846,62.964
45,2,0,67.692,70.258,67.692,66.663
46,2,0,63.077,66.285,63.077,61.594
47,2,0,58.462,61.476,58.462,57.799
48,2,0,63.077,68.481,63.077,61.754
49,2,0,64.615,67.62,64.615,63.729
50,2,0,60.0,63.571,60.0,59.344
0,2,1,36.154,42.78,36.154,35.451
1,2,1,33.077,38.936,33.077,32.859
2,2,1,43.077,46.811,43.077,43.552
3,2,1,37.692,44.35,37.692,38.159
4,2,1,40.0,44.436,40.0,40.823
5,2,1,40.769,47.75,40.769,42.675
6,2,1,41.538,44.88,41.538,41.756
7,2,1,41.538,44.745,41.538,40.23
8,2,1,42.308,45.619,42.308,41.693
9,2,1,42.308,43.836,42.308,40.761
10,2,1,44.615,43.865,44.615,42.111
11,2,1,45.385,41.386,45.385,41.895
12,2,1,46.154,49.764,46.154,44.848
13,2,1,46.923,44.469,46.923,44.012
14,2,1,49.231,51.968,49.231,47.719
15,2,1,50.769,52.362,50.769,48.865
16,2,1,48.462,50.014,48.462,45.691
17,2,1,45.385,46.775,45.385,42.478
18,2,1,52.308,51.5,52.308,49.356
19,2,1,46.154,47.77,46.154,43.271
20,2,1,46.923,49.88,46.923,44.04
21,2,1,44.615,55.645,44.615,41.517
22,2,1,43.077,49.146,43.077,40.027
23,2,1,46.923,71.843,46.923,43.561
24,2,1,41.538,49.608,41.538,37.641
25,2,1,46.154,55.174,46.154,42.27
26,2,1,45.385,55.539,45.385,39.931
27,2,1,40.769,39.885,40.769,35.167
28,2,1,43.077,37.182,43.077,36.508
29,2,1,46.923,55.348,46.923,41.53
30,2,1,44.615,55.811,44.615,38.745
31,2,1,40.0,54.746,40.0,34.149
32,2,1,45.385,54.629,45.385,40.127
33,2,1,46.154,53.667,46.154,39.739
