iter,step,fold,acc,prec,rec,f1score
0,2,0,37.692,43.647,37.692,36.938
1,2,0,36.923,44.074,36.923,36.618
2,2,0,34.615,41.6,34.615,34.373
3,2,0,42.308,46.046,42.308,39.563
4,2,0,42.308,40.412,42.308,39.722
5,2,0,43.077,44.634,43.077,41.831
6,2,0,43.077,42.555,43.077,41.24
7,2,0,43.077,47.212,43.077,41.918
8,2,0,44.615,46.716,44.615,43.126
9,2,0,43.846,45.086,43.846,41.869
10,2,0,40.769,43.787,40.769,35.614
11,2,0,43.846,46.845,43.846,40.529
12,2,0,44.615,59.433,44.615,41.408
13,2,0,37.692,39.837,37.692,33.172
14,2,0,38.462,55.825,38.462,33.669
15,2,0,30.0,44.308,30.0,26.006
16,2,0,39.231,57.187,39.231,36.66
17,2,0,40.0,52.056,40.0,36.079
18,2,0,33.077,40.75,33.077,27.582
19,2,0,36.154,36.331,36.154,30.479
20,2,0,36.154,43.27,36.154,29.766
21,2,0,39.231,53.4,39.231,33.919
22,2,0,37.692,42.179,37.692,31.829
23,2,0,39.231,61.451,39.231,35.175
24,2,0,33.846,44.423,33.846,29.068
25,2,0,40.0,56.841,40.0,37.516
26,2,0,37.692,53.802,37.692,32.522
27,2,0,38.462,58.943,38.462,33.578
28,2,0,36.154,45.703,36.154,30.996
29,2,0,38.462,64.1,38.462,34.542
30,2,0,39.231,42.039,39.231,34.269
31,2,0,40.0,70.054,40.0,37.133
32,2,0,41.538,44.995,41.538,37.641
33,2,0,41.538,45.335,41.538,37.786
34,2,0,42.308,48.737,42.308,38.719
35,2,0,40.0,42.471,40.0,35.399
36,2,0,40.0,45.296,40.0,36.523
37,2,0,37.692,41.307,37.692,32.93
38,2,0,39.231,47.36,39.231,35.011
39,2,0,37.692,41.453,37.692,33.706
40,2,0,37.692,41.896,37.692,32.992
41,2,0,37.692,36.359,37.692,32.159
42,2,0,37.692,39.986,37.692,33.692
43,2,0,40.769,42.777,40.769,35.89
44,2,0,45.385,44.38,45.385,40.416
45,2,0,42.308,46.691,42.308,38.809
46,2,0,39.231,38.933,39.231,34.522
47,2,0,40.0,44.186,40.0,36.313
48,2,0,36.154,41.159,36.154,30.68
49,2,0,38.462,44.969,38.462,32.982
50,2,0,40.0,44.894,40.0,35.671
0,2,1,36.154,42.78,36.154,35.451
1,2,1,33.077,38.936,33.077,32.859
2,2,1,30.0,31.62,30.0,28.341
3,2,1,27.692,29.776,27.692,26.734
4,2,1,36.154,39.145,36.154,33.078
5,2,1,35.385,36.336,35.385,32.646
6,2,1,37.692,41.742,37.692,34.988
7,2,1,37.692,41.821,37.692,35.345
8,2,1,36.923,41.143,36.923,33.138
9,2,1,36.154,48.392,36.154,32.653
10,2,1,33.846,41.784,33.846,29.451
11,2,1,29.231,34.273,29.231,23.547
12,2,1,32.308,37.446,32.308,27.669
13,2,1,35.385,45.347,35.385,31.732
14,2,1,36.923,48.542,36.923,32.576
15,2,1,32.308,49.081,32.308,26.325
16,2,1,31.538,52.098,31.538,27.966
17,2,1,30.769,50.924,30.769,26.105
18,2,1,29.231,48.971,29.231,23.111
19,2,1,30.0,49.593,30.0,23.749
20,2,1,28.462,51.176,28.462,23.58
21,2,1,31.538,55.806,31.538,26.415
22,2,1,30.0,46.155,30.0,23.504
23,2,1,32.308,46.022,32.308,25.885
24,2,1,31.538,47.732,31.538,24.83
25,2,1,32.308,51.887,32.308,26.22
26,2,1,29.231,46.397,29.231,24.306
27,2,1,26.154,43.139,26.154,19.542
28,2,1,26.923,34.713,26.923,18.521
29,2,1,27.692,56.453,27.692,21.166
30,2,1,26.923,38.631,26.923,19.184
31,2,1,26.923,35.676,26.923,21.092
32,2,1,29.231,43.216,29.231,22.902
33,2,1,30.769,54.88,30.769,24.899
