iter,step,fold,acc,prec,rec,f1score
0,2,0,37.692,43.647,37.692,36.938
1,2,0,38.462,40.078,38.462,35.616
2,2,0,38.462,40.078,38.462,35.616
3,2,0,38.462,42.429,38.462,36.461
4,2,0,43.077,46.947,43.077,42.035
5,2,0,43.846,47.253,43.846,42.303
6,2,0,43.846,47.253,43.846,42.303
7,2,0,38.462,41.967,38.462,37.118
8,2,0,38.462,41.967,38.462,37.118
9,2,0,43.846,47.875,43.846,42.14
10,2,0,44.615,44.899,44.615,40.846
11,2,0,43.846,47.722,43.846,40.049
12,2,0,43.846,47.722,43.846,40.049
13,2,0,41.538,39.801,41.538,38.259
14,2,0,41.538,39.801,41.538,38.259
15,2,0,46.154,44.257,46.154,41.526
16,2,0,48.462,49.069,48.462,45.319
17,2,0,46.923,47.194,46.923,42.588
18,2,0,45.385,48.327,45.385,42.766
19,2,0,46.154,49.68,46.154,41.788
20,2,0,48.462,54.36,48.462,44.974
21,2,0,46.923,50.192,46.923,43.148
22,2,0,46.923,50.192,46.923,43.148
23,2,0,49.231,50.596,49.231,46.776
24,2,0,49.231,50.596,49.231,46.776
25,2,0,47.692,52.347,47.692,45.579
26,2,0,47.692,52.347,47.692,45.579
27,2,0,49.231,57.096,49.231,45.094
28,2,0,48.462,55.404,48.462,43.253
29,2,0,50.769,53.245,50.769,46.905
30,2,0,47.692,48.448,47.692,42.592
31,2,0,51.538,52.05,51.538,46.602
32,2,0,51.538,52.05,51.538,46.602
33,2,0,50.0,54.682,50.0,45.926
34,2,0,52.308,56.462,52.308,48.691
35,2,0,47.692,51.186,47.692,43.995
36,2,0,47.692,51.186,47.692,43.995
37,2,0,49.231,50.458,49.231,45.491
38,2,0,49.231,50.458,49.231,45.491
39,2,0,50.769,53.707,50.769,47.176
40,2,0,50.769,53.707,50.769,47.176
41,2,0,53.846,61.081,53.846,50.121
42,2,0,53.846,61.081,53.846,50.121
43,2,0,50.769,50.447,50.769,46.231
44,2,0,51.538,51.255,51.538,46.765
45,2,0,49.231,55.426,49.231,46.453
46,2,0,49.231,53.982,49.231,45.401
47,2,0,52.308,62.068,52.308,47.824
48,2,0,52.308,62.068,52.308,47.824
49,2,0,53.077,56.478,53.077,48.324
50,2,0,47.692,49.884,47.692,42.972
0,2,1,36.154,42.78,36.154,35.451
1,2,1,33.077,38.74,33.077,31.123
2,2,1,40.0,47.35,40.0,39.457
3,2,1,33.077,37.01,33.077,32.486
4,2,1,33.077,37.01,33.077,32.486
5,2,1,36.154,40.096,36.154,35.504
6,2,1,36.154,40.096,36.154,35.504
7,2,1,40.769,43.285,40.769,39.723
8,2,1,40.769,43.285,40.769,39.723
9,2,1,35.385,39.929,35.385,33.299
10,2,1,38.462,39.395,38.462,37.081
11,2,1,33.846,38.227,33.846,32.936
12,2,1,33.846,38.227,33.846,32.936
13,2,1,34.615,39.992,34.615,34.259
14,2,1,34.615,39.992,34.615,34.259
