iter,step,fold,acc,prec,rec,f1score
0,2,0,37.692,43.647,37.692,36.938
1,2,0,33.846,37.482,33.846,32.647
2,2,0,38.462,40.04,38.462,33.095
3,2,0,33.077,33.868,33.077,29.632
4,2,0,41.538,48.084,41.538,38.046
5,2,0,39.231,50.022,39.231,36.22
6,2,0,36.154,39.518,36.154,32.139
7,2,0,36.154,44.438,36.154,34.914
8,2,0,40.0,46.383,40.0,38.095
9,2,0,37.692,48.757,37.692,38.343
10,2,0,39.231,46.626,39.231,38.168
11,2,0,38.462,45.367,38.462,37.427
12,2,0,44.615,55.061,44.615,42.751
13,2,0,44.615,54.99,44.615,44.438
14,2,0,43.077,54.159,43.077,42.295
15,2,0,41.538,52.237,41.538,42.052
16,2,0,43.077,50.083,43.077,42.501
17,2,0,43.077,52.553,43.077,42.295
18,2,0,49.231,55.802,49.231,49.86
19,2,0,49.231,56.856,49.231,49.179
20,2,0,56.923,62.374,56.923,56.711
21,2,0,50.769,58.545,50.769,51.417
22,2,0,54.615,67.972,54.615,56.229
23,2,0,50.769,57.72,50.769,51.397
24,2,0,51.538,59.912,51.538,52.719
25,2,0,53.077,63.202,53.077,54.051
26,2,0,56.923,63.987,56.923,57.761
27,2,0,56.923,62.933,56.923,58.117
28,2,0,56.923,63.892,56.923,57.056
29,2,0,51.538,61.607,51.538,53.037
30,2,0,53.077,61.504,53.077,54.844
31,2,0,50.769,62.042,50.769,53.206
32,2,0,55.385,61.404,55.385,56.144
33,2,0,60.0,64.743,60.0,60.358
34,2,0,55.385,60.272,55.385,55.894
35,2,0,54.615,60.03,54.615,56.045
36,2,0,56.923,61.817,56.923,57.805
37,2,0,56.923,67.529,56.923,58.523
38,2,0,65.385,72.349,65.385,66.818
39,2,0,54.615,62.39,54.615,56.797
40,2,0,56.154,62.435,56.154,57.238
41,2,0,56.154,63.25,56.154,57.471
42,2,0,57.692,62.376,57.692,58.056
43,2,0,54.615,58.825,54.615,54.713
44,2,0,55.385,57.909,55.385,54.666
45,2,0,59.231,65.622,59.231,59.838
46,2,0,59.231,62.88,59.231,59.756
47,2,0,60.0,61.731,60.0,59.369
48,2,0,59.231,68.37,59.231,57.549
49,2,0,60.0,63.02,60.0,59.321
50,2,0,63.077,67.098,63.077,63.086
0,2,1,36.154,42.78,36.154,35.451
1,2,1,33.077,34.943,33.077,30.237
2,2,1,30.0,39.297,30.0,26.679
3,2,1,30.769,46.834,30.769,26.085
4,2,1,29.231,39.051,29.231,26.827
5,2,1,30.0,36.504,30.0,25.553
6,2,1,34.615,45.384,34.615,34.691
7,2,1,36.154,40.28,36.154,34.433
8,2,1,36.923,45.875,36.923,37.57
9,2,1,42.308,54.96,42.308,43.204
10,2,1,39.231,49.275,39.231,38.838
11,2,1,43.846,50.204,43.846,44.559
12,2,1,38.462,42.76,38.462,38.173
13,2,1,36.923,43.968,36.923,36.575
14,2,1,43.846,51.768,43.846,42.209
15,2,1,44.615,53.779,44.615,44.149
16,2,1,50.769,54.015,50.769,50.18
17,2,1,52.308,57.83,52.308,51.765
18,2,1,50.0,56.282,50.0,49.994
19,2,1,56.154,58.342,56.154,54.982
20,2,1,56.154,57.177,56.154,55.087
21,2,1,53.846,58.764,53.846,54.598
22,2,1,58.462,60.843,58.462,58.497
23,2,1,57.692,62.727,57.692,57.207
24,2,1,57.692,64.568,57.692,57.05
25,2,1,54.615,65.735,54.615,54.056
26,2,1,54.615,57.603,54.615,54.253
27,2,1,53.077,60.998,53.077,53.333
28,2,1,53.077,58.655,53.077,52.83
29,2,1,52.308,56.022,52.308,52.768
30,2,1,56.154,61.163,56.154,56.272
31,2,1,53.846,60.548,53.846,54.206
32,2,1,55.385,62.083,55.385,54.709
33,2,1,57.692,63.625,57.692,57.095
34,2,1,56.154,56.86,56.154,54.402
35,2,1,56.923,60.618,56.923,56.373
36,2,1,59.231,63.216,59.231,58.479
37,2,1,56.923,59.535,56.923,56.521
38,2,1,56.154,61.548,56.154,55.293
39,2,1,53.077,57.079,53.077,52.983
40,2,1,58.462,63.09,58.462,58.902
41,2,1,63.077,66.7,63.077,62.488
42,2,1,65.385,66.674,65.385,64.794
43,2,1,62.308,65.973,62.308,61.376
44,2,1,62.308,64.585,62.308,61.141
45,2,1,63.846,67.932,63.846,63.582
46,2,1,63.077,67.966,63.077,62.918
47,2,1,65.385,67.407,65.385,64.851
48,2,1,62.308,64.654,62.308,61.332
49,2,1,63.077,65.226,63.077,62.455
50,2,1,64.615,69.58,64.615,63.464
0,2,2,35.385,37.255,35.385,34.24
1,2,2,30.0,40.991,30.0,29.498
2,2,2,29.231,46.953,29.231,29.711
3,2,2,33.077,41.254,33.077,30.977
4,2,2,33.077,39.453,33.077,30.115
5,2,2,31.538,42.742,31.538,29.768
6,2,2,31.538,44.877,31.538,30.487
7,2,2,30.769,38.772,30.769,29.157
8,2,2,33.846,42.908,33.846,31.498
9,2,2,30.769,46.893,30.769,29.388
10,2,2,37.692,54.812,37.692,34.966
11,2,2,33.077,38.178,33.077,31.538
12,2,2,39.231,47.0,39.231,37.817
13,2,2,40.769,50.664,40.769,40.021
14,2,2,40.0,50.923,40.0,38.712
15,2,2,40.0,51.999,40.0,38.59
16,2,2,46.154,53.852,46.154,43.732
17,2,2,43.077,54.127,43.077,41.76
18,2,2,43.846,56.572,43.846,43.644
19,2,2,42.308,52.094,42.308,42.568
20,2,2,42.308,59.148,42.308,41.455
21,2,2,46.154,56.37,46.154,46.451
22,2,2,46.154,56.811,46.154,46.606
23,2,2,44.615,52.361,44.615,45.311
24,2,2,44.615,49.887,44.615,44.96
25,2,2,46.154,50.109,46.154,44.264
26,2,2,43.846,48.081,43.846,43.284
27,2,2,50.769,60.603,50.769,51.425
28,2,2,47.692,55.625,47.692,47.967
29,2,2,43.846,51.572,43.846,44.845
30,2,2,46.923,56.669,46.923,48.18
31,2,2,43.077,49.112,43.077,43.171
32,2,2,42.308,59.563,42.308,42.003
33,2,2,52.308,61.701,52.308,52.984
34,2,2,43.846,54.282,43.846,44.358
35,2,2,48.462,57.444,48.462,48.803
36,2,2,46.154,55.527,46.154,47.354
37,2,2,44.615,56.709,44.615,46.14
38,2,2,42.308,51.554,42.308,43.005
39,2,2,47.692,54.213,47.692,48.847
40,2,2,48.462,53.906,48.462,49.644
41,2,2,53.077,57.719,53.077,53.498
42,2,2,49.231,57.343,49.231,50.383
43,2,2,50.769,58.968,50.769,51.466
44,2,2,52.308,58.259,52.308,53.784
45,2,2,52.308,61.314,52.308,53.394
46,2,2,53.077,61.602,53.077,55.091
47,2,2,52.308,62.53,52.308,54.425
48,2,2,50.769,58.919,50.769,52.192
49,2,2,59.231,64.384,59.231,59.986
50,2,2,54.615,60.712,54.615,56.757
0,5,0,37.692,43.647,37.692,36.938
1,5,0,38.462,39.995,38.462,32.863
2,5,0,41.538,51.208,41.538,41.798
3,5,0,44.615,55.332,44.615,42.946
4,5,0,40.769,46.53,40.769,40.692
5,5,0,41.538,48.998,41.538,41.225
6,5,0,47.692,56.395,47.692,46.09
7,5,0,53.846,60.101,53.846,50.99
8,5,0,51.538,51.696,51.538,50.41
9,5,0,48.462,50.867,48.462,47.439
10,5,0,61.538,61.92,61.538,61.111
11,5,0,55.385,57.673,55.385,55.516
12,5,0,60.769,63.314,60.769,60.506
13,5,0,62.308,65.021,62.308,62.305
14,5,0,62.308,63.91,62.308,61.998
15,5,0,63.077,66.209,63.077,62.456
16,5,0,62.308,65.807,62.308,62.082
17,5,0,62.308,66.07,62.308,62.739
18,5,0,60.0,64.305,60.0,59.351
19,5,0,57.692,62.753,57.692,56.983
20,5,0,63.846,68.348,63.846,63.502
0,5,1,36.154,42.78,36.154,35.451
1,5,1,33.846,36.073,33.846,29.759
2,5,1,30.769,41.744,30.769,30.329
3,5,1,33.846,33.602,33.846,31.285
4,5,1,41.538,54.504,41.538,43.607
5,5,1,42.308,46.797,42.308,42.857
6,5,1,47.692,52.876,47.692,46.055
7,5,1,52.308,55.862,52.308,51.783
8,5,1,46.923,47.217,46.923,45.559
9,5,1,53.077,56.215,53.077,52.763
10,5,1,55.385,56.59,55.385,55.158
11,5,1,54.615,58.069,54.615,54.972
12,5,1,53.846,54.771,53.846,53.575
13,5,1,53.077,55.523,53.077,53.14
14,5,1,56.923,57.635,56.923,56.777
15,5,1,56.923,58.39,56.923,56.668
16,5,1,60.0,63.261,60.0,60.377
17,5,1,63.846,64.912,63.846,63.302
18,5,1,63.846,65.794,63.846,64.328
19,5,1,64.615,65.998,64.615,64.814
20,5,1,63.846,65.442,63.846,64.04
0,5,2,35.385,37.255,35.385,34.24
1,5,2,31.538,41.373,31.538,30.141
2,5,2,37.692,45.199,37.692,37.81
3,5,2,38.462,47.173,38.462,38.064
4,5,2,36.154,49.23,36.154,37.409
5,5,2,34.615,49.348,34.615,35.901
6,5,2,36.923,45.878,36.923,37.54
7,5,2,40.0,47.456,40.0,41.528
8,5,2,46.154,53.197,46.154,47.076
9,5,2,46.154,51.103,46.154,46.561
10,5,2,46.923,55.853,46.923,47.358
11,5,2,53.077,63.768,53.077,53.591
12,5,2,53.846,67.627,53.846,55.357
13,5,2,55.385,65.834,55.385,56.459
14,5,2,53.077,62.673,53.077,53.698
15,5,2,50.769,59.122,50.769,52.004
16,5,2,53.846,60.576,53.846,54.248
17,5,2,59.231,67.771,59.231,60.696
18,5,2,58.462,63.678,58.462,59.552
19,5,2,58.462,63.521,58.462,59.76
20,5,2,56.923,66.246,56.923,58.821
0,10,0,37.692,43.647,37.692,36.938
1,10,0,36.923,45.786,36.923,34.496
2,10,0,43.846,45.918,43.846,40.916
3,10,0,39.231,43.808,39.231,37.279
4,10,0,50.769,50.62,50.769,49.276
5,10,0,49.231,52.626,49.231,47.199
6,10,0,54.615,61.86,54.615,55.806
7,10,0,58.462,62.936,58.462,57.69
8,10,0,64.615,67.59,64.615,63.552
9,10,0,61.538,66.934,61.538,61.93
10,10,0,66.154,69.471,66.154,65.817
0,10,1,36.154,42.78,36.154,35.451
1,10,1,34.615,39.34,34.615,31.018
2,10,1,36.923,43.949,36.923,36.348
3,10,1,45.385,51.794,45.385,44.409
4,10,1,50.769,53.6,50.769,49.879
5,10,1,46.154,45.48,46.154,45.261
6,10,1,56.923,56.957,56.923,56.042
7,10,1,53.077,53.893,53.077,52.69
8,10,1,60.0,60.976,60.0,59.845
9,10,1,60.769,62.195,60.769,60.277
10,10,1,65.385,67.968,65.385,65.074
0,10,2,35.385,37.255,35.385,34.24
1,10,2,36.154,55.705,36.154,34.935
2,10,2,34.615,50.75,34.615,33.865
3,10,2,40.769,44.606,40.769,39.352
4,10,2,47.692,57.981,47.692,49.553
5,10,2,53.077,55.245,53.077,53.103
6,10,2,53.846,59.171,53.846,54.904
7,10,2,50.769,53.8,50.769,51.306
8,10,2,53.846,59.017,53.846,55.375
9,10,2,56.923,63.851,56.923,58.381
10,10,2,58.462,64.018,58.462,59.402
0,25,0,37.692,43.647,37.692,36.938
1,25,0,36.923,39.657,36.923,34.913
2,25,0,56.923,61.053,56.923,55.959
3,25,0,53.846,56.938,53.846,52.319
4,25,0,55.385,60.634,55.385,56.289
0,25,1,36.154,42.78,36.154,35.451
1,25,1,33.846,42.487,33.846,31.252
2,25,1,44.615,45.799,44.615,40.402
3,25,1,52.308,57.324,52.308,50.85
4,25,1,61.538,70.637,61.538,61.012
0,25,2,35.385,37.255,35.385,34.24
1,25,2,31.538,40.628,31.538,28.433
2,25,2,50.769,58.862,50.769,48.854
3,25,2,53.846,60.909,53.846,55.099
4,25,2,60.769,64.689,60.769,60.781
