iter,step,fold,acc,prec,rec,f1score
0,2,0,37.692,43.647,37.692,36.938
1,2,0,37.692,43.647,37.692,36.938
2,2,0,37.692,43.647,37.692,36.938
3,2,0,40.769,41.08,40.769,39.677
4,2,0,40.769,41.08,40.769,39.677
5,2,0,39.231,41.213,39.231,38.487
6,2,0,39.231,41.213,39.231,38.487
7,2,0,39.231,41.213,39.231,38.487
8,2,0,39.231,41.213,39.231,38.487
9,2,0,39.231,41.213,39.231,38.487
10,2,0,39.231,41.213,39.231,38.487
11,2,0,39.231,41.213,39.231,38.487
12,2,0,39.231,41.213,39.231,38.487
13,2,0,39.231,41.213,39.231,38.487
14,2,0,39.231,41.213,39.231,38.487
15,2,0,39.231,41.213,39.231,38.487
16,2,0,39.231,41.213,39.231,38.487
17,2,0,39.231,41.213,39.231,38.487
18,2,0,39.231,41.213,39.231,38.487
19,2,0,39.231,41.213,39.231,38.487
20,2,0,39.231,41.213,39.231,38.487
21,2,0,39.231,41.213,39.231,38.487
22,2,0,39.231,41.213,39.231,38.487
23,2,0,39.231,41.213,39.231,38.487
24,2,0,39.231,41.213,39.231,38.487
25,2,0,39.231,41.213,39.231,38.487
26,2,0,39.231,41.213,39.231,38.487
27,2,0,39.231,41.213,39.231,38.487
28,2,0,39.231,41.213,39.231,38.487
29,2,0,39.231,41.213,39.231,38.487
30,2,0,39.231,41.213,39.231,38.487
31,2,0,39.231,41.213,39.231,38.487
32,2,0,39.231,41.213,39.231,38.487
33,2,0,39.231,41.213,39.231,38.487
34,2,0,39.231,41.213,39.231,38.487
35,2,0,39.231,41.213,39.231,38.487
36,2,0,43.077,41.032,43.077,40.197
37,2,0,43.077,41.032,43.077,40.197
38,2,0,43.077,41.032,43.077,40.197
39,2,0,43.077,41.032,43.077,40.197
40,2,0,43.077,41.032,43.077,40.197
41,2,0,43.077,41.032,43.077,40.197
42,2,0,43.077,41.032,43.077,40.197
43,2,0,43.077,41.032,43.077,40.197
44,2,0,43.077,41.032,43.077,40.197
45,2,0,43.077,41.032,43.077,40.197
46,2,0,43.077,41.032,43.077,40.197
47,2,0,43.077,41.032,43.077,40.197
48,2,0,43.077,41.032,43.077,40.197
49,2,0,43.077,41.032,43.077,40.197
50,2,0,43.077,41.032,43.077,40.197
0,2,1,36.154,42.78,36.154,35.451
1,2,1,36.154,42.78,36.154,35.451
2,2,1,34.615,36.696,34.615,33.594
3,2,1,34.615,36.696,34.615,33.594
4,2,1,34.615,36.696,34.615,33.594
5,2,1,34.615,36.696,34.615,33.594
6,2,1,38.462,40.439,38.462,35.409
7,2,1,38.462,40.439,38.462,35.409
8,2,1,38.462,40.439,38.462,35.409
9,2,1,38.462,40.439,38.462,35.409
10,2,1,38.462,40.439,38.462,35.409
11,2,1,38.462,40.439,38.462,35.409
12,2,1,38.462,40.439,38.462,35.409
13,2,1,38.462,40.439,38.462,35.409
14,2,1,38.462,40.439,38.462,35.409
15,2,1,38.462,40.439,38.462,35.409
16,2,1,38.462,40.439,38.462,35.409
17,2,1,38.462,40.439,38.462,35.409
18,2,1,38.462,40.439,38.462,35.409
19,2,1,40.0,40.202,40.0,37.636
20,2,1,40.0,40.202,40.0,37.636
21,2,1,34.615,36.509,34.615,31.053
22,2,1,34.615,36.509,34.615,31.053
23,2,1,34.615,36.509,34.615,31.053
24,2,1,40.769,40.869,40.769,38.458
25,2,1,40.769,40.869,40.769,38.458
26,2,1,40.769,40.869,40.769,38.458
27,2,1,40.769,40.869,40.769,38.458
28,2,1,40.769,40.869,40.769,38.458
29,2,1,40.769,40.869,40.769,38.458
30,2,1,34.615,35.267,34.615,30.696
31,2,1,34.615,35.267,34.615,30.696
32,2,1,34.615,35.267,34.615,30.696
33,2,1,34.615,35.267,34.615,30.696
34,2,1,34.615,35.267,34.615,30.696
35,2,1,38.462,40.363,38.462,34.766
36,2,1,38.462,40.363,38.462,34.766
37,2,1,38.462,40.363,38.462,34.766
38,2,1,38.462,40.363,38.462,34.766
39,2,1,38.462,40.363,38.462,34.766
40,2,1,38.462,40.363,38.462,34.766
41,2,1,38.462,40.363,38.462,34.766
42,2,1,38.462,40.363,38.462,34.766
43,2,1,38.462,40.363,38.462,34.766
44,2,1,38.462,40.363,38.462,34.766
45,2,1,38.462,40.363,38.462,34.766
46,2,1,38.462,40.363,38.462,34.766
47,2,1,38.462,40.363,38.462,34.766
48,2,1,38.462,40.363,38.462,34.766
