iter,step,fold,acc,prec,rec,f1score
0,2,0,37.692,43.647,37.692,36.938
1,2,0,41.538,41.618,41.538,40.233
2,2,0,41.538,41.618,41.538,40.233
3,2,0,34.615,43.467,34.615,33.35
4,2,0,34.615,43.467,34.615,33.35
5,2,0,37.692,42.396,37.692,37.086
6,2,0,40.0,38.046,40.0,36.407
7,2,0,42.308,49.976,42.308,38.824
8,2,0,42.308,49.976,42.308,38.824
9,2,0,42.308,41.689,42.308,39.44
10,2,0,46.154,48.147,46.154,43.241
11,2,0,46.923,46.075,46.923,44.388
12,2,0,46.923,46.075,46.923,44.388
13,2,0,38.462,36.237,38.462,33.989
14,2,0,38.462,36.237,38.462,33.989
15,2,0,46.923,47.074,46.923,44.464
16,2,0,46.923,47.074,46.923,44.464
17,2,0,43.077,45.793,43.077,39.308
18,2,0,43.077,45.793,43.077,39.308
19,2,0,41.538,40.066,41.538,37.762
20,2,0,41.538,39.794,41.538,37.054
21,2,0,42.308,36.864,42.308,37.111
22,2,0,40.0,38.578,40.0,36.687
23,2,0,43.846,47.094,43.846,41.62
24,2,0,43.846,47.094,43.846,41.62
25,2,0,46.923,44.853,46.923,43.422
26,2,0,46.923,44.853,46.923,43.422
27,2,0,48.462,54.893,48.462,45.634
28,2,0,48.462,54.893,48.462,45.634
29,2,0,46.923,50.885,46.923,42.903
30,2,0,46.923,50.885,46.923,42.903
31,2,0,44.615,47.856,44.615,40.709
32,2,0,44.615,47.856,44.615,40.709
33,2,0,47.692,53.538,47.692,44.868
34,2,0,47.692,53.538,47.692,44.868
35,2,0,46.154,51.383,46.154,43.448
36,2,0,49.231,56.346,49.231,46.832
37,2,0,53.077,49.924,53.077,49.781
38,2,0,53.077,49.924,53.077,49.781
39,2,0,50.769,59.351,50.769,49.267
40,2,0,46.923,44.668,46.923,43.273
41,2,0,50.0,49.501,50.0,47.535
42,2,0,47.692,52.332,47.692,45.915
43,2,0,47.692,54.735,47.692,45.612
44,2,0,46.923,51.292,46.923,43.753
45,2,0,47.692,58.964,47.692,45.369
46,2,0,45.385,51.551,45.385,42.793
47,2,0,46.154,52.563,46.154,44.261
48,2,0,46.154,52.563,46.154,44.261
49,2,0,47.692,55.683,47.692,46.955
50,2,0,47.692,55.683,47.692,46.955
0,2,1,36.154,42.78,36.154,35.451
1,2,1,32.308,39.328,32.308,31.469
2,2,1,32.308,39.328,32.308,31.469
3,2,1,30.0,37.805,30.0,27.94
4,2,1,29.231,26.866,29.231,23.142
5,2,1,32.308,48.067,32.308,28.756
6,2,1,28.462,42.484,28.462,22.695
7,2,1,30.0,29.432,30.0,24.209
8,2,1,30.0,29.432,30.0,24.209
9,2,1,32.308,42.736,32.308,25.497
10,2,1,32.308,42.736,32.308,25.497
11,2,1,32.308,36.297,32.308,25.017
12,2,1,32.308,36.297,32.308,25.017
13,2,1,31.538,37.583,31.538,24.652
14,2,1,31.538,37.583,31.538,24.652
15,2,1,31.538,36.381,31.538,24.078
16,2,1,31.538,36.381,31.538,24.078
17,2,1,30.0,23.256,30.0,23.039
18,2,1,30.0,23.256,30.0,23.039
19,2,1,35.385,30.687,35.385,28.487
20,2,1,33.077,38.121,33.077,25.339
21,2,1,34.615,43.556,34.615,28.664
22,2,1,28.462,38.824,28.462,22.058
23,2,1,33.077,38.482,33.077,28.423
24,2,1,33.077,38.482,33.077,28.423
25,2,1,36.923,42.859,36.923,30.99
26,2,1,33.846,45.467,33.846,26.752
27,2,1,33.077,25.488,33.077,25.57
28,2,1,33.077,25.488,33.077,25.57
29,2,1,36.154,49.134,36.154,30.34
30,2,1,36.154,49.134,36.154,30.34
31,2,1,36.154,39.262,36.154,30.194
32,2,1,36.154,39.262,36.154,30.194
33,2,1,38.462,57.34,38.462,33.352
34,2,1,38.462,49.12,38.462,32.545
35,2,1,36.923,58.072,36.923,30.332
36,2,1,36.923,58.072,36.923,30.332
37,2,1,38.462,57.825,38.462,34.136
38,2,1,38.462,57.825,38.462,34.136
39,2,1,35.385,38.477,35.385,29.794
40,2,1,40.0,64.615,40.0,36.502
41,2,1,40.0,59.943,40.0,35.804
42,2,1,40.0,64.072,40.0,34.342
43,2,1,36.923,39.476,36.923,28.806
44,2,1,36.923,39.476,36.923,28.806
45,2,1,40.0,65.903,40.0,32.06
46,2,1,41.538,66.142,41.538,35.338
47,2,1,38.462,55.289,38.462,31.701
48,2,1,38.462,55.289,38.462,31.701
49,2,1,43.077,64.879,43.077,38.4
50,2,1,43.077,64.879,43.077,38.4
0,2,2,35.385,37.255,35.385,34.24
1,2,2,26.923,34.876,26.923,26.395
2,2,2,26.923,34.876,26.923,26.395
3,2,2,36.923,45.158,36.923,36.673
4,2,2,29.231,35.057,29.231,29.359
5,2,2,32.308,37.545,32.308,32.373
6,2,2,32.308,37.545,32.308,32.373
