iter,step,fold,acc,prec,rec,f1score
0,2,0,32.308,28.528,32.308,29.363
1,2,0,32.308,26.77,32.308,27.548
2,2,0,28.462,30.555,28.462,27.906
3,2,0,26.923,28.675,26.923,25.594
4,2,0,28.462,31.822,28.462,27.497
5,2,0,28.462,28.495,28.462,27.276
6,2,0,33.077,33.425,33.077,32.083
7,2,0,30.0,30.037,30.0,28.767
8,2,0,31.538,34.2,31.538,31.663
9,2,0,32.308,32.375,32.308,31.363
10,2,0,33.846,35.89,33.846,33.855
11,2,0,31.538,33.406,31.538,31.849
12,2,0,28.462,28.805,28.462,28.168
13,2,0,33.077,34.289,33.077,33.353
14,2,0,36.923,38.226,36.923,37.366
15,2,0,40.769,41.038,40.769,40.582
16,2,0,41.538,41.789,41.538,40.88
17,2,0,40.0,41.061,40.0,39.975
18,2,0,39.231,39.258,39.231,38.404
19,2,0,40.769,40.635,40.769,39.905
20,2,0,39.231,39.441,39.231,38.271
21,2,0,34.615,35.859,34.615,34.196
22,2,0,36.154,35.272,36.154,35.028
23,2,0,34.615,34.396,34.615,33.993
24,2,0,37.692,37.88,37.692,37.215
25,2,0,38.462,39.704,38.462,38.476
26,2,0,41.538,42.227,41.538,41.024
27,2,0,38.462,40.186,38.462,37.993
28,2,0,40.0,41.112,40.0,39.665
29,2,0,42.308,43.649,42.308,42.019
30,2,0,44.615,46.584,44.615,44.211
31,2,0,44.615,45.381,44.615,43.656
32,2,0,43.077,44.886,43.077,42.729
33,2,0,41.538,43.928,41.538,41.293
34,2,0,40.0,43.048,40.0,39.207
35,2,0,40.0,42.333,40.0,39.894
36,2,0,40.0,44.167,40.0,40.251
37,2,0,42.308,46.594,42.308,42.386
38,2,0,46.154,48.778,46.154,46.575
39,2,0,46.154,49.397,46.154,46.759
40,2,0,43.077,45.804,43.077,43.215
41,2,0,43.846,46.195,43.846,43.977
42,2,0,43.846,45.849,43.846,43.324
43,2,0,43.077,45.879,43.077,43.051
44,2,0,45.385,46.323,45.385,44.912
45,2,0,43.846,45.085,43.846,43.202
46,2,0,45.385,48.191,45.385,45.861
47,2,0,46.923,49.532,46.923,47.133
48,2,0,45.385,47.97,45.385,45.365
49,2,0,44.615,46.132,44.615,44.261
50,2,0,47.692,50.119,47.692,47.38
0,2,1,35.385,32.785,35.385,33.22
1,2,1,33.846,31.0,33.846,30.541
2,2,1,28.462,30.914,28.462,28.105
3,2,1,30.769,32.097,30.769,29.655
4,2,1,33.077,31.987,33.077,31.004
5,2,1,35.385,34.625,35.385,32.576
6,2,1,35.385,36.959,35.385,33.296
7,2,1,36.154,37.366,36.154,34.26
8,2,1,40.769,43.173,40.769,39.853
9,2,1,40.0,40.95,40.0,39.209
10,2,1,39.231,40.156,39.231,38.805
11,2,1,40.0,39.766,40.0,39.226
12,2,1,47.692,48.261,47.692,46.862
13,2,1,48.462,49.108,48.462,47.966
14,2,1,45.385,48.356,45.385,46.114
15,2,1,43.846,46.447,43.846,44.593
16,2,1,46.923,48.848,46.923,47.261
17,2,1,46.154,47.658,46.154,46.407
18,2,1,48.462,50.124,48.462,49.064
19,2,1,43.846,45.886,43.846,44.261
20,2,1,41.538,42.411,41.538,41.621
21,2,1,41.538,42.561,41.538,41.698
22,2,1,40.0,40.555,40.0,39.984
23,2,1,40.769,40.932,40.769,40.635
24,2,1,44.615,45.319,44.615,44.404
25,2,1,46.154,46.78,46.154,46.054
26,2,1,47.692,48.129,47.692,47.465
27,2,1,46.154,47.301,46.154,46.149
28,2,1,40.769,41.614,40.769,40.629
29,2,1,40.0,40.394,40.0,39.753
30,2,1,39.231,41.659,39.231,39.306
31,2,1,41.538,44.431,41.538,41.673
32,2,1,43.077,47.457,43.077,43.603
33,2,1,40.769,44.498,40.769,40.938
34,2,1,43.077,48.116,43.077,43.858
35,2,1,42.308,47.158,42.308,43.138
36,2,1,42.308,46.848,42.308,42.996
37,2,1,42.308,45.836,42.308,42.78
38,2,1,44.615,48.483,44.615,44.983
39,2,1,44.615,47.187,44.615,44.341
40,2,1,43.846,48.463,43.846,43.785
41,2,1,43.077,47.672,43.077,42.866
42,2,1,42.308,46.924,42.308,41.868
43,2,1,42.308,47.202,42.308,42.015
44,2,1,42.308,45.599,42.308,41.842
45,2,1,42.308,44.892,42.308,41.343
46,2,1,40.769,45.378,40.769,40.575
47,2,1,42.308,46.778,42.308,42.145
48,2,1,41.538,45.892,41.538,41.141
49,2,1,41.538,45.903,41.538,41.121
50,2,1,43.077,48.248,43.077,43.322
0,2,2,33.846,31.959,33.846,32.039
1,2,2,32.308,29.709,32.308,28.992
2,2,2,32.308,34.064,32.308,31.752
3,2,2,33.846,38.332,33.846,33.315
4,2,2,42.308,49.09,42.308,40.866
5,2,2,43.077,48.573,43.077,41.373
6,2,2,43.846,44.662,43.846,42.462
7,2,2,33.846,34.815,33.846,31.659
8,2,2,34.615,31.943,34.615,32.312
9,2,2,37.692,35.991,37.692,35.315
10,2,2,41.538,41.749,41.538,39.727
11,2,2,34.615,37.951,34.615,33.612
12,2,2,35.385,41.79,35.385,34.793
13,2,2,36.923,38.441,36.923,35.916
14,2,2,37.692,43.356,37.692,38.057
15,2,2,39.231,45.245,39.231,39.633
16,2,2,40.769,43.692,40.769,41.665
17,2,2,40.769,44.049,40.769,41.718
18,2,2,41.538,45.32,41.538,42.424
19,2,2,40.0,43.54,40.0,40.912
20,2,2,39.231,41.78,39.231,40.006
21,2,2,40.0,43.549,40.0,40.98
22,2,2,43.077,44.251,43.077,43.304
23,2,2,40.0,41.284,40.0,40.32
24,2,2,41.538,43.497,41.538,41.549
25,2,2,39.231,41.084,39.231,39.261
26,2,2,40.769,42.513,40.769,41.032
27,2,2,48.462,49.546,48.462,48.483
28,2,2,50.769,52.548,50.769,51.262
29,2,2,50.0,52.199,50.0,50.659
30,2,2,50.769,52.913,50.769,51.377
31,2,2,47.692,49.955,47.692,48.307
32,2,2,46.923,48.336,46.923,46.919
33,2,2,47.692,50.327,47.692,47.796
34,2,2,47.692,48.567,47.692,47.257
35,2,2,47.692,48.557,47.692,47.135
36,2,2,44.615,45.347,44.615,43.932
37,2,2,46.154,47.438,46.154,45.804
38,2,2,45.385,46.135,45.385,45.088
39,2,2,45.385,46.541,45.385,45.145
40,2,2,46.923,48.695,46.923,46.282
41,2,2,43.846,47.919,43.846,43.703
