iter,step,fold,acc,prec,rec,f1score
0,2,0,32.308,28.528,32.308,29.363
1,2,0,32.308,32.629,32.308,29.611
2,2,0,30.769,28.537,30.769,25.159
3,2,0,33.846,29.792,33.846,27.721
4,2,0,30.769,31.04,30.769,24.442
5,2,0,30.0,36.286,30.0,24.595
6,2,0,30.0,32.577,30.0,24.813
7,2,0,30.769,36.921,30.769,26.661
8,2,0,33.846,39.112,33.846,30.589
9,2,0,33.846,39.318,33.846,30.659
10,2,0,33.846,39.085,33.846,30.354
11,2,0,33.846,40.967,33.846,29.936
12,2,0,33.077,26.364,33.077,27.884
13,2,0,32.308,27.707,32.308,27.931
14,2,0,30.769,25.651,30.769,25.98
15,2,0,33.077,33.178,33.077,28.68
16,2,0,33.077,35.976,33.077,28.059
17,2,0,36.154,39.588,36.154,31.026
18,2,0,34.615,44.089,34.615,29.41
19,2,0,36.154,41.427,36.154,32.392
20,2,0,39.231,44.092,39.231,36.176
21,2,0,40.0,47.783,40.0,36.539
22,2,0,38.462,40.598,38.462,34.379
23,2,0,39.231,43.559,39.231,36.273
24,2,0,39.231,43.954,39.231,35.796
25,2,0,37.692,39.067,37.692,34.439
26,2,0,42.308,45.441,42.308,39.893
27,2,0,45.385,49.66,45.385,42.813
28,2,0,43.077,46.101,43.077,40.581
29,2,0,42.308,45.985,42.308,39.975
30,2,0,44.615,48.0,44.615,43.128
31,2,0,42.308,43.991,42.308,40.309
32,2,0,41.538,45.042,41.538,39.293
33,2,0,40.0,42.728,40.0,37.011
34,2,0,40.769,47.312,40.769,38.103
35,2,0,40.0,43.878,40.0,37.398
36,2,0,40.0,43.643,40.0,38.396
37,2,0,41.538,44.651,41.538,40.311
38,2,0,42.308,47.24,42.308,40.719
39,2,0,42.308,46.657,42.308,40.413
40,2,0,41.538,44.864,41.538,39.901
41,2,0,42.308,45.99,42.308,40.805
42,2,0,42.308,45.542,42.308,40.732
43,2,0,41.538,42.643,41.538,40.137
44,2,0,39.231,39.534,39.231,36.787
45,2,0,40.0,41.853,40.0,37.915
46,2,0,40.769,44.36,40.769,38.67
47,2,0,40.769,43.812,40.769,38.208
48,2,0,41.538,45.558,41.538,39.993
49,2,0,43.846,47.053,43.846,42.685
50,2,0,41.538,42.466,41.538,39.439
0,2,1,35.385,32.785,35.385,33.22
1,2,1,29.231,24.975,29.231,25.632
2,2,1,30.0,26.675,30.0,26.368
3,2,1,29.231,23.72,29.231,25.022
4,2,1,32.308,28.092,32.308,28.484
5,2,1,38.462,33.047,38.462,34.057
6,2,1,36.154,39.643,36.154,32.773
7,2,1,35.385,32.141,35.385,31.861
8,2,1,33.846,34.327,33.846,33.123
9,2,1,32.308,35.64,32.308,32.836
10,2,1,36.154,36.171,36.154,35.567
11,2,1,33.077,32.865,33.077,32.259
12,2,1,29.231,28.218,29.231,27.219
13,2,1,27.692,25.876,27.692,25.265
14,2,1,33.077,31.863,33.077,30.607
15,2,1,33.077,31.052,33.077,30.497
16,2,1,30.0,27.563,30.0,26.454
17,2,1,29.231,28.319,29.231,26.339
18,2,1,27.692,25.856,27.692,24.454
19,2,1,26.923,25.032,26.923,23.641
20,2,1,30.769,29.603,30.769,27.743
21,2,1,32.308,30.773,32.308,29.419
22,2,1,30.769,29.938,30.769,27.054
23,2,1,32.308,31.868,32.308,28.708
24,2,1,33.846,33.688,33.846,30.182
25,2,1,34.615,36.543,34.615,31.271
26,2,1,33.846,33.96,33.846,30.807
27,2,1,36.923,38.415,36.923,34.376
28,2,1,40.769,42.289,40.769,38.957
29,2,1,37.692,39.22,37.692,35.354
30,2,1,38.462,40.668,38.462,36.524
31,2,1,38.462,39.863,38.462,37.012
32,2,1,38.462,39.482,38.462,36.227
33,2,1,40.0,41.124,40.0,37.811
34,2,1,40.0,41.039,40.0,38.049
35,2,1,39.231,39.832,39.231,36.86
36,2,1,39.231,41.004,39.231,36.765
37,2,1,39.231,41.457,39.231,36.955
38,2,1,40.0,42.758,40.0,37.826
39,2,1,38.462,40.081,38.462,36.439
40,2,1,38.462,39.345,38.462,36.374
41,2,1,38.462,39.138,38.462,36.647
42,2,1,38.462,39.628,38.462,37.042
43,2,1,37.692,38.18,37.692,35.768
44,2,1,39.231,41.371,39.231,37.234
45,2,1,39.231,42.008,39.231,37.152
46,2,1,41.538,44.838,41.538,39.956
47,2,1,40.0,42.725,40.0,37.997
48,2,1,38.462,38.735,38.462,35.625
49,2,1,41.538,44.122,41.538,39.395
50,2,1,39.231,43.736,39.231,37.338
0,2,2,33.846,31.959,33.846,32.039
1,2,2,33.846,36.783,33.846,31.556
2,2,2,33.077,35.723,33.077,31.057
3,2,2,34.615,35.682,34.615,30.955
4,2,2,35.385,31.579,35.385,30.718
5,2,2,31.538,29.77,31.538,30.23
6,2,2,30.769,28.536,30.769,29.268
7,2,2,31.538,30.008,31.538,30.229
8,2,2,35.385,31.222,35.385,32.103
9,2,2,36.154,32.635,36.154,32.765
10,2,2,36.923,35.497,36.923,34.39
11,2,2,39.231,35.13,39.231,35.747
12,2,2,32.308,29.33,32.308,30.196
13,2,2,34.615,32.307,34.615,32.584
14,2,2,35.385,35.058,35.385,34.069
15,2,2,33.846,33.002,33.846,31.593
16,2,2,34.615,29.546,34.615,31.331
17,2,2,37.692,36.331,37.692,34.821
18,2,2,37.692,37.283,37.692,35.513
19,2,2,37.692,37.837,37.692,35.699
20,2,2,39.231,37.811,39.231,36.891
21,2,2,36.154,33.962,36.154,33.79
22,2,2,36.923,37.242,36.923,34.398
23,2,2,36.154,38.068,36.154,33.827
24,2,2,36.154,36.126,36.154,33.117
25,2,2,35.385,36.386,35.385,33.209
26,2,2,37.692,36.471,37.692,34.624
27,2,2,37.692,38.004,37.692,35.764
28,2,2,38.462,38.89,38.462,36.476
29,2,2,36.923,37.486,36.923,35.147
30,2,2,35.385,37.525,35.385,34.902
31,2,2,32.308,34.324,32.308,32.184
32,2,2,33.846,35.147,33.846,33.196
33,2,2,33.077,32.818,33.077,32.083
34,2,2,33.077,32.166,33.077,31.867
35,2,2,33.077,33.383,33.077,32.24
36,2,2,33.846,33.374,33.846,31.695
37,2,2,35.385,35.705,35.385,34.117
38,2,2,40.0,39.142,40.0,37.976
39,2,2,40.769,40.847,40.769,38.916
40,2,2,41.538,41.466,41.538,39.668
41,2,2,43.077,44.721,43.077,41.996
42,2,2,44.615,46.998,44.615,43.268
43,2,2,46.154,48.611,46.154,44.955
44,2,2,47.692,49.456,47.692,46.84
45,2,2,46.923,49.742,46.923,45.893
46,2,2,46.923,48.855,46.923,45.8
47,2,2,50.769,53.68,50.769,49.788
48,2,2,46.923,48.622,46.923,45.724
49,2,2,45.385,48.21,45.385,44.269
50,2,2,46.923,49.171,46.923,45.603
0,5,0,32.308,28.528,32.308,29.363
1,5,0,28.462,26.188,28.462,24.932
2,5,0,29.231,31.735,29.231,28.784
3,5,0,25.385,24.314,25.385,23.528
4,5,0,26.923,26.932,26.923,24.128
5,5,0,30.0,26.512,30.0,25.958
6,5,0,40.0,38.357,40.0,37.387
7,5,0,40.769,42.133,40.769,38.34
8,5,0,41.538,45.247,41.538,38.075
9,5,0,41.538,46.39,41.538,38.423
10,5,0,43.077,42.711,43.077,39.579
11,5,0,42.308,42.711,42.308,40.023
12,5,0,42.308,43.774,42.308,40.658
13,5,0,44.615,47.021,44.615,43.98
14,5,0,43.846,44.604,43.846,41.043
15,5,0,47.692,49.001,47.692,45.839
16,5,0,46.154,49.257,46.154,45.144
17,5,0,46.154,47.98,46.154,44.391
18,5,0,47.692,49.746,47.692,46.316
19,5,0,48.462,50.906,48.462,47.046
20,5,0,46.154,47.532,46.154,44.186
0,5,1,35.385,32.785,35.385,33.22
1,5,1,28.462,30.091,28.462,26.916
2,5,1,29.231,29.953,29.231,27.198
3,5,1,23.846,27.668,23.846,23.675
4,5,1,32.308,29.629,32.308,29.4
5,5,1,33.846,38.733,33.846,32.815
6,5,1,36.923,34.943,36.923,33.844
7,5,1,37.692,35.895,37.692,34.183
8,5,1,34.615,33.334,34.615,31.186
9,5,1,36.154,38.868,36.154,33.614
10,5,1,33.846,38.372,33.846,31.934
11,5,1,33.077,37.323,33.077,32.205
12,5,1,30.0,31.808,30.0,27.942
13,5,1,33.077,36.1,33.077,31.452
14,5,1,36.154,36.431,36.154,34.214
15,5,1,37.692,36.905,37.692,35.782
16,5,1,37.692,39.351,37.692,35.539
17,5,1,39.231,40.643,39.231,37.555
18,5,1,40.769,43.89,40.769,39.193
19,5,1,40.0,42.665,40.0,38.638
20,5,1,40.0,41.31,40.0,38.035
0,5,2,33.846,31.959,33.846,32.039
1,5,2,28.462,29.535,28.462,27.952
2,5,2,26.923,28.675,26.923,26.567
3,5,2,33.077,35.497,33.077,33.542
4,5,2,31.538,31.339,31.538,29.842
5,5,2,29.231,30.921,29.231,27.87
6,5,2,33.077,36.032,33.077,33.136
7,5,2,33.846,34.984,33.846,33.466
8,5,2,38.462,42.313,38.462,39.209
9,5,2,37.692,36.794,37.692,36.908
10,5,2,40.769,42.786,40.769,40.703
11,5,2,36.154,39.297,36.154,36.564
12,5,2,39.231,42.831,39.231,40.28
13,5,2,41.538,44.384,41.538,42.446
14,5,2,40.769,42.084,40.769,40.393
15,5,2,43.077,44.175,43.077,42.641
16,5,2,43.077,45.78,43.077,42.743
17,5,2,38.462,40.333,38.462,38.194
18,5,2,37.692,38.225,37.692,36.987
19,5,2,37.692,38.088,37.692,36.792
20,5,2,39.231,39.252,39.231,37.198
0,10,0,32.308,28.528,32.308,29.363
1,10,0,27.692,23.997,27.692,24.362
2,10,0,31.538,27.529,31.538,26.901
3,10,0,39.231,39.848,39.231,35.84
4,10,0,40.769,44.659,40.769,40.228
5,10,0,39.231,40.809,39.231,37.457
6,10,0,41.538,47.232,41.538,39.199
7,10,0,42.308,43.353,42.308,39.141
8,10,0,41.538,42.435,41.538,38.646
9,10,0,43.846,47.536,43.846,41.725
10,10,0,43.846,48.405,43.846,41.576
0,10,1,35.385,32.785,35.385,33.22
1,10,1,25.385,27.368,25.385,23.696
2,10,1,30.0,33.864,30.0,27.235
3,10,1,35.385,42.008,35.385,33.232
4,10,1,33.846,39.013,33.846,33.93
5,10,1,34.615,36.659,34.615,33.701
6,10,1,34.615,37.526,34.615,33.882
7,10,1,38.462,41.349,38.462,37.236
8,10,1,32.308,31.397,32.308,30.373
9,10,1,35.385,37.019,35.385,33.382
10,10,1,37.692,41.076,37.692,35.02
