iter,step,fold,acc,prec,rec,f1score
0,2,0,53.846,55.495,53.846,53.715
1,2,0,50.769,54.04,50.769,50.521
2,2,0,52.308,55.123,52.308,52.299
3,2,0,62.308,65.243,62.308,62.512
4,2,0,57.692,60.391,57.692,58.041
5,2,0,49.231,51.324,49.231,49.683
6,2,0,53.846,55.753,53.846,54.028
7,2,0,50.769,54.422,50.769,50.748
8,2,0,53.846,56.531,53.846,53.889
9,2,0,52.308,54.788,52.308,51.937
10,2,0,55.385,58.949,55.385,55.957
11,2,0,50.769,54.74,50.769,51.898
12,2,0,49.231,51.893,49.231,49.986
13,2,0,52.308,55.563,52.308,52.834
14,2,0,53.077,56.216,53.077,53.843
15,2,0,56.923,60.182,56.923,57.413
16,2,0,56.923,60.421,56.923,57.616
17,2,0,51.538,53.7,51.538,51.384
18,2,0,53.077,57.064,53.077,53.495
19,2,0,50.0,53.314,50.0,49.974
20,2,0,47.692,47.846,47.692,46.327
21,2,0,51.538,54.531,51.538,51.306
22,2,0,54.615,58.341,54.615,54.458
23,2,0,50.0,53.206,50.0,50.231
24,2,0,56.154,57.409,56.154,55.502
25,2,0,55.385,55.849,55.385,53.937
26,2,0,53.846,56.269,53.846,53.022
27,2,0,60.0,63.495,60.0,60.486
28,2,0,56.923,58.937,56.923,56.664
29,2,0,57.692,57.804,57.692,56.667
30,2,0,52.308,53.595,52.308,51.585
31,2,0,56.923,59.655,56.923,56.346
32,2,0,57.692,60.0,57.692,56.913
33,2,0,54.615,57.85,54.615,54.84
34,2,0,54.615,56.964,54.615,54.533
35,2,0,50.769,50.751,50.769,49.805
36,2,0,50.769,52.129,50.769,50.093
37,2,0,55.385,56.268,55.385,54.509
38,2,0,50.769,52.342,50.769,50.24
39,2,0,51.538,51.787,51.538,50.254
40,2,0,59.231,60.863,59.231,58.028
41,2,0,56.154,59.094,56.154,56.254
42,2,0,58.462,61.347,58.462,58.461
43,2,0,57.692,57.277,57.692,56.197
44,2,0,56.154,56.475,56.154,55.044
45,2,0,56.154,58.682,56.154,55.754
46,2,0,56.923,57.541,56.923,55.482
47,2,0,59.231,59.831,59.231,58.078
48,2,0,58.462,58.587,58.462,57.649
49,2,0,56.154,57.769,56.154,55.141
50,2,0,57.692,58.981,57.692,56.914
51,2,0,60.769,61.893,60.769,60.092
52,2,0,59.231,61.269,59.231,58.935
53,2,0,58.462,61.432,58.462,58.21
54,2,0,60.0,61.331,60.0,59.587
55,2,0,60.0,62.601,60.0,59.626
56,2,0,60.0,62.44,60.0,59.797
57,2,0,59.231,62.534,59.231,58.653
58,2,0,58.462,59.081,58.462,57.481
59,2,0,59.231,59.742,59.231,58.941
60,2,0,61.538,62.898,61.538,60.887
61,2,0,56.923,56.919,56.923,55.543
62,2,0,60.0,59.74,60.0,58.547
63,2,0,60.0,58.61,60.0,58.107
64,2,0,56.154,56.196,56.154,54.956
65,2,0,56.923,57.722,56.923,56.353
66,2,0,60.0,62.026,60.0,59.651
67,2,0,58.462,60.501,58.462,57.997
68,2,0,62.308,64.551,62.308,62.324
69,2,0,60.769,62.777,60.769,60.345
70,2,0,57.692,58.728,57.692,57.218
71,2,0,59.231,61.408,59.231,59.328
72,2,0,59.231,59.375,59.231,58.244
73,2,0,59.231,61.796,59.231,58.214
74,2,0,57.692,58.327,57.692,55.897
75,2,0,63.077,62.91,63.077,61.23
76,2,0,56.154,55.086,56.154,53.848
77,2,0,58.462,59.41,58.462,56.71
78,2,0,59.231,62.638,59.231,58.053
79,2,0,56.923,58.809,56.923,55.099
80,2,0,57.692,59.478,57.692,56.417
81,2,0,63.846,65.429,63.846,62.481
82,2,0,62.308,64.622,62.308,61.097
83,2,0,61.538,63.922,61.538,60.119
84,2,0,57.692,59.588,57.692,56.455
85,2,0,61.538,63.822,61.538,60.953
86,2,0,62.308,63.38,62.308,60.792
87,2,0,59.231,61.31,59.231,58.541
88,2,0,60.0,62.253,60.0,59.051
89,2,0,63.846,66.319,63.846,62.379
90,2,0,59.231,60.139,59.231,57.635
91,2,0,58.462,59.72,58.462,56.403
92,2,0,56.923,60.452,56.923,55.445
93,2,0,60.769,63.259,60.769,59.928
94,2,0,56.154,57.427,56.154,54.624
95,2,0,62.308,62.318,62.308,60.773
96,2,0,59.231,59.666,59.231,57.393
97,2,0,59.231,61.551,59.231,57.943
98,2,0,59.231,59.491,59.231,57.679
99,2,0,61.538,61.179,61.538,59.515
100,2,0,58.462,58.842,58.462,56.726
0,2,1,57.692,58.072,57.692,56.67
1,2,1,51.538,52.065,51.538,50.025
2,2,1,51.538,51.255,51.538,49.848
3,2,1,58.462,58.683,58.462,56.971
4,2,1,54.615,54.496,54.615,53.536
5,2,1,52.308,52.333,52.308,50.951
6,2,1,57.692,58.449,57.692,56.359
7,2,1,56.154,55.874,56.154,54.229
8,2,1,53.846,54.814,53.846,52.644
9,2,1,58.462,57.377,58.462,57.111
10,2,1,53.846,54.255,53.846,52.459
11,2,1,53.846,53.434,53.846,52.574
12,2,1,56.923,56.189,56.923,55.347
13,2,1,58.462,57.362,58.462,56.56
14,2,1,56.923,57.897,56.923,55.358
15,2,1,55.385,56.287,55.385,53.458
16,2,1,60.0,61.492,60.0,58.637
17,2,1,58.462,60.002,58.462,56.412
18,2,1,59.231,62.651,59.231,57.142
19,2,1,57.692,57.761,57.692,56.627
20,2,1,56.923,58.617,56.923,55.822
21,2,1,61.538,62.271,61.538,59.65
22,2,1,63.077,63.543,63.077,61.048
23,2,1,58.462,60.376,58.462,57.501
24,2,1,56.923,59.034,56.923,56.069
25,2,1,60.0,58.866,60.0,58.169
26,2,1,59.231,58.37,59.231,57.558
27,2,1,55.385,56.601,55.385,54.265
28,2,1,59.231,58.941,59.231,58.458
29,2,1,54.615,52.247,54.615,52.013
30,2,1,63.846,64.754,63.846,61.085
31,2,1,62.308,61.725,62.308,60.003
32,2,1,54.615,52.993,54.615,52.557
33,2,1,59.231,57.304,59.231,57.81
34,2,1,56.154,54.932,56.154,54.747
35,2,1,56.923,57.223,56.923,56.215
36,2,1,54.615,55.825,54.615,53.924
37,2,1,57.692,58.265,57.692,56.561
38,2,1,57.692,58.045,57.692,57.135
39,2,1,57.692,59.168,57.692,56.901
40,2,1,58.462,61.045,58.462,58.511
41,2,1,61.538,62.533,61.538,59.661
42,2,1,60.769,61.225,60.769,60.037
43,2,1,56.923,57.187,56.923,55.597
44,2,1,56.154,58.593,56.154,54.058
45,2,1,58.462,59.358,58.462,56.848
46,2,1,57.692,58.457,57.692,57.467
47,2,1,58.462,59.521,58.462,57.381
