iter,step,fold,acc,prec,rec,f1score
0,2,0,53.846,55.495,53.846,53.715
1,2,0,60.0,62.347,60.0,60.195
2,2,0,56.923,58.679,56.923,57.24
3,2,0,59.231,62.004,59.231,59.324
4,2,0,59.231,62.004,59.231,59.324
5,2,0,56.923,57.778,56.923,56.814
6,2,0,58.462,60.241,58.462,58.62
7,2,0,57.692,58.16,57.692,57.552
8,2,0,57.692,58.16,57.692,57.552
9,2,0,56.154,56.949,56.154,56.049
10,2,0,56.154,56.949,56.154,56.049
11,2,0,57.692,58.386,57.692,57.52
12,2,0,57.692,58.386,57.692,57.52
13,2,0,54.615,56.572,54.615,54.644
14,2,0,60.769,61.715,60.769,60.316
15,2,0,57.692,57.742,57.692,57.188
16,2,0,58.462,58.011,58.462,57.665
17,2,0,62.308,61.367,62.308,61.27
18,2,0,58.462,59.761,58.462,58.029
19,2,0,55.385,56.798,55.385,55.336
20,2,0,55.385,56.798,55.385,55.336
21,2,0,61.538,61.797,61.538,61.429
22,2,0,56.923,56.481,56.923,56.084
23,2,0,56.923,57.022,56.923,56.6
24,2,0,56.923,57.022,56.923,56.6
25,2,0,57.692,59.186,57.692,56.684
26,2,0,57.692,59.186,57.692,56.684
27,2,0,54.615,53.896,54.615,53.619
28,2,0,54.615,53.896,54.615,53.619
29,2,0,54.615,54.458,54.615,53.895
30,2,0,54.615,54.458,54.615,53.895
31,2,0,59.231,58.429,59.231,58.483
32,2,0,59.231,58.429,59.231,58.483
33,2,0,56.154,56.395,56.154,55.97
34,2,0,59.231,60.933,59.231,58.134
35,2,0,57.692,57.596,57.692,56.356
36,2,0,57.692,57.596,57.692,56.356
37,2,0,59.231,61.138,59.231,59.144
38,2,0,63.846,62.587,63.846,62.46
39,2,0,57.692,58.295,57.692,56.854
40,2,0,57.692,58.295,57.692,56.854
41,2,0,51.538,53.386,51.538,51.408
42,2,0,51.538,53.386,51.538,51.408
43,2,0,59.231,58.332,59.231,57.913
44,2,0,59.231,58.332,59.231,57.913
45,2,0,63.077,62.88,63.077,62.355
46,2,0,63.077,62.88,63.077,62.355
47,2,0,59.231,61.096,59.231,59.122
48,2,0,60.769,62.944,60.769,60.177
49,2,0,58.462,58.112,58.462,57.778
50,2,0,58.462,58.112,58.462,57.778
51,2,0,60.0,61.102,60.0,59.785
52,2,0,60.0,61.102,60.0,59.785
53,2,0,59.231,59.912,59.231,57.681
54,2,0,56.923,57.842,56.923,56.236
55,2,0,60.769,61.241,60.769,60.004
56,2,0,60.0,60.12,60.0,59.092
57,2,0,63.077,62.977,63.077,61.907
58,2,0,60.769,61.741,60.769,60.604
59,2,0,60.769,61.877,60.769,60.768
60,2,0,60.769,61.877,60.769,60.768
61,2,0,59.231,58.816,59.231,58.339
62,2,0,59.231,58.816,59.231,58.339
63,2,0,64.615,65.229,64.615,64.292
64,2,0,64.615,65.229,64.615,64.292
65,2,0,66.923,67.251,66.923,65.716
66,2,0,66.923,67.251,66.923,65.716
67,2,0,61.538,60.858,61.538,60.658
68,2,0,61.538,60.858,61.538,60.658
69,2,0,59.231,59.935,59.231,58.935
70,2,0,59.231,59.935,59.231,58.935
71,2,0,61.538,57.986,61.538,59.168
72,2,0,61.538,57.986,61.538,59.168
73,2,0,65.385,61.52,65.385,63.152
74,2,0,65.385,61.52,65.385,63.152
75,2,0,62.308,62.043,62.308,61.489
76,2,0,62.308,62.043,62.308,61.489
77,2,0,60.0,56.326,60.0,57.729
78,2,0,60.0,56.326,60.0,57.729
79,2,0,63.077,60.808,63.077,61.482
80,2,0,63.077,60.808,63.077,61.482
81,2,0,64.615,63.156,64.615,63.111
82,2,0,63.846,62.943,63.846,62.393
83,2,0,63.846,63.83,63.846,62.801
84,2,0,63.846,63.83,63.846,62.801
85,2,0,61.538,59.685,61.538,60.253
86,2,0,61.538,59.685,61.538,60.253
87,2,0,63.077,63.66,63.077,61.594
88,2,0,58.462,54.403,58.462,55.707
89,2,0,64.615,64.168,64.615,63.276
90,2,0,64.615,64.168,64.615,63.276
91,2,0,62.308,58.616,62.308,59.524
92,2,0,62.308,58.616,62.308,59.524
93,2,0,67.692,66.725,67.692,66.19
94,2,0,67.692,66.725,67.692,66.19
95,2,0,63.077,62.904,63.077,61.194
96,2,0,58.462,55.49,58.462,56.493
97,2,0,60.0,56.412,60.0,57.966
98,2,0,66.154,66.16,66.154,64.55
99,2,0,64.615,63.208,64.615,63.355
100,2,0,64.615,63.208,64.615,63.355
0,2,1,57.692,58.072,57.692,56.67
1,2,1,56.923,58.355,56.923,55.795
2,2,1,56.923,58.355,56.923,55.795
3,2,1,59.231,58.336,59.231,57.247
4,2,1,60.0,60.849,60.0,58.704
5,2,1,58.462,59.835,58.462,56.834
6,2,1,60.769,63.097,60.769,59.694
7,2,1,61.538,62.251,61.538,60.504
8,2,1,61.538,62.251,61.538,60.504
9,2,1,59.231,60.02,59.231,57.686
10,2,1,60.0,59.613,60.0,58.563
11,2,1,60.769,61.779,60.769,59.402
12,2,1,60.0,61.889,60.0,58.905
13,2,1,61.538,63.689,61.538,60.902
14,2,1,61.538,63.689,61.538,60.902
15,2,1,53.077,53.605,53.077,52.256
16,2,1,58.462,60.613,58.462,57.245
17,2,1,56.154,57.209,56.154,55.395
18,2,1,56.154,57.209,56.154,55.395
19,2,1,60.769,64.006,60.769,60.236
20,2,1,60.769,64.006,60.769,60.236
21,2,1,56.154,60.003,56.154,55.407
22,2,1,56.154,60.003,56.154,55.407
23,2,1,60.0,63.144,60.0,59.505
24,2,1,56.923,63.582,56.923,55.45
25,2,1,56.923,61.72,56.923,56.055
26,2,1,56.923,61.72,56.923,56.055
27,2,1,58.462,60.96,58.462,57.679
28,2,1,58.462,60.96,58.462,57.679
29,2,1,65.385,67.379,65.385,64.348
30,2,1,65.385,67.379,65.385,64.348
31,2,1,59.231,61.684,59.231,58.617
32,2,1,59.231,60.982,59.231,58.552
33,2,1,61.538,64.025,61.538,59.539
34,2,1,61.538,64.025,61.538,59.539
35,2,1,58.462,58.514,58.462,57.154
36,2,1,59.231,62.48,59.231,57.437
37,2,1,62.308,63.091,62.308,60.962
38,2,1,62.308,63.091,62.308,60.962
39,2,1,59.231,60.685,59.231,57.811
40,2,1,59.231,60.685,59.231,57.811
41,2,1,59.231,62.313,59.231,57.672
