iter,step,fold,acc,prec,rec,f1score
0,2,0,53.846,55.495,53.846,53.715
1,2,0,53.846,56.038,53.846,54.19
2,2,0,50.769,52.188,50.769,50.627
3,2,0,53.846,55.971,53.846,53.631
4,2,0,53.846,57.882,53.846,53.818
5,2,0,53.077,57.131,53.077,53.254
6,2,0,53.077,54.369,53.077,52.166
7,2,0,58.462,61.011,58.462,58.362
8,2,0,53.846,57.904,53.846,53.507
9,2,0,56.154,57.975,56.154,56.107
10,2,0,60.0,62.375,60.0,60.165
11,2,0,56.154,59.351,56.154,56.031
12,2,0,55.385,59.559,55.385,55.821
13,2,0,56.154,60.05,56.154,56.168
14,2,0,55.385,59.167,55.385,55.925
15,2,0,53.077,58.009,53.077,54.066
16,2,0,53.077,57.844,53.077,54.27
17,2,0,57.692,62.575,57.692,58.828
18,2,0,53.846,58.35,53.846,55.14
19,2,0,57.692,60.627,57.692,58.239
20,2,0,58.462,60.296,58.462,58.447
21,2,0,57.692,60.633,57.692,58.547
22,2,0,57.692,60.409,57.692,58.322
23,2,0,59.231,61.668,59.231,59.396
24,2,0,55.385,57.851,55.385,56.17
25,2,0,64.615,63.706,64.615,63.796
26,2,0,59.231,59.292,59.231,59.003
27,2,0,56.154,58.781,56.154,56.294
28,2,0,60.769,63.927,60.769,61.379
29,2,0,60.769,62.874,60.769,61.041
30,2,0,59.231,60.7,59.231,59.468
31,2,0,50.0,51.86,50.0,50.528
32,2,0,57.692,59.13,57.692,58.19
33,2,0,58.462,59.99,58.462,58.999
34,2,0,60.0,60.569,60.0,60.09
35,2,0,57.692,59.654,57.692,58.162
36,2,0,60.0,61.275,60.0,60.321
37,2,0,60.0,60.043,60.0,59.855
38,2,0,60.769,61.551,60.769,60.976
39,2,0,57.692,59.63,57.692,57.813
40,2,0,60.0,61.154,60.0,60.178
41,2,0,59.231,60.526,59.231,59.301
42,2,0,55.385,56.999,55.385,55.677
43,2,0,65.385,65.164,65.385,64.67
44,2,0,60.769,60.964,60.769,60.471
45,2,0,65.385,65.837,65.385,65.52
46,2,0,64.615,65.26,64.615,64.762
47,2,0,63.846,64.536,63.846,63.956
48,2,0,65.385,65.269,65.385,65.068
49,2,0,64.615,65.324,64.615,64.821
50,2,0,66.154,67.616,66.154,66.447
51,2,0,61.538,61.841,61.538,61.537
52,2,0,66.923,67.916,66.923,67.026
53,2,0,63.077,64.205,63.077,63.429
54,2,0,63.846,67.651,63.846,64.547
55,2,0,66.154,66.258,66.154,65.914
56,2,0,56.923,58.354,56.923,57.303
57,2,0,58.462,61.502,58.462,58.861
58,2,0,60.0,64.116,60.0,60.939
59,2,0,57.692,60.788,57.692,58.536
60,2,0,61.538,66.006,61.538,62.043
61,2,0,62.308,65.493,62.308,62.784
62,2,0,64.615,67.892,64.615,65.321
63,2,0,64.615,66.687,64.615,64.935
64,2,0,63.077,65.292,63.077,63.341
65,2,0,59.231,62.69,59.231,60.102
66,2,0,57.692,60.166,57.692,58.277
67,2,0,57.692,62.026,57.692,57.8
68,2,0,57.692,62.959,57.692,58.822
69,2,0,58.462,66.12,58.462,59.779
70,2,0,59.231,68.961,59.231,60.144
71,2,0,58.462,65.222,58.462,58.803
72,2,0,61.538,66.343,61.538,61.753
73,2,0,59.231,63.346,59.231,59.597
74,2,0,58.462,62.125,58.462,59.211
75,2,0,59.231,63.558,59.231,59.535
76,2,0,63.077,67.519,63.077,63.456
77,2,0,61.538,67.721,61.538,62.263
78,2,0,59.231,63.106,59.231,59.187
79,2,0,65.385,70.93,65.385,66.093
80,2,0,63.077,67.08,63.077,63.557
81,2,0,63.846,64.936,63.846,63.615
82,2,0,69.231,72.957,69.231,69.445
83,2,0,64.615,66.729,64.615,64.632
84,2,0,63.846,66.919,63.846,63.64
85,2,0,63.846,68.05,63.846,64.036
86,2,0,69.231,74.847,69.231,69.879
87,2,0,62.308,64.932,62.308,62.632
88,2,0,66.923,70.46,66.923,67.005
89,2,0,72.308,74.462,72.308,72.006
90,2,0,63.077,66.886,63.077,63.349
91,2,0,67.692,70.416,67.692,67.853
92,2,0,64.615,66.972,64.615,64.896
93,2,0,66.923,70.752,66.923,67.035
94,2,0,68.462,70.615,68.462,68.424
95,2,0,66.923,68.616,66.923,66.949
96,2,0,68.462,69.694,68.462,68.288
97,2,0,69.231,73.287,69.231,69.314
98,2,0,64.615,67.808,64.615,64.372
99,2,0,70.0,72.304,70.0,69.412
100,2,0,69.231,73.423,69.231,69.47
0,2,1,57.692,58.072,57.692,56.67
1,2,1,58.462,58.137,58.462,57.089
2,2,1,59.231,60.49,59.231,58.939
3,2,1,55.385,54.95,55.385,54.825
4,2,1,54.615,54.973,54.615,54.43
5,2,1,59.231,57.806,59.231,57.723
6,2,1,53.077,51.62,53.077,51.454
7,2,1,56.154,55.887,56.154,54.964
8,2,1,54.615,54.735,54.615,53.65
9,2,1,59.231,59.529,59.231,57.799
10,2,1,55.385,55.86,55.385,54.63
11,2,1,57.692,58.798,57.692,57.159
12,2,1,55.385,57.022,55.385,54.428
13,2,1,59.231,61.872,59.231,58.87
14,2,1,58.462,59.713,58.462,57.773
15,2,1,58.462,60.503,58.462,57.921
16,2,1,61.538,64.82,61.538,61.093
17,2,1,60.0,61.188,60.0,59.769
18,2,1,56.923,59.984,56.923,56.845
19,2,1,62.308,65.522,62.308,62.228
20,2,1,60.769,60.93,60.769,59.961
21,2,1,59.231,59.273,59.231,58.388
22,2,1,60.0,62.18,60.0,59.722
23,2,1,60.0,62.51,60.0,59.767
24,2,1,59.231,63.597,59.231,59.605
25,2,1,57.692,58.983,57.692,57.288
26,2,1,58.462,60.097,58.462,58.413
27,2,1,56.923,58.288,56.923,56.311
28,2,1,60.769,61.949,60.769,60.552
29,2,1,61.538,62.679,61.538,61.341
30,2,1,56.923,58.788,56.923,56.631
31,2,1,63.846,66.042,63.846,63.733
32,2,1,60.769,63.809,60.769,60.692
33,2,1,56.923,62.339,56.923,57.523
34,2,1,54.615,57.556,54.615,54.92
35,2,1,60.0,62.932,60.0,59.855
36,2,1,60.0,65.469,60.0,60.809
37,2,1,56.923,62.28,56.923,57.776
38,2,1,60.0,64.683,60.0,61.074
39,2,1,60.769,65.511,60.769,61.756
40,2,1,59.231,61.073,59.231,59.462
41,2,1,55.385,56.773,55.385,54.82
42,2,1,60.0,63.771,60.0,59.513
43,2,1,56.154,58.845,56.154,55.946
44,2,1,63.077,66.549,63.077,63.085
45,2,1,61.538,65.094,61.538,61.315
46,2,1,54.615,58.226,54.615,54.414
47,2,1,59.231,63.233,59.231,58.505
48,2,1,61.538,66.72,61.538,61.285
49,2,1,56.154,60.704,56.154,56.183
50,2,1,56.923,58.989,56.923,55.923
51,2,1,56.154,60.079,56.154,55.667
