iter,step,fold,acc,prec,rec,f1score
0,2,0,53.846,55.495,53.846,53.715
1,2,0,58.462,62.245,58.462,58.41
2,2,0,58.462,62.245,58.462,58.41
3,2,0,53.846,56.224,53.846,53.708
4,2,0,55.385,57.87,55.385,54.984
5,2,0,53.077,54.894,53.077,53.182
6,2,0,53.077,54.894,53.077,53.182
7,2,0,54.615,54.904,54.615,54.507
8,2,0,53.846,53.747,53.846,53.365
9,2,0,55.385,54.799,55.385,54.827
10,2,0,55.385,54.799,55.385,54.827
11,2,0,52.308,51.534,52.308,51.738
12,2,0,52.308,51.534,52.308,51.738
13,2,0,53.077,52.649,53.077,52.52
14,2,0,53.077,51.761,53.077,51.895
15,2,0,56.154,55.4,56.154,55.499
16,2,0,56.154,55.4,56.154,55.499
17,2,0,53.846,53.688,53.846,52.962
18,2,0,53.846,53.688,53.846,52.962
19,2,0,56.154,55.037,56.154,55.276
20,2,0,55.385,55.699,55.385,54.812
21,2,0,50.769,49.995,50.769,49.974
22,2,0,52.308,52.611,52.308,51.831
23,2,0,50.0,48.175,50.0,48.675
24,2,0,52.308,50.415,52.308,50.986
25,2,0,52.308,50.324,52.308,50.972
26,2,0,52.308,50.324,52.308,50.972
27,2,0,53.846,51.501,53.846,52.206
28,2,0,53.846,51.501,53.846,52.206
29,2,0,49.231,48.685,49.231,48.465
30,2,0,49.231,46.716,49.231,47.452
31,2,0,53.077,51.833,53.077,52.185
32,2,0,53.077,51.833,53.077,52.185
33,2,0,53.846,52.6,53.846,52.73
34,2,0,53.077,52.021,53.077,51.867
35,2,0,53.077,52.377,53.077,52.291
36,2,0,50.0,49.436,50.0,48.923
37,2,0,49.231,49.261,49.231,48.052
38,2,0,49.231,47.917,49.231,47.97
39,2,0,51.538,50.677,51.538,50.469
40,2,0,51.538,50.677,51.538,50.469
41,2,0,56.923,57.998,56.923,56.243
42,2,0,58.462,57.667,58.462,57.102
43,2,0,53.846,52.763,53.846,52.504
44,2,0,53.846,52.763,53.846,52.504
45,2,0,51.538,49.533,51.538,50.031
46,2,0,54.615,53.68,54.615,53.451
47,2,0,52.308,51.036,52.308,50.727
48,2,0,52.308,51.036,52.308,50.727
49,2,0,55.385,54.365,55.385,53.894
50,2,0,55.385,54.365,55.385,53.894
51,2,0,52.308,53.416,52.308,51.683
52,2,0,52.308,53.416,52.308,51.683
53,2,0,57.692,59.708,57.692,56.666
54,2,0,57.692,59.708,57.692,56.666
55,2,0,51.538,52.984,51.538,51.068
56,2,0,58.462,58.153,58.462,56.993
57,2,0,55.385,56.105,55.385,54.672
58,2,0,57.692,57.72,57.692,56.475
59,2,0,53.846,54.283,53.846,53.219
60,2,0,56.154,55.201,56.154,55.102
61,2,0,56.154,55.689,56.154,55.406
62,2,0,56.154,55.689,56.154,55.406
63,2,0,53.077,52.557,53.077,52.451
64,2,0,47.692,48.173,47.692,47.606
65,2,0,52.308,52.129,52.308,51.543
66,2,0,52.308,52.129,52.308,51.543
67,2,0,51.538,50.453,51.538,50.238
68,2,0,51.538,50.453,51.538,50.238
69,2,0,52.308,52.382,52.308,51.722
70,2,0,52.308,52.382,52.308,51.722
71,2,0,52.308,53.983,52.308,51.941
72,2,0,57.692,59.836,57.692,57.964
73,2,0,58.462,59.098,58.462,57.875
74,2,0,58.462,59.098,58.462,57.875
75,2,0,56.154,57.184,56.154,56.025
76,2,0,57.692,60.741,57.692,58.035
77,2,0,57.692,56.788,57.692,56.709
78,2,0,59.231,59.476,59.231,58.642
79,2,0,59.231,61.579,59.231,58.964
80,2,0,53.077,54.583,53.077,52.71
81,2,0,57.692,59.797,57.692,57.194
82,2,0,53.846,54.745,53.846,53.261
83,2,0,54.615,57.028,54.615,54.381
84,2,0,53.846,57.982,53.846,53.886
85,2,0,56.923,60.336,56.923,56.259
86,2,0,56.923,60.336,56.923,56.259
87,2,0,56.923,57.711,56.923,56.0
88,2,0,56.923,57.711,56.923,56.0
89,2,0,59.231,61.929,59.231,59.124
90,2,0,57.692,59.118,57.692,57.788
91,2,0,55.385,59.089,55.385,54.723
92,2,0,50.0,52.019,50.0,50.105
93,2,0,53.077,55.63,53.077,52.756
94,2,0,53.077,55.63,53.077,52.756
95,2,0,53.077,57.543,53.077,53.2
96,2,0,53.846,56.369,53.846,53.261
97,2,0,59.231,62.322,59.231,58.522
98,2,0,58.462,61.724,58.462,58.167
99,2,0,60.0,63.181,60.0,59.408
100,2,0,60.0,63.181,60.0,59.408
0,2,1,57.692,58.072,57.692,56.67
1,2,1,57.692,58.167,57.692,56.8
2,2,1,57.692,58.167,57.692,56.8
3,2,1,52.308,53.893,52.308,51.707
4,2,1,56.923,57.153,56.923,56.539
5,2,1,58.462,60.884,58.462,57.999
6,2,1,58.462,60.884,58.462,57.999
7,2,1,55.385,54.451,55.385,54.277
8,2,1,55.385,54.451,55.385,54.277
9,2,1,59.231,59.986,59.231,58.501
10,2,1,59.231,59.986,59.231,58.501
11,2,1,54.615,59.307,54.615,54.306
12,2,1,54.615,59.307,54.615,54.306
13,2,1,60.769,61.471,60.769,59.941
14,2,1,56.923,57.607,56.923,55.691
15,2,1,52.308,52.022,52.308,51.541
16,2,1,59.231,59.263,59.231,58.059
17,2,1,57.692,57.731,57.692,57.066
18,2,1,56.154,56.025,56.154,55.447
19,2,1,56.154,55.748,56.154,55.22
20,2,1,58.462,58.207,58.462,57.562
21,2,1,58.462,59.969,58.462,57.888
22,2,1,58.462,59.969,58.462,57.888
23,2,1,55.385,54.845,55.385,54.233
24,2,1,61.538,61.758,61.538,60.766
25,2,1,61.538,62.625,61.538,60.84
26,2,1,56.154,55.129,56.154,54.703
27,2,1,56.923,58.268,56.923,56.151
28,2,1,56.923,60.355,56.923,56.947
29,2,1,59.231,60.294,59.231,58.806
30,2,1,59.231,60.294,59.231,58.806
31,2,1,54.615,57.628,54.615,54.438
32,2,1,54.615,57.628,54.615,54.438
33,2,1,56.154,59.547,56.154,55.991
34,2,1,56.154,59.547,56.154,55.991
35,2,1,59.231,63.064,59.231,58.61
36,2,1,60.769,63.078,60.769,59.784
37,2,1,59.231,62.885,59.231,59.298
38,2,1,59.231,62.885,59.231,59.298
39,2,1,56.154,60.544,56.154,56.118
40,2,1,56.154,60.544,56.154,56.118
41,2,1,62.308,65.234,62.308,62.446
42,2,1,58.462,61.877,58.462,58.603
43,2,1,54.615,59.464,54.615,54.039
44,2,1,55.385,60.876,55.385,55.989
45,2,1,57.692,61.523,57.692,58.283
46,2,1,57.692,61.523,57.692,58.283
47,2,1,56.923,60.597,56.923,57.161
48,2,1,59.231,59.548,59.231,58.216
49,2,1,56.154,57.188,56.154,55.537
50,2,1,56.154,57.188,56.154,55.537
51,2,1,60.0,62.377,60.0,59.237
52,2,1,56.923,59.829,56.923,55.622
53,2,1,56.923,60.704,56.923,56.79
54,2,1,55.385,59.549,55.385,54.578
55,2,1,53.846,57.567,53.846,53.611
56,2,1,55.385,59.184,55.385,54.862
57,2,1,57.692,61.358,57.692,57.927
58,2,1,57.692,61.358,57.692,57.927
59,2,1,55.385,57.086,55.385,54.448
60,2,1,60.0,62.107,60.0,59.155
61,2,1,59.231,61.49,59.231,58.879
62,2,1,59.231,61.49,59.231,58.879
63,2,1,53.846,56.215,53.846,53.371
64,2,1,57.692,61.127,57.692,56.807
65,2,1,60.0,60.203,60.0,58.718
66,2,1,59.231,59.847,59.231,58.336
67,2,1,59.231,60.194,59.231,58.44
68,2,1,59.231,60.194,59.231,58.44
69,2,1,57.692,59.312,57.692,57.104
70,2,1,59.231,60.419,59.231,58.58
71,2,1,57.692,59.171,57.692,57.278
72,2,1,57.692,59.171,57.692,57.278
73,2,1,60.0,62.063,60.0,58.676
74,2,1,60.0,62.063,60.0,58.676
75,2,1,56.923,59.092,56.923,56.109
76,2,1,56.923,59.092,56.923,56.109
77,2,1,58.462,57.026,58.462,55.891
78,2,1,56.923,57.791,56.923,55.795
79,2,1,57.692,61.202,57.692,56.985
80,2,1,59.231,62.062,59.231,57.958
81,2,1,54.615,56.344,54.615,54.151
82,2,1,59.231,61.812,59.231,58.729
83,2,1,57.692,58.222,57.692,56.44
84,2,1,56.154,58.686,56.154,55.064
85,2,1,56.923,57.668,56.923,55.913
86,2,1,52.308,54.98,52.308,52.194
87,2,1,55.385,56.461,55.385,54.877
88,2,1,55.385,56.461,55.385,54.877
89,2,1,54.615,56.219,54.615,54.109
90,2,1,54.615,56.219,54.615,54.109
91,2,1,60.0,60.646,60.0,59.063
92,2,1,55.385,57.255,55.385,54.848
93,2,1,55.385,56.283,55.385,53.858
94,2,1,55.385,56.283,55.385,53.858
95,2,1,59.231,60.465,59.231,58.215
96,2,1,59.231,60.465,59.231,58.215
97,2,1,54.615,54.372,54.615,52.792
98,2,1,54.615,54.372,54.615,52.792
99,2,1,62.308,63.628,62.308,61.721
100,2,1,56.154,60.835,56.154,55.782
0,2,2,55.385,54.308,55.385,54.549
1,2,2,58.462,57.688,58.462,57.239
2,2,2,58.462,57.83,58.462,57.473
3,2,2,60.0,60.152,60.0,59.696
4,2,2,60.0,60.152,60.0,59.696
5,2,2,57.692,56.703,57.692,56.456
6,2,2,57.692,56.703,57.692,56.456
7,2,2,57.692,56.83,57.692,56.521
8,2,2,53.846,52.949,53.846,52.977
9,2,2,52.308,51.867,52.308,51.262
10,2,2,52.308,51.867,52.308,51.262
11,2,2,54.615,54.163,54.615,53.774
12,2,2,54.615,54.163,54.615,53.774
13,2,2,53.846,53.485,53.846,53.037
14,2,2,53.846,53.485,53.846,53.037
15,2,2,56.154,55.927,56.154,55.352
16,2,2,56.154,55.927,56.154,55.352
17,2,2,59.231,61.373,59.231,58.318
18,2,2,60.769,60.921,60.769,60.321
19,2,2,60.0,58.927,60.0,58.582
20,2,2,60.0,58.927,60.0,58.582
21,2,2,56.154,56.713,56.154,55.89
22,2,2,56.154,56.713,56.154,55.89
23,2,2,60.0,60.231,60.0,58.882
24,2,2,60.0,61.101,60.0,59.772
25,2,2,59.231,61.017,59.231,58.595
26,2,2,59.231,61.017,59.231,58.595
27,2,2,61.538,61.764,61.538,60.691
28,2,2,61.538,61.764,61.538,60.691
29,2,2,60.769,63.279,60.769,61.157
30,2,2,60.769,63.279,60.769,61.157
31,2,2,64.615,67.203,64.615,64.573
32,2,2,59.231,59.629,59.231,58.683
33,2,2,59.231,59.342,59.231,58.802
34,2,2,60.0,59.144,60.0,58.45
35,2,2,64.615,64.986,64.615,64.075
36,2,2,64.615,64.986,64.615,64.075
37,2,2,63.846,63.704,63.846,63.294
38,2,2,64.615,65.586,64.615,64.28
39,2,2,63.846,65.327,63.846,63.091
40,2,2,63.846,65.327,63.846,63.091
41,2,2,64.615,66.567,64.615,63.287
42,2,2,60.769,63.3,60.769,59.16
43,2,2,63.077,63.189,63.077,61.951
44,2,2,63.077,63.189,63.077,61.951
45,2,2,63.077,63.853,63.077,61.787
46,2,2,66.154,66.717,66.154,65.404
47,2,2,59.231,58.32,59.231,57.832
48,2,2,59.231,58.32,59.231,57.832
49,2,2,62.308,63.447,62.308,61.45
50,2,2,61.538,61.583,61.538,61.069
51,2,2,61.538,60.833,61.538,60.331
52,2,2,61.538,60.833,61.538,60.331
53,2,2,64.615,65.179,64.615,63.656
54,2,2,66.154,66.948,66.154,65.047
55,2,2,64.615,63.823,64.615,63.509
56,2,2,64.615,63.823,64.615,63.509
57,2,2,62.308,64.192,62.308,61.517
58,2,2,64.615,64.518,64.615,63.813
59,2,2,63.077,63.805,63.077,61.798
60,2,2,63.077,63.805,63.077,61.798
61,2,2,58.462,57.312,58.462,56.737
62,2,2,61.538,60.266,61.538,59.52
63,2,2,62.308,63.155,62.308,61.513
64,2,2,63.846,64.173,63.846,62.181
65,2,2,62.308,61.612,62.308,60.906
66,2,2,62.308,62.595,62.308,61.281
67,2,2,62.308,62.224,62.308,61.597
68,2,2,62.308,62.224,62.308,61.597
69,2,2,62.308,63.484,62.308,61.007
70,2,2,62.308,63.484,62.308,61.007
71,2,2,61.538,61.853,61.538,60.449
72,2,2,61.538,61.853,61.538,60.449
73,2,2,61.538,61.467,61.538,60.133
74,2,2,61.538,61.467,61.538,60.133
75,2,2,64.615,63.887,64.615,63.045
76,2,2,65.385,67.004,65.385,64.657
77,2,2,61.538,59.749,61.538,59.302
78,2,2,64.615,64.621,64.615,62.86
79,2,2,65.385,64.21,65.385,64.166
80,2,2,65.385,64.21,65.385,64.166
81,2,2,66.154,65.402,66.154,65.452
82,2,2,68.462,68.472,68.462,67.992
83,2,2,66.154,66.166,66.154,65.165
84,2,2,66.154,66.166,66.154,65.165
85,2,2,65.385,65.581,65.385,64.604
86,2,2,65.385,65.581,65.385,64.604
87,2,2,63.846,62.733,63.846,62.15
88,2,2,65.385,65.104,65.385,63.653
89,2,2,63.846,62.913,63.846,61.907
90,2,2,63.846,64.8,63.846,62.928
91,2,2,66.923,66.293,66.923,66.116
92,2,2,66.923,66.293,66.923,66.116
93,2,2,62.308,61.356,62.308,61.271
94,2,2,63.077,63.105,63.077,62.426
95,2,2,66.923,65.95,66.923,66.118
96,2,2,66.923,65.95,66.923,66.118
97,2,2,66.923,67.124,66.923,66.296
98,2,2,66.923,67.124,66.923,66.296
99,2,2,63.846,63.848,63.846,62.611
100,2,2,63.077,63.196,63.077,62.181
0,5,0,53.846,55.495,53.846,53.715
1,5,0,57.692,60.906,57.692,58.204
2,5,0,55.385,58.224,55.385,55.391
3,5,0,53.077,53.27,53.077,51.855
4,5,0,53.846,54.832,53.846,53.548
5,5,0,61.538,63.793,61.538,61.655
6,5,0,61.538,63.793,61.538,61.655
7,5,0,56.154,57.072,56.154,55.113
8,5,0,56.154,57.072,56.154,55.113
9,5,0,60.769,63.211,60.769,60.86
10,5,0,60.769,63.211,60.769,60.86
11,5,0,59.231,61.434,59.231,58.526
12,5,0,59.231,61.434,59.231,58.526
13,5,0,62.308,67.16,62.308,62.048
14,5,0,59.231,63.276,59.231,58.815
15,5,0,62.308,65.751,62.308,61.552
16,5,0,57.692,60.87,57.692,57.69
17,5,0,59.231,62.027,59.231,59.352
18,5,0,58.462,60.823,58.462,58.115
19,5,0,55.385,58.246,55.385,55.183
