iter,step,fold,acc,prec,rec,f1score
0,2,0,38.462,40.399,38.462,38.612
1,2,0,41.538,43.286,41.538,41.787
2,2,0,43.077,45.781,43.077,43.502
3,2,0,43.077,45.343,43.077,43.306
4,2,0,43.077,45.745,43.077,43.36
5,2,0,43.077,45.745,43.077,43.36
6,2,0,39.231,42.337,39.231,39.551
7,2,0,39.231,42.337,39.231,39.551
8,2,0,39.231,42.105,39.231,39.494
9,2,0,40.769,43.343,40.769,40.907
10,2,0,40.769,43.601,40.769,41.006
11,2,0,40.769,43.864,40.769,41.07
12,2,0,39.231,42.196,39.231,39.328
13,2,0,38.462,41.719,38.462,38.744
14,2,0,39.231,42.455,39.231,39.163
15,2,0,38.462,42.393,38.462,38.54
16,2,0,39.231,43.477,39.231,39.418
17,2,0,40.0,44.14,40.0,39.907
18,2,0,40.0,44.105,40.0,39.874
19,2,0,40.0,44.105,40.0,39.874
20,2,0,40.0,44.105,40.0,39.874
21,2,0,40.0,44.558,40.0,39.944
22,2,0,40.0,44.45,40.0,40.213
23,2,0,40.0,44.786,40.0,39.916
24,2,0,42.308,46.113,42.308,42.15
25,2,0,41.538,45.57,41.538,41.408
26,2,0,43.077,47.046,43.077,43.153
27,2,0,45.385,49.479,45.385,45.884
28,2,0,44.615,50.301,44.615,45.433
29,2,0,45.385,51.435,45.385,46.408
30,2,0,46.154,51.142,46.154,47.012
31,2,0,44.615,48.936,44.615,45.237
32,2,0,44.615,49.329,44.615,45.267
33,2,0,42.308,47.152,42.308,43.003
34,2,0,40.769,44.575,40.769,41.374
35,2,0,43.077,46.909,43.077,43.563
36,2,0,43.846,47.701,43.846,44.42
37,2,0,43.077,46.604,43.077,43.574
38,2,0,43.846,47.462,43.846,44.437
39,2,0,43.846,48.076,43.846,44.577
40,2,0,45.385,49.442,45.385,45.824
41,2,0,46.154,50.273,46.154,46.649
42,2,0,46.923,50.906,46.923,47.375
43,2,0,47.692,51.858,47.692,48.048
44,2,0,49.231,53.297,49.231,49.643
45,2,0,49.231,53.297,49.231,49.643
46,2,0,49.231,53.297,49.231,49.643
47,2,0,50.0,53.558,50.0,50.426
48,2,0,49.231,53.029,49.231,49.616
49,2,0,50.769,54.246,50.769,51.042
50,2,0,52.308,55.604,52.308,52.614
51,2,0,54.615,58.94,54.615,55.093
52,2,0,54.615,58.94,54.615,55.093
53,2,0,55.385,59.748,55.385,55.927
54,2,0,54.615,59.036,54.615,55.139
55,2,0,54.615,59.036,54.615,55.139
56,2,0,55.385,59.384,55.385,55.988
57,2,0,55.385,59.384,55.385,55.988
58,2,0,55.385,59.586,55.385,56.082
59,2,0,56.923,58.936,56.923,57.236
60,2,0,57.692,58.934,57.692,57.815
61,2,0,57.692,58.934,57.692,57.815
62,2,0,56.923,57.966,56.923,56.935
63,2,0,56.923,57.808,56.923,56.792
64,2,0,56.923,57.865,56.923,56.737
65,2,0,58.462,59.517,58.462,58.288
66,2,0,58.462,59.517,58.462,58.288
67,2,0,58.462,59.436,58.462,58.274
68,2,0,55.385,56.348,55.385,55.137
69,2,0,57.692,58.69,57.692,57.41
70,2,0,58.462,59.631,58.462,58.175
71,2,0,58.462,59.631,58.462,58.175
72,2,0,58.462,59.631,58.462,58.175
73,2,0,58.462,59.377,58.462,58.112
74,2,0,57.692,58.879,57.692,57.435
75,2,0,57.692,58.918,57.692,57.4
76,2,0,58.462,59.682,58.462,58.203
77,2,0,58.462,58.957,58.462,58.216
78,2,0,58.462,58.957,58.462,58.216
79,2,0,60.0,60.886,60.0,59.917
80,2,0,60.0,60.886,60.0,59.917
81,2,0,60.769,61.544,60.769,60.726
82,2,0,60.0,60.813,60.0,60.026
83,2,0,58.462,59.552,58.462,58.531
84,2,0,58.462,59.552,58.462,58.531
85,2,0,58.462,59.552,58.462,58.531
86,2,0,58.462,59.552,58.462,58.531
87,2,0,57.692,59.131,57.692,57.828
88,2,0,57.692,59.131,57.692,57.828
89,2,0,58.462,59.705,58.462,58.554
90,2,0,58.462,59.212,58.462,58.433
91,2,0,58.462,59.212,58.462,58.433
92,2,0,59.231,59.805,59.231,59.151
93,2,0,59.231,59.805,59.231,59.151
94,2,0,59.231,59.805,59.231,59.151
95,2,0,59.231,59.805,59.231,59.151
96,2,0,59.231,59.805,59.231,59.151
97,2,0,60.0,60.653,60.0,59.813
98,2,0,60.0,60.672,60.0,59.778
99,2,0,60.0,60.656,60.0,59.768
100,2,0,61.538,62.216,61.538,61.389
0,2,1,45.385,49.312,45.385,45.457
1,2,1,46.154,49.943,46.154,46.121
2,2,1,46.154,49.943,46.154,46.121
3,2,1,46.154,49.36,46.154,46.078
4,2,1,48.462,51.566,48.462,48.536
5,2,1,48.462,52.291,48.462,48.659
6,2,1,48.462,51.845,48.462,48.595
7,2,1,49.231,52.471,49.231,49.457
8,2,1,50.0,53.063,50.0,50.176
9,2,1,50.0,52.938,50.0,50.113
10,2,1,50.0,52.936,50.0,50.172
11,2,1,49.231,53.282,49.231,49.697
12,2,1,48.462,52.423,48.462,48.984
13,2,1,49.231,53.335,49.231,49.883
14,2,1,51.538,56.394,51.538,52.227
15,2,1,51.538,56.394,51.538,52.227
16,2,1,51.538,55.626,51.538,52.094
17,2,1,53.077,56.113,53.077,53.388
18,2,1,53.846,56.741,53.846,54.171
19,2,1,55.385,57.757,55.385,55.772
20,2,1,53.846,56.165,53.846,54.059
21,2,1,53.077,55.344,53.077,53.394
22,2,1,53.077,55.344,53.077,53.394
23,2,1,53.846,56.123,53.846,54.221
24,2,1,54.615,57.432,54.615,55.058
25,2,1,54.615,57.432,54.615,55.058
26,2,1,55.385,59.25,55.385,55.945
27,2,1,55.385,59.25,55.385,55.945
28,2,1,53.846,57.742,53.846,54.277
29,2,1,53.077,56.789,53.077,53.437
30,2,1,54.615,57.132,54.615,54.436
31,2,1,55.385,57.919,55.385,55.153
32,2,1,56.154,58.721,56.154,56.037
33,2,1,56.923,59.653,56.923,56.914
34,2,1,59.231,61.67,59.231,59.21
35,2,1,59.231,61.67,59.231,59.21
36,2,1,58.462,59.636,58.462,58.242
37,2,1,59.231,60.326,59.231,59.039
38,2,1,57.692,58.93,57.692,57.658
39,2,1,56.154,57.56,56.154,56.363
40,2,1,55.385,56.722,55.385,55.604
41,2,1,55.385,56.722,55.385,55.604
42,2,1,55.385,56.722,55.385,55.604
43,2,1,56.154,57.13,56.154,56.179
44,2,1,57.692,59.485,57.692,57.927
45,2,1,57.692,59.632,57.692,57.759
46,2,1,58.462,60.503,58.462,58.517
47,2,1,57.692,60.406,57.692,58.125
48,2,1,58.462,60.925,58.462,58.855
49,2,1,59.231,62.066,59.231,59.77
50,2,1,59.231,61.64,59.231,59.749
51,2,1,59.231,61.64,59.231,59.749
52,2,1,58.462,61.186,58.462,59.047
