iter,step,fold,acc,prec,rec,f1score
0,2,0,38.462,40.399,38.462,38.612
1,2,0,40.769,45.109,40.769,41.587
2,2,0,41.538,46.585,41.538,42.398
3,2,0,39.231,44.386,39.231,40.039
4,2,0,39.231,44.386,39.231,40.039
5,2,0,40.769,45.538,40.769,41.699
6,2,0,40.769,45.538,40.769,41.699
7,2,0,42.308,47.776,42.308,43.187
8,2,0,44.615,49.177,44.615,44.873
9,2,0,44.615,49.177,44.615,44.873
10,2,0,44.615,49.177,44.615,44.873
11,2,0,44.615,49.177,44.615,44.873
12,2,0,43.846,47.822,43.846,43.681
13,2,0,46.154,50.362,46.154,46.199
14,2,0,46.154,50.362,46.154,46.199
15,2,0,46.154,50.0,46.154,46.093
16,2,0,46.154,50.0,46.154,46.093
17,2,0,47.692,51.843,47.692,47.36
18,2,0,48.462,52.11,48.462,47.966
19,2,0,48.462,52.338,48.462,48.123
20,2,0,47.692,51.1,47.692,47.19
21,2,0,48.462,50.698,48.462,47.834
22,2,0,48.462,50.698,48.462,47.834
23,2,0,48.462,50.698,48.462,47.834
24,2,0,48.462,50.698,48.462,47.834
25,2,0,50.0,51.28,50.0,49.086
26,2,0,50.0,50.917,50.0,48.887
27,2,0,51.538,52.691,51.538,50.697
28,2,0,52.308,52.728,52.308,51.08
29,2,0,52.308,52.618,52.308,51.109
30,2,0,52.308,52.618,52.308,51.109
31,2,0,50.769,50.923,50.769,49.401
32,2,0,50.769,50.923,50.769,49.401
33,2,0,50.769,51.152,50.769,49.504
34,2,0,50.769,50.783,50.769,49.372
35,2,0,50.0,49.6,50.0,48.258
36,2,0,50.0,49.6,50.0,48.258
37,2,0,50.769,50.78,50.769,48.772
38,2,0,50.769,50.78,50.769,48.772
39,2,0,51.538,51.875,51.538,49.896
40,2,0,51.538,51.875,51.538,49.896
41,2,0,51.538,50.724,51.538,49.465
42,2,0,51.538,50.724,51.538,49.465
43,2,0,52.308,52.003,52.308,50.608
44,2,0,52.308,52.003,52.308,50.608
45,2,0,51.538,51.098,51.538,49.606
46,2,0,52.308,52.087,52.308,50.538
47,2,0,52.308,52.087,52.308,50.538
48,2,0,50.769,50.141,50.769,48.615
49,2,0,51.538,51.248,51.538,49.602
50,2,0,50.769,50.456,50.769,48.703
51,2,0,50.769,50.881,50.769,48.819
52,2,0,50.769,51.442,50.769,48.967
53,2,0,51.538,52.829,51.538,49.663
54,2,0,51.538,52.829,51.538,49.663
55,2,0,52.308,53.945,52.308,50.656
56,2,0,52.308,53.945,52.308,50.656
57,2,0,52.308,53.945,52.308,50.656
58,2,0,52.308,53.945,52.308,50.656
59,2,0,52.308,53.945,52.308,50.656
60,2,0,52.308,53.945,52.308,50.656
61,2,0,53.077,54.846,53.077,51.572
62,2,0,53.077,54.846,53.077,51.572
63,2,0,53.077,54.846,53.077,51.572
64,2,0,53.077,54.846,53.077,51.572
65,2,0,55.385,57.56,55.385,53.789
66,2,0,55.385,57.56,55.385,53.789
67,2,0,56.154,59.393,56.154,54.741
68,2,0,56.154,59.393,56.154,54.741
69,2,0,56.923,60.375,56.923,55.352
70,2,0,56.154,59.587,56.154,54.641
71,2,0,56.154,58.572,56.154,54.749
72,2,0,56.154,58.572,56.154,54.749
73,2,0,56.923,60.669,56.923,55.811
74,2,0,56.923,60.669,56.923,55.811
75,2,0,56.923,60.669,56.923,55.811
76,2,0,56.154,59.298,56.154,55.023
77,2,0,56.154,59.447,56.154,55.117
78,2,0,56.154,59.447,56.154,55.117
79,2,0,56.154,60.09,56.154,54.983
80,2,0,56.154,60.09,56.154,54.983
81,2,0,58.462,61.833,58.462,57.105
82,2,0,57.692,61.05,57.692,56.367
83,2,0,57.692,61.05,57.692,56.367
84,2,0,57.692,61.05,57.692,56.367
85,2,0,57.692,61.05,57.692,56.367
86,2,0,57.692,61.05,57.692,56.367
87,2,0,59.231,62.789,59.231,58.184
88,2,0,59.231,62.789,59.231,58.184
89,2,0,59.231,62.789,59.231,58.184
90,2,0,60.769,66.073,60.769,59.729
91,2,0,60.769,66.073,60.769,59.729
92,2,0,60.769,66.073,60.769,59.729
93,2,0,60.769,66.073,60.769,59.729
94,2,0,60.769,66.073,60.769,59.729
95,2,0,60.0,65.626,60.0,59.091
96,2,0,60.0,65.626,60.0,59.091
97,2,0,60.769,66.073,60.769,59.729
98,2,0,60.769,64.944,60.769,59.972
99,2,0,60.769,64.944,60.769,59.972
100,2,0,60.769,64.944,60.769,59.972
0,2,1,45.385,49.312,45.385,45.457
1,2,1,44.615,47.543,44.615,44.474
2,2,1,44.615,47.754,44.615,44.509
3,2,1,46.923,49.697,46.923,46.853
4,2,1,46.923,49.585,46.923,46.798
5,2,1,46.923,48.814,46.923,46.536
6,2,1,46.154,47.274,46.154,45.769
7,2,1,46.923,48.318,46.923,46.751
8,2,1,46.923,48.318,46.923,46.751
9,2,1,46.923,48.318,46.923,46.751
10,2,1,46.923,48.318,46.923,46.751
11,2,1,47.692,49.083,47.692,47.603
12,2,1,46.923,48.47,46.923,46.769
13,2,1,46.923,48.546,46.923,46.701
14,2,1,46.923,48.165,46.923,46.557
15,2,1,46.154,47.138,46.154,45.742
16,2,1,45.385,46.724,45.385,45.172
17,2,1,44.615,45.817,44.615,44.311
