iter,step,fold,acc,prec,rec,f1score
0,2,0,38.462,40.399,38.462,38.612
1,2,0,36.923,38.084,36.923,36.789
2,2,0,37.692,39.235,37.692,37.555
3,2,0,37.692,39.235,37.692,37.555
4,2,0,37.692,39.235,37.692,37.555
5,2,0,38.462,40.222,38.462,38.328
6,2,0,38.462,40.222,38.462,38.328
7,2,0,38.462,40.222,38.462,38.328
8,2,0,38.462,40.222,38.462,38.328
9,2,0,37.692,40.536,37.692,37.936
10,2,0,37.692,40.536,37.692,37.936
11,2,0,38.462,40.976,38.462,38.695
12,2,0,38.462,40.976,38.462,38.695
13,2,0,36.923,38.343,36.923,37.242
14,2,0,36.923,38.343,36.923,37.242
15,2,0,36.923,38.343,36.923,37.242
16,2,0,36.923,38.343,36.923,37.242
17,2,0,37.692,39.064,37.692,37.988
18,2,0,37.692,39.064,37.692,37.988
19,2,0,38.462,40.078,38.462,38.659
20,2,0,38.462,39.228,38.462,38.142
21,2,0,39.231,40.442,39.231,39.21
22,2,0,39.231,40.442,39.231,39.21
23,2,0,39.231,40.181,39.231,39.062
24,2,0,39.231,40.181,39.231,39.062
25,2,0,38.462,39.495,38.462,38.362
26,2,0,38.462,39.495,38.462,38.362
27,2,0,39.231,40.542,39.231,39.236
28,2,0,39.231,40.542,39.231,39.236
29,2,0,40.0,42.318,40.0,40.231
30,2,0,40.0,42.318,40.0,40.231
31,2,0,40.769,43.051,40.769,41.025
32,2,0,41.538,43.856,41.538,41.972
33,2,0,40.769,43.539,40.769,41.515
34,2,0,41.538,44.669,41.538,42.297
35,2,0,43.077,45.653,43.077,43.729
36,2,0,43.077,45.653,43.077,43.729
37,2,0,43.846,45.991,43.846,44.37
38,2,0,43.846,45.991,43.846,44.37
39,2,0,43.077,44.956,43.077,43.432
40,2,0,43.077,44.956,43.077,43.432
41,2,0,43.077,44.956,43.077,43.432
42,2,0,43.077,44.956,43.077,43.432
43,2,0,43.077,44.956,43.077,43.432
44,2,0,44.615,46.178,44.615,44.804
45,2,0,44.615,46.178,44.615,44.804
46,2,0,45.385,46.886,45.385,45.6
47,2,0,46.923,48.924,46.923,47.332
48,2,0,46.923,48.924,46.923,47.332
49,2,0,47.692,49.573,47.692,48.041
50,2,0,47.692,49.573,47.692,48.041
51,2,0,50.0,51.389,50.0,50.134
52,2,0,50.0,51.389,50.0,50.134
53,2,0,50.0,51.389,50.0,50.134
54,2,0,50.0,51.389,50.0,50.134
55,2,0,50.0,51.454,50.0,50.166
56,2,0,50.0,51.454,50.0,50.166
57,2,0,49.231,50.865,49.231,49.534
58,2,0,49.231,50.865,49.231,49.534
59,2,0,50.0,52.045,50.0,50.183
60,2,0,50.0,52.045,50.0,50.183
61,2,0,51.538,52.991,51.538,51.587
62,2,0,52.308,53.8,52.308,52.427
63,2,0,52.308,53.47,52.308,52.426
64,2,0,52.308,53.47,52.308,52.426
65,2,0,53.077,54.805,53.077,53.145
66,2,0,53.077,54.805,53.077,53.145
67,2,0,52.308,53.801,52.308,52.456
68,2,0,52.308,53.801,52.308,52.456
69,2,0,53.077,54.352,53.077,53.128
70,2,0,53.077,54.352,53.077,53.128
71,2,0,53.077,54.046,53.077,53.073
72,2,0,53.077,54.055,53.077,53.098
73,2,0,53.077,54.055,53.077,53.098
74,2,0,57.692,59.132,57.692,58.109
75,2,0,57.692,59.132,57.692,58.109
76,2,0,57.692,59.132,57.692,58.109
77,2,0,57.692,59.3,57.692,58.106
78,2,0,57.692,59.3,57.692,58.106
79,2,0,57.692,59.3,57.692,58.106
80,2,0,57.692,59.3,57.692,58.106
81,2,0,58.462,59.974,58.462,58.661
82,2,0,58.462,59.974,58.462,58.661
83,2,0,58.462,59.974,58.462,58.661
84,2,0,58.462,59.974,58.462,58.661
85,2,0,59.231,60.935,59.231,59.516
86,2,0,59.231,60.935,59.231,59.516
87,2,0,59.231,60.935,59.231,59.516
88,2,0,59.231,60.935,59.231,59.516
89,2,0,60.0,61.398,60.0,60.223
90,2,0,59.231,60.673,59.231,59.392
91,2,0,59.231,60.673,59.231,59.392
92,2,0,59.231,60.673,59.231,59.392
93,2,0,58.462,59.839,58.462,58.69
94,2,0,58.462,59.839,58.462,58.69
