iter,step,fold,acc,prec,rec,f1score
0,2,0,38.462,40.399,38.462,38.612
1,2,0,39.231,41.513,39.231,39.361
2,2,0,39.231,41.513,39.231,39.361
3,2,0,39.231,41.513,39.231,39.361
4,2,0,40.0,42.408,40.0,40.274
5,2,0,40.0,42.408,40.0,40.274
6,2,0,40.0,42.408,40.0,40.274
7,2,0,40.0,42.408,40.0,40.274
8,2,0,40.0,42.408,40.0,40.274
9,2,0,40.0,42.408,40.0,40.274
10,2,0,40.0,42.408,40.0,40.274
11,2,0,40.0,42.408,40.0,40.274
12,2,0,42.308,44.981,42.308,42.263
13,2,0,42.308,44.981,42.308,42.263
14,2,0,42.308,44.981,42.308,42.263
15,2,0,42.308,44.981,42.308,42.263
16,2,0,42.308,44.981,42.308,42.263
17,2,0,42.308,44.981,42.308,42.263
18,2,0,42.308,44.981,42.308,42.263
19,2,0,42.308,44.981,42.308,42.263
20,2,0,42.308,45.069,42.308,42.325
21,2,0,42.308,45.069,42.308,42.325
22,2,0,42.308,45.069,42.308,42.325
23,2,0,42.308,45.069,42.308,42.325
24,2,0,42.308,45.069,42.308,42.325
25,2,0,43.077,45.555,43.077,43.131
26,2,0,43.077,45.555,43.077,43.131
27,2,0,43.077,45.555,43.077,43.131
28,2,0,46.923,49.415,46.923,47.164
29,2,0,46.923,49.415,46.923,47.164
30,2,0,46.923,49.415,46.923,47.164
31,2,0,46.923,49.415,46.923,47.164
32,2,0,46.923,49.415,46.923,47.164
33,2,0,46.923,49.415,46.923,47.164
34,2,0,46.923,49.415,46.923,47.164
35,2,0,46.923,49.415,46.923,47.164
36,2,0,46.923,49.415,46.923,47.164
37,2,0,48.462,50.578,48.462,48.371
38,2,0,48.462,50.578,48.462,48.371
39,2,0,48.462,50.578,48.462,48.371
40,2,0,48.462,50.578,48.462,48.371
41,2,0,48.462,50.578,48.462,48.371
42,2,0,48.462,50.578,48.462,48.371
43,2,0,48.462,50.578,48.462,48.371
44,2,0,48.462,50.578,48.462,48.371
45,2,0,48.462,50.701,48.462,48.423
46,2,0,48.462,50.701,48.462,48.423
47,2,0,48.462,50.701,48.462,48.423
48,2,0,48.462,50.701,48.462,48.423
49,2,0,48.462,50.701,48.462,48.423
50,2,0,48.462,50.701,48.462,48.423
51,2,0,48.462,50.701,48.462,48.423
52,2,0,48.462,50.217,48.462,48.253
53,2,0,48.462,50.217,48.462,48.253
54,2,0,48.462,50.217,48.462,48.253
55,2,0,48.462,50.217,48.462,48.253
56,2,0,48.462,50.217,48.462,48.253
57,2,0,48.462,50.217,48.462,48.253
58,2,0,48.462,50.217,48.462,48.253
59,2,0,48.462,50.217,48.462,48.253
60,2,0,48.462,50.217,48.462,48.253
61,2,0,48.462,50.217,48.462,48.253
62,2,0,48.462,50.217,48.462,48.253
63,2,0,48.462,50.217,48.462,48.253
64,2,0,48.462,50.217,48.462,48.253
65,2,0,48.462,50.217,48.462,48.253
66,2,0,48.462,50.217,48.462,48.253
67,2,0,48.462,50.217,48.462,48.253
68,2,0,49.231,50.934,49.231,49.224
69,2,0,49.231,50.934,49.231,49.224
70,2,0,49.231,50.934,49.231,49.224
71,2,0,49.231,50.934,49.231,49.224
72,2,0,49.231,50.934,49.231,49.224
73,2,0,49.231,50.934,49.231,49.224
74,2,0,49.231,50.934,49.231,49.224
75,2,0,49.231,50.934,49.231,49.224
76,2,0,49.231,50.934,49.231,49.224
77,2,0,49.231,50.934,49.231,49.224
