iter,step,fold,acc,prec,rec,f1score
0,2,0,42.308,42.993,42.308,41.888
1,2,0,43.846,46.415,43.846,44.178
2,2,0,44.615,47.018,44.615,44.955
3,2,0,43.846,46.232,43.846,44.254
4,2,0,43.846,46.626,43.846,44.525
5,2,0,44.615,47.925,44.615,45.181
6,2,0,45.385,48.812,45.385,46.191
7,2,0,47.692,50.726,47.692,48.34
8,2,0,48.462,51.508,48.462,48.949
9,2,0,46.923,50.543,46.923,47.265
10,2,0,51.538,54.957,51.538,52.174
11,2,0,53.846,58.106,53.846,54.889
12,2,0,52.308,56.438,52.308,53.391
13,2,0,51.538,55.424,51.538,52.572
14,2,0,51.538,55.058,51.538,52.637
15,2,0,53.846,57.908,53.846,55.154
16,2,0,51.538,55.78,51.538,52.864
17,2,0,53.846,58.264,53.846,55.082
18,2,0,51.538,55.42,51.538,52.656
19,2,0,54.615,57.842,54.615,55.544
20,2,0,56.154,58.542,56.154,56.894
21,2,0,53.846,56.924,53.846,54.624
22,2,0,56.154,58.969,56.154,56.997
23,2,0,55.385,58.294,55.385,56.147
24,2,0,53.846,56.831,53.846,54.515
25,2,0,54.615,58.024,54.615,55.353
26,2,0,54.615,58.145,54.615,55.484
27,2,0,58.462,61.526,58.462,59.023
28,2,0,56.154,59.273,56.154,56.856
29,2,0,58.462,61.655,58.462,59.162
30,2,0,57.692,61.346,57.692,58.467
31,2,0,54.615,57.994,54.615,55.314
32,2,0,53.846,57.161,53.846,54.514
33,2,0,55.385,58.523,55.385,56.186
34,2,0,56.923,59.628,56.923,57.687
35,2,0,58.462,61.399,58.462,59.24
36,2,0,60.769,62.539,60.769,61.23
37,2,0,60.769,62.002,60.769,61.008
38,2,0,58.462,61.028,58.462,59.111
39,2,0,60.0,61.689,60.0,60.348
40,2,0,60.0,62.144,60.0,60.468
41,2,0,60.0,61.773,60.0,60.367
42,2,0,59.231,60.838,59.231,59.525
43,2,0,59.231,61.325,59.231,59.857
44,2,0,59.231,61.334,59.231,59.792
45,2,0,56.923,59.531,56.923,57.808
46,2,0,57.692,59.834,57.692,58.357
47,2,0,59.231,61.364,59.231,59.61
48,2,0,60.0,62.039,60.0,60.258
49,2,0,50.0,50.213,50.0,48.656
50,2,0,56.923,60.644,56.923,57.293
51,2,0,60.0,63.091,60.0,60.067
52,2,0,60.769,62.831,60.769,60.931
53,2,0,63.077,66.185,63.077,63.802
54,2,0,65.385,68.291,65.385,65.45
55,2,0,63.846,67.861,63.846,64.501
56,2,0,63.077,66.29,63.077,63.543
57,2,0,66.923,69.692,66.923,67.323
58,2,0,66.923,70.049,66.923,67.527
59,2,0,65.385,69.685,65.385,66.081
60,2,0,66.154,69.009,66.154,66.675
61,2,0,66.923,69.083,66.923,67.219
62,2,0,67.692,69.602,67.692,67.926
63,2,0,66.154,68.552,66.154,66.477
64,2,0,66.923,68.878,66.923,67.266
65,2,0,68.462,70.732,68.462,68.697
66,2,0,68.462,71.028,68.462,68.646
67,2,0,68.462,71.902,68.462,68.754
68,2,0,68.462,71.125,68.462,68.612
69,2,0,66.154,69.113,66.154,66.485
70,2,0,67.692,70.117,67.692,67.906
71,2,0,66.923,70.033,66.923,67.244
72,2,0,66.154,69.015,66.154,66.696
73,2,0,66.923,70.185,66.923,67.484
74,2,0,67.692,71.188,67.692,68.081
75,2,0,69.231,73.346,69.231,69.446
76,2,0,68.462,72.406,68.462,68.657
77,2,0,68.462,71.728,68.462,68.544
78,2,0,66.923,70.921,66.923,67.48
79,2,0,66.154,69.251,66.154,66.485
80,2,0,66.154,69.783,66.154,66.637
81,2,0,66.154,70.326,66.154,66.756
82,2,0,66.923,70.887,66.923,67.551
83,2,0,66.923,71.679,66.923,67.742
84,2,0,66.923,71.679,66.923,67.742
85,2,0,68.462,72.537,68.462,69.106
86,2,0,67.692,71.615,67.692,68.409
87,2,0,70.769,74.463,70.769,71.409
88,2,0,71.538,74.804,71.538,72.041
89,2,0,69.231,73.193,69.231,70.035
90,2,0,71.538,76.358,71.538,72.1
91,2,0,71.538,76.31,71.538,72.198
92,2,0,70.769,75.894,70.769,71.54
93,2,0,70.769,76.578,70.769,71.421
94,2,0,70.0,74.574,70.0,70.652
95,2,0,69.231,74.098,69.231,69.988
96,2,0,70.769,76.128,70.769,71.687
97,2,0,71.538,77.158,71.538,72.615
98,2,0,72.308,77.495,72.308,73.323
99,2,0,70.769,75.939,70.769,71.79
100,2,0,71.538,77.345,71.538,72.543
0,2,1,56.154,57.23,56.154,56.457
1,2,1,53.846,54.969,53.846,54.064
2,2,1,54.615,56.036,54.615,54.8
3,2,1,54.615,55.268,54.615,54.275
4,2,1,55.385,55.97,55.385,55.244
5,2,1,55.385,55.685,55.385,54.949
6,2,1,54.615,54.824,54.615,54.264
7,2,1,53.077,53.399,53.077,52.871
8,2,1,53.077,53.296,53.077,52.831
9,2,1,54.615,54.698,54.615,54.209
10,2,1,57.692,58.024,57.692,57.388
11,2,1,57.692,58.294,57.692,57.557
12,2,1,58.462,58.997,58.462,58.151
13,2,1,60.769,61.244,60.769,60.701
14,2,1,60.0,60.6,60.0,59.891
15,2,1,60.769,61.19,60.769,60.534
16,2,1,57.692,58.245,57.692,57.359
17,2,1,56.923,56.987,56.923,56.449
18,2,1,59.231,59.939,59.231,58.933
19,2,1,58.462,59.479,58.462,58.237
20,2,1,56.154,57.719,56.154,56.155
21,2,1,60.0,62.25,60.0,60.119
22,2,1,60.769,62.494,60.769,60.746
23,2,1,59.231,60.095,59.231,58.781
24,2,1,60.0,60.78,60.0,59.611
25,2,1,61.538,61.92,61.538,61.141
26,2,1,60.0,59.921,60.0,59.693
27,2,1,60.769,61.062,60.769,60.547
28,2,1,60.769,61.107,60.769,60.528
29,2,1,60.769,61.091,60.769,60.402
30,2,1,61.538,61.579,61.538,61.062
31,2,1,60.0,60.657,60.0,59.728
32,2,1,60.769,61.374,60.769,60.411
33,2,1,62.308,62.929,62.308,62.082
34,2,1,63.846,63.997,63.846,63.479
35,2,1,63.077,63.175,63.077,62.684
36,2,1,63.846,64.304,63.846,63.547
37,2,1,63.846,64.471,63.846,63.566
38,2,1,63.077,63.593,63.077,62.456
39,2,1,63.077,63.237,63.077,62.595
40,2,1,62.308,62.201,62.308,61.707
41,2,1,61.538,61.355,61.538,60.882
42,2,1,62.308,62.357,62.308,61.685
43,2,1,63.846,64.547,63.846,63.081
44,2,1,64.615,65.384,64.615,64.161
45,2,1,64.615,65.259,64.615,63.932
46,2,1,66.923,68.047,66.923,66.459
47,2,1,69.231,70.756,69.231,68.92
48,2,1,67.692,69.008,67.692,67.616
49,2,1,60.769,66.701,60.769,60.903
50,2,1,65.385,66.758,65.385,65.301
51,2,1,63.846,64.683,63.846,63.306
52,2,1,67.692,69.149,67.692,67.298
53,2,1,66.923,68.401,66.923,66.665
54,2,1,65.385,66.81,65.385,65.178
55,2,1,65.385,66.996,65.385,65.05
56,2,1,67.692,69.458,67.692,67.593
57,2,1,66.154,66.972,66.154,65.918
58,2,1,66.154,66.822,66.154,65.792
59,2,1,66.154,67.445,66.154,66.003
60,2,1,64.615,64.266,64.615,63.651
61,2,1,67.692,68.979,67.692,67.183
62,2,1,67.692,69.373,67.692,67.428
63,2,1,64.615,65.304,64.615,64.086
64,2,1,66.154,67.307,66.154,65.792
65,2,1,66.154,67.194,66.154,65.858
66,2,1,66.923,67.703,66.923,66.74
67,2,1,68.462,69.046,68.462,68.365
68,2,1,68.462,69.624,68.462,68.517
69,2,1,69.231,69.983,69.231,69.227
70,2,1,67.692,68.586,67.692,67.813
71,2,1,69.231,70.379,69.231,69.191
72,2,1,69.231,70.868,69.231,69.533
73,2,1,68.462,70.148,68.462,68.648
74,2,1,70.0,72.072,70.0,70.262
