iter,step,fold,acc,prec,rec,f1score
0,2,0,42.308,42.993,42.308,41.888
1,2,0,43.846,45.571,43.846,43.945
2,2,0,46.154,47.108,46.154,45.966
3,2,0,50.0,50.574,50.0,49.786
4,2,0,52.308,53.523,52.308,52.224
5,2,0,52.308,54.167,52.308,52.429
6,2,0,50.769,51.689,50.769,50.583
7,2,0,47.692,49.01,47.692,47.547
8,2,0,48.462,49.944,48.462,48.366
9,2,0,46.154,47.991,46.154,45.976
10,2,0,46.154,48.213,46.154,46.05
11,2,0,46.923,47.785,46.923,46.142
12,2,0,46.923,47.364,46.923,46.111
13,2,0,49.231,50.608,49.231,48.688
14,2,0,50.769,52.63,50.769,50.395
15,2,0,49.231,49.917,49.231,48.451
16,2,0,50.0,50.896,50.0,49.166
17,2,0,50.769,51.538,50.769,50.247
18,2,0,51.538,52.4,51.538,51.131
19,2,0,49.231,50.438,49.231,48.67
20,2,0,50.0,51.419,50.0,49.522
21,2,0,49.231,51.879,49.231,49.034
22,2,0,49.231,52.254,49.231,49.235
23,2,0,52.308,55.449,52.308,52.944
24,2,0,51.538,54.653,51.538,52.053
25,2,0,50.0,54.398,50.0,51.066
26,2,0,50.0,54.36,50.0,50.584
27,2,0,51.538,55.086,51.538,51.635
28,2,0,50.0,53.439,50.0,50.038
29,2,0,48.462,52.994,48.462,49.232
30,2,0,48.462,52.85,48.462,49.321
31,2,0,48.462,52.876,48.462,49.4
32,2,0,46.923,50.271,46.923,47.684
33,2,0,50.769,54.299,50.769,51.689
34,2,0,50.769,54.277,50.769,51.636
35,2,0,52.308,56.643,52.308,53.446
36,2,0,51.538,55.565,51.538,52.294
37,2,0,52.308,55.984,52.308,53.004
38,2,0,52.308,56.637,52.308,53.148
39,2,0,53.846,58.704,53.846,55.002
40,2,0,56.923,61.669,56.923,58.064
41,2,0,56.154,60.305,56.154,57.314
42,2,0,56.154,60.305,56.154,57.314
43,2,0,56.154,58.929,56.154,56.772
44,2,0,54.615,56.491,54.615,55.146
45,2,0,56.923,60.202,56.923,57.762
46,2,0,56.923,60.486,56.923,57.893
47,2,0,56.154,59.794,56.154,56.884
48,2,0,53.846,57.632,53.846,54.325
49,2,0,48.462,53.328,48.462,47.647
50,2,0,50.0,52.474,50.0,49.951
51,2,0,51.538,54.927,51.538,51.119
52,2,0,55.385,58.546,55.385,55.852
53,2,0,55.385,58.137,55.385,56.032
54,2,0,56.154,57.883,56.154,56.377
55,2,0,53.077,55.282,53.077,53.172
56,2,0,56.154,59.16,56.154,56.974
57,2,0,56.154,58.658,56.154,56.926
58,2,0,58.462,59.704,58.462,58.451
59,2,0,60.769,62.638,60.769,60.695
60,2,0,54.615,56.555,54.615,54.94
61,2,0,56.923,59.149,56.923,57.167
62,2,0,59.231,60.32,59.231,58.826
63,2,0,58.462,61.149,58.462,58.773
64,2,0,58.462,61.258,58.462,58.529
65,2,0,57.692,60.144,57.692,57.948
66,2,0,58.462,61.857,58.462,58.328
67,2,0,56.154,59.924,56.154,56.067
68,2,0,60.0,62.815,60.0,60.1
69,2,0,60.769,63.805,60.769,61.185
70,2,0,60.0,64.063,60.0,60.559
71,2,0,61.538,65.019,61.538,62.025
72,2,0,60.0,63.499,60.0,60.32
73,2,0,61.538,65.261,61.538,61.975
74,2,0,60.0,63.762,60.0,60.439
75,2,0,60.0,63.675,60.0,60.378
76,2,0,62.308,65.277,62.308,62.746
77,2,0,60.0,62.74,60.0,60.424
78,2,0,61.538,65.83,61.538,62.422
79,2,0,61.538,65.741,61.538,62.119
80,2,0,61.538,65.496,61.538,61.98
81,2,0,63.846,67.111,63.846,64.303
82,2,0,63.846,67.501,63.846,64.443
83,2,0,63.077,67.146,63.077,63.795
84,2,0,63.077,66.538,63.077,63.67
85,2,0,63.846,67.981,63.846,64.573
86,2,0,63.077,66.735,63.077,63.762
87,2,0,63.077,67.105,63.077,63.245
88,2,0,63.077,67.075,63.077,63.339
89,2,0,63.846,67.817,63.846,64.175
90,2,0,64.615,67.615,64.615,64.681
91,2,0,62.308,65.658,62.308,62.56
92,2,0,63.077,67.453,63.077,63.659
93,2,0,66.154,68.816,66.154,66.529
94,2,0,65.385,69.477,65.385,66.126
95,2,0,63.846,67.89,63.846,64.423
96,2,0,64.615,68.606,64.615,65.206
97,2,0,65.385,69.46,65.385,65.983
98,2,0,66.154,71.003,66.154,67.001
99,2,0,63.846,67.745,63.846,64.364
100,2,0,63.846,68.396,63.846,64.51
0,2,1,56.154,57.23,56.154,56.457
1,2,1,54.615,55.679,54.615,54.759
2,2,1,60.0,62.077,60.0,60.213
3,2,1,60.0,61.628,60.0,59.905
4,2,1,58.462,60.457,58.462,58.784
5,2,1,59.231,61.599,59.231,59.485
6,2,1,60.0,61.908,60.0,60.145
7,2,1,60.0,62.136,60.0,60.144
8,2,1,55.385,57.573,55.385,55.477
9,2,1,59.231,61.692,59.231,59.307
10,2,1,60.769,62.276,60.769,60.861
11,2,1,61.538,62.302,61.538,61.417
12,2,1,61.538,62.302,61.538,61.417
13,2,1,60.0,61.476,60.0,59.79
14,2,1,60.769,61.712,60.769,60.511
15,2,1,63.077,64.663,63.077,63.248
16,2,1,63.077,64.717,63.077,63.319
17,2,1,63.846,64.702,63.846,63.822
18,2,1,61.538,63.152,61.538,61.514
19,2,1,62.308,64.118,62.308,62.389
20,2,1,61.538,63.177,61.538,61.546
21,2,1,62.308,64.167,62.308,62.219
22,2,1,63.846,65.28,63.846,63.819
23,2,1,64.615,66.256,64.615,64.605
24,2,1,63.846,65.637,63.846,63.818
25,2,1,63.077,64.593,63.077,62.851
26,2,1,63.077,65.094,63.077,63.106
27,2,1,64.615,66.023,64.615,64.713
28,2,1,64.615,66.023,64.615,64.713
29,2,1,63.077,65.16,63.077,63.267
30,2,1,60.0,61.676,60.0,60.012
31,2,1,61.538,62.02,61.538,61.121
32,2,1,62.308,62.844,62.308,62.02
33,2,1,62.308,64.613,62.308,62.05
34,2,1,61.538,63.122,61.538,61.264
35,2,1,60.769,62.811,60.769,60.438
36,2,1,62.308,64.434,62.308,61.978
37,2,1,60.769,62.571,60.769,60.65
38,2,1,61.538,63.341,61.538,61.353
39,2,1,60.0,62.323,60.0,60.062
40,2,1,60.0,62.257,60.0,60.232
41,2,1,60.769,63.557,60.769,60.897
42,2,1,60.769,62.984,60.769,61.179
43,2,1,61.538,63.706,61.538,61.921
44,2,1,60.0,62.424,60.0,60.479
45,2,1,62.308,64.44,62.308,62.681
46,2,1,62.308,64.44,62.308,62.681
47,2,1,63.077,64.784,63.077,63.384
48,2,1,63.077,64.784,63.077,63.384
49,2,1,53.077,55.108,53.077,52.152
50,2,1,61.538,63.296,61.538,61.367
51,2,1,63.077,65.502,63.077,63.74
52,2,1,67.692,69.559,67.692,67.867
53,2,1,64.615,67.825,64.615,65.415
54,2,1,63.846,67.052,63.846,64.285
55,2,1,66.154,69.427,66.154,66.945
56,2,1,63.077,66.228,63.077,63.827
57,2,1,63.077,65.514,63.077,63.173
58,2,1,65.385,67.538,65.385,65.389
59,2,1,64.615,67.316,64.615,65.019
60,2,1,64.615,67.943,64.615,65.372
61,2,1,65.385,68.43,65.385,65.942
62,2,1,64.615,67.83,64.615,65.13
63,2,1,64.615,67.914,64.615,64.919
64,2,1,64.615,67.784,64.615,65.169
65,2,1,63.846,66.581,63.846,64.175
66,2,1,64.615,67.771,64.615,65.16
67,2,1,64.615,67.217,64.615,65.054
68,2,1,64.615,67.483,64.615,65.329
69,2,1,65.385,67.886,65.385,65.861
70,2,1,66.923,68.478,66.923,67.239
71,2,1,66.154,68.156,66.154,66.409
72,2,1,66.923,68.776,66.923,67.177
73,2,1,66.923,68.097,66.923,66.866
74,2,1,66.154,67.103,66.154,66.051
75,2,1,65.385,66.405,65.385,65.462
76,2,1,66.154,67.588,66.154,66.299
77,2,1,66.923,67.858,66.923,66.945
78,2,1,64.615,65.411,64.615,64.538
79,2,1,63.077,64.577,63.077,63.059
80,2,1,65.385,66.401,65.385,65.466
81,2,1,65.385,66.774,65.385,65.338
82,2,1,67.692,68.248,67.692,67.582
83,2,1,63.846,64.755,63.846,63.728
84,2,1,66.923,67.704,66.923,66.727
85,2,1,65.385,66.371,65.385,65.246
86,2,1,66.154,67.617,66.154,66.17
87,2,1,65.385,66.334,65.385,65.262
88,2,1,64.615,65.894,64.615,64.504
89,2,1,65.385,66.796,65.385,65.434
90,2,1,66.923,68.244,66.923,66.816
91,2,1,66.154,67.578,66.154,66.025
92,2,1,68.462,69.932,68.462,68.534
93,2,1,68.462,69.713,68.462,68.345
94,2,1,67.692,69.015,67.692,67.552
95,2,1,70.0,70.973,70.0,69.953
96,2,1,66.923,68.076,66.923,66.646
97,2,1,68.462,69.684,68.462,68.396
98,2,1,66.923,68.147,66.923,66.622
99,2,1,67.692,68.565,67.692,67.416
100,2,1,67.692,68.795,67.692,67.441
0,2,2,46.154,48.428,46.154,46.776
1,2,2,46.923,48.509,46.923,47.504
2,2,2,46.923,48.615,46.923,47.564
3,2,2,50.0,50.577,50.0,50.064
4,2,2,50.0,50.199,50.0,49.989
5,2,2,51.538,52.24,51.538,51.671
6,2,2,50.0,51.136,50.0,50.383
7,2,2,53.077,53.321,53.077,53.017
8,2,2,52.308,52.39,52.308,52.107
9,2,2,52.308,53.55,52.308,52.598
10,2,2,51.538,52.676,51.538,51.858
11,2,2,51.538,52.254,51.538,51.745
12,2,2,51.538,52.714,51.538,51.904
13,2,2,49.231,49.804,49.231,49.38
14,2,2,49.231,50.08,49.231,49.539
15,2,2,49.231,49.74,49.231,49.312
16,2,2,50.0,50.573,50.0,50.065
17,2,2,50.0,50.415,50.0,50.026
18,2,2,51.538,50.915,51.538,51.059
19,2,2,50.769,49.94,50.769,50.15
20,2,2,50.0,49.441,50.0,49.484
21,2,2,50.769,51.123,50.769,50.684
22,2,2,51.538,51.501,51.538,51.257
23,2,2,53.077,52.589,53.077,52.335
24,2,2,53.077,52.704,53.077,52.444
25,2,2,53.077,53.115,53.077,52.539
26,2,2,53.846,53.901,53.846,53.297
27,2,2,53.846,54.064,53.846,53.513
28,2,2,53.077,53.16,53.077,52.619
29,2,2,53.846,54.306,53.846,53.416
30,2,2,53.077,52.857,53.077,52.369
31,2,2,53.077,52.917,53.077,52.382
32,2,2,53.077,52.538,53.077,52.131
33,2,2,54.615,54.072,54.615,53.495
34,2,2,53.846,53.052,53.846,52.786
35,2,2,54.615,54.163,54.615,53.665
36,2,2,51.538,51.738,51.538,50.982
37,2,2,52.308,51.956,52.308,51.361
38,2,2,52.308,51.956,52.308,51.361
39,2,2,54.615,53.869,54.615,53.528
40,2,2,54.615,53.919,54.615,53.474
41,2,2,56.154,56.885,56.154,55.566
42,2,2,55.385,55.277,55.385,54.27
43,2,2,56.154,56.196,56.154,55.187
44,2,2,55.385,55.277,55.385,54.27
45,2,2,56.154,56.352,56.154,55.443
46,2,2,56.154,56.352,56.154,55.443
47,2,2,56.154,56.103,56.154,55.305
48,2,2,56.154,55.914,56.154,55.186
49,2,2,46.923,46.774,46.923,46.439
50,2,2,54.615,53.974,54.615,53.665
51,2,2,58.462,56.762,58.462,57.03
52,2,2,58.462,58.97,58.462,57.858
53,2,2,56.923,57.458,56.923,56.427
54,2,2,56.923,56.748,56.923,56.151
55,2,2,56.154,56.265,56.154,55.617
56,2,2,57.692,58.295,57.692,57.246
57,2,2,57.692,57.654,57.692,56.699
58,2,2,58.462,58.778,58.462,57.799
59,2,2,57.692,57.673,57.692,56.776
60,2,2,58.462,58.029,58.462,57.363
61,2,2,58.462,58.081,58.462,57.484
62,2,2,59.231,58.35,59.231,57.997
63,2,2,57.692,56.529,57.692,56.483
64,2,2,60.0,58.298,60.0,58.288
65,2,2,59.231,57.733,59.231,57.598
66,2,2,56.923,55.426,56.923,55.501
67,2,2,57.692,56.566,57.692,56.372
68,2,2,58.462,57.819,58.462,57.37
69,2,2,58.462,57.184,58.462,57.321
70,2,2,56.923,55.995,56.923,55.813
71,2,2,56.154,55.281,56.154,55.281
72,2,2,57.692,57.514,57.692,57.288
73,2,2,56.923,56.207,56.923,56.116
74,2,2,56.923,55.985,56.923,56.09
75,2,2,56.923,56.265,56.923,56.188
76,2,2,57.692,56.978,57.692,56.993
77,2,2,56.923,55.855,56.923,55.95
78,2,2,57.692,56.541,57.692,56.73
79,2,2,57.692,56.541,57.692,56.73
80,2,2,56.154,55.22,56.154,55.182
81,2,2,60.0,58.901,60.0,59.201
82,2,2,60.769,60.096,60.769,60.249
83,2,2,59.231,58.024,59.231,58.469
84,2,2,59.231,58.717,59.231,58.686
85,2,2,59.231,58.717,59.231,58.686
86,2,2,60.0,59.689,60.0,59.584
87,2,2,61.538,61.29,61.538,61.212
88,2,2,60.769,60.73,60.769,60.511
89,2,2,60.769,60.248,60.769,60.317
90,2,2,62.308,61.902,62.308,61.869
91,2,2,60.769,60.87,60.769,60.392
92,2,2,59.231,58.153,59.231,58.317
93,2,2,61.538,61.245,61.538,60.773
94,2,2,62.308,61.965,62.308,61.476
95,2,2,62.308,61.311,62.308,61.421
96,2,2,63.846,63.204,63.846,63.202
97,2,2,63.077,62.64,63.077,62.426
98,2,2,62.308,62.144,62.308,61.817
99,2,2,63.846,63.334,63.846,63.174
100,2,2,62.308,62.636,62.308,62.064
0,5,0,42.308,42.993,42.308,41.888
1,5,0,46.923,48.363,46.923,46.961
2,5,0,51.538,52.585,51.538,51.453
3,5,0,53.846,55.761,53.846,53.885
4,5,0,50.769,52.42,50.769,51.091
5,5,0,51.538,54.224,51.538,51.758
6,5,0,51.538,54.653,51.538,51.806
7,5,0,50.769,54.228,50.769,50.533
8,5,0,53.846,55.956,53.846,53.004
9,5,0,54.615,56.937,54.615,53.767
10,5,0,56.154,58.872,56.154,55.642
11,5,0,60.0,64.725,60.0,60.156
12,5,0,60.0,63.495,60.0,60.361
13,5,0,57.692,61.374,57.692,58.062
14,5,0,56.923,61.855,56.923,57.447
15,5,0,54.615,57.664,54.615,54.912
16,5,0,56.923,58.196,56.923,56.839
17,5,0,58.462,60.235,58.462,58.112
18,5,0,56.154,57.599,56.154,55.759
19,5,0,60.0,61.759,60.0,59.728
20,5,0,52.308,55.295,52.308,50.797
21,5,0,60.769,65.667,60.769,60.122
22,5,0,58.462,61.425,58.462,58.169
23,5,0,63.077,66.754,63.077,63.141
24,5,0,64.615,67.482,64.615,64.923
25,5,0,65.385,69.373,65.385,66.228
26,5,0,65.385,69.687,65.385,66.449
27,5,0,67.692,70.516,67.692,68.284
28,5,0,66.154,69.768,66.154,66.687
29,5,0,67.692,71.91,67.692,68.538
30,5,0,67.692,71.856,67.692,68.687
31,5,0,63.846,68.076,63.846,64.627
32,5,0,64.615,68.509,64.615,65.223
33,5,0,64.615,68.374,64.615,65.316
34,5,0,65.385,69.122,65.385,65.902
35,5,0,66.923,70.156,66.923,67.384
36,5,0,67.692,70.896,67.692,68.319
37,5,0,66.923,70.744,66.923,67.88
38,5,0,66.154,69.833,66.154,66.907
39,5,0,65.385,69.675,65.385,66.488
