iter,step,fold,acc,prec,rec,f1score
0,2,0,42.308,42.993,42.308,41.888
1,2,0,43.846,46.415,43.846,44.178
2,2,0,50.0,52.185,50.0,50.421
3,2,0,46.923,49.457,46.923,47.271
4,2,0,46.923,49.457,46.923,47.271
5,2,0,46.154,49.822,46.154,47.126
6,2,0,46.154,49.822,46.154,47.126
7,2,0,49.231,53.017,49.231,50.287
8,2,0,49.231,53.017,49.231,50.287
9,2,0,50.0,53.274,50.0,50.741
10,2,0,50.0,52.844,50.0,50.472
11,2,0,50.769,53.565,50.769,50.949
12,2,0,50.769,53.565,50.769,50.949
13,2,0,50.0,52.172,50.0,50.061
14,2,0,50.0,52.172,50.0,50.061
15,2,0,51.538,55.05,51.538,51.801
16,2,0,51.538,55.05,51.538,51.801
17,2,0,50.769,53.192,50.769,50.818
18,2,0,50.769,53.192,50.769,50.818
19,2,0,54.615,56.617,54.615,54.951
20,2,0,56.154,58.477,56.154,56.584
21,2,0,56.923,58.502,56.923,57.209
22,2,0,56.923,58.502,56.923,57.209
23,2,0,56.154,57.764,56.154,56.552
24,2,0,56.154,57.764,56.154,56.552
25,2,0,56.154,57.846,56.154,56.289
26,2,0,56.154,57.846,56.154,56.289
27,2,0,57.692,60.531,57.692,58.537
28,2,0,57.692,60.531,57.692,58.537
29,2,0,55.385,59.677,55.385,56.254
30,2,0,55.385,57.774,55.385,56.084
31,2,0,59.231,61.375,59.231,59.851
32,2,0,60.769,62.408,60.769,61.17
33,2,0,60.769,63.511,60.769,61.533
34,2,0,60.769,63.511,60.769,61.533
35,2,0,60.769,62.702,60.769,61.365
36,2,0,60.769,62.702,60.769,61.365
37,2,0,60.0,62.464,60.0,60.748
38,2,0,60.0,62.464,60.0,60.748
39,2,0,58.462,61.295,58.462,59.378
40,2,0,58.462,61.295,58.462,59.378
41,2,0,58.462,60.796,58.462,59.044
42,2,0,58.462,60.796,58.462,59.044
43,2,0,60.0,62.775,60.0,60.311
44,2,0,60.0,62.775,60.0,60.311
45,2,0,57.692,60.25,57.692,57.94
46,2,0,57.692,60.25,57.692,57.94
47,2,0,56.154,59.462,56.154,56.975
48,2,0,56.154,59.462,56.154,56.975
49,2,0,60.0,62.736,60.0,60.624
50,2,0,60.0,62.736,60.0,60.624
51,2,0,59.231,62.372,59.231,60.217
52,2,0,59.231,62.372,59.231,60.217
53,2,0,60.769,63.741,60.769,61.51
54,2,0,60.769,63.741,60.769,61.51
55,2,0,60.769,62.963,60.769,61.199
56,2,0,60.769,62.963,60.769,61.199
57,2,0,60.769,64.036,60.769,61.706
58,2,0,60.769,64.036,60.769,61.706
59,2,0,60.769,63.231,60.769,61.467
60,2,0,60.769,63.231,60.769,61.467
61,2,0,60.0,63.253,60.0,60.861
62,2,0,61.538,64.065,61.538,62.25
63,2,0,59.231,62.435,59.231,60.233
64,2,0,59.231,62.196,59.231,60.131
65,2,0,60.769,63.253,60.769,61.322
66,2,0,60.769,63.393,60.769,61.398
67,2,0,61.538,64.063,61.538,62.285
68,2,0,61.538,63.97,61.538,62.261
69,2,0,61.538,63.649,61.538,62.178
70,2,0,61.538,63.649,61.538,62.178
71,2,0,61.538,64.229,61.538,62.155
72,2,0,61.538,64.229,61.538,62.155
73,2,0,62.308,64.675,62.308,62.899
74,2,0,62.308,64.675,62.308,62.899
75,2,0,61.538,63.873,61.538,62.091
76,2,0,61.538,63.873,61.538,62.091
77,2,0,45.385,51.691,45.385,45.94
78,2,0,55.385,58.694,55.385,55.774
79,2,0,60.0,63.772,60.0,61.069
80,2,0,60.0,62.869,60.0,60.5
81,2,0,61.538,63.787,61.538,61.945
82,2,0,61.538,63.787,61.538,61.945
83,2,0,62.308,63.597,62.308,62.132
84,2,0,60.769,63.847,60.769,61.048
85,2,0,59.231,62.206,59.231,59.633
86,2,0,59.231,62.206,59.231,59.633
87,2,0,61.538,62.927,61.538,61.583
88,2,0,61.538,64.961,61.538,62.38
89,2,0,61.538,64.02,61.538,62.132
90,2,0,61.538,64.02,61.538,62.132
91,2,0,62.308,65.336,62.308,63.048
92,2,0,64.615,66.637,64.615,64.954
93,2,0,66.923,69.2,66.923,67.355
94,2,0,66.923,69.2,66.923,67.355
95,2,0,66.923,69.839,66.923,67.488
96,2,0,66.923,69.839,66.923,67.488
97,2,0,67.692,70.694,67.692,68.198
98,2,0,67.692,70.694,67.692,68.198
99,2,0,66.923,69.506,66.923,67.429
100,2,0,66.154,68.554,66.154,66.457
0,2,1,56.154,57.23,56.154,56.457
1,2,1,53.846,54.969,53.846,54.064
2,2,1,53.846,55.552,53.846,54.239
3,2,1,54.615,56.484,54.615,54.875
4,2,1,54.615,56.017,54.615,54.6
5,2,1,55.385,56.463,55.385,55.506
6,2,1,53.846,55.121,53.846,53.782
7,2,1,53.077,55.253,53.077,53.582
8,2,1,53.077,55.253,53.077,53.582
9,2,1,53.077,54.962,53.077,53.294
10,2,1,53.077,54.962,53.077,53.294
11,2,1,56.154,59.167,56.154,56.426
12,2,1,56.154,59.167,56.154,56.426
13,2,1,56.154,59.548,56.154,57.04
14,2,1,56.154,59.548,56.154,57.04
15,2,1,60.0,63.412,60.0,60.87
16,2,1,59.231,62.227,59.231,59.894
17,2,1,61.538,63.947,61.538,62.049
18,2,1,60.769,63.065,60.769,61.168
19,2,1,60.769,64.492,60.769,61.383
20,2,1,60.769,64.492,60.769,61.383
21,2,1,59.231,62.549,59.231,59.686
22,2,1,60.769,64.866,60.769,61.264
23,2,1,60.769,64.081,60.769,61.374
24,2,1,60.769,64.081,60.769,61.374
25,2,1,60.0,63.628,60.0,60.652
26,2,1,60.0,63.628,60.0,60.652
27,2,1,61.538,64.428,61.538,62.033
28,2,1,61.538,64.428,61.538,62.033
29,2,1,60.769,63.678,60.769,61.269
30,2,1,61.538,64.648,61.538,62.037
31,2,1,62.308,65.311,62.308,62.875
32,2,1,63.077,66.214,63.077,63.702
33,2,1,61.538,64.816,61.538,62.205
34,2,1,61.538,64.816,61.538,62.205
35,2,1,61.538,63.907,61.538,61.713
36,2,1,61.538,63.907,61.538,61.713
37,2,1,61.538,65.4,61.538,62.004
38,2,1,63.846,67.183,63.846,64.055
39,2,1,66.923,70.088,66.923,67.347
40,2,1,66.923,70.088,66.923,67.347
41,2,1,67.692,70.832,67.692,68.175
42,2,1,67.692,70.832,67.692,68.175
43,2,1,66.923,69.986,66.923,67.211
44,2,1,66.923,69.986,66.923,67.211
45,2,1,66.154,70.219,66.154,66.581
46,2,1,66.154,69.187,66.154,66.45
47,2,1,66.154,68.392,66.154,66.297
48,2,1,66.923,68.46,66.923,66.894
49,2,1,69.231,71.258,69.231,69.254
50,2,1,69.231,71.258,69.231,69.254
51,2,1,66.923,68.713,66.923,67.107
52,2,1,67.692,69.484,67.692,67.456
53,2,1,67.692,69.962,67.692,67.834
54,2,1,67.692,69.962,67.692,67.834
55,2,1,67.692,71.09,67.692,67.883
56,2,1,67.692,70.799,67.692,67.784
57,2,1,66.923,68.963,66.923,66.939
58,2,1,66.923,68.963,66.923,66.939
59,2,1,68.462,70.254,68.462,68.693
60,2,1,68.462,70.254,68.462,68.693
61,2,1,67.692,69.801,67.692,67.958
62,2,1,67.692,69.801,67.692,67.958
63,2,1,68.462,70.606,68.462,68.855
64,2,1,68.462,70.606,68.462,68.855
65,2,1,67.692,69.297,67.692,67.778
66,2,1,67.692,69.297,67.692,67.778
67,2,1,69.231,70.961,69.231,69.325
68,2,1,69.231,70.961,69.231,69.325
69,2,1,56.923,59.819,56.923,56.436
70,2,1,60.769,63.83,60.769,60.653
71,2,1,65.385,67.105,65.385,65.637
72,2,1,66.154,67.716,66.154,66.514
73,2,1,68.462,69.805,68.462,68.678
74,2,1,68.462,69.805,68.462,68.678
