iter,step,fold,acc,prec,rec,f1score
0,2,0,42.308,42.993,42.308,41.888
1,2,0,45.385,46.847,45.385,45.032
2,2,0,48.462,49.517,48.462,48.273
3,2,0,48.462,48.942,48.462,48.229
4,2,0,48.462,50.274,48.462,48.778
5,2,0,46.154,48.306,46.154,46.308
6,2,0,46.154,48.306,46.154,46.308
7,2,0,48.462,50.114,48.462,48.369
8,2,0,48.462,50.114,48.462,48.369
9,2,0,49.231,52.654,49.231,49.376
10,2,0,49.231,52.654,49.231,49.376
11,2,0,50.769,53.366,50.769,50.608
12,2,0,50.769,53.366,50.769,50.608
13,2,0,48.462,52.187,48.462,48.794
14,2,0,48.462,51.931,48.462,48.766
15,2,0,48.462,50.762,48.462,48.577
16,2,0,48.462,50.762,48.462,48.577
17,2,0,46.923,51.464,46.923,47.695
18,2,0,46.923,51.005,46.923,47.278
19,2,0,49.231,53.303,49.231,49.544
20,2,0,53.077,57.458,53.077,53.156
21,2,0,50.0,54.172,50.0,49.688
22,2,0,50.0,54.172,50.0,49.688
23,2,0,50.769,54.067,50.769,50.809
24,2,0,50.769,54.067,50.769,50.809
25,2,0,53.846,57.558,53.846,54.234
26,2,0,53.846,57.558,53.846,54.234
27,2,0,52.308,56.266,52.308,52.766
28,2,0,53.846,56.706,53.846,54.239
29,2,0,52.308,56.484,52.308,52.702
30,2,0,52.308,56.484,52.308,52.702
31,2,0,54.615,59.632,54.615,55.153
32,2,0,53.846,58.464,53.846,54.157
33,2,0,53.077,59.334,53.077,54.061
34,2,0,53.077,59.334,53.077,54.061
35,2,0,53.077,59.222,53.077,53.78
36,2,0,53.077,59.222,53.077,53.78
37,2,0,53.846,59.462,53.846,54.642
38,2,0,53.846,60.045,53.846,54.617
39,2,0,52.308,58.836,52.308,52.793
40,2,0,52.308,58.222,52.308,52.58
41,2,0,50.769,55.24,50.769,50.438
42,2,0,50.769,55.24,50.769,50.438
43,2,0,53.846,58.649,53.846,53.261
44,2,0,53.846,58.649,53.846,53.261
45,2,0,53.077,56.371,53.077,52.36
46,2,0,53.077,56.371,53.077,52.36
47,2,0,53.846,57.455,53.846,53.475
48,2,0,53.846,57.455,53.846,53.475
49,2,0,52.308,55.621,52.308,51.771
50,2,0,52.308,56.112,52.308,51.976
51,2,0,55.385,61.562,55.385,56.069
52,2,0,55.385,61.562,55.385,56.069
53,2,0,55.385,60.623,55.385,55.979
54,2,0,55.385,60.623,55.385,55.979
55,2,0,56.154,60.695,56.154,56.675
56,2,0,56.154,60.695,56.154,56.675
57,2,0,56.154,60.437,56.154,56.865
58,2,0,56.154,60.437,56.154,56.865
59,2,0,56.923,60.356,56.923,57.401
60,2,0,56.923,60.356,56.923,57.401
61,2,0,53.846,57.673,53.846,53.747
62,2,0,53.846,57.673,53.846,53.747
63,2,0,54.615,58.694,54.615,54.524
64,2,0,54.615,58.694,54.615,54.524
65,2,0,52.308,55.991,52.308,52.053
66,2,0,52.308,55.991,52.308,52.053
67,2,0,53.077,56.363,53.077,52.937
68,2,0,53.077,56.363,53.077,52.937
69,2,0,53.846,56.79,53.846,53.339
70,2,0,55.385,56.843,55.385,54.319
71,2,0,58.462,61.134,58.462,58.075
72,2,0,58.462,61.134,58.462,58.075
73,2,0,50.0,55.049,50.0,50.32
74,2,0,53.077,57.328,53.077,52.707
75,2,0,56.923,62.895,56.923,57.236
76,2,0,58.462,64.546,58.462,59.294
77,2,0,57.692,62.538,57.692,57.784
78,2,0,59.231,65.198,59.231,59.809
79,2,0,59.231,67.059,59.231,60.111
80,2,0,59.231,67.059,59.231,60.111
81,2,0,59.231,67.195,59.231,60.761
82,2,0,59.231,67.195,59.231,60.761
83,2,0,63.846,68.347,63.846,63.987
84,2,0,63.846,68.476,63.846,64.007
85,2,0,63.846,69.066,63.846,64.32
86,2,0,63.846,68.299,63.846,64.336
87,2,0,63.077,66.909,63.077,63.004
88,2,0,63.077,66.909,63.077,63.004
89,2,0,62.308,67.33,62.308,62.628
90,2,0,62.308,67.33,62.308,62.628
91,2,0,63.077,68.119,63.077,63.378
92,2,0,63.846,67.481,63.846,63.853
93,2,0,63.846,67.481,63.846,63.851
94,2,0,63.077,68.077,63.077,63.353
95,2,0,66.154,70.248,66.154,65.986
96,2,0,66.154,69.925,66.154,66.338
97,2,0,67.692,72.086,67.692,67.958
98,2,0,67.692,72.086,67.692,67.958
99,2,0,68.462,71.941,68.462,68.617
100,2,0,67.692,71.696,67.692,68.322
0,2,1,56.154,57.23,56.154,56.457
1,2,1,55.385,56.153,55.385,55.371
2,2,1,56.154,57.373,56.154,56.299
3,2,1,55.385,57.053,55.385,55.718
4,2,1,53.846,55.197,53.846,53.79
5,2,1,53.846,54.858,53.846,53.618
6,2,1,53.846,54.858,53.846,53.618
7,2,1,53.846,55.863,53.846,53.982
8,2,1,53.846,55.863,53.846,53.982
9,2,1,52.308,54.283,52.308,52.441
10,2,1,53.846,55.921,53.846,54.168
11,2,1,53.077,55.614,53.077,53.424
12,2,1,56.154,58.38,56.154,56.411
13,2,1,56.923,59.499,56.923,57.192
14,2,1,56.923,59.499,56.923,57.192
15,2,1,56.923,59.779,56.923,57.393
16,2,1,56.923,59.779,56.923,57.393
17,2,1,57.692,60.619,57.692,58.244
18,2,1,57.692,60.103,57.692,58.129
19,2,1,59.231,60.508,59.231,59.453
20,2,1,60.0,61.45,60.0,60.211
21,2,1,58.462,59.825,58.462,58.705
22,2,1,60.0,60.834,60.0,59.815
23,2,1,60.769,63.188,60.769,60.747
24,2,1,60.769,63.188,60.769,60.747
25,2,1,60.0,62.015,60.0,60.085
26,2,1,60.0,62.015,60.0,60.085
27,2,1,57.692,58.847,57.692,57.85
28,2,1,57.692,58.847,57.692,57.85
29,2,1,60.769,61.464,60.769,60.669
30,2,1,60.769,61.464,60.769,60.669
31,2,1,58.462,59.519,58.462,58.7
32,2,1,58.462,59.519,58.462,58.7
33,2,1,60.0,61.985,60.0,60.566
34,2,1,61.538,62.838,61.538,61.914
35,2,1,63.846,65.403,63.846,64.074
36,2,1,63.846,65.403,63.846,64.074
37,2,1,61.538,62.679,61.538,61.755
38,2,1,61.538,62.679,61.538,61.755
39,2,1,63.077,64.485,63.077,63.452
40,2,1,63.077,64.485,63.077,63.452
41,2,1,60.0,61.681,60.0,60.365
42,2,1,64.615,67.022,64.615,65.306
43,2,1,63.077,65.189,63.077,63.562
44,2,1,63.077,65.189,63.077,63.562
45,2,1,63.077,65.777,63.077,63.617
46,2,1,63.077,65.777,63.077,63.617
