iter,step,fold,acc,prec,rec,f1score
0,2,0,53.077,53.075,53.077,51.505
1,2,0,53.846,54.551,53.846,52.971
2,2,0,53.077,53.88,53.077,52.274
3,2,0,53.846,55.814,53.846,53.846
4,2,0,52.308,53.697,52.308,52.028
5,2,0,54.615,54.94,54.615,53.799
6,2,0,55.385,57.275,55.385,55.212
7,2,0,52.308,53.38,52.308,51.879
8,2,0,51.538,53.13,51.538,51.404
9,2,0,53.846,56.482,53.846,53.346
10,2,0,53.846,56.482,53.846,53.346
11,2,0,54.615,57.316,54.615,54.278
12,2,0,53.846,56.791,53.846,53.441
13,2,0,60.0,62.896,60.0,60.004
14,2,0,59.231,61.605,59.231,59.069
15,2,0,58.462,60.834,58.462,58.379
16,2,0,60.769,63.179,60.769,60.924
17,2,0,60.769,63.864,60.769,60.278
18,2,0,58.462,60.879,58.462,58.528
19,2,0,61.538,63.467,61.538,61.284
20,2,0,63.077,65.139,63.077,62.834
21,2,0,60.769,62.014,60.769,60.122
22,2,0,60.769,62.538,60.769,60.417
23,2,0,60.769,62.925,60.769,60.565
24,2,0,62.308,63.59,62.308,61.421
25,2,0,61.538,63.024,61.538,60.854
26,2,0,63.077,65.09,63.077,62.542
27,2,0,63.077,65.098,63.077,62.101
28,2,0,61.538,63.426,61.538,61.036
29,2,0,63.846,64.685,63.846,62.875
30,2,0,63.846,65.367,63.846,62.917
31,2,0,66.154,67.9,66.154,65.585
32,2,0,63.846,64.938,63.846,63.12
33,2,0,67.692,69.196,67.692,67.341
34,2,0,66.923,68.486,66.923,66.775
35,2,0,68.462,70.215,68.462,67.946
36,2,0,67.692,68.612,67.692,67.183
37,2,0,67.692,68.477,67.692,67.137
38,2,0,65.385,66.309,65.385,64.748
39,2,0,66.923,68.491,66.923,66.309
40,2,0,68.462,69.086,68.462,67.574
41,2,0,66.923,68.223,66.923,66.379
42,2,0,66.154,67.378,66.154,65.544
43,2,0,65.385,67.053,65.385,65.116
44,2,0,66.154,68.169,66.154,66.114
45,2,0,64.615,66.023,64.615,64.293
46,2,0,66.154,67.684,66.154,65.901
47,2,0,66.154,67.43,66.154,65.836
48,2,0,64.615,66.376,64.615,64.464
49,2,0,50.769,53.341,50.769,47.349
50,2,0,67.692,68.777,67.692,67.723
51,2,0,63.077,63.979,63.077,62.483
52,2,0,63.846,65.409,63.846,63.39
53,2,0,65.385,67.92,65.385,65.011
54,2,0,69.231,70.721,69.231,69.19
55,2,0,66.923,69.564,66.923,66.595
56,2,0,67.692,69.238,67.692,67.119
57,2,0,66.154,67.676,66.154,65.652
58,2,0,66.923,68.276,66.923,66.561
59,2,0,66.154,69.079,66.154,66.088
60,2,0,67.692,70.216,67.692,67.673
61,2,0,65.385,68.449,65.385,65.644
62,2,0,67.692,69.964,67.692,67.817
63,2,0,66.923,69.863,66.923,67.085
64,2,0,70.0,73.136,70.0,70.227
65,2,0,69.231,71.35,69.231,69.252
66,2,0,71.538,73.39,71.538,71.705
67,2,0,65.385,68.46,65.385,65.39
68,2,0,67.692,69.89,67.692,67.646
69,2,0,67.692,70.508,67.692,67.808
70,2,0,68.462,71.217,68.462,68.463
71,2,0,68.462,71.341,68.462,68.58
72,2,0,68.462,71.251,68.462,68.649
73,2,0,68.462,70.925,68.462,68.605
74,2,0,71.538,73.317,71.538,71.784
75,2,0,73.846,75.442,73.846,73.963
76,2,0,71.538,74.044,71.538,71.86
77,2,0,70.0,71.457,70.0,70.134
78,2,0,70.0,72.864,70.0,70.332
79,2,0,71.538,73.115,71.538,71.584
80,2,0,73.077,75.381,73.077,73.106
81,2,0,72.308,74.606,72.308,72.443
82,2,0,75.385,76.981,75.385,75.531
83,2,0,73.077,74.647,73.077,73.184
84,2,0,72.308,74.836,72.308,72.453
85,2,0,72.308,73.38,72.308,72.228
86,2,0,73.846,75.063,73.846,73.821
87,2,0,73.077,73.995,73.077,73.099
88,2,0,73.077,74.047,73.077,73.141
89,2,0,72.308,73.097,72.308,72.304
90,2,0,74.615,75.829,74.615,74.758
91,2,0,72.308,73.631,72.308,72.395
92,2,0,72.308,73.747,72.308,72.406
93,2,0,71.538,72.879,71.538,71.705
94,2,0,69.231,70.894,69.231,69.223
95,2,0,73.077,74.46,73.077,73.18
96,2,0,72.308,73.242,72.308,72.067
97,2,0,71.538,72.881,71.538,71.566
98,2,0,70.0,72.445,70.0,70.308
99,2,0,70.0,71.639,70.0,70.156
100,2,0,71.538,73.913,71.538,71.901
0,2,1,60.0,60.758,60.0,59.84
1,2,1,58.462,59.005,58.462,58.104
2,2,1,59.231,59.909,59.231,59.024
3,2,1,61.538,62.513,61.538,61.6
4,2,1,57.692,58.238,57.692,57.595
5,2,1,60.769,61.005,60.769,60.449
6,2,1,59.231,59.71,59.231,58.872
7,2,1,61.538,62.415,61.538,61.263
8,2,1,61.538,62.175,61.538,61.371
9,2,1,61.538,62.708,61.538,61.604
10,2,1,61.538,62.72,61.538,61.76
11,2,1,63.846,64.688,63.846,63.772
12,2,1,63.846,64.688,63.846,63.772
13,2,1,60.769,61.927,60.769,60.622
14,2,1,60.0,60.896,60.0,59.694
15,2,1,59.231,59.307,59.231,58.919
16,2,1,60.769,61.125,60.769,60.639
17,2,1,60.769,61.248,60.769,60.594
18,2,1,60.769,61.154,60.769,60.687
19,2,1,63.077,63.467,63.077,62.769
20,2,1,64.615,65.05,64.615,64.427
21,2,1,63.846,64.014,63.846,63.468
22,2,1,63.846,64.312,63.846,63.364
23,2,1,63.077,63.765,63.077,62.767
24,2,1,62.308,62.538,62.308,61.737
25,2,1,62.308,62.588,62.308,61.685
26,2,1,62.308,62.632,62.308,61.732
27,2,1,62.308,62.496,62.308,61.803
28,2,1,63.846,63.905,63.846,63.43
29,2,1,65.385,66.172,65.385,65.119
30,2,1,63.846,64.595,63.846,63.542
31,2,1,64.615,65.409,64.615,64.16
32,2,1,65.385,65.828,65.385,65.056
33,2,1,66.923,67.826,66.923,66.654
34,2,1,64.615,64.934,64.615,64.173
35,2,1,66.923,67.811,66.923,66.525
36,2,1,66.923,67.924,66.923,66.47
37,2,1,64.615,64.58,64.615,63.889
38,2,1,65.385,65.134,65.385,64.673
39,2,1,66.923,67.748,66.923,66.661
40,2,1,66.923,67.374,66.923,66.657
41,2,1,66.154,66.601,66.154,65.87
42,2,1,65.385,65.917,65.385,65.108
43,2,1,65.385,65.977,65.385,65.021
44,2,1,66.923,67.617,66.923,66.812
45,2,1,65.385,66.665,65.385,65.307
46,2,1,65.385,66.871,65.385,65.117
47,2,1,66.923,67.876,66.923,66.693
48,2,1,66.154,67.276,66.154,66.021
49,2,1,57.692,65.005,57.692,57.489
50,2,1,62.308,66.547,62.308,62.581
51,2,1,65.385,70.394,65.385,66.157
52,2,1,68.462,70.375,68.462,68.715
