iter,step,fold,acc,prec,rec,f1score
0,2,0,40.769,42.415,40.769,38.997
1,2,0,40.769,43.058,40.769,38.975
2,2,0,41.538,43.347,41.538,39.473
3,2,0,43.077,45.679,43.077,41.297
4,2,0,43.077,45.636,43.077,41.25
5,2,0,43.077,46.489,43.077,41.365
6,2,0,43.077,46.761,43.077,41.512
7,2,0,44.615,49.482,44.615,44.18
8,2,0,46.923,51.627,46.923,46.343
9,2,0,47.692,53.166,47.692,47.248
10,2,0,46.923,57.352,46.923,47.264
11,2,0,47.692,59.3,47.692,48.066
12,2,0,49.231,60.713,49.231,49.913
13,2,0,48.462,57.647,48.462,49.128
14,2,0,48.462,57.707,48.462,49.119
15,2,0,48.462,58.869,48.462,49.325
16,2,0,43.846,61.755,43.846,45.082
17,2,0,44.615,62.011,44.615,45.613
18,2,0,45.385,57.982,45.385,46.903
19,2,0,44.615,56.472,44.615,45.673
20,2,0,45.385,61.758,45.385,46.317
21,2,0,45.385,62.337,45.385,46.113
22,2,0,43.846,60.975,43.846,44.346
23,2,0,44.615,60.932,44.615,45.653
24,2,0,45.385,62.224,45.385,46.276
25,2,0,44.615,61.456,44.615,45.574
26,2,0,43.077,60.843,43.077,43.801
27,2,0,43.077,62.508,43.077,43.902
28,2,0,43.846,61.623,43.846,44.836
29,2,0,43.077,59.882,43.077,44.047
30,2,0,43.077,59.721,43.077,44.152
31,2,0,42.308,59.174,42.308,43.297
32,2,0,43.077,56.398,43.077,44.211
33,2,0,43.846,56.86,43.846,44.911
34,2,0,41.538,53.032,41.538,42.194
35,2,0,44.615,57.52,44.615,46.502
36,2,0,44.615,57.52,44.615,46.502
37,2,0,44.615,57.52,44.615,46.502
38,2,0,44.615,57.52,44.615,46.502
39,2,0,44.615,57.005,44.615,46.519
40,2,0,44.615,56.719,44.615,46.418
41,2,0,43.846,55.839,43.846,45.507
42,2,0,43.077,54.87,43.077,44.464
43,2,0,43.846,56.5,43.846,45.359
44,2,0,43.846,56.349,43.846,45.232
45,2,0,44.615,57.016,44.615,46.148
46,2,0,43.077,55.71,43.077,44.29
47,2,0,44.615,57.07,44.615,46.151
48,2,0,45.385,58.683,45.385,47.158
49,2,0,44.615,57.536,44.615,46.062
50,2,0,44.615,57.536,44.615,46.062
51,2,0,41.538,57.259,41.538,43.706
52,2,0,40.769,55.852,40.769,42.559
53,2,0,41.538,56.769,41.538,43.479
54,2,0,41.538,56.769,41.538,43.479
55,2,0,41.538,56.769,41.538,43.479
56,2,0,42.308,61.282,42.308,44.334
57,2,0,42.308,61.282,42.308,44.334
58,2,0,42.308,61.993,42.308,44.519
59,2,0,43.846,61.997,43.846,45.677
60,2,0,43.846,62.704,43.846,45.889
61,2,0,42.308,61.303,42.308,44.132
62,2,0,43.077,62.347,43.077,45.109
63,2,0,49.231,64.814,49.231,49.863
64,2,0,48.462,63.926,48.462,49.613
65,2,0,48.462,63.926,48.462,49.613
66,2,0,47.692,64.505,47.692,48.599
67,2,0,47.692,64.505,47.692,48.599
68,2,0,47.692,64.505,47.692,48.599
69,2,0,48.462,65.386,48.462,49.51
70,2,0,48.462,65.386,48.462,49.51
71,2,0,48.462,65.386,48.462,49.51
72,2,0,49.231,66.266,49.231,50.347
73,2,0,49.231,66.266,49.231,50.347
74,2,0,48.462,64.748,48.462,49.537
75,2,0,48.462,65.136,48.462,49.578
76,2,0,46.923,65.336,46.923,47.819
77,2,0,46.923,65.336,46.923,47.819
78,2,0,46.923,65.336,46.923,47.819
79,2,0,48.462,60.996,48.462,48.649
80,2,0,48.462,63.246,48.462,48.514
81,2,0,48.462,63.246,48.462,48.514
82,2,0,48.462,60.996,48.462,48.649
83,2,0,50.0,62.244,50.0,50.232
84,2,0,50.769,61.416,50.769,50.027
85,2,0,51.538,62.777,51.538,51.24
86,2,0,52.308,63.87,52.308,52.435
87,2,0,51.538,64.164,51.538,52.219
88,2,0,50.769,63.219,50.769,51.084
89,2,0,51.538,65.024,51.538,52.048
90,2,0,50.0,63.578,50.0,49.944
91,2,0,50.0,63.395,50.0,49.859
92,2,0,47.692,61.018,47.692,47.184
93,2,0,46.923,60.052,46.923,46.249
94,2,0,48.462,60.676,48.462,47.407
95,2,0,48.462,60.676,48.462,47.407
96,2,0,48.462,61.336,48.462,47.52
97,2,0,47.692,61.007,47.692,47.212
98,2,0,47.692,61.007,47.692,47.212
99,2,0,46.923,60.366,46.923,46.308
100,2,0,46.923,59.071,46.923,45.997
0,2,1,39.231,41.684,39.231,35.054
1,2,1,39.231,41.687,39.231,35.324
2,2,1,39.231,46.194,39.231,35.542
3,2,1,39.231,46.194,39.231,35.542
4,2,1,39.231,44.393,39.231,35.683
5,2,1,39.231,44.393,39.231,35.683
6,2,1,39.231,44.393,39.231,35.683
7,2,1,38.462,43.63,38.462,34.829
8,2,1,39.231,44.731,39.231,35.876
9,2,1,36.923,44.851,36.923,34.329
10,2,1,36.923,38.429,36.923,33.293
11,2,1,38.462,44.67,38.462,35.637
12,2,1,40.0,47.196,40.0,37.954
13,2,1,40.0,47.075,40.0,38.013
14,2,1,40.0,46.807,40.0,38.076
15,2,1,39.231,46.036,39.231,36.993
16,2,1,39.231,45.657,39.231,37.107
17,2,1,38.462,42.171,38.462,36.557
18,2,1,38.462,42.656,38.462,36.453
19,2,1,39.231,45.706,39.231,37.267
20,2,1,39.231,51.125,39.231,39.792
21,2,1,40.0,51.253,40.0,40.654
22,2,1,35.385,49.693,35.385,34.186
23,2,1,36.923,51.456,36.923,34.703
24,2,1,36.923,51.456,36.923,34.703
25,2,1,37.692,51.461,37.692,35.2
26,2,1,43.077,51.517,43.077,38.335
27,2,1,43.077,51.843,43.077,38.494
28,2,1,40.769,49.806,40.769,36.321
29,2,1,40.769,49.806,40.769,36.321
30,2,1,42.308,52.792,42.308,38.134
31,2,1,43.077,53.716,43.077,40.102
32,2,1,42.308,53.668,42.308,38.808
33,2,1,41.538,51.234,41.538,37.432
34,2,1,41.538,53.427,41.538,37.656
35,2,1,41.538,53.427,41.538,37.656
36,2,1,42.308,53.39,42.308,37.995
37,2,1,42.308,53.513,42.308,38.064
38,2,1,42.308,54.111,42.308,37.797
39,2,1,43.077,54.777,43.077,38.526
40,2,1,43.077,54.777,43.077,38.526
41,2,1,42.308,52.843,42.308,37.715
42,2,1,42.308,53.109,42.308,37.911
43,2,1,43.077,53.582,43.077,38.529
44,2,1,43.077,53.582,43.077,38.529
45,2,1,43.077,53.582,43.077,38.529
46,2,1,41.538,52.684,41.538,37.29
47,2,1,40.769,52.424,40.769,36.783
48,2,1,40.0,53.645,40.0,36.501
49,2,1,40.0,52.146,40.0,36.416
50,2,1,40.0,52.918,40.0,36.793
51,2,1,38.462,53.186,38.462,35.781
52,2,1,39.231,53.861,39.231,36.624
53,2,1,39.231,53.872,39.231,36.704
54,2,1,39.231,54.97,39.231,36.709
55,2,1,38.462,54.389,38.462,36.217
56,2,1,38.462,54.977,38.462,36.024
57,2,1,38.462,54.977,38.462,36.024
58,2,1,38.462,54.977,38.462,36.024
59,2,1,38.462,54.73,38.462,35.884
60,2,1,38.462,54.73,38.462,35.884
61,2,1,40.0,58.038,40.0,38.293
62,2,1,40.0,58.284,40.0,38.432
63,2,1,40.0,58.1,40.0,38.344
64,2,1,41.538,58.256,41.538,39.726
65,2,1,42.308,59.015,42.308,40.525
66,2,1,42.308,59.922,42.308,40.415
67,2,1,42.308,59.533,42.308,40.157
68,2,1,42.308,59.533,42.308,40.157
69,2,1,42.308,59.619,42.308,40.222
70,2,1,40.769,59.963,40.769,39.133
71,2,1,40.769,59.204,40.769,38.919
72,2,1,40.769,59.54,40.769,39.027
73,2,1,40.769,59.54,40.769,39.027
74,2,1,40.769,58.794,40.769,39.148
75,2,1,40.769,59.728,40.769,39.144
76,2,1,49.231,61.262,49.231,44.821
77,2,1,50.0,61.989,50.0,45.521
78,2,1,50.0,60.809,50.0,45.408
