iter,step,fold,acc,prec,rec,f1score
0,2,0,40.769,42.415,40.769,38.997
1,2,0,40.769,42.415,40.769,38.997
2,2,0,40.769,42.415,40.769,38.997
3,2,0,40.0,43.661,40.0,38.558
4,2,0,41.538,43.974,41.538,39.598
5,2,0,41.538,43.974,41.538,39.598
6,2,0,41.538,43.974,41.538,39.598
7,2,0,41.538,43.974,41.538,39.598
8,2,0,41.538,43.974,41.538,39.598
9,2,0,41.538,43.974,41.538,39.598
10,2,0,42.308,44.583,42.308,40.455
11,2,0,42.308,44.583,42.308,40.455
12,2,0,42.308,44.583,42.308,40.455
13,2,0,42.308,44.583,42.308,40.455
14,2,0,42.308,44.583,42.308,40.455
15,2,0,42.308,44.583,42.308,40.455
16,2,0,40.769,40.847,40.769,38.091
17,2,0,40.769,40.847,40.769,38.091
18,2,0,43.077,44.27,43.077,40.445
19,2,0,43.077,44.27,43.077,40.445
20,2,0,43.077,44.27,43.077,40.445
21,2,0,43.077,44.27,43.077,40.445
22,2,0,43.077,44.27,43.077,40.445
23,2,0,43.077,44.27,43.077,40.445
24,2,0,44.615,44.536,44.615,41.047
25,2,0,44.615,44.536,44.615,41.047
26,2,0,44.615,44.252,44.615,40.872
27,2,0,44.615,44.252,44.615,40.872
28,2,0,44.615,44.252,44.615,40.872
29,2,0,44.615,44.252,44.615,40.872
30,2,0,44.615,44.252,44.615,40.872
31,2,0,44.615,44.252,44.615,40.872
32,2,0,44.615,44.252,44.615,40.872
33,2,0,44.615,44.252,44.615,40.872
34,2,0,44.615,44.252,44.615,40.872
35,2,0,44.615,44.252,44.615,40.872
36,2,0,44.615,44.252,44.615,40.872
37,2,0,44.615,44.252,44.615,40.872
38,2,0,44.615,44.252,44.615,40.872
39,2,0,44.615,44.252,44.615,40.872
40,2,0,44.615,44.252,44.615,40.872
41,2,0,44.615,44.252,44.615,40.872
42,2,0,44.615,44.252,44.615,40.872
43,2,0,44.615,44.252,44.615,40.872
44,2,0,44.615,44.252,44.615,40.872
45,2,0,44.615,44.252,44.615,40.872
46,2,0,44.615,44.252,44.615,40.872
47,2,0,44.615,44.252,44.615,40.872
48,2,0,44.615,44.252,44.615,40.872
49,2,0,44.615,44.252,44.615,40.872
50,2,0,44.615,44.252,44.615,40.872
51,2,0,44.615,44.252,44.615,40.872
52,2,0,44.615,44.252,44.615,40.872
53,2,0,44.615,44.252,44.615,40.872
54,2,0,44.615,44.252,44.615,40.872
55,2,0,44.615,44.252,44.615,40.872
56,2,0,44.615,44.252,44.615,40.872
57,2,0,44.615,44.252,44.615,40.872
58,2,0,45.385,50.178,45.385,44.714
59,2,0,45.385,50.178,45.385,44.714
60,2,0,45.385,50.178,45.385,44.714
61,2,0,45.385,50.178,45.385,44.714
62,2,0,45.385,50.178,45.385,44.714
63,2,0,45.385,50.178,45.385,44.714
64,2,0,45.385,50.178,45.385,44.714
65,2,0,45.385,50.178,45.385,44.714
66,2,0,45.385,50.178,45.385,44.714
67,2,0,45.385,50.178,45.385,44.714
68,2,0,45.385,50.178,45.385,44.714
69,2,0,45.385,50.178,45.385,44.714
70,2,0,45.385,50.178,45.385,44.714
71,2,0,45.385,50.178,45.385,44.714
72,2,0,45.385,50.178,45.385,44.714
73,2,0,45.385,50.178,45.385,44.714
74,2,0,45.385,50.178,45.385,44.714
75,2,0,45.385,50.178,45.385,44.714
76,2,0,45.385,50.178,45.385,44.714
77,2,0,45.385,50.178,45.385,44.714
78,2,0,45.385,50.178,45.385,44.714
79,2,0,45.385,50.178,45.385,44.714
80,2,0,45.385,50.178,45.385,44.714
81,2,0,45.385,50.178,45.385,44.714
82,2,0,45.385,50.178,45.385,44.714
83,2,0,45.385,50.178,45.385,44.714
84,2,0,45.385,50.178,45.385,44.714
85,2,0,45.385,50.178,45.385,44.714
86,2,0,43.077,49.597,43.077,42.343
87,2,0,43.077,49.597,43.077,42.343
88,2,0,43.077,49.597,43.077,42.343
89,2,0,43.077,49.597,43.077,42.343
90,2,0,43.077,49.597,43.077,42.343
91,2,0,43.077,49.597,43.077,42.343
92,2,0,43.077,49.597,43.077,42.343
93,2,0,43.077,49.597,43.077,42.343
94,2,0,43.077,49.597,43.077,42.343
95,2,0,43.077,49.597,43.077,42.343
96,2,0,43.077,49.597,43.077,42.343
97,2,0,43.077,49.597,43.077,42.343
98,2,0,43.077,49.597,43.077,42.343
99,2,0,43.846,50.192,43.846,43.401
100,2,0,43.846,50.192,43.846,43.401
0,2,1,39.231,41.684,39.231,35.054
1,2,1,40.0,42.847,40.0,36.403
2,2,1,40.0,42.847,40.0,36.403
3,2,1,38.462,42.311,38.462,35.603
4,2,1,38.462,42.311,38.462,35.603
5,2,1,39.231,42.912,39.231,37.12
6,2,1,39.231,42.912,39.231,37.12
7,2,1,39.231,42.912,39.231,37.12
8,2,1,39.231,42.912,39.231,37.12
9,2,1,40.0,44.157,40.0,37.415
10,2,1,40.0,44.157,40.0,37.415
11,2,1,40.0,44.157,40.0,37.415
12,2,1,40.0,42.918,40.0,37.021
13,2,1,36.154,34.662,36.154,32.006
14,2,1,36.154,34.662,36.154,32.006
15,2,1,36.154,35.133,36.154,32.184
16,2,1,36.154,35.133,36.154,32.184
17,2,1,36.154,35.133,36.154,32.184
18,2,1,36.154,35.133,36.154,32.184
19,2,1,36.154,35.133,36.154,32.184
20,2,1,36.154,35.133,36.154,32.184
21,2,1,36.154,35.133,36.154,32.184
22,2,1,37.692,37.627,37.692,33.978
23,2,1,37.692,37.627,37.692,33.978
24,2,1,40.0,42.806,40.0,36.889
25,2,1,41.538,44.902,41.538,38.789
26,2,1,41.538,44.902,41.538,38.789
27,2,1,41.538,44.902,41.538,38.789
28,2,1,41.538,44.902,41.538,38.789
29,2,1,41.538,44.902,41.538,38.789
30,2,1,41.538,44.902,41.538,38.789
31,2,1,41.538,44.902,41.538,38.789
32,2,1,41.538,44.902,41.538,38.789
33,2,1,41.538,44.902,41.538,38.789
34,2,1,41.538,44.902,41.538,38.789
35,2,1,41.538,44.902,41.538,38.789
36,2,1,41.538,44.902,41.538,38.789
37,2,1,41.538,44.902,41.538,38.789
38,2,1,41.538,44.902,41.538,38.789
39,2,1,41.538,44.902,41.538,38.789
40,2,1,41.538,44.902,41.538,38.789
41,2,1,41.538,44.902,41.538,38.789
42,2,1,41.538,44.902,41.538,38.789
43,2,1,41.538,44.902,41.538,38.789
44,2,1,41.538,44.902,41.538,38.789
45,2,1,41.538,44.902,41.538,38.789
46,2,1,41.538,44.902,41.538,38.789
47,2,1,40.0,43.201,40.0,36.701
48,2,1,40.769,43.663,40.769,37.369
49,2,1,40.769,43.663,40.769,37.369
50,2,1,40.769,43.663,40.769,37.369
51,2,1,40.769,43.663,40.769,37.369
52,2,1,40.769,43.663,40.769,37.369
53,2,1,40.769,43.663,40.769,37.369
54,2,1,40.769,43.663,40.769,37.369
55,2,1,40.769,43.663,40.769,37.369
56,2,1,40.769,43.663,40.769,37.369
