iter,step,fold,acc,prec,rec,f1score
0,2,0,55.385,57.225,55.385,55.136
1,2,0,60.0,61.678,60.0,59.897
2,2,0,56.923,59.545,56.923,56.799
3,2,0,52.308,53.646,52.308,50.86
4,2,0,53.077,52.333,53.077,51.823
5,2,0,55.385,57.401,55.385,54.35
6,2,0,53.077,53.933,53.077,52.676
7,2,0,56.154,55.915,56.154,55.514
8,2,0,57.692,57.338,57.692,56.626
9,2,0,56.923,57.067,56.923,56.071
10,2,0,54.615,53.77,54.615,53.729
11,2,0,54.615,53.39,54.615,53.093
12,2,0,54.615,54.325,54.615,53.084
13,2,0,56.154,58.485,56.154,53.923
14,2,0,53.077,52.655,53.077,51.592
15,2,0,51.538,53.481,51.538,50.475
16,2,0,54.615,53.919,54.615,52.469
17,2,0,54.615,53.63,54.615,52.416
18,2,0,55.385,54.238,55.385,54.125
19,2,0,52.308,53.426,52.308,50.902
20,2,0,51.538,49.717,51.538,48.864
21,2,0,49.231,47.57,49.231,46.544
22,2,0,50.769,50.55,50.769,48.837
23,2,0,49.231,48.736,49.231,47.218
24,2,0,53.077,52.085,53.077,51.04
25,2,0,50.769,54.311,50.769,48.85
26,2,0,53.077,51.889,53.077,50.518
27,2,0,53.077,52.52,53.077,50.398
28,2,0,47.692,45.08,47.692,44.704
29,2,0,53.846,53.392,53.846,51.807
30,2,0,49.231,46.946,49.231,45.451
31,2,0,50.769,48.841,50.769,47.694
32,2,0,50.769,49.762,50.769,47.533
33,2,0,53.846,53.434,53.846,51.263
34,2,0,50.769,50.148,50.769,48.373
35,2,0,49.231,49.088,49.231,45.772
36,2,0,53.077,53.174,53.077,50.723
37,2,0,50.0,48.225,50.0,47.056
38,2,0,48.462,46.76,48.462,45.003
39,2,0,50.0,53.239,50.0,47.176
40,2,0,46.154,47.927,46.154,43.672
41,2,0,48.462,52.89,48.462,46.32
42,2,0,47.692,52.874,47.692,45.166
43,2,0,45.385,48.457,45.385,42.871
44,2,0,50.769,57.515,50.769,48.821
45,2,0,45.385,48.367,45.385,42.698
46,2,0,47.692,55.602,47.692,45.367
47,2,0,43.077,53.514,43.077,40.593
48,2,0,42.308,44.755,42.308,39.042
49,2,0,48.462,57.355,48.462,47.429
50,2,0,48.462,53.729,48.462,46.406
51,2,0,52.308,62.956,52.308,51.389
52,2,0,50.769,56.045,50.769,49.146
53,2,0,50.0,60.712,50.0,48.883
54,2,0,46.923,50.32,46.923,43.737
55,2,0,43.077,54.747,43.077,40.054
56,2,0,44.615,55.959,44.615,42.685
57,2,0,41.538,45.603,41.538,38.316
58,2,0,42.308,46.339,42.308,38.875
59,2,0,40.0,47.781,40.0,37.24
60,2,0,43.846,48.121,43.846,40.987
61,2,0,39.231,46.02,39.231,35.479
62,2,0,42.308,44.951,42.308,39.153
63,2,0,43.077,47.125,43.077,39.7
64,2,0,40.769,46.913,40.769,37.054
65,2,0,42.308,50.97,42.308,39.675
66,2,0,43.846,52.132,43.846,41.312
67,2,0,46.154,51.618,46.154,43.578
68,2,0,43.846,52.347,43.846,41.427
69,2,0,40.0,45.365,40.0,35.81
70,2,0,40.0,49.064,40.0,36.372
71,2,0,40.0,53.934,40.0,36.857
72,2,0,43.846,48.63,43.846,40.914
73,2,0,40.769,47.44,40.769,36.78
74,2,0,41.538,49.392,41.538,37.813
75,2,0,42.308,49.254,42.308,38.778
76,2,0,40.769,54.142,40.769,36.898
77,2,0,42.308,55.23,42.308,39.975
78,2,0,40.0,59.225,40.0,36.739
79,2,0,42.308,65.004,42.308,39.969
80,2,0,42.308,59.098,42.308,39.894
81,2,0,40.769,50.128,40.769,37.774
82,2,0,41.538,49.786,41.538,38.375
83,2,0,44.615,54.08,44.615,42.075
84,2,0,39.231,47.149,39.231,35.071
85,2,0,40.769,49.392,40.769,37.789
86,2,0,40.0,54.958,40.0,37.132
87,2,0,41.538,54.048,41.538,38.269
88,2,0,43.846,63.8,43.846,42.39
89,2,0,40.769,64.387,40.769,38.013
90,2,0,40.769,63.667,40.769,37.56
91,2,0,38.462,51.271,38.462,34.263
92,2,0,47.692,70.083,47.692,46.484
93,2,0,39.231,58.423,39.231,36.194
94,2,0,41.538,57.335,41.538,38.24
95,2,0,42.308,60.705,42.308,39.966
96,2,0,36.154,42.265,36.154,31.234
97,2,0,42.308,55.114,42.308,40.066
98,2,0,42.308,59.244,42.308,39.415
99,2,0,44.615,57.361,44.615,42.981
100,2,0,42.308,58.039,42.308,40.023
0,2,1,57.692,57.438,57.692,56.57
1,2,1,60.0,60.236,60.0,59.263
2,2,1,60.769,62.272,60.769,60.543
3,2,1,62.308,63.979,62.308,62.669
4,2,1,55.385,57.741,55.385,55.646
5,2,1,54.615,56.222,54.615,54.485
6,2,1,56.154,58.61,56.154,56.3
7,2,1,56.923,57.999,56.923,56.465
8,2,1,57.692,59.618,57.692,57.842
9,2,1,54.615,55.089,54.615,54.258
10,2,1,60.769,61.415,60.769,60.611
11,2,1,56.154,59.771,56.154,56.153
12,2,1,56.154,57.295,56.154,56.146
13,2,1,55.385,57.124,55.385,55.196
14,2,1,53.077,55.068,53.077,53.063
15,2,1,50.769,52.623,50.769,50.996
16,2,1,51.538,53.154,51.538,51.614
17,2,1,53.077,56.862,53.077,53.568
18,2,1,48.462,50.76,48.462,48.581
19,2,1,54.615,56.734,54.615,54.614
20,2,1,56.923,57.147,56.923,56.5
21,2,1,55.385,56.44,55.385,55.173
22,2,1,56.154,56.602,56.154,56.013
23,2,1,54.615,55.944,54.615,54.92
24,2,1,58.462,59.46,58.462,57.99
25,2,1,52.308,52.81,52.308,51.599
26,2,1,52.308,53.539,52.308,51.736
27,2,1,53.077,53.651,53.077,52.262
28,2,1,52.308,54.257,52.308,51.85
29,2,1,55.385,56.522,55.385,55.172
30,2,1,55.385,58.581,55.385,54.985
31,2,1,53.846,55.585,53.846,53.353
32,2,1,56.923,58.69,56.923,56.142
33,2,1,56.923,58.649,56.923,56.854
34,2,1,57.692,58.964,57.692,56.528
35,2,1,55.385,56.344,55.385,54.271
36,2,1,53.077,53.637,53.077,51.973
37,2,1,55.385,56.526,55.385,54.858
38,2,1,53.077,53.63,53.077,52.736
39,2,1,53.846,54.406,53.846,53.581
40,2,1,54.615,54.857,54.615,54.307
