iter,step,fold,acc,prec,rec,f1score
0,2,0,55.385,57.225,55.385,55.136
1,2,0,50.0,52.119,50.0,49.905
2,2,0,53.077,53.061,53.077,51.946
3,2,0,58.462,59.032,58.462,58.385
4,2,0,54.615,57.791,54.615,54.586
5,2,0,55.385,56.786,55.385,54.844
6,2,0,54.615,56.326,54.615,54.248
7,2,0,52.308,55.379,52.308,51.802
8,2,0,57.692,60.244,57.692,57.811
9,2,0,54.615,57.192,54.615,54.659
10,2,0,53.846,54.366,53.846,52.689
11,2,0,53.846,53.498,53.846,52.258
12,2,0,53.077,56.027,53.077,52.812
13,2,0,56.923,57.053,56.923,56.014
14,2,0,53.846,52.204,53.846,52.073
15,2,0,56.923,57.381,56.923,56.018
16,2,0,58.462,57.542,58.462,57.595
17,2,0,53.077,52.472,53.077,51.905
18,2,0,54.615,56.132,54.615,53.261
19,2,0,57.692,58.15,57.692,57.352
20,2,0,51.538,52.904,51.538,50.812
21,2,0,59.231,59.497,59.231,58.336
22,2,0,53.846,57.615,53.846,53.383
23,2,0,56.923,60.311,56.923,56.842
24,2,0,56.923,59.664,56.923,55.823
25,2,0,59.231,63.573,59.231,58.822
26,2,0,53.077,52.799,53.077,51.545
27,2,0,54.615,56.741,54.615,54.968
28,2,0,54.615,57.989,54.615,55.133
29,2,0,51.538,51.342,51.538,50.475
30,2,0,55.385,56.482,55.385,54.684
31,2,0,58.462,62.293,58.462,58.801
32,2,0,58.462,63.86,58.462,59.594
33,2,0,61.538,66.306,61.538,61.895
34,2,0,55.385,59.416,55.385,55.821
35,2,0,55.385,62.18,55.385,55.986
36,2,0,61.538,68.624,61.538,62.312
37,2,0,57.692,64.073,57.692,58.827
38,2,0,56.923,62.581,56.923,57.385
39,2,0,56.923,63.569,56.923,57.766
40,2,0,60.769,67.718,60.769,61.463
41,2,0,55.385,63.084,55.385,57.097
42,2,0,60.0,70.59,60.0,61.849
43,2,0,63.846,70.353,63.846,65.143
44,2,0,66.154,71.337,66.154,67.369
45,2,0,60.0,67.919,60.0,60.791
46,2,0,60.0,70.341,60.0,61.018
47,2,0,56.923,64.388,56.923,56.812
48,2,0,56.154,60.319,56.154,56.934
49,2,0,59.231,66.111,59.231,59.812
50,2,0,54.615,64.627,54.615,55.562
51,2,0,59.231,65.646,59.231,60.039
52,2,0,56.923,62.956,56.923,56.627
53,2,0,56.923,65.047,56.923,57.747
54,2,0,59.231,65.492,59.231,58.987
55,2,0,54.615,62.947,54.615,55.308
56,2,0,56.923,65.103,56.923,58.317
57,2,0,57.692,63.386,57.692,58.215
58,2,0,56.923,66.538,56.923,58.571
59,2,0,60.0,67.89,60.0,59.554
60,2,0,62.308,67.158,62.308,63.538
61,2,0,60.769,66.788,60.769,61.846
62,2,0,58.462,66.976,58.462,59.884
63,2,0,63.846,68.8,63.846,64.676
64,2,0,61.538,65.425,61.538,61.635
65,2,0,55.385,65.238,55.385,55.335
66,2,0,58.462,65.06,58.462,58.635
67,2,0,55.385,60.798,55.385,55.499
68,2,0,58.462,66.843,58.462,59.339
69,2,0,54.615,60.201,54.615,54.125
70,2,0,62.308,68.691,62.308,61.582
71,2,0,60.769,66.887,60.769,61.57
72,2,0,59.231,66.674,59.231,60.288
73,2,0,62.308,70.176,62.308,63.793
74,2,0,63.077,69.011,63.077,63.662
75,2,0,58.462,63.824,58.462,58.352
76,2,0,60.769,63.084,60.769,59.249
77,2,0,62.308,68.775,62.308,62.811
78,2,0,61.538,71.144,61.538,63.531
79,2,0,64.615,71.035,64.615,65.16
80,2,0,63.077,66.767,63.077,62.915
81,2,0,66.923,71.904,66.923,67.692
82,2,0,62.308,67.697,62.308,63.087
83,2,0,63.846,70.206,63.846,64.52
84,2,0,62.308,67.877,62.308,63.751
85,2,0,65.385,72.353,65.385,66.811
86,2,0,68.462,71.086,68.462,68.942
87,2,0,66.154,69.509,66.154,66.665
88,2,0,65.385,68.92,65.385,65.68
89,2,0,60.769,65.962,60.769,61.05
90,2,0,55.385,63.085,55.385,56.445
91,2,0,56.154,63.323,56.154,57.007
92,2,0,60.769,65.724,60.769,61.81
93,2,0,66.154,69.227,66.154,66.765
94,2,0,62.308,69.416,62.308,62.868
95,2,0,63.077,68.259,63.077,63.661
96,2,0,63.846,71.539,63.846,64.664
97,2,0,67.692,70.356,67.692,67.662
98,2,0,65.385,72.226,65.385,65.905
99,2,0,66.923,72.741,66.923,67.959
100,2,0,69.231,73.31,69.231,70.06
0,2,1,57.692,57.438,57.692,56.57
1,2,1,57.692,58.623,57.692,56.943
2,2,1,56.923,59.088,56.923,57.066
3,2,1,56.923,58.884,56.923,57.174
4,2,1,56.154,57.849,56.154,56.166
5,2,1,61.538,61.947,61.538,61.235
6,2,1,60.0,60.476,60.0,59.919
7,2,1,58.462,59.752,58.462,58.424
8,2,1,59.231,61.44,59.231,59.939
9,2,1,57.692,59.172,57.692,57.725
10,2,1,62.308,62.13,62.308,61.577
11,2,1,60.0,59.92,60.0,59.501
12,2,1,55.385,55.004,55.385,55.049
13,2,1,57.692,58.672,57.692,57.999
14,2,1,58.462,59.204,58.462,58.6
15,2,1,58.462,59.021,58.462,58.584
16,2,1,60.0,59.896,60.0,59.507
17,2,1,57.692,57.816,57.692,57.535
18,2,1,53.077,53.461,53.077,52.52
19,2,1,55.385,55.69,55.385,54.791
20,2,1,57.692,58.005,57.692,56.479
21,2,1,56.154,56.447,56.154,55.539
22,2,1,59.231,59.981,59.231,59.17
23,2,1,57.692,58.886,57.692,57.552
24,2,1,63.077,64.685,63.077,62.823
25,2,1,66.154,67.773,66.154,65.935
26,2,1,60.769,61.452,60.769,60.645
27,2,1,62.308,62.48,62.308,61.766
28,2,1,58.462,59.744,58.462,58.282
29,2,1,60.769,62.2,60.769,60.639
30,2,1,60.0,60.489,60.0,59.389
31,2,1,63.846,64.119,63.846,63.679
32,2,1,61.538,62.123,61.538,61.466
33,2,1,58.462,59.668,58.462,58.672
34,2,1,63.077,64.503,63.077,63.257
35,2,1,60.769,62.08,60.769,61.017
36,2,1,59.231,60.576,59.231,59.134
37,2,1,60.769,61.378,60.769,60.59
38,2,1,56.154,56.561,56.154,55.623
39,2,1,54.615,55.709,54.615,54.322
40,2,1,61.538,61.638,61.538,61.245
41,2,1,62.308,62.498,62.308,62.066
42,2,1,60.769,61.361,60.769,60.407
43,2,1,63.077,64.866,63.077,62.873
44,2,1,63.846,65.445,63.846,63.438
45,2,1,62.308,64.938,62.308,62.183
46,2,1,64.615,65.265,64.615,64.159
47,2,1,64.615,65.924,64.615,64.183
48,2,1,64.615,65.02,64.615,64.186
49,2,1,56.923,59.303,56.923,56.434
50,2,1,59.231,59.627,59.231,58.799
51,2,1,60.0,62.523,60.0,59.555
52,2,1,64.615,65.835,64.615,64.478
53,2,1,63.846,66.659,63.846,63.869
54,2,1,66.923,66.859,66.923,66.148
55,2,1,63.846,65.867,63.846,63.655
56,2,1,61.538,62.923,61.538,60.674
57,2,1,66.923,68.503,66.923,66.345
58,2,1,60.0,59.693,60.0,59.004
59,2,1,65.385,65.641,65.385,64.854
60,2,1,63.077,63.464,63.077,62.836
61,2,1,61.538,62.008,61.538,61.295
62,2,1,63.846,64.79,63.846,63.802
63,2,1,61.538,62.226,61.538,61.665
64,2,1,66.923,67.37,66.923,66.665
65,2,1,63.077,64.257,63.077,61.972
66,2,1,63.846,65.304,63.846,63.055
67,2,1,68.462,69.641,68.462,68.178
68,2,1,60.0,61.845,60.0,59.442
69,2,1,70.0,70.976,70.0,69.838
70,2,1,62.308,63.915,62.308,62.152
71,2,1,63.846,64.351,63.846,63.336
72,2,1,62.308,61.135,62.308,61.222
73,2,1,61.538,62.079,61.538,60.982
74,2,1,63.846,65.431,63.846,63.612
75,2,1,66.154,66.963,66.154,65.546
76,2,1,67.692,68.127,67.692,67.466
77,2,1,61.538,61.663,61.538,61.076
78,2,1,66.923,67.617,66.923,66.147
79,2,1,65.385,66.265,65.385,65.05
80,2,1,65.385,66.298,65.385,64.957
81,2,1,67.692,67.875,67.692,67.255
82,2,1,64.615,66.343,64.615,64.593
83,2,1,65.385,66.822,65.385,64.936
84,2,1,64.615,64.074,64.615,63.816
85,2,1,63.846,63.804,63.846,63.295
86,2,1,63.077,63.692,63.077,63.001
87,2,1,63.846,64.615,63.846,63.809
88,2,1,65.385,65.737,65.385,65.283
89,2,1,63.077,64.061,63.077,62.806
90,2,1,63.846,64.648,63.846,63.311
91,2,1,66.923,66.859,66.923,66.133
92,2,1,65.385,66.635,65.385,64.878
93,2,1,68.462,70.92,68.462,68.314
94,2,1,68.462,69.658,68.462,68.442
95,2,1,67.692,68.61,67.692,67.246
96,2,1,66.154,66.805,66.154,65.798
97,2,1,68.462,69.369,68.462,68.358
98,2,1,63.846,65.151,63.846,63.6
99,2,1,66.154,66.307,66.154,65.701
100,2,1,68.462,69.137,68.462,67.776
0,2,2,53.846,55.209,53.846,53.851
1,2,2,60.0,61.459,60.0,60.019
2,2,2,55.385,57.933,55.385,55.549
3,2,2,52.308,54.787,52.308,52.683
4,2,2,56.923,57.568,56.923,56.655
5,2,2,57.692,58.836,57.692,57.738
6,2,2,57.692,58.014,57.692,57.743
7,2,2,60.769,63.094,60.769,60.979
8,2,2,60.0,62.484,60.0,60.584
9,2,2,61.538,63.975,61.538,61.201
10,2,2,62.308,63.187,62.308,61.866
11,2,2,64.615,66.145,64.615,64.175
12,2,2,60.0,62.241,60.0,60.129
13,2,2,60.0,60.641,60.0,59.678
14,2,2,60.769,61.062,60.769,60.457
15,2,2,56.154,56.259,56.154,55.109
16,2,2,60.0,60.339,60.0,59.328
17,2,2,63.846,64.896,63.846,63.356
18,2,2,56.923,58.681,56.923,56.407
19,2,2,58.462,62.439,58.462,58.487
20,2,2,56.923,60.311,56.923,57.463
21,2,2,60.769,62.007,60.769,60.295
22,2,2,60.0,62.196,60.0,59.909
23,2,2,60.0,62.071,60.0,60.295
24,2,2,57.692,59.246,57.692,57.043
25,2,2,60.769,61.415,60.769,60.513
26,2,2,65.385,66.343,65.385,65.031
27,2,2,60.0,60.34,60.0,59.647
28,2,2,62.308,61.91,62.308,61.45
29,2,2,63.077,64.248,63.077,62.553
30,2,2,61.538,62.162,61.538,61.103
31,2,2,66.154,66.107,66.154,65.657
32,2,2,60.769,61.693,60.769,60.298
33,2,2,63.077,64.775,63.077,63.223
34,2,2,63.846,65.515,63.846,63.563
35,2,2,63.846,65.015,63.846,63.528
36,2,2,64.615,66.062,64.615,64.174
37,2,2,60.0,60.737,60.0,59.385
38,2,2,66.923,68.444,66.923,66.502
39,2,2,64.615,68.032,64.615,64.481
40,2,2,59.231,58.743,59.231,58.654
41,2,2,61.538,61.517,61.538,61.282
42,2,2,61.538,63.559,61.538,61.398
43,2,2,63.077,63.593,63.077,63.009
44,2,2,61.538,64.955,61.538,62.057
45,2,2,61.538,64.445,61.538,62.087
46,2,2,63.846,66.783,63.846,64.125
47,2,2,63.846,65.088,63.846,64.021
