iter,step,fold,acc,prec,rec,f1score
0,2,0,40.769,39.499,40.769,38.388
1,2,0,40.769,39.487,40.769,38.628
2,2,0,40.769,42.424,40.769,39.503
3,2,0,39.231,39.319,39.231,37.492
4,2,0,41.538,42.098,41.538,39.919
5,2,0,41.538,42.725,41.538,39.914
6,2,0,40.769,42.259,40.769,39.342
7,2,0,39.231,39.228,39.231,38.164
8,2,0,38.462,37.881,38.462,37.152
9,2,0,38.462,36.855,38.462,36.861
10,2,0,41.538,40.84,41.538,39.765
11,2,0,43.077,41.04,43.077,40.582
12,2,0,44.615,42.993,44.615,42.255
13,2,0,43.846,42.813,43.846,41.41
14,2,0,44.615,43.678,44.615,42.2
15,2,0,43.846,43.492,43.846,41.381
16,2,0,45.385,45.22,45.385,42.951
17,2,0,47.692,50.02,47.692,46.231
18,2,0,48.462,49.993,48.462,46.977
19,2,0,48.462,48.459,48.462,46.627
20,2,0,50.769,49.752,50.769,48.513
21,2,0,49.231,49.972,49.231,47.571
22,2,0,51.538,51.768,51.538,49.369
23,2,0,52.308,52.681,52.308,50.204
24,2,0,51.538,52.306,51.538,49.885
25,2,0,51.538,52.306,51.538,49.885
26,2,0,49.231,50.576,49.231,47.695
27,2,0,50.0,51.241,50.0,48.342
28,2,0,51.538,52.954,51.538,49.657
29,2,0,52.308,54.215,52.308,50.973
30,2,0,53.077,55.122,53.077,52.108
31,2,0,50.769,52.704,50.769,49.413
32,2,0,48.462,50.702,48.462,47.04
33,2,0,48.462,49.525,48.462,46.86
34,2,0,49.231,50.217,49.231,47.55
35,2,0,50.769,51.667,50.769,49.139
36,2,0,48.462,48.763,48.462,46.879
37,2,0,47.692,48.025,47.692,46.255
38,2,0,45.385,45.381,45.385,44.0
39,2,0,48.462,48.435,48.462,46.956
40,2,0,48.462,48.296,48.462,46.418
41,2,0,49.231,49.166,49.231,47.158
42,2,0,45.385,44.88,45.385,43.033
43,2,0,44.615,42.989,44.615,42.205
44,2,0,46.923,45.956,46.923,44.806
45,2,0,46.154,45.786,46.154,44.461
46,2,0,46.923,46.631,46.923,45.056
47,2,0,45.385,44.68,45.385,43.426
