iter,step,fold,acc,prec,rec,f1score
0,2,0,40.769,39.499,40.769,38.388
1,2,0,40.0,39.454,40.0,38.688
2,2,0,41.538,40.941,41.538,40.327
3,2,0,41.538,40.941,41.538,40.327
4,2,0,41.538,40.941,41.538,40.327
5,2,0,43.846,43.034,43.846,42.08
6,2,0,44.615,44.187,44.615,43.507
7,2,0,44.615,44.187,44.615,43.507
8,2,0,44.615,44.187,44.615,43.507
9,2,0,44.615,44.187,44.615,43.507
10,2,0,44.615,44.187,44.615,43.507
11,2,0,44.615,44.605,44.615,43.722
12,2,0,44.615,44.605,44.615,43.722
13,2,0,44.615,44.605,44.615,43.722
14,2,0,44.615,44.605,44.615,43.722
15,2,0,45.385,45.219,45.385,44.466
16,2,0,45.385,45.219,45.385,44.466
17,2,0,46.923,46.927,46.923,45.849
18,2,0,46.923,46.851,46.923,45.736
19,2,0,46.923,46.851,46.923,45.736
20,2,0,46.923,46.851,46.923,45.736
21,2,0,46.923,46.851,46.923,45.736
22,2,0,46.923,46.851,46.923,45.736
23,2,0,46.923,46.851,46.923,45.736
24,2,0,46.923,46.851,46.923,45.736
25,2,0,46.923,46.851,46.923,45.736
26,2,0,46.923,46.851,46.923,45.736
27,2,0,46.923,46.851,46.923,45.736
28,2,0,46.923,46.851,46.923,45.736
29,2,0,48.462,48.427,48.462,47.101
30,2,0,48.462,48.427,48.462,47.101
31,2,0,48.462,48.427,48.462,47.101
32,2,0,48.462,48.472,48.462,46.641
33,2,0,48.462,48.472,48.462,46.641
34,2,0,48.462,48.472,48.462,46.641
35,2,0,48.462,48.472,48.462,46.641
36,2,0,48.462,48.472,48.462,46.641
37,2,0,48.462,48.472,48.462,46.641
38,2,0,48.462,48.472,48.462,46.641
39,2,0,48.462,48.472,48.462,46.641
40,2,0,48.462,48.472,48.462,46.641
41,2,0,48.462,48.472,48.462,46.641
42,2,0,48.462,48.472,48.462,46.641
43,2,0,47.692,48.516,47.692,45.921
44,2,0,47.692,48.516,47.692,45.921
45,2,0,47.692,48.516,47.692,45.921
46,2,0,47.692,48.516,47.692,45.921
47,2,0,47.692,48.516,47.692,45.921
48,2,0,47.692,48.516,47.692,45.921
49,2,0,47.692,48.516,47.692,45.921
50,2,0,47.692,48.516,47.692,45.921
51,2,0,47.692,48.516,47.692,45.921
52,2,0,47.692,48.516,47.692,45.921
53,2,0,47.692,48.516,47.692,45.921
54,2,0,47.692,48.516,47.692,45.921
55,2,0,47.692,48.516,47.692,45.921
56,2,0,47.692,48.516,47.692,45.921
57,2,0,47.692,48.516,47.692,45.921
58,2,0,47.692,48.516,47.692,45.921
59,2,0,47.692,48.516,47.692,45.921
60,2,0,47.692,48.516,47.692,45.921
61,2,0,47.692,48.516,47.692,45.921
62,2,0,47.692,48.516,47.692,45.921
63,2,0,47.692,48.516,47.692,45.921
64,2,0,47.692,48.516,47.692,45.921
65,2,0,47.692,48.516,47.692,45.921
66,2,0,47.692,48.516,47.692,45.921
67,2,0,47.692,48.516,47.692,45.921
68,2,0,47.692,48.516,47.692,45.921
69,2,0,47.692,48.516,47.692,45.921
70,2,0,47.692,48.516,47.692,45.921
71,2,0,47.692,48.516,47.692,45.921
72,2,0,47.692,48.516,47.692,45.921
73,2,0,47.692,48.516,47.692,45.921
74,2,0,47.692,48.516,47.692,45.921
75,2,0,47.692,48.516,47.692,45.921
76,2,0,47.692,48.516,47.692,45.921
77,2,0,47.692,48.516,47.692,45.921
78,2,0,47.692,48.516,47.692,45.921
79,2,0,47.692,48.516,47.692,45.921
80,2,0,47.692,48.516,47.692,45.921
81,2,0,47.692,48.516,47.692,45.921
82,2,0,47.692,48.516,47.692,45.921
83,2,0,47.692,48.516,47.692,45.921
84,2,0,47.692,48.516,47.692,45.921
85,2,0,47.692,48.516,47.692,45.921
86,2,0,47.692,48.516,47.692,45.921
87,2,0,47.692,48.516,47.692,45.921
88,2,0,47.692,48.516,47.692,45.921
89,2,0,47.692,48.516,47.692,45.921
90,2,0,47.692,48.516,47.692,45.921
91,2,0,47.692,48.516,47.692,45.921
92,2,0,47.692,48.516,47.692,45.921
93,2,0,47.692,48.516,47.692,45.921
94,2,0,47.692,48.516,47.692,45.921
95,2,0,47.692,48.516,47.692,45.921
96,2,0,47.692,48.516,47.692,45.921
97,2,0,47.692,48.516,47.692,45.921
98,2,0,47.692,48.516,47.692,45.921
99,2,0,47.692,48.516,47.692,45.921
100,2,0,47.692,48.516,47.692,45.921
0,2,1,44.615,43.891,44.615,43.695
1,2,1,44.615,43.891,44.615,43.695
2,2,1,43.846,43.119,43.846,43.039
3,2,1,43.846,43.119,43.846,43.039
4,2,1,43.846,43.119,43.846,43.039
5,2,1,43.846,43.119,43.846,43.039
6,2,1,43.846,43.119,43.846,43.039
7,2,1,43.846,43.119,43.846,43.039
8,2,1,43.846,43.119,43.846,43.039
9,2,1,43.846,43.119,43.846,43.039
10,2,1,46.923,47.347,46.923,46.701
11,2,1,46.923,47.347,46.923,46.701
12,2,1,43.077,42.969,43.077,42.765
13,2,1,41.538,41.882,41.538,41.501
14,2,1,41.538,41.882,41.538,41.501
15,2,1,41.538,41.882,41.538,41.501
16,2,1,41.538,41.882,41.538,41.501
17,2,1,41.538,41.882,41.538,41.501
