iter,step,fold,acc,prec,rec,f1score
0,2,0,40.769,39.499,40.769,38.388
1,2,0,40.0,37.976,40.0,37.275
2,2,0,40.769,39.0,40.769,38.862
3,2,0,37.692,37.674,37.692,36.663
4,2,0,40.0,41.257,40.0,39.083
5,2,0,40.0,40.61,40.0,39.0
6,2,0,39.231,39.906,39.231,38.338
7,2,0,40.769,41.682,40.769,40.093
8,2,0,39.231,38.899,39.231,38.439
9,2,0,40.0,39.435,40.0,39.209
10,2,0,40.0,39.893,40.0,39.217
11,2,0,41.538,41.997,41.538,40.976
12,2,0,43.846,44.41,43.846,43.32
13,2,0,43.846,44.436,43.846,43.357
14,2,0,43.077,43.14,43.077,42.235
15,2,0,43.846,43.725,43.846,42.928
16,2,0,44.615,44.398,44.615,43.704
17,2,0,42.308,41.953,42.308,41.428
18,2,0,42.308,42.793,42.308,42.024
19,2,0,43.077,42.928,43.077,42.555
20,2,0,42.308,41.882,42.308,41.703
21,2,0,40.0,39.327,40.0,39.047
22,2,0,40.769,40.774,40.769,40.098
23,2,0,43.077,43.235,43.077,42.705
24,2,0,46.154,45.427,46.154,44.853
25,2,0,44.615,43.269,44.615,43.046
26,2,0,44.615,41.466,44.615,42.59
27,2,0,42.308,41.894,42.308,41.384
28,2,0,44.615,45.337,44.615,43.897
29,2,0,46.923,47.339,46.923,45.92
30,2,0,50.0,50.535,50.0,48.866
31,2,0,50.0,50.233,50.0,48.57
32,2,0,48.462,48.361,48.462,47.033
33,2,0,46.923,47.033,46.923,45.53
34,2,0,46.154,46.439,46.154,44.983
35,2,0,46.154,45.849,46.154,44.857
36,2,0,45.385,45.632,45.385,44.531
37,2,0,44.615,44.771,44.615,43.662
38,2,0,44.615,45.389,44.615,43.641
39,2,0,45.385,46.669,45.385,44.812
40,2,0,44.615,47.438,44.615,44.398
41,2,0,44.615,46.564,44.615,44.293
42,2,0,42.308,43.814,42.308,41.949
43,2,0,41.538,43.417,41.538,40.907
44,2,0,43.846,45.412,43.846,43.296
45,2,0,44.615,46.149,44.615,43.992
46,2,0,42.308,44.714,42.308,41.582
47,2,0,40.769,43.769,40.769,40.496
48,2,0,41.538,44.93,41.538,41.244
49,2,0,42.308,46.107,42.308,41.901
50,2,0,43.077,46.83,43.077,42.479
51,2,0,45.385,48.978,45.385,44.684
52,2,0,43.846,46.69,43.846,43.205
53,2,0,43.077,45.848,43.077,42.468
54,2,0,41.538,42.662,41.538,40.669
55,2,0,41.538,42.888,41.538,40.868
56,2,0,42.308,43.839,42.308,41.885
57,2,0,43.077,44.469,43.077,42.664
58,2,0,43.846,45.83,43.846,43.405
59,2,0,43.846,47.237,43.846,43.715
60,2,0,43.846,48.249,43.846,43.873
61,2,0,43.846,47.506,43.846,43.869
62,2,0,43.846,47.164,43.846,43.869
63,2,0,43.077,46.509,43.077,42.432
64,2,0,42.308,45.819,42.308,41.188
65,2,0,42.308,44.774,42.308,40.987
66,2,0,41.538,44.18,41.538,40.285
67,2,0,42.308,45.335,42.308,41.562
68,2,0,43.846,46.741,43.846,43.058
69,2,0,42.308,44.314,42.308,41.234
70,2,0,43.077,45.012,43.077,42.129
71,2,0,42.308,44.255,42.308,41.181
72,2,0,43.077,45.605,43.077,41.84
73,2,0,43.077,46.06,43.077,41.515
74,2,0,42.308,44.488,42.308,40.712
75,2,0,41.538,44.446,41.538,40.321
76,2,0,42.308,44.419,42.308,40.584
77,2,0,43.846,45.109,43.846,42.109
78,2,0,44.615,45.086,44.615,42.77
79,2,0,44.615,45.838,44.615,42.825
80,2,0,44.615,45.635,44.615,42.901
81,2,0,44.615,47.235,44.615,42.934
82,2,0,45.385,45.342,45.385,43.385
83,2,0,44.615,44.786,44.615,42.715
84,2,0,44.615,44.964,44.615,43.048
85,2,0,43.846,44.4,43.846,42.399
86,2,0,43.077,44.201,43.077,41.93
87,2,0,43.077,44.591,43.077,42.257
88,2,0,43.846,45.499,43.846,42.85
89,2,0,46.923,47.607,46.923,45.888
90,2,0,48.462,48.955,48.462,47.289
91,2,0,50.0,51.197,50.0,48.692
92,2,0,43.846,41.994,43.846,41.718
93,2,0,46.154,45.385,46.154,44.528
94,2,0,47.692,46.682,47.692,46.07
95,2,0,47.692,46.233,47.692,45.581
96,2,0,46.923,45.273,46.923,44.617
97,2,0,46.154,44.496,46.154,44.008
98,2,0,48.462,46.081,48.462,45.94
99,2,0,46.923,47.536,46.923,45.327
100,2,0,48.462,50.655,48.462,47.272
0,2,1,44.615,43.891,44.615,43.695
1,2,1,47.692,47.848,47.692,47.328
2,2,1,43.846,42.97,43.846,43.194
3,2,1,43.846,43.978,43.846,43.665
4,2,1,44.615,45.324,44.615,44.652
5,2,1,47.692,48.557,47.692,47.88
6,2,1,46.154,46.651,46.154,45.6
7,2,1,45.385,45.816,45.385,44.731
8,2,1,46.154,45.721,46.154,45.129
9,2,1,51.538,53.328,51.538,50.837
10,2,1,50.769,52.28,50.769,49.934
11,2,1,46.923,48.027,46.923,45.48
12,2,1,48.462,49.135,48.462,47.35
13,2,1,48.462,48.554,48.462,47.103
14,2,1,48.462,48.135,48.462,46.938
15,2,1,47.692,45.848,47.692,45.793
16,2,1,50.0,48.723,50.0,48.419
17,2,1,50.769,49.741,50.769,49.309
18,2,1,53.846,53.424,53.846,52.356
19,2,1,53.077,52.691,53.077,51.298
20,2,1,51.538,50.139,51.538,49.406
21,2,1,51.538,51.713,51.538,49.805
22,2,1,50.769,49.714,50.769,49.078
23,2,1,50.0,48.224,50.0,48.201
24,2,1,50.0,48.899,50.0,48.473
25,2,1,48.462,46.529,48.462,46.77
26,2,1,50.769,49.768,50.769,49.573
27,2,1,50.769,50.587,50.769,49.53
28,2,1,52.308,52.135,52.308,50.955
29,2,1,51.538,51.068,51.538,50.252
30,2,1,50.769,50.939,50.769,49.857
31,2,1,50.0,50.054,50.0,49.114
32,2,1,49.231,48.882,49.231,48.032
33,2,1,51.538,51.735,51.538,50.66
34,2,1,51.538,51.266,51.538,50.413
35,2,1,51.538,51.361,51.538,50.483
36,2,1,50.0,50.298,50.0,49.226
37,2,1,51.538,52.756,51.538,50.786
38,2,1,53.077,53.704,53.077,52.106
39,2,1,53.846,54.047,53.846,52.852
40,2,1,55.385,55.589,55.385,54.204
41,2,1,53.846,53.532,53.846,52.311
42,2,1,54.615,54.706,54.615,53.117
43,2,1,53.846,54.091,53.846,52.492
44,2,1,52.308,52.444,52.308,51.161
45,2,1,53.077,53.542,53.077,52.154
46,2,1,53.077,53.431,53.077,52.153
47,2,1,53.077,53.542,53.077,52.154
48,2,1,54.615,55.206,54.615,53.48
49,2,1,51.538,51.488,51.538,50.404
50,2,1,53.846,54.042,53.846,53.277
51,2,1,55.385,55.407,55.385,54.667
52,2,1,52.308,51.699,52.308,51.431
53,2,1,55.385,55.394,55.385,54.732
54,2,1,54.615,54.75,54.615,53.96
55,2,1,55.385,55.228,55.385,54.59
56,2,1,54.615,54.361,54.615,53.777
57,2,1,55.385,55.651,55.385,54.542
58,2,1,54.615,54.863,54.615,53.941
59,2,1,53.846,54.452,53.846,53.263
60,2,1,51.538,51.379,51.538,50.956
61,2,1,49.231,48.977,49.231,48.489
62,2,1,50.0,49.967,50.0,49.401
63,2,1,50.0,50.127,50.0,49.266
64,2,1,49.231,48.924,49.231,48.193
65,2,1,49.231,49.499,49.231,48.421
66,2,1,48.462,47.938,48.462,47.289
67,2,1,47.692,47.096,47.692,46.636
68,2,1,50.769,50.838,50.769,49.878
69,2,1,51.538,51.55,51.538,50.629
70,2,1,51.538,51.233,51.538,50.52
71,2,1,51.538,51.812,51.538,50.523
72,2,1,50.769,50.426,50.769,49.44
73,2,1,53.077,52.207,53.077,51.903
74,2,1,55.385,54.985,55.385,54.018
75,2,1,55.385,56.192,55.385,54.206
76,2,1,55.385,55.36,55.385,53.946
77,2,1,53.846,54.617,53.846,52.846
78,2,1,53.077,54.718,53.077,52.241
79,2,1,54.615,55.76,54.615,53.493
80,2,1,55.385,56.545,55.385,54.36
81,2,1,56.154,57.294,56.154,55.155
82,2,1,56.154,57.244,56.154,55.152
83,2,1,56.923,58.716,56.923,56.37
84,2,1,56.154,57.171,56.154,55.494
85,2,1,53.846,54.043,53.846,52.777
86,2,1,54.615,54.83,54.615,53.518
87,2,1,55.385,56.679,55.385,54.606
88,2,1,54.615,55.529,54.615,53.667
89,2,1,55.385,57.473,55.385,55.037
90,2,1,56.923,59.576,56.923,56.455
91,2,1,56.154,58.722,56.154,55.583
92,2,1,54.615,58.244,54.615,54.416
93,2,1,55.385,58.457,55.385,55.155
94,2,1,56.154,59.055,56.154,55.882
95,2,1,55.385,59.253,55.385,55.576
96,2,1,55.385,58.818,55.385,55.396
97,2,1,53.846,57.886,53.846,53.884
98,2,1,53.846,57.886,53.846,53.884
99,2,1,54.615,57.045,54.615,54.388
100,2,1,52.308,54.599,52.308,51.896
0,2,2,42.308,43.239,42.308,40.926
1,2,2,43.846,45.885,43.846,43.146
2,2,2,44.615,46.572,44.615,43.895
3,2,2,44.615,46.227,44.615,43.776
4,2,2,43.846,44.673,43.846,42.654
5,2,2,43.077,43.42,43.077,42.298
6,2,2,44.615,46.154,44.615,44.614
7,2,2,43.077,43.421,43.077,42.615
8,2,2,44.615,44.866,44.615,44.056
9,2,2,46.923,47.227,46.923,46.032
10,2,2,47.692,49.482,47.692,47.268
11,2,2,48.462,49.775,48.462,48.058
12,2,2,47.692,47.324,47.692,46.728
13,2,2,47.692,47.476,47.692,46.451
14,2,2,46.154,47.019,46.154,45.418
15,2,2,47.692,48.006,47.692,46.707
16,2,2,46.154,46.373,46.154,45.173
17,2,2,49.231,48.478,49.231,47.976
18,2,2,48.462,47.566,48.462,47.37
19,2,2,48.462,47.225,48.462,46.925
20,2,2,49.231,48.014,49.231,47.945
21,2,2,48.462,47.47,48.462,47.304
22,2,2,48.462,47.542,48.462,47.342
23,2,2,48.462,47.432,48.462,47.395
24,2,2,49.231,48.393,49.231,48.551
25,2,2,48.462,47.577,48.462,47.668
26,2,2,46.923,45.895,46.923,45.885
27,2,2,47.692,47.216,47.692,46.998
28,2,2,47.692,46.924,47.692,46.863
29,2,2,47.692,46.912,47.692,46.918
30,2,2,46.154,45.336,46.154,45.394
31,2,2,47.692,46.821,47.692,46.686
32,2,2,47.692,47.146,47.692,46.963
33,2,2,50.769,49.888,50.769,49.704
34,2,2,49.231,48.86,49.231,48.66
35,2,2,48.462,48.03,48.462,47.819
36,2,2,48.462,48.003,48.462,47.852
37,2,2,48.462,47.951,48.462,47.723
38,2,2,46.154,46.973,46.154,45.981
39,2,2,46.923,47.762,46.923,46.714
40,2,2,46.923,47.053,46.923,46.606
41,2,2,46.154,46.421,46.154,45.831
42,2,2,45.385,45.648,45.385,45.035
43,2,2,46.154,47.101,46.154,46.053
44,2,2,47.692,48.792,47.692,47.701
45,2,2,46.923,47.751,46.923,46.9
46,2,2,47.692,48.106,47.692,47.471
47,2,2,47.692,48.411,47.692,47.576
48,2,2,49.231,50.089,49.231,49.181
49,2,2,49.231,50.077,49.231,49.215
50,2,2,46.923,48.151,46.923,47.019
51,2,2,46.154,46.848,46.154,46.114
52,2,2,46.923,47.593,46.923,46.821
53,2,2,46.154,46.18,46.154,45.785
54,2,2,46.154,46.18,46.154,45.785
55,2,2,46.154,47.422,46.154,46.044
56,2,2,46.923,46.331,46.923,46.287
57,2,2,46.923,45.96,46.923,46.058
58,2,2,47.692,47.809,47.692,47.271
59,2,2,46.154,46.008,46.154,45.809
60,2,2,46.923,46.927,46.923,46.676
61,2,2,49.231,49.29,49.231,48.904
62,2,2,48.462,48.357,48.462,48.02
63,2,2,50.769,50.126,50.769,50.175
64,2,2,50.769,51.996,50.769,50.768
65,2,2,50.769,52.026,50.769,50.738
66,2,2,50.769,51.874,50.769,50.638
67,2,2,50.0,50.664,50.0,49.753
68,2,2,51.538,51.772,51.538,51.119
69,2,2,50.769,50.94,50.769,50.231
70,2,2,50.0,50.542,50.0,49.639
71,2,2,52.308,52.046,52.308,51.616
72,2,2,53.077,53.592,53.077,52.735
73,2,2,54.615,54.849,54.615,54.261
74,2,2,56.154,55.572,56.154,55.538
75,2,2,56.154,55.638,56.154,55.549
76,2,2,56.154,55.649,56.154,55.562
77,2,2,55.385,54.902,55.385,54.745
78,2,2,53.846,52.9,53.846,53.148
79,2,2,53.846,52.651,53.846,52.967
80,2,2,52.308,51.127,52.308,51.423
81,2,2,53.846,52.7,53.846,52.919
82,2,2,54.615,53.44,54.615,53.651
83,2,2,54.615,53.555,54.615,53.657
84,2,2,55.385,54.571,55.385,54.412
85,2,2,55.385,54.528,55.385,54.39
86,2,2,53.846,53.317,53.846,52.775
87,2,2,52.308,51.777,52.308,51.15
88,2,2,53.846,53.17,53.846,52.524
89,2,2,53.846,53.17,53.846,52.524
90,2,2,53.846,53.325,53.846,52.495
91,2,2,52.308,51.667,52.308,51.024
92,2,2,53.077,53.015,53.077,52.131
93,2,2,53.846,54.146,53.846,53.095
94,2,2,55.385,55.158,55.385,54.502
95,2,2,57.692,57.642,57.692,56.798
96,2,2,56.923,57.105,56.923,56.139
97,2,2,55.385,56.18,55.385,54.876
98,2,2,55.385,56.272,55.385,54.922
99,2,2,56.154,56.181,56.154,55.247
100,2,2,55.385,55.835,55.385,54.313
0,5,0,40.769,39.499,40.769,38.388
1,5,0,42.308,42.497,42.308,40.789
2,5,0,43.077,43.757,43.077,41.862
3,5,0,43.846,43.934,43.846,42.643
