iter,step,fold,acc,prec,rec,f1score
0,2,0,53.846,55.495,53.846,53.715
1,2,0,50.769,54.04,50.769,50.521
2,2,0,52.308,53.134,52.308,51.879
3,2,0,56.154,56.245,56.154,55.676
4,2,0,54.615,57.232,54.615,54.888
5,2,0,52.308,54.0,52.308,52.231
6,2,0,58.462,60.25,58.462,58.076
7,2,0,60.769,63.894,60.769,60.588
8,2,0,52.308,53.5,52.308,52.152
9,2,0,53.846,55.706,53.846,53.737
10,2,0,58.462,61.679,58.462,58.765
11,2,0,57.692,60.982,57.692,57.907
12,2,0,57.692,60.601,57.692,57.479
13,2,0,57.692,60.979,57.692,58.291
14,2,0,60.0,63.514,60.0,59.869
15,2,0,63.846,65.448,63.846,64.018
16,2,0,61.538,65.048,61.538,61.665
17,2,0,62.308,63.154,62.308,61.947
18,2,0,61.538,64.784,61.538,62.069
19,2,0,61.538,64.759,61.538,62.103
20,2,0,64.615,66.77,64.615,65.127
21,2,0,64.615,66.4,64.615,64.953
22,2,0,63.846,66.189,63.846,64.068
23,2,0,63.077,64.773,63.077,63.3
24,2,0,66.154,68.889,66.154,66.25
25,2,0,66.923,68.285,66.923,67.094
26,2,0,63.077,66.504,63.077,63.778
27,2,0,67.692,71.162,67.692,68.618
28,2,0,62.308,65.306,62.308,62.707
29,2,0,60.769,63.821,60.769,61.305
30,2,0,70.0,73.501,70.0,69.792
31,2,0,65.385,68.895,65.385,66.047
32,2,0,65.385,67.744,65.385,65.493
33,2,0,61.538,65.721,61.538,62.606
34,2,0,61.538,63.818,61.538,62.191
35,2,0,61.538,64.345,61.538,61.796
36,2,0,61.538,63.767,61.538,61.498
37,2,0,65.385,67.855,65.385,65.739
38,2,0,66.154,68.976,66.154,65.969
39,2,0,66.154,73.081,66.154,67.445
40,2,0,61.538,66.11,61.538,62.014
41,2,0,60.0,63.074,60.0,60.465
42,2,0,67.692,71.092,67.692,68.494
43,2,0,63.846,67.138,63.846,64.766
44,2,0,66.154,70.716,66.154,67.362
45,2,0,66.154,69.565,66.154,66.698
46,2,0,60.769,64.852,60.769,61.948
47,2,0,60.0,63.037,60.0,60.907
48,2,0,64.615,67.265,64.615,64.863
49,2,0,63.846,68.108,63.846,64.534
50,2,0,63.077,67.409,63.077,64.039
0,2,1,57.692,58.072,57.692,56.67
1,2,1,51.538,52.065,51.538,50.025
2,2,1,58.462,58.502,58.462,57.705
3,2,1,58.462,58.789,58.462,57.729
4,2,1,55.385,56.983,55.385,53.998
5,2,1,60.769,60.62,60.769,58.59
6,2,1,61.538,68.103,61.538,60.128
7,2,1,62.308,66.487,62.308,62.205
8,2,1,57.692,59.769,57.692,56.316
9,2,1,56.154,59.649,56.154,55.32
10,2,1,62.308,66.38,62.308,62.07
11,2,1,60.0,63.875,60.0,59.057
12,2,1,62.308,63.378,62.308,61.426
13,2,1,60.769,62.813,60.769,59.708
14,2,1,54.615,58.928,54.615,54.267
15,2,1,55.385,58.714,55.385,55.041
16,2,1,60.769,62.661,60.769,60.413
17,2,1,59.231,62.575,59.231,58.941
18,2,1,61.538,63.802,61.538,61.378
19,2,1,61.538,63.894,61.538,61.087
20,2,1,62.308,64.34,62.308,62.142
21,2,1,61.538,63.423,61.538,60.776
22,2,1,56.923,60.781,56.923,56.353
23,2,1,63.077,68.156,63.077,63.463
24,2,1,60.0,62.902,60.0,59.389
25,2,1,56.923,58.281,56.923,56.044
26,2,1,61.538,62.056,61.538,60.56
27,2,1,63.846,65.482,63.846,63.509
28,2,1,66.154,68.52,66.154,66.018
29,2,1,60.769,61.873,60.769,60.222
30,2,1,63.846,65.407,63.846,63.463
31,2,1,66.154,67.826,66.154,65.913
32,2,1,63.077,66.622,63.077,62.729
33,2,1,63.077,65.37,63.077,62.692
34,2,1,61.538,62.05,61.538,60.741
35,2,1,60.0,62.703,60.0,59.369
36,2,1,63.846,67.055,63.846,64.304
37,2,1,65.385,68.871,65.385,65.515
38,2,1,66.923,69.477,66.923,66.412
39,2,1,62.308,63.959,62.308,61.595
40,2,1,63.077,65.542,63.077,63.156
41,2,1,66.923,68.872,66.923,66.746
42,2,1,64.615,67.542,64.615,64.14
43,2,1,67.692,71.271,67.692,67.376
44,2,1,63.846,67.73,63.846,63.372
45,2,1,60.769,62.08,60.769,60.035
46,2,1,66.923,68.724,66.923,67.001
47,2,1,69.231,70.694,69.231,69.495
48,2,1,70.769,73.808,70.769,71.213
49,2,1,66.923,68.23,66.923,66.877
50,2,1,66.923,68.89,66.923,66.924
0,2,2,55.385,54.308,55.385,54.549
1,2,2,57.692,58.947,57.692,57.36
2,2,2,59.231,58.778,59.231,58.575
3,2,2,55.385,54.625,55.385,54.572
4,2,2,56.154,56.423,56.154,55.847
5,2,2,60.0,61.264,60.0,60.0
6,2,2,61.538,63.468,61.538,61.371
7,2,2,59.231,58.588,59.231,57.661
8,2,2,57.692,56.875,57.692,56.326
9,2,2,62.308,63.017,62.308,60.897
10,2,2,62.308,63.704,62.308,61.704
11,2,2,58.462,58.989,58.462,57.319
12,2,2,61.538,61.577,61.538,60.533
13,2,2,60.769,62.309,60.769,59.768
14,2,2,60.769,62.059,60.769,59.511
15,2,2,64.615,65.181,64.615,63.474
16,2,2,60.769,61.874,60.769,58.83
17,2,2,64.615,66.586,64.615,63.93
18,2,2,57.692,60.526,57.692,57.027
19,2,2,62.308,64.074,62.308,61.132
20,2,2,62.308,66.853,62.308,60.6
21,2,2,60.0,60.213,60.0,57.599
22,2,2,64.615,66.687,64.615,63.474
23,2,2,58.462,58.676,58.462,57.212
24,2,2,57.692,60.494,57.692,56.249
25,2,2,60.0,63.135,60.0,59.459
26,2,2,63.846,65.904,63.846,62.994
27,2,2,65.385,67.203,65.385,65.32
28,2,2,62.308,63.01,62.308,61.878
29,2,2,65.385,67.342,65.385,65.091
30,2,2,61.538,62.725,61.538,60.542
31,2,2,60.769,63.883,60.769,60.362
32,2,2,62.308,63.35,62.308,60.83
33,2,2,61.538,63.532,61.538,61.233
34,2,2,63.846,66.809,63.846,63.617
35,2,2,63.077,66.75,63.077,62.38
36,2,2,63.846,66.328,63.846,63.34
37,2,2,60.769,64.36,60.769,59.347
38,2,2,63.846,67.604,63.846,63.082
39,2,2,62.308,64.913,62.308,61.556
40,2,2,70.0,73.59,70.0,69.25
41,2,2,66.154,69.051,66.154,65.682
42,2,2,72.308,72.164,72.308,71.039
43,2,2,67.692,69.733,67.692,67.128
44,2,2,66.923,68.985,66.923,66.682
45,2,2,66.923,69.234,66.923,65.99
46,2,2,70.0,72.983,70.0,69.705
