iter,step,fold,acc,prec,rec,f1score
0,2,0,53.846,55.495,53.846,53.715
1,2,0,54.615,57.56,54.615,54.874
2,2,0,53.077,54.375,53.077,52.316
3,2,0,58.462,58.176,58.462,57.737
4,2,0,56.923,57.665,56.923,56.217
5,2,0,59.231,60.521,59.231,58.116
6,2,0,59.231,60.521,59.231,58.116
7,2,0,58.462,62.562,58.462,58.82
8,2,0,58.462,62.562,58.462,58.82
9,2,0,59.231,59.054,59.231,58.246
10,2,0,59.231,59.054,59.231,58.246
11,2,0,60.769,60.662,60.769,60.165
12,2,0,56.923,59.456,56.923,56.545
13,2,0,56.923,56.085,56.923,54.891
14,2,0,56.923,56.085,56.923,54.891
15,2,0,60.769,61.144,60.769,59.74
16,2,0,60.769,61.144,60.769,59.74
17,2,0,53.077,51.803,53.077,51.264
18,2,0,53.077,51.803,53.077,51.264
19,2,0,54.615,54.056,54.615,53.645
20,2,0,54.615,54.056,54.615,53.645
21,2,0,57.692,59.477,57.692,57.367
22,2,0,58.462,57.892,58.462,57.167
23,2,0,56.923,55.703,56.923,54.778
24,2,0,56.923,55.703,56.923,54.778
25,2,0,54.615,55.869,54.615,53.929
26,2,0,55.385,54.717,55.385,53.881
27,2,0,59.231,62.697,59.231,58.559
28,2,0,60.769,61.113,60.769,59.789
29,2,0,56.923,63.085,56.923,56.523
30,2,0,56.923,63.085,56.923,56.523
31,2,0,58.462,63.423,58.462,57.907
32,2,0,58.462,63.423,58.462,57.907
33,2,0,53.846,55.46,53.846,52.617
34,2,0,53.846,55.46,53.846,52.617
35,2,0,59.231,64.26,59.231,58.872
36,2,0,59.231,64.26,59.231,58.872
37,2,0,58.462,63.842,58.462,57.839
38,2,0,57.692,61.042,57.692,56.451
39,2,0,60.769,68.56,60.769,61.087
40,2,0,60.769,68.56,60.769,61.087
41,2,0,60.769,66.254,60.769,60.77
42,2,0,60.769,66.254,60.769,60.77
43,2,0,60.0,61.902,60.0,59.23
44,2,0,57.692,63.29,57.692,57.358
45,2,0,55.385,59.809,55.385,54.996
46,2,0,55.385,59.809,55.385,54.996
47,2,0,55.385,60.368,55.385,54.808
48,2,0,55.385,60.368,55.385,54.808
49,2,0,54.615,59.832,54.615,53.952
50,2,0,54.615,59.832,54.615,53.952
0,2,1,57.692,58.072,57.692,56.67
1,2,1,56.154,57.955,56.154,55.742
2,2,1,53.846,54.382,53.846,52.893
3,2,1,56.154,57.387,56.154,55.601
4,2,1,56.154,57.387,56.154,55.601
5,2,1,57.692,58.481,57.692,55.793
6,2,1,57.692,58.481,57.692,55.793
7,2,1,58.462,58.545,58.462,57.334
8,2,1,58.462,58.545,58.462,57.334
9,2,1,63.846,63.398,63.846,62.424
10,2,1,50.769,51.285,50.769,49.191
11,2,1,56.154,57.748,56.154,55.227
12,2,1,55.385,58.042,55.385,54.481
13,2,1,53.077,56.195,53.077,52.57
14,2,1,56.154,55.127,56.154,54.86
15,2,1,56.923,57.164,56.923,56.394
16,2,1,59.231,58.474,59.231,57.823
17,2,1,60.769,59.743,60.769,59.255
18,2,1,60.769,59.743,60.769,59.255
19,2,1,65.385,64.915,65.385,63.76
20,2,1,65.385,64.915,65.385,63.76
21,2,1,62.308,62.296,62.308,61.619
22,2,1,61.538,59.65,61.538,59.9
23,2,1,60.0,59.048,60.0,58.85
24,2,1,60.0,59.048,60.0,58.85
25,2,1,62.308,62.142,62.308,61.302
26,2,1,60.0,61.447,60.0,59.461
27,2,1,60.0,61.004,60.0,58.78
28,2,1,58.462,60.57,58.462,57.9
29,2,1,60.0,61.267,60.0,59.071
30,2,1,60.0,61.267,60.0,59.071
31,2,1,55.385,54.236,55.385,53.659
32,2,1,56.154,54.85,56.154,54.248
33,2,1,56.154,55.81,56.154,53.772
34,2,1,60.769,59.86,60.769,58.588
35,2,1,59.231,59.438,59.231,57.934
36,2,1,59.231,59.438,59.231,57.934
37,2,1,56.154,56.947,56.154,54.322
38,2,1,55.385,56.419,55.385,53.856
39,2,1,56.154,56.061,56.154,54.16
40,2,1,56.154,56.061,56.154,54.16
41,2,1,56.154,58.47,56.154,54.442
42,2,1,57.692,58.345,57.692,55.445
43,2,1,56.923,58.948,56.923,55.55
44,2,1,56.923,58.948,56.923,55.55
45,2,1,53.846,54.553,53.846,52.222
46,2,1,53.846,54.553,53.846,52.222
47,2,1,57.692,60.205,57.692,56.219
48,2,1,53.846,56.357,53.846,51.53
49,2,1,56.154,55.991,56.154,53.472
50,2,1,56.154,55.991,56.154,53.472
