iter,step,fold,acc,prec,rec,f1score
0,2,0,53.846,55.495,53.846,53.715
1,2,0,59.231,63.228,59.231,60.073
2,2,0,56.923,59.03,56.923,56.491
3,2,0,54.615,57.538,54.615,55.037
4,2,0,57.692,59.243,57.692,57.597
5,2,0,56.154,57.487,56.154,56.139
6,2,0,54.615,54.812,54.615,54.29
7,2,0,53.077,52.102,53.077,52.317
8,2,0,53.846,54.01,53.846,53.796
9,2,0,50.769,52.259,50.769,50.917
10,2,0,57.692,57.774,57.692,57.15
11,2,0,60.769,59.494,60.769,59.734
12,2,0,56.154,55.699,56.154,55.454
13,2,0,62.308,62.097,62.308,61.886
14,2,0,60.769,62.249,60.769,59.742
15,2,0,60.0,60.185,60.0,58.597
16,2,0,63.077,65.358,63.077,63.045
17,2,0,60.769,61.2,60.769,60.412
18,2,0,56.154,56.742,56.154,56.006
19,2,0,57.692,58.896,57.692,57.987
20,2,0,61.538,61.957,61.538,61.416
21,2,0,63.077,64.722,63.077,63.12
22,2,0,60.0,61.102,60.0,59.426
23,2,0,60.769,62.682,60.769,60.978
24,2,0,61.538,64.598,61.538,62.245
25,2,0,58.462,61.071,58.462,59.316
26,2,0,60.0,63.544,60.0,61.149
27,2,0,59.231,61.35,59.231,59.623
28,2,0,64.615,66.642,64.615,64.994
29,2,0,65.385,66.488,65.385,65.546
30,2,0,63.077,65.514,63.077,63.338
31,2,0,63.077,64.709,63.077,62.989
32,2,0,63.846,65.39,63.846,63.626
33,2,0,60.769,63.401,60.769,60.84
34,2,0,67.692,69.867,67.692,67.886
35,2,0,66.923,70.464,66.923,67.297
36,2,0,63.077,65.791,63.077,63.673
37,2,0,64.615,68.08,64.615,64.102
38,2,0,63.846,67.519,63.846,64.352
39,2,0,66.154,68.482,66.154,65.982
40,2,0,64.615,66.214,64.615,64.35
41,2,0,61.538,64.803,61.538,62.221
42,2,0,67.692,71.994,67.692,68.294
43,2,0,64.615,66.525,64.615,64.594
44,2,0,63.846,68.012,63.846,64.236
45,2,0,70.0,72.263,70.0,70.452
46,2,0,68.462,72.293,68.462,69.205
47,2,0,63.846,66.393,63.846,64.299
48,2,0,61.538,65.658,61.538,62.742
49,2,0,60.0,63.799,60.0,60.789
50,2,0,65.385,67.009,65.385,65.925
0,2,1,57.692,58.072,57.692,56.67
1,2,1,56.923,58.355,56.923,55.795
2,2,1,59.231,58.907,59.231,57.743
3,2,1,58.462,58.695,58.462,56.996
4,2,1,64.615,66.718,64.615,63.11
5,2,1,63.077,65.08,63.077,61.537
6,2,1,51.538,51.302,51.538,50.054
7,2,1,54.615,55.658,54.615,53.869
8,2,1,62.308,65.066,62.308,60.701
9,2,1,56.923,57.211,56.923,55.311
10,2,1,60.0,64.331,60.0,59.071
11,2,1,58.462,64.169,58.462,57.884
12,2,1,61.538,64.762,61.538,59.935
13,2,1,59.231,61.83,59.231,57.616
14,2,1,60.769,65.086,60.769,59.854
15,2,1,60.769,62.127,60.769,59.516
16,2,1,59.231,60.992,59.231,59.02
17,2,1,62.308,65.75,62.308,61.512
18,2,1,63.077,64.992,63.077,61.994
19,2,1,61.538,63.626,61.538,61.149
20,2,1,62.308,64.903,62.308,61.685
21,2,1,53.077,53.965,53.077,52.045
22,2,1,63.846,66.512,63.846,62.799
23,2,1,66.154,67.993,66.154,65.906
24,2,1,57.692,60.085,57.692,57.05
25,2,1,64.615,68.369,64.615,64.002
26,2,1,63.077,65.615,63.077,61.489
27,2,1,63.846,67.47,63.846,62.877
28,2,1,63.846,66.819,63.846,62.814
29,2,1,61.538,62.663,61.538,60.291
30,2,1,63.846,63.629,63.846,63.004
31,2,1,66.154,66.711,66.154,64.537
32,2,1,60.769,61.219,60.769,60.017
33,2,1,62.308,62.533,62.308,61.522
34,2,1,61.538,63.603,61.538,60.675
35,2,1,65.385,65.274,65.385,63.871
36,2,1,67.692,68.474,67.692,66.149
37,2,1,61.538,62.877,61.538,59.783
38,2,1,62.308,63.49,62.308,61.608
39,2,1,70.0,74.401,70.0,69.503
40,2,1,65.385,67.363,65.385,63.996
41,2,1,69.231,70.082,69.231,68.327
42,2,1,66.923,68.723,66.923,66.324
43,2,1,64.615,65.636,64.615,63.619
44,2,1,66.923,68.16,66.923,65.781
45,2,1,61.538,62.845,61.538,60.8
46,2,1,66.923,70.589,66.923,66.521
47,2,1,64.615,67.329,64.615,63.271
48,2,1,65.385,69.567,65.385,64.752
49,2,1,69.231,72.168,69.231,68.361
50,2,1,66.154,68.782,66.154,65.886
0,2,2,55.385,54.308,55.385,54.549
1,2,2,58.462,57.365,58.462,57.411
2,2,2,56.923,56.813,56.923,56.403
3,2,2,60.0,58.267,60.0,58.36
4,2,2,61.538,61.568,61.538,60.924
5,2,2,60.769,59.865,60.769,59.891
6,2,2,57.692,56.553,57.692,56.606
7,2,2,58.462,57.627,58.462,57.701
8,2,2,59.231,58.032,59.231,58.039
9,2,2,62.308,61.56,62.308,60.719
10,2,2,61.538,60.373,61.538,60.339
11,2,2,58.462,57.459,58.462,56.726
12,2,2,60.769,60.074,60.769,59.169
13,2,2,60.0,58.431,60.0,58.318
14,2,2,60.0,61.209,60.0,59.739
15,2,2,57.692,56.881,57.692,56.373
16,2,2,56.154,55.812,56.154,55.759
17,2,2,58.462,57.918,58.462,57.46
18,2,2,64.615,63.966,64.615,63.411
19,2,2,63.077,64.267,63.077,62.335
20,2,2,61.538,61.049,61.538,60.714
21,2,2,61.538,60.934,61.538,60.875
22,2,2,68.462,68.717,68.462,67.856
23,2,2,68.462,66.853,68.462,66.6
24,2,2,60.769,59.697,60.769,59.667
25,2,2,63.846,64.013,63.846,62.88
26,2,2,63.846,64.687,63.846,63.183
27,2,2,61.538,62.282,61.538,60.993
28,2,2,60.0,61.765,60.0,59.913
29,2,2,63.846,65.24,63.846,63.697
30,2,2,57.692,59.584,57.692,56.936
31,2,2,54.615,54.068,54.615,53.792
32,2,2,63.077,62.805,63.077,62.24
33,2,2,64.615,63.91,64.615,63.922
34,2,2,60.0,61.657,60.0,60.103
35,2,2,66.923,66.249,66.923,65.728
36,2,2,66.154,68.245,66.154,66.759
37,2,2,64.615,64.267,64.615,63.782
38,2,2,65.385,65.889,65.385,65.296
39,2,2,63.846,63.846,63.846,63.326
40,2,2,61.538,61.993,61.538,60.989
41,2,2,64.615,63.435,64.615,62.946
42,2,2,65.385,66.404,65.385,65.497
43,2,2,67.692,69.26,67.692,67.759
44,2,2,66.923,68.433,66.923,66.951
45,2,2,64.615,66.104,64.615,64.849
46,2,2,60.0,60.863,60.0,59.743
47,2,2,65.385,66.869,65.385,65.525
48,2,2,67.692,68.287,67.692,67.301
49,2,2,60.0,60.359,60.0,59.911
50,2,2,66.923,67.012,66.923,66.365
0,5,0,53.846,55.495,53.846,53.715
1,5,0,59.231,59.898,59.231,59.055
2,5,0,58.462,61.076,58.462,59.146
3,5,0,53.846,53.78,53.846,53.034
4,5,0,56.923,58.509,56.923,57.346
5,5,0,57.692,58.876,57.692,57.904
6,5,0,59.231,61.393,59.231,59.504
7,5,0,58.462,60.984,58.462,59.277
8,5,0,59.231,60.049,59.231,59.186
9,5,0,57.692,60.525,57.692,58.204
10,5,0,56.923,59.402,56.923,57.76
11,5,0,60.769,62.219,60.769,61.063
12,5,0,59.231,62.321,59.231,59.931
13,5,0,66.923,70.486,66.923,67.814
14,5,0,64.615,66.203,64.615,65.119
15,5,0,65.385,67.976,65.385,65.746
16,5,0,60.0,63.431,60.0,60.802
17,5,0,60.769,64.178,60.769,61.418
18,5,0,63.846,65.435,63.846,64.068
19,5,0,65.385,67.816,65.385,66.115
20,5,0,67.692,71.693,67.692,68.509
0,5,1,57.692,58.072,57.692,56.67
1,5,1,56.154,57.686,56.154,55.381
2,5,1,62.308,63.01,62.308,61.037
3,5,1,66.154,67.095,66.154,65.944
4,5,1,57.692,58.77,57.692,56.89
5,5,1,60.0,63.786,60.0,58.89
6,5,1,62.308,67.705,62.308,61.577
7,5,1,63.846,64.662,63.846,62.799
8,5,1,60.0,60.639,60.0,59.204
9,5,1,56.154,58.306,56.154,54.987
