iter,step,fold,acc,prec,rec,f1score
0,2,0,53.846,55.495,53.846,53.715
1,2,0,53.077,54.674,53.077,52.699
2,2,0,49.231,51.203,49.231,49.192
3,2,0,46.923,49.184,46.923,46.966
4,2,0,50.769,52.172,50.769,50.571
5,2,0,52.308,53.708,52.308,51.738
6,2,0,56.923,61.36,56.923,56.733
7,2,0,56.923,60.837,56.923,56.667
8,2,0,54.615,57.749,54.615,54.533
9,2,0,58.462,61.21,58.462,58.074
10,2,0,56.154,59.969,56.154,55.618
11,2,0,59.231,61.669,59.231,58.778
12,2,0,54.615,58.63,54.615,53.885
13,2,0,51.538,55.647,51.538,50.924
14,2,0,55.385,60.331,55.385,54.799
15,2,0,51.538,56.197,51.538,50.663
16,2,0,53.077,56.174,53.077,52.181
17,2,0,52.308,58.775,52.308,52.061
18,2,0,56.154,60.914,56.154,55.868
19,2,0,56.154,58.07,56.154,55.304
20,2,0,53.077,56.727,53.077,52.422
21,2,0,53.077,54.594,53.077,51.594
22,2,0,54.615,58.649,54.615,53.914
23,2,0,52.308,55.577,52.308,51.089
24,2,0,50.769,55.733,50.769,49.317
25,2,0,52.308,60.376,52.308,51.595
26,2,0,52.308,59.863,52.308,51.306
27,2,0,50.769,59.186,50.769,50.424
28,2,0,49.231,56.846,49.231,48.773
29,2,0,53.077,58.835,53.077,52.206
30,2,0,50.0,54.113,50.0,48.534
31,2,0,50.769,58.673,50.769,50.36
32,2,0,56.154,62.722,56.154,55.789
33,2,0,53.077,60.492,53.077,52.257
34,2,0,57.692,62.122,57.692,56.712
35,2,0,52.308,59.872,52.308,51.632
36,2,0,49.231,58.952,49.231,48.267
37,2,0,48.462,56.107,48.462,47.57
38,2,0,53.077,60.225,53.077,52.585
39,2,0,52.308,56.752,52.308,51.324
40,2,0,50.0,58.228,50.0,48.713
41,2,0,55.385,61.224,55.385,55.173
42,2,0,52.308,57.647,52.308,51.086
43,2,0,55.385,59.731,55.385,54.136
44,2,0,54.615,58.942,54.615,53.374
45,2,0,56.154,62.51,56.154,55.395
46,2,0,56.154,68.297,56.154,55.397
47,2,0,57.692,67.106,57.692,57.078
48,2,0,56.923,66.692,56.923,56.309
49,2,0,52.308,59.234,52.308,51.524
50,2,0,54.615,62.203,54.615,53.304
0,2,1,57.692,58.072,57.692,56.67
1,2,1,56.154,56.065,56.154,55.028
2,2,1,54.615,54.559,54.615,53.359
3,2,1,55.385,57.186,55.385,53.891
4,2,1,51.538,51.497,51.538,50.014
5,2,1,53.846,56.908,53.846,53.132
6,2,1,55.385,60.234,55.385,56.1
7,2,1,60.0,62.817,60.0,59.12
8,2,1,56.154,59.116,56.154,55.002
9,2,1,53.846,54.101,53.846,52.752
10,2,1,50.769,56.387,50.769,50.003
11,2,1,53.846,53.371,53.846,52.732
12,2,1,55.385,54.795,55.385,54.359
13,2,1,54.615,54.5,54.615,52.755
14,2,1,58.462,61.759,58.462,58.357
15,2,1,53.846,52.983,53.846,52.337
16,2,1,60.0,61.575,60.0,59.533
17,2,1,56.923,60.172,56.923,55.558
18,2,1,54.615,57.033,54.615,53.205
19,2,1,54.615,58.051,54.615,53.967
20,2,1,55.385,58.587,55.385,54.468
21,2,1,53.846,54.348,53.846,52.911
22,2,1,50.769,51.781,50.769,49.279
23,2,1,55.385,58.795,55.385,53.775
24,2,1,47.692,47.675,47.692,45.599
25,2,1,50.769,52.983,50.769,49.025
26,2,1,49.231,48.71,49.231,47.18
27,2,1,54.615,57.862,54.615,53.192
28,2,1,52.308,52.743,52.308,49.712
29,2,1,52.308,54.635,52.308,50.769
30,2,1,52.308,55.273,52.308,49.741
31,2,1,52.308,56.637,52.308,50.798
32,2,1,53.077,58.89,53.077,51.194
33,2,1,46.923,54.528,46.923,45.873
34,2,1,45.385,50.875,45.385,43.213
35,2,1,50.769,58.513,50.769,49.629
36,2,1,50.0,58.632,50.0,48.842
37,2,1,47.692,52.552,47.692,46.133
38,2,1,51.538,56.839,51.538,50.052
