iter,step,fold,acc,prec,rec,f1score
0,2,0,53.846,55.495,53.846,53.715
1,2,0,49.231,50.813,49.231,48.472
2,2,0,49.231,50.813,49.231,48.472
3,2,0,49.231,50.813,49.231,48.472
4,2,0,49.231,50.813,49.231,48.472
5,2,0,49.231,50.813,49.231,48.472
6,2,0,49.231,50.813,49.231,48.472
7,2,0,49.231,50.813,49.231,48.472
8,2,0,49.231,50.813,49.231,48.472
9,2,0,51.538,53.089,51.538,51.061
10,2,0,51.538,53.089,51.538,51.061
11,2,0,51.538,53.089,51.538,51.061
12,2,0,54.615,57.605,54.615,54.138
13,2,0,54.615,57.605,54.615,54.138
14,2,0,54.615,57.605,54.615,54.138
15,2,0,54.615,57.605,54.615,54.138
16,2,0,54.615,57.605,54.615,54.138
17,2,0,54.615,57.605,54.615,54.138
18,2,0,54.615,57.605,54.615,54.138
19,2,0,54.615,57.605,54.615,54.138
20,2,0,54.615,57.605,54.615,54.138
21,2,0,54.615,57.605,54.615,54.138
22,2,0,54.615,57.605,54.615,54.138
23,2,0,54.615,57.605,54.615,54.138
24,2,0,54.615,57.605,54.615,54.138
25,2,0,54.615,57.605,54.615,54.138
26,2,0,54.615,57.605,54.615,54.138
27,2,0,54.615,57.605,54.615,54.138
28,2,0,54.615,57.605,54.615,54.138
29,2,0,54.615,57.605,54.615,54.138
30,2,0,54.615,57.605,54.615,54.138
31,2,0,54.615,57.605,54.615,54.138
32,2,0,54.615,57.605,54.615,54.138
33,2,0,54.615,57.605,54.615,54.138
34,2,0,54.615,57.605,54.615,54.138
35,2,0,54.615,57.605,54.615,54.138
36,2,0,54.615,57.605,54.615,54.138
37,2,0,54.615,57.605,54.615,54.138
38,2,0,53.077,57.753,53.077,53.273
39,2,0,53.077,57.753,53.077,53.273
40,2,0,53.077,57.753,53.077,53.273
41,2,0,53.077,57.753,53.077,53.273
42,2,0,53.077,57.753,53.077,53.273
43,2,0,53.077,57.753,53.077,53.273
44,2,0,53.077,57.753,53.077,53.273
45,2,0,53.077,57.753,53.077,53.273
46,2,0,53.077,57.753,53.077,53.273
47,2,0,53.077,57.753,53.077,53.273
48,2,0,53.077,57.753,53.077,53.273
49,2,0,53.077,57.753,53.077,53.273
50,2,0,53.077,57.753,53.077,53.273
0,2,1,57.692,58.072,57.692,56.67
1,2,1,57.692,58.072,57.692,56.67
2,2,1,57.692,58.072,57.692,56.67
3,2,1,57.692,58.072,57.692,56.67
4,2,1,57.692,58.072,57.692,56.67
5,2,1,56.154,62.256,56.154,56.375
6,2,1,56.154,62.256,56.154,56.375
7,2,1,56.154,62.256,56.154,56.375
8,2,1,56.154,62.256,56.154,56.375
9,2,1,54.615,54.805,54.615,53.476
10,2,1,54.615,54.805,54.615,53.476
11,2,1,54.615,54.805,54.615,53.476
12,2,1,54.615,54.805,54.615,53.476
13,2,1,54.615,54.805,54.615,53.476
14,2,1,54.615,54.805,54.615,53.476
15,2,1,54.615,54.805,54.615,53.476
16,2,1,54.615,54.805,54.615,53.476
17,2,1,54.615,54.805,54.615,53.476
18,2,1,54.615,54.805,54.615,53.476
19,2,1,54.615,54.805,54.615,53.476
20,2,1,54.615,54.805,54.615,53.476
21,2,1,54.615,54.805,54.615,53.476
22,2,1,53.846,56.015,53.846,52.544
23,2,1,51.538,53.341,51.538,50.605
24,2,1,51.538,53.341,51.538,50.605
25,2,1,51.538,53.341,51.538,50.605
26,2,1,51.538,53.341,51.538,50.605
27,2,1,51.538,53.341,51.538,50.605
28,2,1,51.538,53.341,51.538,50.605
29,2,1,51.538,53.341,51.538,50.605
30,2,1,51.538,53.341,51.538,50.605
31,2,1,51.538,53.341,51.538,50.605
32,2,1,51.538,53.341,51.538,50.605
33,2,1,51.538,53.341,51.538,50.605
34,2,1,51.538,53.341,51.538,50.605
35,2,1,51.538,53.341,51.538,50.605
36,2,1,51.538,53.341,51.538,50.605
37,2,1,51.538,53.341,51.538,50.605
38,2,1,51.538,53.341,51.538,50.605
39,2,1,51.538,53.341,51.538,50.605
40,2,1,51.538,53.341,51.538,50.605
41,2,1,51.538,53.341,51.538,50.605
42,2,1,51.538,53.341,51.538,50.605
43,2,1,51.538,53.341,51.538,50.605
44,2,1,51.538,53.341,51.538,50.605
45,2,1,51.538,53.341,51.538,50.605
46,2,1,51.538,53.341,51.538,50.605
47,2,1,51.538,53.341,51.538,50.605
48,2,1,51.538,53.341,51.538,50.605
49,2,1,51.538,53.341,51.538,50.605
50,2,1,51.538,53.341,51.538,50.605
0,2,2,55.385,54.308,55.385,54.549
1,2,2,55.385,54.308,55.385,54.549
2,2,2,55.385,54.308,55.385,54.549
3,2,2,60.0,59.395,60.0,59.263
4,2,2,60.0,59.395,60.0,59.263
5,2,2,60.0,59.395,60.0,59.263
6,2,2,60.0,59.395,60.0,59.263
7,2,2,60.0,59.395,60.0,59.263
8,2,2,60.0,59.395,60.0,59.263
9,2,2,60.0,59.395,60.0,59.263
10,2,2,60.0,59.395,60.0,59.263
11,2,2,60.0,59.395,60.0,59.263
12,2,2,60.0,59.395,60.0,59.263
13,2,2,60.0,59.395,60.0,59.263
14,2,2,60.0,59.395,60.0,59.263
15,2,2,60.0,59.395,60.0,59.263
16,2,2,60.0,59.395,60.0,59.263
17,2,2,60.0,59.395,60.0,59.263
18,2,2,60.0,59.395,60.0,59.263
19,2,2,60.0,59.395,60.0,59.263
20,2,2,60.0,59.395,60.0,59.263
21,2,2,60.0,59.395,60.0,59.263
22,2,2,60.0,59.395,60.0,59.263
23,2,2,60.0,59.395,60.0,59.263
24,2,2,60.0,59.395,60.0,59.263
25,2,2,60.0,59.395,60.0,59.263
26,2,2,60.0,59.395,60.0,59.263
27,2,2,60.0,59.395,60.0,59.263
28,2,2,60.0,59.395,60.0,59.263
29,2,2,60.0,59.395,60.0,59.263
30,2,2,60.0,59.395,60.0,59.263
31,2,2,60.0,59.395,60.0,59.263
32,2,2,60.0,59.395,60.0,59.263
33,2,2,60.0,59.395,60.0,59.263
34,2,2,60.0,59.395,60.0,59.263
35,2,2,60.0,59.395,60.0,59.263
36,2,2,60.0,59.395,60.0,59.263
37,2,2,60.0,59.395,60.0,59.263
38,2,2,60.0,59.395,60.0,59.263
39,2,2,60.0,59.395,60.0,59.263
40,2,2,60.0,59.395,60.0,59.263
41,2,2,60.0,59.395,60.0,59.263
42,2,2,60.0,59.395,60.0,59.263
43,2,2,60.0,59.395,60.0,59.263
44,2,2,60.0,59.395,60.0,59.263
45,2,2,60.0,59.395,60.0,59.263
46,2,2,60.0,59.395,60.0,59.263
47,2,2,60.0,59.395,60.0,59.263
48,2,2,60.0,59.395,60.0,59.263
49,2,2,60.0,59.395,60.0,59.263
50,2,2,60.0,59.395,60.0,59.263
0,5,0,53.846,55.495,53.846,53.715
1,5,0,46.923,50.923,46.923,47.437
2,5,0,51.538,53.091,51.538,51.131
3,5,0,53.846,55.94,53.846,52.967
4,5,0,53.846,55.94,53.846,52.967
5,5,0,53.846,55.94,53.846,52.967
6,5,0,53.846,55.94,53.846,52.967
7,5,0,53.846,55.94,53.846,52.967
8,5,0,53.846,55.94,53.846,52.967
9,5,0,53.077,55.475,53.077,52.043
10,5,0,53.077,55.475,53.077,52.043
11,5,0,53.077,55.475,53.077,52.043
12,5,0,53.077,55.475,53.077,52.043
13,5,0,53.077,55.475,53.077,52.043
14,5,0,53.077,55.475,53.077,52.043
15,5,0,53.077,55.475,53.077,52.043
16,5,0,53.077,55.475,53.077,52.043
17,5,0,53.077,55.475,53.077,52.043
18,5,0,53.077,55.475,53.077,52.043
19,5,0,53.077,55.475,53.077,52.043
