iter,step,fold,acc,prec,rec,f1score
0,2,0,38.462,40.399,38.462,38.612
1,2,0,40.769,42.606,40.769,41.074
2,2,0,40.769,42.606,40.769,41.074
3,2,0,41.538,43.749,41.538,41.92
4,2,0,41.538,43.749,41.538,41.92
5,2,0,42.308,45.171,42.308,42.934
6,2,0,42.308,45.171,42.308,42.934
7,2,0,46.923,51.343,46.923,48.238
8,2,0,48.462,52.258,48.462,49.093
9,2,0,49.231,53.551,49.231,50.053
10,2,0,50.0,54.047,50.0,50.89
11,2,0,52.308,55.641,52.308,53.162
12,2,0,52.308,55.641,52.308,53.162
13,2,0,52.308,56.2,52.308,53.304
14,2,0,53.077,58.354,53.077,54.346
15,2,0,53.077,58.354,53.077,54.346
16,2,0,53.077,58.354,53.077,54.346
17,2,0,54.615,59.458,54.615,55.582
18,2,0,55.385,59.28,55.385,56.264
19,2,0,54.615,58.735,54.615,55.523
20,2,0,54.615,58.735,54.615,55.523
21,2,0,54.615,58.602,54.615,55.473
22,2,0,54.615,58.602,54.615,55.473
23,2,0,53.846,57.742,53.846,54.487
24,2,0,53.846,57.184,53.846,54.359
25,2,0,56.154,59.722,56.154,56.299
26,2,0,56.154,59.112,56.154,56.314
27,2,0,56.154,59.127,56.154,56.239
28,2,0,56.154,59.127,56.154,56.239
29,2,0,56.154,59.127,56.154,56.239
30,2,0,54.615,57.062,54.615,54.513
31,2,0,54.615,57.062,54.615,54.513
32,2,0,54.615,57.062,54.615,54.513
33,2,0,54.615,57.062,54.615,54.513
34,2,0,53.077,55.794,53.077,52.916
35,2,0,53.846,56.272,53.846,53.632
36,2,0,53.846,56.272,53.846,53.632
37,2,0,54.615,57.055,54.615,54.518
38,2,0,54.615,55.474,54.615,54.04
39,2,0,55.385,56.122,55.385,54.546
40,2,0,56.923,57.251,56.923,55.872
41,2,0,57.692,58.167,57.692,56.542
42,2,0,57.692,58.167,57.692,56.542
43,2,0,59.231,59.699,59.231,58.389
44,2,0,59.231,59.699,59.231,58.389
45,2,0,59.231,59.699,59.231,58.389
46,2,0,59.231,59.699,59.231,58.389
47,2,0,60.0,60.427,60.0,59.161
48,2,0,60.0,60.427,60.0,59.161
49,2,0,60.0,60.427,60.0,59.161
50,2,0,60.0,60.427,60.0,59.161
0,2,1,45.385,49.312,45.385,45.457
1,2,1,46.154,49.943,46.154,46.121
2,2,1,46.154,49.943,46.154,46.121
3,2,1,46.923,52.024,46.923,47.518
4,2,1,46.923,52.024,46.923,47.518
5,2,1,48.462,53.435,48.462,49.112
6,2,1,50.769,54.849,50.769,51.549
7,2,1,50.769,54.849,50.769,51.549
8,2,1,50.0,54.68,50.0,51.009
9,2,1,49.231,53.93,49.231,50.426
10,2,1,49.231,53.93,49.231,50.426
11,2,1,46.923,51.252,46.923,48.062
12,2,1,46.923,51.252,46.923,48.062
13,2,1,46.923,51.252,46.923,48.062
14,2,1,46.923,51.252,46.923,48.062
15,2,1,48.462,52.938,48.462,49.785
16,2,1,48.462,52.938,48.462,49.785
17,2,1,48.462,53.024,48.462,49.803
