iter,step,fold,acc,prec,rec,f1score
0,2,0,38.462,40.399,38.462,38.612
1,2,0,38.462,40.399,38.462,38.612
2,2,0,40.769,44.013,40.769,41.242
3,2,0,40.0,43.137,40.0,40.225
4,2,0,40.0,43.137,40.0,40.225
5,2,0,40.0,42.82,40.0,39.675
6,2,0,40.0,43.178,40.0,39.416
7,2,0,40.769,44.276,40.769,40.31
8,2,0,39.231,43.216,39.231,38.645
9,2,0,39.231,42.84,39.231,38.274
10,2,0,40.0,44.705,40.0,39.149
11,2,0,40.769,45.675,40.769,40.233
12,2,0,41.538,46.503,41.538,40.964
13,2,0,43.077,49.361,43.077,42.772
14,2,0,43.077,48.349,43.077,42.716
15,2,0,43.077,48.965,43.077,42.614
16,2,0,43.077,48.965,43.077,42.614
17,2,0,41.538,45.721,41.538,40.643
18,2,0,41.538,45.721,41.538,40.643
19,2,0,41.538,45.721,41.538,40.643
20,2,0,42.308,46.22,42.308,41.277
21,2,0,43.077,47.014,43.077,42.131
22,2,0,43.077,46.586,43.077,41.895
23,2,0,43.077,46.405,43.077,41.888
24,2,0,43.077,45.264,43.077,41.804
25,2,0,43.077,45.264,43.077,41.804
26,2,0,43.077,44.998,43.077,41.646
27,2,0,43.846,45.993,43.846,42.467
28,2,0,43.077,44.969,43.077,41.447
29,2,0,49.231,51.521,49.231,47.846
30,2,0,50.0,51.725,50.0,48.356
31,2,0,50.0,51.725,50.0,48.356
32,2,0,51.538,53.282,51.538,50.043
33,2,0,50.769,52.483,50.769,49.191
34,2,0,50.0,51.79,50.0,48.402
35,2,0,48.462,49.74,48.462,46.77
36,2,0,48.462,49.74,48.462,46.77
37,2,0,48.462,49.485,48.462,46.76
38,2,0,48.462,49.485,48.462,46.76
39,2,0,50.0,51.107,50.0,48.504
40,2,0,50.0,51.107,50.0,48.504
41,2,0,50.0,51.2,50.0,48.511
42,2,0,50.0,51.333,50.0,48.523
43,2,0,48.462,49.282,48.462,46.794
44,2,0,48.462,51.679,48.462,46.876
45,2,0,48.462,51.679,48.462,46.876
46,2,0,48.462,51.473,48.462,46.85
47,2,0,48.462,50.146,48.462,47.206
48,2,0,48.462,50.041,48.462,47.254
49,2,0,49.231,50.772,49.231,48.012
50,2,0,48.462,49.899,48.462,46.964
0,2,1,45.385,49.312,45.385,45.457
1,2,1,45.385,49.092,45.385,45.347
2,2,1,43.846,48.457,43.846,44.129
3,2,1,43.846,48.753,43.846,44.124
4,2,1,42.308,46.295,42.308,42.623
5,2,1,44.615,49.27,44.615,45.232
6,2,1,43.846,48.684,43.846,44.635
7,2,1,44.615,49.208,44.615,45.477
8,2,1,44.615,49.121,44.615,45.433
9,2,1,46.154,50.366,46.154,46.849
10,2,1,46.154,50.576,46.154,46.94
11,2,1,48.462,52.5,48.462,49.237
12,2,1,49.231,52.47,49.231,50.091
13,2,1,51.538,55.365,51.538,52.432
14,2,1,52.308,55.199,52.308,52.962
15,2,1,52.308,55.199,52.308,52.962
16,2,1,51.538,55.141,51.538,52.415
17,2,1,52.308,57.032,52.308,53.3
18,2,1,52.308,57.032,52.308,53.3
19,2,1,53.846,58.059,53.846,54.88
20,2,1,53.846,58.486,53.846,54.979
21,2,1,53.846,58.486,53.846,54.979
22,2,1,53.846,58.57,53.846,55.04
23,2,1,54.615,58.628,54.615,55.756
24,2,1,53.846,57.439,53.846,54.906
25,2,1,54.615,57.828,54.615,55.35
26,2,1,55.385,58.415,55.385,56.052
27,2,1,56.154,59.153,56.154,56.739
28,2,1,55.385,58.039,55.385,55.82
29,2,1,54.615,57.23,54.615,55.007
30,2,1,53.846,56.42,53.846,54.067
31,2,1,56.154,58.607,56.154,56.456
32,2,1,56.154,58.198,56.154,56.259
33,2,1,53.846,55.378,53.846,53.7
34,2,1,54.615,56.43,54.615,54.584
35,2,1,55.385,57.231,55.385,55.46
36,2,1,55.385,57.231,55.385,55.46
37,2,1,55.385,57.231,55.385,55.46
38,2,1,55.385,57.231,55.385,55.46
39,2,1,55.385,57.095,55.385,55.341
40,2,1,55.385,56.082,55.385,55.195
41,2,1,55.385,56.082,55.385,55.195
42,2,1,56.154,56.653,56.154,55.887
43,2,1,55.385,55.805,55.385,54.974
44,2,1,52.308,53.176,52.308,51.91
45,2,1,52.308,53.477,52.308,51.953
46,2,1,53.077,54.63,53.077,52.91
47,2,1,53.077,54.63,53.077,52.91
48,2,1,53.077,54.63,53.077,52.91
49,2,1,53.077,54.168,53.077,52.75
50,2,1,52.308,53.298,52.308,51.902
0,2,2,37.692,39.78,37.692,37.463
1,2,2,38.462,40.096,38.462,38.097
2,2,2,38.462,39.943,38.462,37.935
3,2,2,39.231,40.25,39.231,38.448
4,2,2,40.0,40.445,40.0,39.082
5,2,2,39.231,39.73,39.231,38.284
6,2,2,39.231,39.948,39.231,38.342
7,2,2,40.0,40.967,40.0,39.297
8,2,2,41.538,42.85,41.538,41.056
9,2,2,41.538,42.85,41.538,41.056
10,2,2,41.538,42.62,41.538,40.641
11,2,2,43.077,45.047,43.077,42.618
12,2,2,43.846,46.05,43.846,43.379
13,2,2,43.846,45.722,43.846,43.304
14,2,2,44.615,47.007,44.615,44.091
15,2,2,43.846,45.814,43.846,43.04
16,2,2,43.846,45.551,43.846,42.849
17,2,2,44.615,46.677,44.615,43.56
18,2,2,43.846,45.641,43.846,42.667
19,2,2,45.385,46.301,45.385,43.75
20,2,2,45.385,46.34,45.385,43.386
21,2,2,44.615,46.301,44.615,42.74
22,2,2,44.615,46.301,44.615,42.74
23,2,2,45.385,46.833,45.385,43.308
24,2,2,46.154,47.189,46.154,43.848
25,2,2,44.615,44.986,44.615,41.943
26,2,2,44.615,44.234,44.615,41.265
27,2,2,46.923,46.285,46.923,43.921
28,2,2,47.692,47.392,47.692,44.954
29,2,2,47.692,47.623,47.692,44.953
30,2,2,48.462,49.306,48.462,46.164
31,2,2,49.231,50.064,49.231,46.959
32,2,2,49.231,50.033,49.231,47.338
33,2,2,50.769,51.421,50.769,49.07
34,2,2,52.308,53.422,52.308,50.622
35,2,2,52.308,53.422,52.308,50.622
36,2,2,52.308,53.422,52.308,50.622
37,2,2,51.538,52.963,51.538,49.74
38,2,2,50.769,51.735,50.769,49.13
39,2,2,50.769,51.172,50.769,48.893
40,2,2,50.769,51.172,50.769,48.893
41,2,2,53.077,53.199,53.077,51.153
42,2,2,50.769,51.412,50.769,48.973
43,2,2,50.769,51.412,50.769,48.973
44,2,2,50.0,50.654,50.0,48.067
45,2,2,50.0,50.654,50.0,48.067
46,2,2,50.0,50.654,50.0,48.067
47,2,2,47.692,47.729,47.692,45.511
48,2,2,48.462,48.525,48.462,46.369
49,2,2,47.692,47.649,47.692,45.662
50,2,2,48.462,48.525,48.462,46.369
0,5,0,38.462,40.399,38.462,38.612
1,5,0,40.0,41.987,40.0,40.145
2,5,0,40.0,42.256,40.0,39.881
3,5,0,43.077,45.188,43.077,42.781
4,5,0,41.538,44.864,41.538,41.049
5,5,0,46.154,51.263,46.154,45.853
6,5,0,45.385,49.667,45.385,45.287
7,5,0,47.692,51.573,47.692,47.626
8,5,0,50.769,55.283,50.769,51.139
9,5,0,50.0,54.182,50.0,50.242
10,5,0,46.923,49.593,46.923,46.338
11,5,0,47.692,50.974,47.692,46.67
12,5,0,49.231,51.776,49.231,47.667
13,5,0,50.769,53.554,50.769,49.273
14,5,0,50.0,52.082,50.0,48.116
15,5,0,50.0,51.966,50.0,48.199
16,5,0,49.231,51.008,49.231,47.081
17,5,0,49.231,51.567,49.231,47.627
18,5,0,50.769,53.572,50.769,49.19
19,5,0,50.769,53.609,50.769,49.251
20,5,0,51.538,56.185,51.538,49.992
0,5,1,45.385,49.312,45.385,45.457
1,5,1,47.692,52.036,47.692,48.166
2,5,1,50.769,54.973,50.769,51.086
3,5,1,56.154,60.173,56.154,56.62
4,5,1,53.077,56.581,53.077,53.421
5,5,1,51.538,54.744,51.538,51.23
6,5,1,50.769,52.737,50.769,50.272
7,5,1,49.231,49.976,49.231,48.285
8,5,1,48.462,50.725,48.462,47.692
9,5,1,46.923,49.048,46.923,46.079
10,5,1,47.692,49.918,47.692,46.744
11,5,1,48.462,51.285,48.462,47.779
12,5,1,47.692,50.349,47.692,47.285
13,5,1,48.462,51.455,48.462,48.828
14,5,1,48.462,50.926,48.462,48.849
15,5,1,47.692,50.869,47.692,48.28
16,5,1,46.154,48.835,46.154,46.376
17,5,1,47.692,49.793,47.692,47.527
18,5,1,44.615,46.311,44.615,44.266
19,5,1,44.615,46.643,44.615,44.373
20,5,1,46.923,48.722,46.923,46.357
0,5,2,37.692,39.78,37.692,37.463
1,5,2,40.769,42.856,40.769,40.732
2,5,2,40.0,42.708,40.0,40.24
3,5,2,43.077,46.651,43.077,43.554
4,5,2,43.077,45.82,43.077,43.265
5,5,2,43.846,45.432,43.846,43.688
6,5,2,46.923,48.744,46.923,46.498
7,5,2,46.923,48.409,46.923,46.317
8,5,2,47.692,49.357,47.692,47.186
9,5,2,50.0,51.632,50.0,49.131
10,5,2,50.0,52.364,50.0,49.705
11,5,2,50.0,51.906,50.0,49.649
12,5,2,51.538,54.186,51.538,51.528
13,5,2,51.538,54.186,51.538,51.528
14,5,2,53.846,55.82,53.846,53.558
15,5,2,55.385,58.001,55.385,55.168
16,5,2,53.077,54.459,53.077,52.043
17,5,2,53.077,54.459,53.077,52.043
18,5,2,53.077,54.304,53.077,51.934
19,5,2,52.308,53.12,52.308,50.958
20,5,2,51.538,52.242,51.538,50.084
0,10,0,38.462,40.399,38.462,38.612
1,10,0,42.308,46.656,42.308,43.188
2,10,0,44.615,47.091,44.615,44.072
3,10,0,47.692,49.719,47.692,47.547
4,10,0,47.692,50.49,47.692,47.151
5,10,0,46.154,48.909,46.154,45.651
6,10,0,43.846,45.677,43.846,42.554
7,10,0,43.846,46.643,43.846,42.834
8,10,0,43.846,45.833,43.846,42.395
9,10,0,46.923,53.21,46.923,45.804
10,10,0,46.923,52.779,46.923,45.525
0,10,1,45.385,49.312,45.385,45.457
1,10,1,47.692,52.813,47.692,47.285
2,10,1,46.923,50.758,46.923,47.194
3,10,1,47.692,51.666,47.692,48.048
4,10,1,48.462,51.858,48.462,48.627
5,10,1,46.923,50.459,46.923,46.7
6,10,1,47.692,50.209,47.692,46.766
7,10,1,49.231,51.675,49.231,48.314
8,10,1,51.538,52.485,51.538,50.18
9,10,1,56.154,59.103,56.154,56.16
10,10,1,58.462,60.09,58.462,58.421
0,10,2,37.692,39.78,37.692,37.463
1,10,2,40.769,43.311,40.769,40.45
2,10,2,41.538,42.794,41.538,40.614
3,10,2,43.846,43.902,43.846,41.944
4,10,2,45.385,46.428,45.385,43.806
5,10,2,47.692,48.989,47.692,46.73
6,10,2,50.769,52.785,50.769,50.647
7,10,2,50.0,51.621,50.0,49.456
8,10,2,52.308,53.977,52.308,51.423
9,10,2,51.538,53.292,51.538,50.594
10,10,2,53.077,55.182,53.077,51.917
0,25,0,38.462,40.399,38.462,38.612
1,25,0,52.308,54.387,52.308,52.974
2,25,0,53.846,55.953,53.846,52.961
3,25,0,51.538,54.673,51.538,51.148
4,25,0,55.385,61.032,55.385,55.093
0,25,1,45.385,49.312,45.385,45.457
1,25,1,47.692,50.743,47.692,48.553
2,25,1,50.0,53.352,50.0,50.442
3,25,1,48.462,50.387,48.462,48.684
4,25,1,47.692,49.906,47.692,48.16
0,25,2,37.692,39.78,37.692,37.463
1,25,2,47.692,48.303,47.692,46.572
2,25,2,44.615,44.849,44.615,42.756
