iter,step,fold,acc,prec,rec,f1score
0,2,0,42.308,42.993,42.308,41.888
1,2,0,43.846,46.415,43.846,44.178
2,2,0,49.231,50.224,49.231,49.122
3,2,0,48.462,50.672,48.462,48.644
4,2,0,48.462,50.672,48.462,48.644
5,2,0,47.692,50.775,47.692,48.372
6,2,0,47.692,50.775,47.692,48.372
7,2,0,48.462,51.389,48.462,48.904
8,2,0,48.462,51.389,48.462,48.904
9,2,0,47.692,51.365,47.692,48.402
10,2,0,48.462,51.77,48.462,48.91
11,2,0,50.769,54.03,50.769,50.784
12,2,0,50.0,52.209,50.0,49.656
13,2,0,47.692,49.058,47.692,46.761
14,2,0,57.692,60.205,57.692,57.628
15,2,0,58.462,60.496,58.462,58.239
16,2,0,58.462,60.496,58.462,58.239
17,2,0,56.923,58.066,56.923,56.613
18,2,0,56.923,58.066,56.923,56.613
19,2,0,56.923,58.824,56.923,56.879
20,2,0,55.385,57.256,55.385,55.437
21,2,0,56.923,58.553,56.923,57.034
22,2,0,56.923,58.765,56.923,56.991
23,2,0,55.385,58.211,55.385,55.734
24,2,0,54.615,57.44,54.615,54.844
25,2,0,55.385,59.117,55.385,56.017
26,2,0,55.385,59.117,55.385,56.017
27,2,0,54.615,58.313,54.615,55.064
28,2,0,54.615,58.313,54.615,55.064
29,2,0,53.846,56.937,53.846,53.946
30,2,0,54.615,58.004,54.615,55.256
31,2,0,53.077,56.251,53.077,53.451
32,2,0,56.923,59.851,56.923,57.575
33,2,0,56.154,59.122,56.154,56.667
34,2,0,56.154,59.088,56.154,56.671
35,2,0,56.154,59.085,56.154,56.557
36,2,0,56.154,59.085,56.154,56.557
37,2,0,49.231,50.787,49.231,48.876
38,2,0,60.769,62.111,60.769,60.746
39,2,0,59.231,62.918,59.231,59.626
40,2,0,59.231,62.918,59.231,59.626
41,2,0,58.462,62.592,58.462,58.947
42,2,0,58.462,62.592,58.462,58.947
43,2,0,60.0,63.962,60.0,60.665
44,2,0,60.0,63.962,60.0,60.665
45,2,0,60.0,63.821,60.0,60.736
46,2,0,60.0,63.821,60.0,60.736
47,2,0,59.231,63.271,59.231,59.68
48,2,0,60.769,64.102,60.769,60.977
49,2,0,60.769,63.663,60.769,60.789
50,2,0,63.077,65.944,63.077,63.508
0,2,1,56.154,57.23,56.154,56.457
1,2,1,53.846,54.969,53.846,54.064
2,2,1,56.154,57.601,56.154,56.442
3,2,1,56.154,57.738,56.154,56.363
4,2,1,56.154,57.738,56.154,56.363
5,2,1,56.154,57.008,56.154,56.026
6,2,1,56.154,57.008,56.154,56.026
7,2,1,55.385,56.366,55.385,55.184
8,2,1,56.154,56.183,56.154,55.755
9,2,1,57.692,58.258,57.692,57.4
10,2,1,59.231,60.006,59.231,59.093
11,2,1,56.923,57.455,56.923,56.803
12,2,1,56.923,57.455,56.923,56.803
13,2,1,60.769,60.86,60.769,60.452
14,2,1,60.769,60.86,60.769,60.452
15,2,1,61.538,62.058,61.538,61.29
16,2,1,61.538,62.058,61.538,61.29
17,2,1,63.846,63.843,63.846,63.357
18,2,1,63.846,63.843,63.846,63.357
19,2,1,60.769,61.078,60.769,60.436
20,2,1,60.769,61.078,60.769,60.436
21,2,1,63.077,63.749,63.077,62.853
22,2,1,62.308,63.0,62.308,62.067
23,2,1,64.615,64.73,64.615,63.79
24,2,1,64.615,64.73,64.615,63.79
25,2,1,66.923,66.642,66.923,66.009
26,2,1,66.923,66.642,66.923,66.009
27,2,1,66.923,67.775,66.923,66.651
28,2,1,65.385,65.84,65.385,64.937
29,2,1,66.154,66.525,66.154,65.57
30,2,1,66.154,66.525,66.154,65.57
31,2,1,64.615,64.958,64.615,64.373
32,2,1,64.615,64.958,64.615,64.373
33,2,1,66.154,66.701,66.154,66.104
34,2,1,66.154,67.511,66.154,66.104
35,2,1,66.154,68.114,66.154,66.124
36,2,1,65.385,67.108,65.385,65.439
37,2,1,64.615,67.338,64.615,64.966
38,2,1,64.615,67.338,64.615,64.966
39,2,1,64.615,66.647,64.615,64.802
40,2,1,64.615,66.647,64.615,64.802
41,2,1,63.846,65.04,63.846,63.838
42,2,1,64.615,65.781,64.615,64.688
43,2,1,65.385,66.709,65.385,65.371
44,2,1,65.385,66.709,65.385,65.371
45,2,1,66.154,67.41,66.154,66.115
46,2,1,66.154,67.41,66.154,66.115
47,2,1,67.692,68.691,67.692,67.716
48,2,1,64.615,66.962,64.615,64.923
49,2,1,67.692,69.74,67.692,68.115
50,2,1,67.692,69.616,67.692,68.04
0,2,2,46.154,48.428,46.154,46.776
1,2,2,41.538,44.916,41.538,42.679
2,2,2,41.538,44.916,41.538,42.679
3,2,2,41.538,47.039,41.538,43.375
4,2,2,43.846,46.454,43.846,44.835
5,2,2,43.846,46.454,43.846,44.835
6,2,2,43.846,45.811,43.846,44.429
7,2,2,46.923,48.887,46.923,47.584
8,2,2,45.385,47.057,45.385,46.021
9,2,2,44.615,46.66,44.615,45.319
10,2,2,44.615,46.66,44.615,45.319
11,2,2,45.385,47.07,45.385,46.016
12,2,2,46.923,50.06,46.923,48.02
13,2,2,45.385,49.097,45.385,46.841
14,2,2,45.385,49.097,45.385,46.841
15,2,2,48.462,52.468,48.462,49.584
16,2,2,50.0,52.508,50.0,50.876
17,2,2,50.769,54.026,50.769,51.86
18,2,2,50.769,54.026,50.769,51.86
19,2,2,50.769,54.33,50.769,51.395
20,2,2,50.769,54.33,50.769,51.395
21,2,2,51.538,54.537,51.538,52.646
22,2,2,51.538,54.537,51.538,52.646
23,2,2,53.077,55.771,53.077,54.106
24,2,2,50.769,53.716,50.769,51.722
25,2,2,53.077,57.622,53.077,54.272
26,2,2,54.615,57.436,54.615,55.432
27,2,2,53.077,56.272,53.077,54.079
28,2,2,53.077,56.272,53.077,54.079
29,2,2,54.615,57.217,54.615,55.422
30,2,2,54.615,57.217,54.615,55.422
31,2,2,52.308,55.831,52.308,53.485
32,2,2,52.308,55.831,52.308,53.485
33,2,2,55.385,57.484,55.385,55.986
34,2,2,53.846,56.164,53.846,54.428
35,2,2,53.846,55.876,53.846,54.289
36,2,2,54.615,56.52,54.615,55.018
37,2,2,55.385,55.931,55.385,55.345
38,2,2,55.385,55.931,55.385,55.345
39,2,2,56.154,56.617,56.154,56.094
40,2,2,56.154,56.617,56.154,56.094
41,2,2,55.385,56.343,55.385,55.417
42,2,2,55.385,56.032,55.385,55.279
43,2,2,55.385,58.189,55.385,55.928
44,2,2,55.385,58.189,55.385,55.928
45,2,2,53.846,55.293,53.846,54.131
46,2,2,53.846,55.293,53.846,54.131
47,2,2,56.923,58.15,56.923,57.036
48,2,2,56.923,58.15,56.923,57.036
49,2,2,53.846,55.151,53.846,54.166
50,2,2,53.846,55.151,53.846,54.166
0,5,0,42.308,42.993,42.308,41.888
1,5,0,43.077,45.95,43.077,43.479
2,5,0,48.462,50.963,48.462,48.633
3,5,0,50.0,51.731,50.0,49.918
4,5,0,50.0,51.731,50.0,49.918
5,5,0,50.0,53.466,50.0,50.591
6,5,0,50.769,53.831,50.769,50.656
7,5,0,53.846,58.464,53.846,54.323
8,5,0,53.846,58.464,53.846,54.323
9,5,0,52.308,56.845,52.308,53.068
10,5,0,53.846,58.226,53.846,54.483
11,5,0,53.077,57.224,53.077,53.611
12,5,0,53.846,57.479,53.846,54.088
13,5,0,53.846,57.212,53.846,54.154
14,5,0,53.846,57.212,53.846,54.154
15,5,0,51.538,55.426,51.538,50.636
16,5,0,59.231,64.815,59.231,60.321
17,5,0,60.769,64.555,60.769,61.489
18,5,0,60.769,64.555,60.769,61.489
19,5,0,60.769,64.306,60.769,60.975
20,5,0,60.769,63.326,60.769,61.429
0,5,1,56.154,57.23,56.154,56.457
1,5,1,55.385,56.388,55.385,55.328
