iter,step,fold,acc,prec,rec,f1score
0,2,0,42.308,42.993,42.308,41.888
1,2,0,43.846,45.571,43.846,43.945
2,2,0,47.692,49.615,47.692,47.638
3,2,0,47.692,49.765,47.692,47.935
4,2,0,53.846,56.252,53.846,54.438
5,2,0,55.385,57.677,55.385,55.941
6,2,0,56.154,57.42,56.154,56.073
7,2,0,54.615,56.182,54.615,54.786
8,2,0,51.538,53.55,51.538,51.868
9,2,0,53.846,55.541,53.846,54.139
10,2,0,55.385,57.128,55.385,55.937
11,2,0,54.615,55.849,54.615,54.906
12,2,0,53.077,55.443,53.077,53.78
13,2,0,53.846,56.136,53.846,54.526
14,2,0,56.154,58.246,56.154,56.361
15,2,0,54.615,59.385,54.615,55.561
16,2,0,58.462,64.54,58.462,58.796
17,2,0,60.769,64.371,60.769,60.881
18,2,0,62.308,66.239,62.308,62.844
19,2,0,60.769,64.341,60.769,61.119
20,2,0,58.462,60.535,58.462,58.275
21,2,0,59.231,61.388,59.231,59.228
22,2,0,60.0,62.249,60.0,60.024
23,2,0,60.0,62.524,60.0,60.126
24,2,0,59.231,61.86,59.231,59.415
25,2,0,51.538,55.435,51.538,49.884
26,2,0,63.846,68.741,63.846,64.158
27,2,0,63.077,66.816,63.077,63.189
28,2,0,67.692,71.371,67.692,67.649
29,2,0,66.154,70.498,66.154,66.168
30,2,0,65.385,70.11,65.385,65.453
31,2,0,66.923,70.791,66.923,67.206
32,2,0,65.385,69.183,65.385,65.708
33,2,0,63.846,67.261,63.846,64.255
34,2,0,67.692,70.372,67.692,67.885
35,2,0,67.692,71.037,67.692,67.657
36,2,0,67.692,71.173,67.692,67.702
37,2,0,67.692,70.33,67.692,67.877
38,2,0,68.462,71.304,68.462,68.557
39,2,0,67.692,70.231,67.692,67.909
40,2,0,69.231,72.243,69.231,69.632
41,2,0,67.692,70.937,67.692,68.199
42,2,0,67.692,70.98,67.692,68.072
43,2,0,66.923,70.127,66.923,67.457
44,2,0,67.692,70.413,67.692,67.972
45,2,0,68.462,71.192,68.462,68.738
46,2,0,70.0,73.061,70.0,70.312
47,2,0,70.769,74.357,70.769,71.352
48,2,0,70.769,74.054,70.769,71.039
49,2,0,70.769,73.845,70.769,71.137
50,2,0,70.0,73.501,70.0,70.516
0,2,1,56.154,57.23,56.154,56.457
1,2,1,54.615,55.679,54.615,54.759
2,2,1,58.462,59.408,58.462,57.993
3,2,1,59.231,60.219,59.231,59.018
4,2,1,57.692,58.669,57.692,57.74
5,2,1,61.538,62.391,61.538,61.678
6,2,1,63.077,64.679,63.077,63.163
7,2,1,64.615,66.231,64.615,64.833
8,2,1,57.692,60.296,57.692,58.072
9,2,1,60.769,63.352,60.769,60.816
10,2,1,63.846,66.52,63.846,64.097
11,2,1,64.615,65.345,64.615,64.467
12,2,1,63.846,66.112,63.846,63.766
13,2,1,64.615,67.507,64.615,65.08
14,2,1,66.154,67.745,66.154,66.452
15,2,1,67.692,68.846,67.692,67.862
16,2,1,66.154,67.435,66.154,66.361
17,2,1,68.462,69.699,68.462,68.611
18,2,1,69.231,70.597,69.231,69.403
19,2,1,69.231,70.387,69.231,69.365
20,2,1,69.231,70.722,69.231,69.468
21,2,1,70.0,71.259,70.0,70.174
22,2,1,69.231,70.135,69.231,69.057
23,2,1,68.462,69.253,68.462,68.201
24,2,1,68.462,69.198,68.462,68.352
25,2,1,52.308,60.391,52.308,53.444
26,2,1,66.154,67.376,66.154,65.964
27,2,1,66.923,67.708,66.923,66.895
28,2,1,70.769,71.255,70.769,70.695
29,2,1,71.538,72.291,71.538,71.347
30,2,1,74.615,75.078,74.615,74.391
31,2,1,73.077,73.464,73.077,72.889
32,2,1,75.385,76.355,75.385,75.413
33,2,1,74.615,75.934,74.615,74.787
34,2,1,70.0,70.812,70.0,70.017
35,2,1,73.846,75.079,73.846,73.997
36,2,1,75.385,76.873,75.385,75.539
37,2,1,75.385,76.933,75.385,75.633
38,2,1,75.385,76.332,75.385,75.534
39,2,1,76.154,77.545,76.154,76.365
40,2,1,73.846,74.919,73.846,73.877
41,2,1,75.385,76.355,75.385,75.389
42,2,1,74.615,75.445,74.615,74.687
43,2,1,75.385,76.407,75.385,75.566
44,2,1,74.615,76.048,74.615,74.838
45,2,1,76.154,77.699,76.154,76.408
46,2,1,76.154,77.738,76.154,76.416
47,2,1,77.692,78.291,77.692,77.692
48,2,1,76.923,77.785,76.923,76.973
49,2,1,76.154,77.354,76.154,76.372
50,2,1,76.154,76.889,76.154,76.099
0,2,2,46.154,48.428,46.154,46.776
1,2,2,46.923,48.509,46.923,47.504
2,2,2,50.769,50.545,50.769,50.324
3,2,2,50.0,50.746,50.0,49.88
4,2,2,49.231,50.556,49.231,49.602
5,2,2,49.231,50.959,49.231,49.77
6,2,2,51.538,53.0,51.538,51.923
7,2,2,50.769,52.601,50.769,51.294
8,2,2,50.769,52.732,50.769,51.396
9,2,2,53.077,54.647,53.077,53.436
10,2,2,54.615,55.433,54.615,54.645
11,2,2,53.846,54.205,53.846,53.62
12,2,2,56.154,57.174,56.154,56.506
13,2,2,56.154,57.432,56.154,56.618
14,2,2,60.0,60.665,60.0,60.108
15,2,2,59.231,60.088,59.231,59.505
16,2,2,58.462,58.658,58.462,58.211
17,2,2,58.462,59.22,58.462,58.531
18,2,2,60.0,60.713,60.0,59.877
19,2,2,60.0,61.278,60.0,60.208
20,2,2,63.846,64.176,63.846,63.824
21,2,2,62.308,63.169,62.308,62.457
22,2,2,61.538,63.043,61.538,61.78
23,2,2,63.077,64.764,63.077,63.283
24,2,2,64.615,65.376,64.615,64.585
25,2,2,56.923,61.242,56.923,57.099
26,2,2,64.615,65.296,64.615,64.348
27,2,2,62.308,65.086,62.308,63.02
28,2,2,65.385,66.57,65.385,65.568
29,2,2,65.385,67.232,65.385,65.844
30,2,2,65.385,66.085,65.385,65.535
31,2,2,66.923,67.521,66.923,66.934
32,2,2,68.462,67.985,68.462,68.063
33,2,2,66.923,66.961,66.923,66.707
34,2,2,69.231,69.697,69.231,68.843
35,2,2,68.462,69.205,68.462,68.487
36,2,2,68.462,68.924,68.462,68.282
37,2,2,70.0,70.231,70.0,69.692
38,2,2,68.462,70.44,68.462,68.96
39,2,2,68.462,70.449,68.462,68.878
40,2,2,69.231,70.456,69.231,69.283
41,2,2,67.692,68.98,67.692,67.86
42,2,2,70.769,71.222,70.769,70.823
43,2,2,70.0,70.623,70.0,70.103
44,2,2,69.231,71.025,69.231,69.526
45,2,2,70.0,71.637,70.0,69.91
46,2,2,70.0,70.727,70.0,69.589
47,2,2,70.769,71.787,70.769,70.611
48,2,2,70.0,70.657,70.0,69.709
49,2,2,70.769,71.49,70.769,70.407
50,2,2,72.308,73.074,72.308,71.717
0,5,0,42.308,42.993,42.308,41.888
1,5,0,46.923,48.363,46.923,46.961
2,5,0,48.462,49.719,48.462,48.254
3,5,0,45.385,46.861,45.385,45.209
4,5,0,48.462,50.063,48.462,48.135
5,5,0,46.923,48.481,46.923,46.408
6,5,0,53.077,57.128,53.077,53.7
7,5,0,52.308,55.598,52.308,52.447
8,5,0,57.692,60.674,57.692,57.922
9,5,0,57.692,60.757,57.692,57.949
10,5,0,53.846,57.721,53.846,54.019
11,5,0,59.231,62.253,59.231,59.756
12,5,0,63.077,67.612,63.077,64.307
13,5,0,60.769,66.272,60.769,62.125
14,5,0,60.769,66.607,60.769,62.257
15,5,0,62.308,67.967,62.308,63.713
16,5,0,66.923,70.745,66.923,67.907
17,5,0,66.923,71.823,66.923,68.285
18,5,0,70.769,75.529,70.769,72.087
19,5,0,70.769,75.864,70.769,71.954
20,5,0,73.846,76.991,73.846,74.553
0,5,1,56.154,57.23,56.154,56.457
1,5,1,56.154,57.457,56.154,56.382
2,5,1,59.231,61.466,59.231,59.602
3,5,1,60.769,63.45,60.769,61.383
4,5,1,64.615,67.25,64.615,64.869
5,5,1,63.077,65.931,63.077,62.932
6,5,1,65.385,66.493,65.385,65.475
7,5,1,64.615,65.491,64.615,64.532
8,5,1,64.615,66.769,64.615,65.038
9,5,1,64.615,66.255,64.615,64.889
10,5,1,61.538,65.43,61.538,61.668
11,5,1,66.154,67.198,66.154,66.403
12,5,1,66.923,68.303,66.923,67.179
13,5,1,72.308,73.895,72.308,72.645
14,5,1,70.0,72.662,70.0,70.486
15,5,1,73.846,75.887,73.846,74.312
16,5,1,72.308,73.913,72.308,72.623
17,5,1,76.154,77.618,76.154,76.479
18,5,1,72.308,74.725,72.308,72.775
19,5,1,75.385,76.417,75.385,75.555
20,5,1,74.615,76.764,74.615,74.836
0,5,2,46.154,48.428,46.154,46.776
1,5,2,48.462,49.89,48.462,49.026
2,5,2,49.231,50.606,49.231,49.768
3,5,2,46.154,47.97,46.154,46.944
4,5,2,50.0,49.965,50.0,49.902
5,5,2,51.538,52.141,51.538,51.734
6,5,2,54.615,55.557,54.615,54.866
7,5,2,59.231,59.662,59.231,59.143
8,5,2,56.154,57.572,56.154,56.509
9,5,2,57.692,58.786,57.692,57.931
10,5,2,59.231,61.098,59.231,59.629
11,5,2,60.0,61.424,60.0,60.526
12,5,2,61.538,62.763,61.538,61.922
13,5,2,64.615,65.518,64.615,64.888
14,5,2,65.385,65.571,65.385,65.213
15,5,2,63.846,64.109,63.846,63.694
16,5,2,69.231,68.948,69.231,68.703
17,5,2,70.769,70.738,70.769,70.279
18,5,2,70.769,71.69,70.769,70.398
19,5,2,72.308,73.287,72.308,72.158
20,5,2,73.846,74.616,73.846,73.716
0,10,0,42.308,42.993,42.308,41.888
1,10,0,52.308,56.235,52.308,53.052
2,10,0,56.154,59.736,56.154,56.549
3,10,0,59.231,60.544,59.231,59.022
4,10,0,61.538,63.938,61.538,61.787
5,10,0,62.308,64.408,62.308,62.152
6,10,0,62.308,65.03,62.308,62.35
7,10,0,63.846,67.231,63.846,64.46
8,10,0,67.692,69.959,67.692,67.973
9,10,0,68.462,71.858,68.462,69.247
10,10,0,71.538,73.837,71.538,71.765
0,10,1,56.154,57.23,56.154,56.457
1,10,1,56.923,58.337,56.923,56.909
2,10,1,63.077,64.505,63.077,63.211
3,10,1,64.615,65.559,64.615,64.522
4,10,1,63.077,63.681,63.077,62.671
5,10,1,64.615,66.31,64.615,64.202
6,10,1,63.077,65.431,63.077,63.013
7,10,1,66.923,68.199,66.923,66.788
8,10,1,70.0,70.901,70.0,69.851
9,10,1,72.308,73.536,72.308,71.978
10,10,1,72.308,73.624,72.308,72.25
0,10,2,46.154,48.428,46.154,46.776
1,10,2,51.538,52.6,51.538,51.768
2,10,2,61.538,62.285,61.538,61.656
3,10,2,63.077,63.512,63.077,62.775
4,10,2,63.077,63.44,63.077,62.971
5,10,2,66.923,67.747,66.923,67.191
6,10,2,73.846,73.441,73.846,73.281
7,10,2,70.0,70.274,70.0,69.665
8,10,2,72.308,73.122,72.308,72.287
9,10,2,73.077,73.775,73.077,73.28
10,10,2,76.154,76.749,76.154,76.109
0,25,0,42.308,42.993,42.308,41.888
1,25,0,53.846,57.717,53.846,54.422
2,25,0,58.462,62.358,58.462,58.844
3,25,0,63.077,66.393,63.077,63.77
4,25,0,69.231,73.625,69.231,70.27
0,25,1,56.154,57.23,56.154,56.457
1,25,1,60.769,61.677,60.769,60.61
2,25,1,60.769,61.14,60.769,59.955
3,25,1,63.077,63.333,63.077,62.9
4,25,1,71.538,71.844,71.538,71.254
0,25,2,46.154,48.428,46.154,46.776
1,25,2,53.077,53.885,53.077,53.149
2,25,2,57.692,61.369,57.692,58.635
3,25,2,64.615,65.465,64.615,64.68
4,25,2,67.692,67.823,67.692,67.133
