iter,step,fold,acc,prec,rec,f1score
0,2,0,42.308,42.993,42.308,41.888
1,2,0,40.0,42.042,40.0,39.943
2,2,0,43.846,46.218,43.846,43.869
3,2,0,47.692,49.629,47.692,47.782
4,2,0,45.385,48.421,45.385,45.697
5,2,0,48.462,51.354,48.462,48.378
6,2,0,51.538,55.679,51.538,52.087
7,2,0,53.077,56.051,53.077,53.509
8,2,0,50.0,54.352,50.0,50.972
9,2,0,47.692,51.635,47.692,48.593
10,2,0,53.846,57.657,53.846,54.662
11,2,0,53.846,56.076,53.846,54.199
12,2,0,50.769,51.733,50.769,50.941
13,2,0,51.538,52.269,51.538,51.715
14,2,0,53.077,54.001,53.077,53.007
15,2,0,57.692,60.216,57.692,58.513
16,2,0,56.154,60.312,56.154,57.278
17,2,0,56.154,59.755,56.154,57.205
18,2,0,52.308,56.978,52.308,53.419
19,2,0,53.077,57.023,53.077,53.987
20,2,0,56.154,60.602,56.154,57.426
21,2,0,55.385,59.427,55.385,56.46
22,2,0,56.154,60.385,56.154,57.279
23,2,0,57.692,63.09,57.692,59.011
24,2,0,55.385,60.885,55.385,56.837
25,2,0,47.692,53.85,47.692,48.667
26,2,0,56.154,60.007,56.154,56.861
27,2,0,58.462,64.209,58.462,59.662
28,2,0,57.692,62.198,57.692,58.439
29,2,0,59.231,64.099,59.231,60.459
30,2,0,63.846,68.065,63.846,64.638
31,2,0,62.308,65.453,62.308,62.774
32,2,0,61.538,66.676,61.538,61.97
33,2,0,65.385,67.765,65.385,65.082
34,2,0,66.154,68.727,66.154,66.552
35,2,0,63.846,67.483,63.846,63.962
36,2,0,67.692,70.516,67.692,67.763
37,2,0,66.923,71.084,66.923,67.76
38,2,0,66.154,70.192,66.154,67.124
39,2,0,66.923,70.749,66.923,67.699
40,2,0,69.231,72.456,69.231,69.981
41,2,0,68.462,71.433,68.462,69.095
42,2,0,66.923,69.528,66.923,67.553
43,2,0,66.923,69.268,66.923,67.343
44,2,0,69.231,72.705,69.231,70.175
45,2,0,67.692,69.825,67.692,68.224
46,2,0,67.692,69.929,67.692,68.048
47,2,0,69.231,71.958,69.231,69.767
48,2,0,68.462,71.315,68.462,69.097
49,2,0,70.769,73.99,70.769,71.757
50,2,0,68.462,70.95,68.462,68.983
0,2,1,56.154,57.23,56.154,56.457
1,2,1,55.385,56.622,55.385,55.66
2,2,1,54.615,55.454,54.615,54.279
3,2,1,53.846,54.159,53.846,53.472
4,2,1,60.769,61.448,60.769,60.446
5,2,1,60.0,60.308,60.0,59.715
6,2,1,60.769,61.67,60.769,60.565
7,2,1,62.308,64.083,62.308,62.126
8,2,1,60.769,62.243,60.769,60.592
9,2,1,59.231,60.523,59.231,59.155
10,2,1,64.615,65.78,64.615,64.648
11,2,1,63.077,64.055,63.077,63.106
12,2,1,61.538,62.988,61.538,61.526
13,2,1,61.538,62.149,61.538,61.247
14,2,1,60.769,61.749,60.769,60.572
15,2,1,61.538,62.852,61.538,61.402
16,2,1,61.538,63.345,61.538,61.949
17,2,1,61.538,63.705,61.538,62.061
18,2,1,63.077,64.597,63.077,63.478
19,2,1,61.538,63.252,61.538,61.827
20,2,1,63.077,64.391,63.077,63.292
21,2,1,63.077,64.146,63.077,63.19
22,2,1,63.077,65.769,63.077,63.694
23,2,1,65.385,68.154,65.385,65.994
24,2,1,66.154,67.278,66.154,66.203
25,2,1,56.154,61.958,56.154,54.948
26,2,1,63.846,65.429,63.846,64.081
27,2,1,64.615,66.409,64.615,64.763
28,2,1,66.154,67.435,66.154,66.159
29,2,1,66.154,67.344,66.154,66.193
30,2,1,67.692,69.211,67.692,67.844
31,2,1,68.462,70.165,68.462,68.683
32,2,1,72.308,73.691,72.308,72.632
33,2,1,71.538,72.885,71.538,71.887
34,2,1,71.538,74.041,71.538,72.152
35,2,1,68.462,71.892,68.462,69.338
36,2,1,70.769,73.224,70.769,71.36
37,2,1,66.923,70.202,66.923,67.865
38,2,1,68.462,71.739,68.462,69.415
39,2,1,69.231,72.539,69.231,70.156
40,2,1,66.923,69.676,66.923,67.619
41,2,1,69.231,71.494,69.231,69.791
42,2,1,71.538,74.518,71.538,72.203
43,2,1,73.077,75.236,73.077,73.532
44,2,1,70.769,71.916,70.769,70.912
45,2,1,70.769,71.732,70.769,70.825
46,2,1,73.077,74.143,73.077,73.006
47,2,1,76.923,78.553,76.923,77.167
48,2,1,76.923,78.269,76.923,77.003
49,2,1,77.692,78.869,77.692,77.864
50,2,1,76.923,78.909,76.923,77.238
0,2,2,46.154,48.428,46.154,46.776
1,2,2,44.615,47.661,44.615,45.577
2,2,2,46.923,48.165,46.923,47.284
3,2,2,47.692,48.577,47.692,47.962
4,2,2,46.923,49.149,46.923,47.591
5,2,2,50.0,52.219,50.0,50.681
6,2,2,50.769,52.928,50.769,51.441
7,2,2,53.077,54.559,53.077,53.251
8,2,2,53.077,54.614,53.077,53.137
9,2,2,53.077,55.67,53.077,53.249
10,2,2,50.769,53.866,50.769,51.165
11,2,2,51.538,54.034,51.538,51.218
12,2,2,53.846,55.651,53.846,53.291
13,2,2,55.385,57.144,55.385,54.8
14,2,2,54.615,56.736,54.615,53.706
15,2,2,53.846,56.739,53.846,53.329
16,2,2,60.769,62.904,60.769,60.112
17,2,2,62.308,65.412,62.308,62.4
18,2,2,62.308,64.998,62.308,62.485
19,2,2,60.0,62.287,60.0,60.153
20,2,2,61.538,65.283,61.538,62.626
21,2,2,62.308,66.826,62.308,63.505
22,2,2,63.077,67.097,63.077,63.956
23,2,2,62.308,65.502,62.308,63.174
24,2,2,60.769,63.186,60.769,61.55
25,2,2,45.385,48.558,45.385,43.043
26,2,2,63.846,65.161,63.846,63.733
27,2,2,64.615,65.097,64.615,64.494
28,2,2,63.077,64.049,63.077,63.364
29,2,2,64.615,65.769,64.615,64.973
30,2,2,66.154,67.919,66.154,66.722
31,2,2,66.154,66.958,66.154,66.312
32,2,2,66.923,68.392,66.923,67.355
33,2,2,66.923,68.779,66.923,67.535
34,2,2,66.154,67.913,66.154,66.669
35,2,2,66.154,67.955,66.154,66.541
36,2,2,67.692,69.498,67.692,68.133
37,2,2,67.692,69.498,67.692,68.133
38,2,2,66.923,69.116,66.923,67.564
39,2,2,66.923,68.813,66.923,67.478
40,2,2,66.923,68.806,66.923,67.391
41,2,2,67.692,69.368,67.692,68.141
42,2,2,66.154,67.483,66.154,66.432
43,2,2,66.923,69.026,66.923,67.406
44,2,2,66.154,68.221,66.154,66.475
45,2,2,68.462,70.078,68.462,68.723
46,2,2,67.692,69.982,67.692,68.027
47,2,2,69.231,71.069,69.231,69.503
48,2,2,69.231,70.461,69.231,69.159
49,2,2,67.692,69.168,67.692,67.655
50,2,2,69.231,70.888,69.231,69.202
0,5,0,42.308,42.993,42.308,41.888
1,5,0,43.846,43.934,43.846,42.82
2,5,0,49.231,49.364,49.231,48.293
3,5,0,53.077,54.037,53.077,52.15
4,5,0,55.385,58.173,55.385,55.212
5,5,0,57.692,59.976,57.692,57.834
6,5,0,61.538,63.67,61.538,62.004
7,5,0,63.077,65.559,63.077,63.469
8,5,0,63.846,66.286,63.846,64.189
9,5,0,63.846,66.438,63.846,64.56
10,5,0,60.0,62.851,60.0,60.023
11,5,0,66.923,69.307,66.923,67.537
12,5,0,67.692,70.976,67.692,68.694
13,5,0,70.0,73.059,70.0,71.058
14,5,0,70.0,72.987,70.0,70.886
15,5,0,70.0,73.07,70.0,70.987
16,5,0,67.692,71.035,67.692,68.712
17,5,0,69.231,71.642,69.231,70.094
18,5,0,68.462,70.465,68.462,69.137
19,5,0,71.538,74.165,71.538,72.381
20,5,0,70.769,73.509,70.769,71.565
0,5,1,56.154,57.23,56.154,56.457
1,5,1,56.923,58.961,56.923,57.431
2,5,1,54.615,57.27,54.615,54.946
3,5,1,54.615,57.65,54.615,55.607
4,5,1,57.692,60.765,57.692,57.81
5,5,1,55.385,57.421,55.385,55.549
6,5,1,58.462,61.688,58.462,58.425
7,5,1,56.154,57.079,56.154,55.524
8,5,1,58.462,61.355,58.462,58.061
9,5,1,59.231,61.311,59.231,58.298
10,5,1,53.077,58.563,53.077,53.648
11,5,1,56.154,57.993,56.154,56.129
12,5,1,59.231,59.643,59.231,58.594
13,5,1,60.0,60.744,60.0,59.639
14,5,1,63.077,63.948,63.077,63.078
15,5,1,63.077,63.455,63.077,62.759
16,5,1,66.154,67.107,66.154,65.094
17,5,1,66.923,68.257,66.923,66.131
18,5,1,68.462,69.554,68.462,67.908
19,5,1,68.462,69.922,68.462,68.068
20,5,1,66.923,69.269,66.923,67.392
0,5,2,46.154,48.428,46.154,46.776
1,5,2,49.231,50.296,49.231,49.449
2,5,2,51.538,52.477,51.538,51.724
3,5,2,53.077,52.395,53.077,52.376
4,5,2,55.385,55.791,55.385,55.272
5,5,2,56.154,56.683,56.154,56.041
6,5,2,60.0,59.479,60.0,59.526
7,5,2,56.923,56.262,56.923,56.184
8,5,2,62.308,61.894,62.308,61.614
9,5,2,60.769,60.687,60.769,59.942
10,5,2,56.154,57.684,56.154,55.67
11,5,2,58.462,58.934,58.462,57.323
12,5,2,62.308,63.095,62.308,61.659
13,5,2,60.0,61.09,60.0,59.49
14,5,2,60.769,61.649,60.769,60.306
15,5,2,62.308,63.261,62.308,61.83
16,5,2,63.846,64.566,63.846,63.358
17,5,2,65.385,66.384,65.385,64.815
18,5,2,64.615,65.143,64.615,64.19
19,5,2,63.077,64.641,63.077,62.781
20,5,2,70.0,69.832,70.0,69.198
0,10,0,42.308,42.993,42.308,41.888
1,10,0,44.615,45.389,44.615,44.101
2,10,0,57.692,59.136,57.692,56.874
3,10,0,60.769,61.766,60.769,60.192
4,10,0,63.846,64.777,63.846,63.551
5,10,0,64.615,65.52,64.615,63.742
6,10,0,63.077,67.066,63.077,63.347
7,10,0,63.846,66.687,63.846,63.547
8,10,0,66.154,68.869,66.154,66.389
9,10,0,67.692,70.102,67.692,68.078
10,10,0,65.385,67.73,65.385,65.753
0,10,1,56.154,57.23,56.154,56.457
1,10,1,53.077,53.753,53.077,53.097
2,10,1,60.769,61.692,60.769,60.141
3,10,1,63.077,64.009,63.077,62.041
4,10,1,69.231,72.124,69.231,69.18
5,10,1,67.692,69.977,67.692,67.574
6,10,1,72.308,74.168,72.308,72.338
7,10,1,70.769,72.146,70.769,70.468
8,10,1,73.846,78.736,73.846,74.271
9,10,1,70.0,75.411,70.0,70.754
10,10,1,72.308,75.165,72.308,72.96
0,10,2,46.154,48.428,46.154,46.776
1,10,2,44.615,49.097,44.615,45.88
2,10,2,56.923,59.508,56.923,57.714
3,10,2,56.923,60.019,56.923,57.912
4,10,2,60.769,61.872,60.769,60.933
5,10,2,60.0,62.131,60.0,60.479
6,10,2,63.077,65.084,63.077,63.258
7,10,2,64.615,66.566,64.615,64.802
8,10,2,70.0,70.78,70.0,70.041
9,10,2,70.769,71.601,70.769,70.642
10,10,2,68.462,69.413,68.462,68.149
0,25,0,42.308,42.993,42.308,41.888
1,25,0,50.769,54.108,50.769,51.319
2,25,0,53.846,56.735,53.846,53.627
3,25,0,62.308,65.567,62.308,62.402
4,25,0,66.923,71.156,66.923,67.722
0,25,1,56.154,57.23,56.154,56.457
1,25,1,59.231,61.422,59.231,59.429
2,25,1,60.0,62.966,60.0,59.801
3,25,1,62.308,64.929,62.308,62.313
4,25,1,68.462,70.558,68.462,68.75
0,25,2,46.154,48.428,46.154,46.776
1,25,2,53.077,52.928,53.077,52.28
2,25,2,55.385,57.645,55.385,56.007
3,25,2,60.0,60.67,60.0,59.745
4,25,2,68.462,70.984,68.462,69.094
