iter,step,fold,acc,prec,rec,f1score
0,2,0,42.308,42.993,42.308,41.888
1,2,0,43.077,44.837,43.077,43.154
2,2,0,50.0,51.096,50.0,49.9
3,2,0,48.462,49.554,48.462,48.304
4,2,0,47.692,48.576,47.692,47.211
5,2,0,48.462,49.24,48.462,48.116
6,2,0,47.692,48.557,47.692,47.301
7,2,0,47.692,48.156,47.692,47.108
8,2,0,46.923,47.504,46.923,46.401
9,2,0,46.923,47.599,46.923,46.45
10,2,0,49.231,49.693,49.231,48.552
11,2,0,53.077,54.169,53.077,51.964
12,2,0,52.308,53.338,52.308,51.669
13,2,0,53.846,55.187,53.846,52.867
14,2,0,53.846,55.767,53.846,52.685
15,2,0,53.846,54.583,53.846,52.836
16,2,0,50.769,51.308,50.769,50.122
17,2,0,50.0,50.752,50.0,49.477
18,2,0,50.0,50.617,50.0,49.31
19,2,0,50.769,52.495,50.769,51.149
20,2,0,50.769,52.451,50.769,51.134
21,2,0,50.769,51.945,50.769,51.055
22,2,0,49.231,50.858,49.231,49.553
23,2,0,50.0,51.811,50.0,50.377
24,2,0,48.462,50.201,48.462,48.952
25,2,0,40.0,45.006,40.0,38.168
26,2,0,53.846,55.829,53.846,54.505
27,2,0,56.923,58.642,56.923,57.323
28,2,0,55.385,58.365,55.385,56.059
29,2,0,53.846,56.439,53.846,54.55
30,2,0,55.385,57.581,55.385,55.797
31,2,0,56.154,58.698,56.154,56.224
32,2,0,54.615,57.388,54.615,54.798
33,2,0,57.692,60.368,57.692,58.085
34,2,0,58.462,60.975,58.462,58.519
35,2,0,57.692,60.288,57.692,57.833
36,2,0,57.692,60.236,57.692,57.792
37,2,0,57.692,60.238,57.692,57.889
38,2,0,56.923,58.369,56.923,56.572
39,2,0,56.154,57.995,56.154,55.826
40,2,0,54.615,56.839,54.615,54.493
41,2,0,57.692,58.566,57.692,57.121
42,2,0,56.923,59.728,56.923,56.701
43,2,0,60.0,61.255,60.0,59.343
44,2,0,59.231,60.223,59.231,58.357
45,2,0,58.462,60.423,58.462,57.833
46,2,0,60.769,62.125,60.769,59.71
47,2,0,60.769,62.419,60.769,59.851
48,2,0,60.0,62.599,60.0,59.461
49,2,0,59.231,61.289,59.231,58.33
50,2,0,60.0,61.917,60.0,59.188
0,2,1,56.154,57.23,56.154,56.457
1,2,1,52.308,52.814,52.308,52.39
2,2,1,53.846,53.9,53.846,53.634
3,2,1,53.077,53.918,53.077,52.992
4,2,1,55.385,57.226,55.385,55.221
5,2,1,58.462,60.545,58.462,58.723
6,2,1,56.154,58.13,56.154,56.412
7,2,1,58.462,61.008,58.462,58.864
8,2,1,58.462,60.622,58.462,58.851
9,2,1,60.0,61.193,60.0,60.319
10,2,1,54.615,56.491,54.615,54.8
11,2,1,55.385,56.965,55.385,55.544
12,2,1,55.385,56.785,55.385,55.6
13,2,1,56.154,57.813,56.154,56.435
14,2,1,55.385,57.421,55.385,55.713
15,2,1,56.923,58.576,56.923,56.927
16,2,1,61.538,61.96,61.538,61.227
17,2,1,62.308,63.204,62.308,62.124
18,2,1,62.308,62.977,62.308,62.164
19,2,1,62.308,63.056,62.308,62.254
20,2,1,61.538,63.243,61.538,61.595
21,2,1,61.538,63.264,61.538,61.563
22,2,1,62.308,64.656,62.308,62.786
23,2,1,61.538,64.046,61.538,61.832
24,2,1,60.769,63.574,60.769,61.162
25,2,1,45.385,56.651,45.385,44.238
26,2,1,59.231,63.996,59.231,59.864
27,2,1,58.462,61.757,58.462,58.956
28,2,1,60.0,63.222,60.0,60.654
29,2,1,59.231,62.192,59.231,59.495
30,2,1,61.538,64.216,61.538,62.077
31,2,1,61.538,63.338,61.538,61.832
32,2,1,60.0,62.557,60.0,60.39
33,2,1,61.538,64.317,61.538,62.258
34,2,1,60.769,63.203,60.769,61.268
35,2,1,61.538,64.357,61.538,62.248
36,2,1,61.538,63.867,61.538,61.885
37,2,1,62.308,65.014,62.308,62.86
38,2,1,62.308,65.494,62.308,62.701
39,2,1,60.769,63.315,60.769,61.049
40,2,1,60.769,64.002,60.769,61.083
41,2,1,61.538,64.696,61.538,61.76
42,2,1,61.538,64.969,61.538,61.664
43,2,1,63.077,65.696,63.077,63.325
44,2,1,62.308,63.808,62.308,62.371
45,2,1,63.846,65.166,63.846,63.804
46,2,1,64.615,66.224,64.615,64.721
47,2,1,65.385,67.447,65.385,65.265
48,2,1,64.615,67.174,64.615,64.705
49,2,1,63.846,66.596,63.846,64.136
50,2,1,64.615,66.831,64.615,64.699
0,2,2,46.154,48.428,46.154,46.776
1,2,2,43.077,46.39,43.077,43.913
2,2,2,47.692,48.626,47.692,47.952
3,2,2,45.385,47.144,45.385,45.687
4,2,2,46.923,46.886,46.923,46.479
5,2,2,46.154,46.87,46.154,46.03
6,2,2,49.231,49.335,49.231,48.935
7,2,2,48.462,48.796,48.462,48.314
8,2,2,47.692,48.747,47.692,47.982
9,2,2,48.462,49.836,48.462,48.539
10,2,2,51.538,53.025,51.538,51.975
11,2,2,51.538,53.183,51.538,52.117
12,2,2,50.0,52.882,50.0,50.9
13,2,2,48.462,50.47,48.462,48.906
14,2,2,50.0,52.008,50.0,50.233
15,2,2,49.231,51.411,49.231,49.515
16,2,2,49.231,51.183,49.231,49.522
17,2,2,53.077,54.792,53.077,53.355
18,2,2,53.077,53.79,53.077,52.946
19,2,2,52.308,52.342,52.308,51.824
20,2,2,53.077,53.403,53.077,52.839
21,2,2,53.077,53.476,53.077,52.842
22,2,2,50.769,52.24,50.769,51.044
23,2,2,51.538,52.096,51.538,51.359
24,2,2,51.538,52.652,51.538,51.706
25,2,2,33.077,33.422,33.077,31.865
26,2,2,50.769,52.736,50.769,51.417
27,2,2,53.077,54.575,53.077,53.152
28,2,2,52.308,53.973,52.308,52.694
29,2,2,51.538,53.174,51.538,51.733
30,2,2,56.154,57.246,56.154,56.053
31,2,2,55.385,56.811,55.385,55.399
32,2,2,55.385,57.227,55.385,55.746
33,2,2,56.154,58.47,56.154,56.657
34,2,2,57.692,58.864,57.692,57.72
35,2,2,55.385,57.118,55.385,55.633
36,2,2,57.692,59.173,57.692,57.471
37,2,2,56.154,57.36,56.154,55.931
38,2,2,58.462,59.608,58.462,58.403
39,2,2,59.231,60.344,59.231,59.064
40,2,2,60.769,61.374,60.769,60.435
41,2,2,60.0,60.09,60.0,59.618
42,2,2,57.692,57.742,57.692,57.163
43,2,2,58.462,58.583,58.462,57.99
44,2,2,57.692,58.26,57.692,57.585
45,2,2,57.692,58.554,57.692,57.79
46,2,2,59.231,59.695,59.231,58.978
47,2,2,59.231,59.622,59.231,59.152
48,2,2,58.462,59.335,58.462,58.529
49,2,2,60.769,61.419,60.769,60.839
50,2,2,60.0,60.825,60.0,60.121
0,5,0,42.308,42.993,42.308,41.888
1,5,0,43.846,45.093,43.846,43.565
2,5,0,48.462,49.694,48.462,47.856
3,5,0,49.231,50.477,49.231,48.7
4,5,0,47.692,49.545,47.692,47.421
5,5,0,46.923,47.371,46.923,46.459
6,5,0,50.0,52.91,50.0,49.65
7,5,0,50.0,52.728,50.0,50.005
8,5,0,46.923,49.853,46.923,47.165
9,5,0,46.154,48.652,46.154,46.132
10,5,0,46.923,47.085,46.923,44.762
11,5,0,55.385,58.654,55.385,55.031
12,5,0,55.385,57.56,55.385,54.631
13,5,0,57.692,60.259,57.692,57.444
14,5,0,56.154,58.542,56.154,55.885
15,5,0,55.385,58.636,55.385,55.05
16,5,0,59.231,61.364,59.231,58.723
17,5,0,59.231,61.512,59.231,58.388
