iter,step,fold,acc,prec,rec,f1score
0,2,0,44.615,48.713,44.615,45.282
1,2,0,43.846,48.31,43.846,44.374
2,2,0,41.538,44.978,41.538,42.297
3,2,0,46.923,50.504,46.923,47.702
4,2,0,46.923,50.504,46.923,47.702
5,2,0,46.154,49.62,46.154,46.799
6,2,0,46.154,49.62,46.154,46.799
7,2,0,46.923,50.032,46.923,47.588
8,2,0,46.923,50.032,46.923,47.588
9,2,0,47.692,50.487,47.692,47.963
10,2,0,47.692,50.487,47.692,47.963
11,2,0,47.692,49.104,47.692,47.557
12,2,0,47.692,49.104,47.692,47.557
13,2,0,49.231,50.234,49.231,48.553
14,2,0,49.231,50.234,49.231,48.553
15,2,0,53.077,54.01,53.077,52.652
16,2,0,51.538,53.099,51.538,51.755
17,2,0,51.538,53.329,51.538,51.802
18,2,0,51.538,53.329,51.538,51.802
19,2,0,53.077,53.114,53.077,52.567
20,2,0,53.077,53.114,53.077,52.567
21,2,0,54.615,56.697,54.615,54.853
22,2,0,54.615,56.697,54.615,54.853
23,2,0,52.308,53.905,52.308,52.58
24,2,0,54.615,57.373,54.615,55.203
25,2,0,55.385,57.091,55.385,55.662
26,2,0,57.692,59.859,57.692,57.865
27,2,0,56.154,56.704,56.154,55.971
28,2,0,56.154,56.704,56.154,55.971
29,2,0,58.462,59.044,58.462,58.355
30,2,0,60.0,61.749,60.0,59.974
31,2,0,58.462,59.697,58.462,58.55
32,2,0,60.0,62.731,60.0,60.21
33,2,0,63.077,64.962,63.077,62.618
34,2,0,63.077,64.962,63.077,62.618
35,2,0,63.077,64.756,63.077,63.334
36,2,0,62.308,62.842,62.308,62.071
37,2,0,60.769,62.673,60.769,61.134
38,2,0,62.308,63.937,62.308,62.488
39,2,0,60.769,63.434,60.769,61.125
40,2,0,63.846,65.015,63.846,63.609
41,2,0,60.769,62.7,60.769,61.03
42,2,0,60.769,62.7,60.769,61.03
43,2,0,57.692,58.264,57.692,56.459
44,2,0,60.769,62.041,60.769,61.007
45,2,0,63.077,64.562,63.077,63.218
46,2,0,60.769,62.874,60.769,61.243
47,2,0,63.846,66.678,63.846,64.468
48,2,0,64.615,67.772,64.615,65.229
49,2,0,66.923,69.92,66.923,67.306
50,2,0,66.923,69.92,66.923,67.306
0,2,1,47.692,47.38,47.692,47.109
1,2,1,49.231,49.379,49.231,49.037
2,2,1,50.0,50.831,50.0,50.147
3,2,1,51.538,51.962,51.538,51.596
4,2,1,50.0,50.118,50.0,49.897
5,2,1,50.769,50.963,50.769,50.679
6,2,1,50.769,50.963,50.769,50.679
7,2,1,50.769,50.627,50.769,50.391
8,2,1,50.769,50.627,50.769,50.391
9,2,1,50.0,50.676,50.0,49.962
10,2,1,50.0,50.676,50.0,49.962
11,2,1,50.0,50.334,50.0,49.905
12,2,1,50.0,50.334,50.0,49.905
13,2,1,53.077,53.746,53.077,53.128
14,2,1,52.308,53.572,52.308,52.462
15,2,1,52.308,53.102,52.308,52.397
16,2,1,52.308,53.102,52.308,52.397
17,2,1,53.846,55.395,53.846,54.308
18,2,1,53.846,55.395,53.846,54.308
19,2,1,52.308,53.531,52.308,52.501
20,2,1,53.077,54.2,53.077,53.101
21,2,1,53.077,54.541,53.077,53.192
22,2,1,53.077,54.309,53.077,53.274
23,2,1,53.846,54.933,53.846,53.996
24,2,1,53.846,54.933,53.846,53.996
25,2,1,54.615,56.814,54.615,55.131
26,2,1,54.615,56.814,54.615,55.131
27,2,1,54.615,55.893,54.615,54.731
28,2,1,54.615,55.893,54.615,54.731
29,2,1,54.615,56.143,54.615,54.531
30,2,1,54.615,56.143,54.615,54.531
31,2,1,54.615,55.974,54.615,54.741
32,2,1,54.615,55.974,54.615,54.741
33,2,1,54.615,56.703,54.615,54.873
34,2,1,54.615,56.703,54.615,54.873
35,2,1,53.077,55.573,53.077,53.469
36,2,1,53.077,55.573,53.077,53.469
37,2,1,55.385,57.067,55.385,55.733
38,2,1,55.385,57.067,55.385,55.733
39,2,1,56.154,58.619,56.154,56.497
40,2,1,56.154,58.542,56.154,56.423
41,2,1,56.154,57.794,56.154,56.287
42,2,1,59.231,61.013,59.231,59.423
43,2,1,56.923,59.093,56.923,56.998
44,2,1,56.923,59.093,56.923,56.998
45,2,1,58.462,60.681,58.462,58.837
46,2,1,58.462,60.681,58.462,58.837
47,2,1,58.462,60.537,58.462,58.811
48,2,1,58.462,60.537,58.462,58.811
49,2,1,57.692,60.112,57.692,58.226
50,2,1,57.692,60.112,57.692,58.226
0,2,2,43.846,49.615,43.846,44.749
1,2,2,43.846,48.988,43.846,44.821
2,2,2,43.846,48.988,43.846,44.821
3,2,2,44.615,48.384,44.615,45.398
4,2,2,44.615,48.384,44.615,45.398
5,2,2,43.846,47.192,43.846,44.117
6,2,2,41.538,46.076,41.538,42.168
7,2,2,46.923,51.497,46.923,48.263
8,2,2,46.923,51.497,46.923,48.263
9,2,2,45.385,49.588,45.385,46.393
10,2,2,46.923,49.98,46.923,47.627
11,2,2,47.692,50.944,47.692,48.674
12,2,2,47.692,50.944,47.692,48.674
13,2,2,49.231,51.795,49.231,49.774
14,2,2,53.846,56.945,53.846,54.575
15,2,2,51.538,54.625,51.538,51.937
16,2,2,53.846,56.318,53.846,54.09
17,2,2,54.615,55.782,54.615,54.203
18,2,2,59.231,60.952,59.231,59.298
19,2,2,56.923,59.171,56.923,57.454
20,2,2,56.923,58.774,56.923,57.267
21,2,2,56.923,60.577,56.923,57.743
22,2,2,56.923,60.577,56.923,57.743
23,2,2,55.385,59.931,55.385,56.205
24,2,2,55.385,59.931,55.385,56.205
25,2,2,56.923,60.808,56.923,57.446
26,2,2,56.923,60.471,56.923,57.638
27,2,2,56.154,60.776,56.154,57.042
28,2,2,55.385,58.869,55.385,55.963
29,2,2,56.154,59.07,56.154,56.19
30,2,2,56.154,59.07,56.154,56.19
31,2,2,53.846,56.987,53.846,54.25
32,2,2,53.846,56.987,53.846,54.25
33,2,2,54.615,58.219,54.615,55.005
34,2,2,54.615,58.219,54.615,55.005
35,2,2,55.385,59.839,55.385,55.768
36,2,2,56.923,61.663,56.923,57.407
37,2,2,55.385,60.529,55.385,55.727
38,2,2,55.385,60.529,55.385,55.727
39,2,2,57.692,62.388,57.692,58.174
40,2,2,57.692,62.388,57.692,58.174
41,2,2,56.923,62.309,56.923,57.147
42,2,2,52.308,54.718,52.308,51.614
43,2,2,56.923,60.853,56.923,56.917
44,2,2,56.923,60.853,56.923,56.917
45,2,2,56.923,61.241,56.923,56.85
46,2,2,56.923,61.241,56.923,56.85
47,2,2,55.385,58.182,55.385,55.149
48,2,2,55.385,58.182,55.385,55.149
49,2,2,56.154,59.141,56.154,56.089
50,2,2,58.462,60.352,58.462,58.468
0,5,0,44.615,48.713,44.615,45.282
1,5,0,44.615,48.353,44.615,44.896
2,5,0,44.615,48.353,44.615,44.896
3,5,0,45.385,49.486,45.385,46.013
