iter,step,fold,acc,prec,rec,f1score
0,2,0,53.077,53.075,53.077,51.505
1,2,0,54.615,54.053,54.615,52.57
2,2,0,55.385,54.619,55.385,53.436
3,2,0,55.385,54.759,55.385,53.377
4,2,0,56.154,55.035,56.154,53.977
5,2,0,56.923,56.731,56.923,55.065
6,2,0,54.615,54.702,54.615,53.167
7,2,0,53.846,53.571,53.846,52.123
8,2,0,55.385,56.157,55.385,53.496
9,2,0,54.615,56.685,54.615,52.921
10,2,0,51.538,53.874,51.538,50.482
11,2,0,51.538,52.715,51.538,50.266
12,2,0,53.846,55.622,53.846,52.885
13,2,0,53.846,55.748,53.846,52.998
14,2,0,51.538,53.118,51.538,51.089
15,2,0,53.846,57.28,53.846,53.759
16,2,0,51.538,52.774,51.538,51.198
17,2,0,53.846,56.483,53.846,53.286
18,2,0,53.846,55.88,53.846,52.973
19,2,0,53.077,54.543,53.077,52.292
20,2,0,54.615,57.304,54.615,53.368
21,2,0,53.846,56.643,53.846,52.652
22,2,0,53.077,55.027,53.077,52.353
23,2,0,54.615,58.108,54.615,54.278
24,2,0,57.692,61.182,57.692,56.971
25,2,0,50.769,54.341,50.769,47.703
26,2,0,58.462,63.699,58.462,58.126
27,2,0,56.154,58.387,56.154,56.053
28,2,0,53.077,55.227,53.077,52.886
29,2,0,53.846,55.656,53.846,53.044
30,2,0,58.462,60.853,58.462,58.173
31,2,0,56.154,59.921,56.154,56.134
32,2,0,56.923,60.256,56.923,56.84
33,2,0,53.077,55.328,53.077,52.502
34,2,0,56.923,58.718,56.923,56.355
35,2,0,53.846,55.767,53.846,53.153
36,2,0,56.154,58.408,56.154,56.222
37,2,0,55.385,55.569,55.385,54.631
38,2,0,56.923,60.551,56.923,57.051
39,2,0,58.462,60.472,58.462,58.284
40,2,0,58.462,63.003,58.462,58.695
41,2,0,58.462,61.71,58.462,58.314
42,2,0,56.154,58.504,56.154,56.224
43,2,0,58.462,61.228,58.462,58.383
44,2,0,63.077,65.133,63.077,62.923
45,2,0,59.231,62.259,59.231,59.041
46,2,0,60.769,63.681,60.769,60.431
47,2,0,56.923,60.133,56.923,56.783
48,2,0,60.769,63.23,60.769,60.886
49,2,0,60.769,63.02,60.769,60.617
50,2,0,60.0,62.252,60.0,59.728
0,2,1,60.0,60.758,60.0,59.84
1,2,1,58.462,59.811,58.462,58.453
2,2,1,57.692,59.148,57.692,57.823
3,2,1,60.0,61.829,60.0,60.171
4,2,1,60.769,63.347,60.769,60.78
5,2,1,60.0,62.289,60.0,59.889
6,2,1,61.538,63.765,61.538,61.794
7,2,1,62.308,64.062,62.308,62.391
8,2,1,61.538,63.752,61.538,61.564
9,2,1,60.0,61.969,60.0,59.996
10,2,1,60.0,62.438,60.0,60.268
11,2,1,63.077,65.114,63.077,63.274
12,2,1,64.615,66.845,64.615,64.557
13,2,1,63.846,66.538,63.846,63.95
14,2,1,64.615,67.197,64.615,64.924
15,2,1,63.846,65.935,63.846,63.992
16,2,1,63.846,65.878,63.846,63.913
17,2,1,63.077,65.714,63.077,63.337
18,2,1,62.308,64.874,62.308,62.457
19,2,1,63.846,66.104,63.846,64.11
20,2,1,63.077,65.199,63.077,63.161
21,2,1,64.615,67.68,64.615,64.801
22,2,1,63.077,66.714,63.077,63.375
23,2,1,63.077,65.945,63.077,63.214
24,2,1,66.923,68.9,66.923,67.044
25,2,1,50.0,59.212,50.0,48.2
26,2,1,63.077,65.88,63.077,63.304
27,2,1,65.385,67.567,65.385,65.499
28,2,1,65.385,68.266,65.385,65.494
29,2,1,65.385,68.097,65.385,65.372
30,2,1,65.385,67.918,65.385,65.529
31,2,1,64.615,67.517,64.615,64.546
32,2,1,67.692,70.813,67.692,68.008
33,2,1,65.385,67.804,65.385,65.735
34,2,1,65.385,67.077,65.385,65.585
35,2,1,66.923,68.606,66.923,67.076
36,2,1,66.154,68.09,66.154,66.131
37,2,1,68.462,70.986,68.462,68.637
38,2,1,68.462,70.546,68.462,68.555
39,2,1,68.462,71.214,68.462,68.784
40,2,1,66.923,69.114,66.923,67.288
41,2,1,68.462,70.584,68.462,68.664
42,2,1,69.231,71.571,69.231,69.44
43,2,1,68.462,71.37,68.462,68.821
44,2,1,70.0,72.398,70.0,70.317
45,2,1,68.462,71.076,68.462,68.883
46,2,1,68.462,71.176,68.462,69.077
47,2,1,69.231,72.153,69.231,69.629
48,2,1,66.923,69.8,66.923,67.379
49,2,1,69.231,71.716,69.231,69.321
50,2,1,68.462,71.237,68.462,68.899
