iter,step,fold,acc,prec,rec,f1score
0,2,0,40.769,42.415,40.769,38.997
1,2,0,39.231,41.913,39.231,37.559
2,2,0,38.462,40.103,38.462,35.133
3,2,0,37.692,39.547,37.692,34.422
4,2,0,40.769,41.264,40.769,37.604
5,2,0,40.769,40.648,40.769,37.646
6,2,0,41.538,41.564,41.538,38.296
7,2,0,40.769,46.114,40.769,39.485
8,2,0,40.769,44.248,40.769,39.392
9,2,0,40.769,43.91,40.769,39.469
10,2,0,39.231,42.766,39.231,38.073
11,2,0,39.231,41.764,39.231,37.821
12,2,0,40.0,42.159,40.0,38.317
13,2,0,40.0,42.159,40.0,38.317
14,2,0,40.769,42.905,40.769,39.372
15,2,0,42.308,44.955,42.308,41.295
16,2,0,39.231,42.748,39.231,37.524
17,2,0,37.692,41.438,37.692,33.18
18,2,0,36.923,42.347,36.923,33.028
19,2,0,36.923,42.331,36.923,32.704
20,2,0,36.923,42.554,36.923,32.855
21,2,0,36.154,41.652,36.154,32.02
22,2,0,36.154,45.843,36.154,32.715
23,2,0,36.923,49.646,36.923,34.273
24,2,0,36.154,46.083,36.154,32.874
25,2,0,36.154,46.083,36.154,32.874
26,2,0,36.154,43.424,36.154,33.139
27,2,0,40.0,47.346,40.0,37.297
28,2,0,42.308,53.175,42.308,40.629
29,2,0,42.308,53.175,42.308,40.629
30,2,0,40.769,48.664,40.769,38.078
31,2,0,40.0,48.672,40.0,36.976
32,2,0,40.769,51.019,40.769,38.384
33,2,0,45.385,54.448,45.385,41.99
34,2,0,46.154,59.636,46.154,42.649
35,2,0,46.154,59.636,46.154,42.649
36,2,0,46.923,64.939,46.923,43.354
37,2,0,41.538,56.109,41.538,35.437
38,2,0,41.538,56.109,41.538,35.437
39,2,0,41.538,55.314,41.538,35.295
40,2,0,40.0,63.672,40.0,34.262
41,2,0,40.0,53.839,40.0,34.293
42,2,0,40.0,53.839,40.0,34.293
43,2,0,40.769,63.922,40.769,35.807
44,2,0,39.231,51.945,39.231,33.566
45,2,0,42.308,57.537,42.308,36.828
46,2,0,42.308,57.625,42.308,36.049
47,2,0,41.538,59.522,41.538,37.318
48,2,0,41.538,65.891,41.538,38.981
49,2,0,41.538,65.891,41.538,38.981
50,2,0,42.308,63.968,42.308,40.637
0,2,1,39.231,41.684,39.231,35.054
1,2,1,39.231,45.001,39.231,35.66
2,2,1,39.231,53.705,39.231,39.051
3,2,1,38.462,51.706,38.462,37.694
4,2,1,39.231,50.995,39.231,37.429
5,2,1,39.231,50.278,39.231,37.46
6,2,1,38.462,49.243,38.462,37.919
7,2,1,38.462,49.92,38.462,38.096
8,2,1,37.692,47.743,37.692,36.856
9,2,1,37.692,47.466,37.692,36.665
10,2,1,36.154,44.456,36.154,34.696
11,2,1,35.385,43.169,35.385,34.436
12,2,1,36.154,42.699,36.154,34.875
13,2,1,36.154,42.699,36.154,34.875
14,2,1,36.154,43.609,36.154,35.134
15,2,1,36.923,45.246,36.923,36.306
16,2,1,37.692,46.725,37.692,37.421
17,2,1,37.692,45.979,37.692,37.115
18,2,1,39.231,48.958,39.231,39.184
19,2,1,39.231,48.958,39.231,39.184
20,2,1,38.462,47.12,38.462,37.906
21,2,1,39.231,47.736,39.231,38.794
22,2,1,39.231,51.176,39.231,39.082
23,2,1,38.462,48.608,38.462,38.067
24,2,1,43.846,63.318,43.846,43.97
25,2,1,43.846,63.101,43.846,43.81
26,2,1,41.538,51.592,41.538,40.096
27,2,1,42.308,52.359,42.308,40.861
28,2,1,43.846,53.09,43.846,44.196
29,2,1,42.308,51.08,42.308,42.411
30,2,1,43.077,51.528,43.077,43.405
31,2,1,43.077,50.782,43.077,43.333
32,2,1,39.231,56.178,39.231,36.367
33,2,1,39.231,56.323,39.231,36.525
34,2,1,40.0,56.81,40.0,37.061
35,2,1,40.0,56.81,40.0,37.061
36,2,1,41.538,58.962,41.538,38.429
37,2,1,40.769,57.616,40.769,37.848
38,2,1,39.231,58.513,39.231,37.358
39,2,1,41.538,58.338,41.538,40.49
40,2,1,42.308,59.904,42.308,41.415
41,2,1,43.846,60.521,43.846,43.277
42,2,1,40.769,54.597,40.769,39.21
43,2,1,43.077,57.573,43.077,41.762
44,2,1,46.154,63.694,46.154,45.978
45,2,1,45.385,63.05,45.385,45.236
