iter,step,fold,acc,prec,rec,f1score
0,2,0,40.769,42.415,40.769,38.997
1,2,0,38.462,39.245,38.462,36.015
2,2,0,37.692,38.982,37.692,35.092
3,2,0,36.923,38.341,36.923,34.34
4,2,0,36.923,38.341,36.923,34.34
5,2,0,36.923,37.635,36.923,34.339
6,2,0,40.769,39.594,40.769,37.018
7,2,0,40.769,39.518,40.769,36.936
8,2,0,40.769,39.518,40.769,36.936
9,2,0,42.308,40.956,42.308,38.489
10,2,0,42.308,40.956,42.308,38.489
11,2,0,44.615,42.344,44.615,40.196
12,2,0,44.615,42.344,44.615,40.196
13,2,0,44.615,42.269,44.615,39.088
14,2,0,43.846,43.559,43.846,39.655
15,2,0,41.538,40.745,41.538,37.427
16,2,0,42.308,43.144,42.308,38.662
17,2,0,44.615,44.259,44.615,40.256
18,2,0,45.385,45.986,45.385,41.494
19,2,0,44.615,47.555,44.615,40.265
20,2,0,44.615,47.555,44.615,40.265
21,2,0,46.923,49.762,46.923,43.09
22,2,0,47.692,51.976,47.692,45.257
23,2,0,48.462,52.265,48.462,45.693
24,2,0,48.462,52.265,48.462,45.693
25,2,0,48.462,52.91,48.462,45.972
26,2,0,48.462,52.91,48.462,45.972
27,2,0,49.231,53.992,49.231,46.913
28,2,0,49.231,53.992,49.231,46.913
29,2,0,47.692,52.176,47.692,45.074
30,2,0,47.692,52.176,47.692,45.074
31,2,0,49.231,53.808,49.231,46.727
32,2,0,46.923,50.983,46.923,44.628
33,2,0,46.923,50.983,46.923,44.628
34,2,0,46.923,50.983,46.923,44.628
35,2,0,47.692,51.211,47.692,44.619
36,2,0,47.692,51.211,47.692,44.619
37,2,0,47.692,51.211,47.692,44.619
38,2,0,47.692,51.211,47.692,44.619
39,2,0,45.385,50.06,45.385,42.994
40,2,0,45.385,49.139,45.385,42.347
41,2,0,45.385,45.845,45.385,41.717
42,2,0,47.692,47.109,47.692,43.792
43,2,0,49.231,48.624,49.231,45.476
44,2,0,49.231,48.624,49.231,45.476
45,2,0,48.462,48.307,48.462,44.898
46,2,0,48.462,48.307,48.462,44.898
47,2,0,48.462,48.307,48.462,44.898
48,2,0,48.462,48.307,48.462,44.898
49,2,0,47.692,46.743,47.692,43.753
50,2,0,48.462,47.41,48.462,44.521
0,2,1,39.231,41.684,39.231,35.054
1,2,1,40.0,43.171,40.0,36.541
2,2,1,38.462,41.356,38.462,35.843
3,2,1,38.462,41.307,38.462,35.952
4,2,1,39.231,41.545,39.231,36.322
5,2,1,39.231,41.545,39.231,36.322
6,2,1,39.231,41.545,39.231,36.322
7,2,1,40.0,42.758,40.0,37.161
8,2,1,38.462,43.307,38.462,35.666
9,2,1,36.923,45.306,36.923,34.099
10,2,1,36.154,40.418,36.154,32.693
11,2,1,36.154,40.521,36.154,32.667
12,2,1,39.231,46.808,39.231,37.068
13,2,1,38.462,43.769,38.462,35.853
14,2,1,38.462,43.769,38.462,35.853
15,2,1,37.692,46.297,37.692,35.981
