iter,step,fold,acc,prec,rec,f1score
0,2,0,40.769,42.415,40.769,38.997
1,2,0,40.769,43.058,40.769,38.975
2,2,0,43.077,45.139,43.077,41.135
3,2,0,43.846,46.284,43.846,42.263
4,2,0,39.231,40.88,39.231,36.772
5,2,0,37.692,35.302,37.692,33.102
6,2,0,33.846,39.353,33.846,30.905
7,2,0,34.615,41.738,34.615,32.21
8,2,0,34.615,43.011,34.615,32.677
9,2,0,34.615,44.446,34.615,32.839
10,2,0,32.308,44.618,32.308,30.685
11,2,0,32.308,43.251,32.308,30.402
12,2,0,32.308,43.234,32.308,30.124
13,2,0,32.308,43.234,32.308,30.124
14,2,0,38.462,46.972,38.462,33.642
15,2,0,37.692,46.447,37.692,33.239
16,2,0,39.231,46.732,39.231,35.911
17,2,0,39.231,46.826,39.231,35.734
18,2,0,36.923,41.703,36.923,31.759
19,2,0,38.462,43.131,38.462,34.356
20,2,0,38.462,43.097,38.462,34.128
21,2,0,37.692,40.733,37.692,32.826
22,2,0,38.462,45.597,38.462,34.349
23,2,0,38.462,45.597,38.462,34.349
24,2,0,40.769,45.12,40.769,38.416
25,2,0,40.769,43.858,40.769,38.272
26,2,0,38.462,41.028,38.462,35.923
27,2,0,36.923,40.396,36.923,34.774
28,2,0,37.692,40.699,37.692,35.218
29,2,0,37.692,40.699,37.692,35.218
30,2,0,38.462,43.368,38.462,36.33
31,2,0,36.923,41.044,36.923,33.851
32,2,0,36.923,41.044,36.923,33.851
33,2,0,36.923,41.044,36.923,33.851
34,2,0,38.462,42.589,38.462,35.637
35,2,0,38.462,42.589,38.462,35.637
36,2,0,39.231,47.597,39.231,36.143
37,2,0,40.769,47.388,40.769,38.081
38,2,0,42.308,48.144,42.308,39.432
39,2,0,42.308,48.144,42.308,39.432
40,2,0,41.538,47.171,41.538,38.536
41,2,0,42.308,48.144,42.308,39.432
42,2,0,43.077,48.977,43.077,40.462
43,2,0,43.077,49.619,43.077,40.553
44,2,0,43.077,49.553,43.077,40.596
45,2,0,43.077,49.548,43.077,40.629
46,2,0,43.077,49.548,43.077,40.629
47,2,0,43.077,49.548,43.077,40.629
48,2,0,41.538,48.273,41.538,39.398
49,2,0,41.538,48.273,41.538,39.398
50,2,0,41.538,48.273,41.538,39.398
0,2,1,39.231,41.684,39.231,35.054
1,2,1,39.231,41.687,39.231,35.324
2,2,1,36.923,36.312,36.923,33.1
3,2,1,37.692,37.62,37.692,34.168
4,2,1,36.923,37.305,36.923,31.945
5,2,1,37.692,39.783,37.692,33.395
6,2,1,36.923,38.769,36.923,32.57
7,2,1,36.923,38.324,36.923,32.589
8,2,1,35.385,36.108,35.385,30.944
9,2,1,36.154,37.338,36.154,32.048
10,2,1,42.308,47.968,42.308,39.53
11,2,1,43.077,48.627,43.077,40.238
12,2,1,43.077,47.757,43.077,40.039
13,2,1,42.308,46.962,42.308,39.127
14,2,1,40.769,47.075,40.769,36.869
15,2,1,41.538,48.69,41.538,38.123
16,2,1,42.308,47.973,42.308,40.069
17,2,1,40.0,45.847,40.0,37.588
18,2,1,40.0,45.795,40.0,37.549
19,2,1,39.231,43.949,39.231,36.367
20,2,1,40.769,46.15,40.769,38.093
21,2,1,40.769,47.046,40.769,38.508
22,2,1,40.0,45.942,40.0,37.691
23,2,1,40.769,46.941,40.769,38.454
24,2,1,40.769,46.871,40.769,38.405
25,2,1,38.462,45.918,38.462,36.897
26,2,1,41.538,47.733,41.538,40.404
27,2,1,42.308,48.868,42.308,41.147
28,2,1,42.308,49.077,42.308,41.172
29,2,1,41.538,48.519,41.538,40.344
30,2,1,41.538,49.658,41.538,41.65
31,2,1,40.769,49.14,40.769,40.991
32,2,1,43.077,51.282,43.077,42.908
33,2,1,43.077,51.804,43.077,43.155
34,2,1,42.308,51.41,42.308,42.602
35,2,1,43.846,53.812,43.846,44.727
36,2,1,42.308,52.218,42.308,43.362
37,2,1,42.308,50.84,42.308,43.046
38,2,1,42.308,49.881,42.308,42.578
39,2,1,42.308,50.405,42.308,42.827
40,2,1,42.308,49.9,42.308,42.69
41,2,1,42.308,49.9,42.308,42.69
42,2,1,42.308,49.71,42.308,42.486
43,2,1,42.308,49.876,42.308,42.349
44,2,1,42.308,49.254,42.308,42.12
45,2,1,43.077,50.354,43.077,43.094
46,2,1,42.308,51.256,42.308,43.121
47,2,1,43.077,51.762,43.077,43.782
48,2,1,43.846,52.042,43.846,44.544
49,2,1,43.846,52.042,43.846,44.544
50,2,1,43.846,52.896,43.846,44.558
0,2,2,40.769,37.59,40.769,37.136
1,2,2,40.0,37.282,40.0,36.353
2,2,2,37.692,32.671,37.692,33.398
3,2,2,43.846,37.364,43.846,38.826
4,2,2,40.769,37.653,40.769,36.762
5,2,2,40.769,36.191,40.769,36.985
6,2,2,39.231,42.736,39.231,36.246
7,2,2,39.231,42.736,39.231,36.246
8,2,2,36.154,31.685,36.154,31.966
9,2,2,36.923,32.605,36.923,32.927
10,2,2,35.385,33.845,35.385,32.352
11,2,2,38.462,36.485,38.462,35.11
12,2,2,34.615,41.834,34.615,31.766
13,2,2,34.615,41.834,34.615,31.766
14,2,2,34.615,44.565,34.615,32.27
15,2,2,35.385,45.883,35.385,33.089
16,2,2,35.385,43.565,35.385,32.523
17,2,2,35.385,45.065,35.385,32.705
18,2,2,43.077,42.741,43.077,39.643
19,2,2,43.846,43.748,43.846,40.528
20,2,2,42.308,42.326,42.308,39.369
21,2,2,40.769,42.776,40.769,38.795
22,2,2,41.538,42.774,41.538,39.195
23,2,2,42.308,43.395,42.308,39.73
24,2,2,41.538,43.075,41.538,39.346
25,2,2,42.308,44.825,42.308,39.907
26,2,2,43.077,45.469,43.077,40.436
27,2,2,43.077,51.11,43.077,40.637
28,2,2,42.308,50.807,42.308,40.044
29,2,2,41.538,50.174,41.538,39.339
30,2,2,40.769,49.125,40.769,38.378
31,2,2,40.769,48.75,40.769,38.124
32,2,2,42.308,44.137,42.308,39.264
33,2,2,41.538,46.048,41.538,38.098
34,2,2,41.538,45.786,41.538,38.018
35,2,2,40.0,44.852,40.0,36.805
36,2,2,39.231,46.084,39.231,36.681
37,2,2,39.231,46.134,39.231,36.707
38,2,2,39.231,46.134,39.231,36.707
39,2,2,40.0,46.569,40.0,37.469
40,2,2,40.0,46.569,40.0,37.469
41,2,2,39.231,45.911,39.231,36.75
42,2,2,38.462,44.58,38.462,35.864
43,2,2,38.462,44.58,38.462,35.864
44,2,2,37.692,44.056,37.692,35.18
45,2,2,37.692,42.027,37.692,35.223
46,2,2,37.692,42.027,37.692,35.223
47,2,2,37.692,41.181,37.692,35.082
48,2,2,36.923,40.547,36.923,34.341
49,2,2,36.923,40.547,36.923,34.341
50,2,2,36.923,40.547,36.923,34.341
0,5,0,40.769,42.415,40.769,38.997
1,5,0,43.077,45.951,43.077,41.466
2,5,0,38.462,42.216,38.462,37.09
3,5,0,39.231,42.234,39.231,36.915
4,5,0,43.846,44.77,43.846,39.861
5,5,0,44.615,45.224,44.615,40.916
6,5,0,45.385,46.222,45.385,41.718
7,5,0,45.385,47.43,45.385,42.129
8,5,0,43.846,46.114,43.846,40.761
9,5,0,45.385,48.82,45.385,43.243
10,5,0,45.385,47.263,45.385,42.224
11,5,0,46.923,49.734,46.923,44.422
12,5,0,44.615,46.755,44.615,41.452
13,5,0,46.923,51.318,46.923,44.456
14,5,0,46.923,51.293,46.923,44.537
15,5,0,47.692,51.635,47.692,44.6
16,5,0,49.231,54.077,49.231,47.589
17,5,0,49.231,54.077,49.231,47.589
18,5,0,51.538,58.067,51.538,49.664
19,5,0,50.769,58.646,50.769,49.436
20,5,0,53.077,63.388,53.077,51.752
0,5,1,39.231,41.684,39.231,35.054
1,5,1,37.692,40.107,37.692,34.423
2,5,1,35.385,34.546,35.385,31.514
3,5,1,39.231,38.024,39.231,33.977
4,5,1,43.077,56.964,43.077,42.918
5,5,1,43.846,60.874,43.846,41.151
