iter,step,fold,acc,prec,rec,f1score
0,2,0,40.769,42.415,40.769,38.997
1,2,0,40.0,41.381,40.0,38.065
2,2,0,43.846,46.18,43.846,42.283
3,2,0,43.846,46.589,43.846,42.49
4,2,0,47.692,52.553,47.692,46.47
5,2,0,45.385,47.134,45.385,43.12
6,2,0,46.154,47.604,46.154,44.207
7,2,0,46.154,52.283,46.154,45.173
8,2,0,47.692,52.064,47.692,45.983
9,2,0,46.154,51.837,46.154,44.754
10,2,0,46.923,48.363,46.923,44.565
11,2,0,45.385,47.146,45.385,42.568
12,2,0,46.154,51.296,46.154,43.575
13,2,0,46.154,51.312,46.154,42.772
14,2,0,47.692,57.706,47.692,47.374
15,2,0,47.692,57.706,47.692,47.374
16,2,0,46.923,56.827,46.923,46.496
17,2,0,46.923,56.458,46.923,46.498
18,2,0,45.385,55.951,45.385,44.997
19,2,0,45.385,55.534,45.385,45.027
20,2,0,43.846,56.777,43.846,44.498
21,2,0,43.846,56.777,43.846,44.498
22,2,0,45.385,57.445,45.385,46.019
23,2,0,46.154,58.91,46.154,46.966
24,2,0,46.154,58.91,46.154,46.966
25,2,0,46.154,58.91,46.154,46.966
26,2,0,46.154,60.464,46.154,47.685
27,2,0,45.385,59.519,45.385,46.783
28,2,0,46.154,60.383,46.154,47.688
29,2,0,45.385,59.427,45.385,46.71
30,2,0,45.385,59.334,45.385,46.723
31,2,0,44.615,57.78,44.615,45.861
32,2,0,44.615,57.927,44.615,45.91
33,2,0,43.077,56.867,43.077,44.326
34,2,0,45.385,61.293,45.385,44.981
35,2,0,46.154,62.19,46.154,45.94
36,2,0,47.692,57.986,47.692,46.803
37,2,0,47.692,59.03,47.692,46.735
38,2,0,46.923,57.307,46.923,44.862
39,2,0,46.923,59.192,46.923,44.747
40,2,0,46.923,56.634,46.923,45.119
41,2,0,47.692,57.7,47.692,46.123
42,2,0,46.923,56.634,46.923,45.119
43,2,0,47.692,58.154,47.692,45.976
44,2,0,47.692,58.638,47.692,46.306
45,2,0,48.462,60.157,48.462,47.163
46,2,0,48.462,61.355,48.462,47.403
47,2,0,46.923,59.877,46.923,45.689
48,2,0,46.923,59.877,46.923,45.689
49,2,0,47.692,60.27,47.692,46.441
50,2,0,47.692,60.221,47.692,46.61
0,2,1,39.231,41.684,39.231,35.054
1,2,1,39.231,43.304,39.231,35.17
2,2,1,38.462,39.915,38.462,34.736
3,2,1,38.462,39.915,38.462,34.736
4,2,1,37.692,37.397,37.692,32.693
5,2,1,38.462,37.8,38.462,33.293
6,2,1,36.923,36.066,36.923,31.72
7,2,1,37.692,36.507,37.692,32.026
8,2,1,40.0,44.041,40.0,34.653
9,2,1,40.769,44.674,40.769,35.321
10,2,1,40.769,39.641,40.769,35.368
11,2,1,40.0,38.761,40.0,34.336
12,2,1,40.0,37.859,40.0,34.006
13,2,1,40.0,37.859,40.0,34.006
14,2,1,40.769,38.125,40.769,34.547
15,2,1,40.769,40.582,40.769,34.459
16,2,1,40.769,40.582,40.769,34.459
17,2,1,40.769,40.582,40.769,34.459
18,2,1,35.385,32.957,35.385,29.849
19,2,1,35.385,32.957,35.385,29.849
20,2,1,33.846,34.554,33.846,29.925
21,2,1,33.846,34.554,33.846,29.925
22,2,1,33.077,33.449,33.077,29.282
23,2,1,33.077,33.449,33.077,29.282
24,2,1,32.308,34.715,32.308,28.012
25,2,1,32.308,34.209,32.308,27.697
26,2,1,32.308,34.209,32.308,27.697
27,2,1,32.308,35.055,32.308,27.838
28,2,1,30.769,42.927,30.769,28.966
29,2,1,31.538,44.808,31.538,29.829
30,2,1,36.154,47.112,36.154,33.096
31,2,1,34.615,43.128,34.615,30.878
32,2,1,40.769,58.405,40.769,37.731
33,2,1,41.538,59.94,41.538,38.72
34,2,1,46.154,64.834,46.154,44.604
35,2,1,46.923,65.78,46.923,45.463
36,2,1,45.385,62.602,45.385,43.519
37,2,1,46.154,63.106,46.154,45.172
38,2,1,47.692,66.227,47.692,47.302
39,2,1,46.923,65.576,46.923,46.597
40,2,1,46.154,62.727,46.154,45.086
41,2,1,44.615,62.454,44.615,44.203
42,2,1,44.615,62.177,44.615,44.14
43,2,1,44.615,62.177,44.615,44.14
44,2,1,46.154,64.428,46.154,45.305
45,2,1,45.385,64.529,45.385,45.161
46,2,1,46.154,64.156,46.154,46.331
47,2,1,47.692,65.86,47.692,47.907
48,2,1,46.923,63.64,46.923,46.962
49,2,1,48.462,65.509,48.462,48.618
50,2,1,48.462,65.444,48.462,48.683
0,2,2,40.769,37.59,40.769,37.136
1,2,2,40.769,37.657,40.769,37.406
2,2,2,39.231,36.545,39.231,35.938
3,2,2,40.0,38.575,40.0,37.329
4,2,2,38.462,35.69,38.462,35.421
5,2,2,40.0,37.407,40.0,35.699
6,2,2,42.308,42.618,42.308,39.157
7,2,2,41.538,39.036,41.538,37.633
8,2,2,39.231,35.999,39.231,35.1
9,2,2,39.231,35.728,39.231,35.079
10,2,2,40.0,35.983,40.0,35.803
11,2,2,43.077,38.844,43.077,38.514
12,2,2,37.692,41.185,37.692,33.25
13,2,2,37.692,41.185,37.692,33.25
14,2,2,37.692,41.573,37.692,33.38
15,2,2,37.692,41.69,37.692,33.258
16,2,2,39.231,51.298,39.231,36.971
17,2,2,39.231,50.964,39.231,36.816
18,2,2,40.769,53.208,40.769,38.675
19,2,2,41.538,52.027,41.538,40.207
20,2,2,43.077,52.992,43.077,41.844
21,2,2,42.308,51.648,42.308,41.053
22,2,2,43.077,49.797,43.077,41.199
23,2,2,42.308,48.743,42.308,40.031
24,2,2,43.077,49.513,43.077,41.012
25,2,2,43.077,49.513,43.077,41.012
26,2,2,43.077,51.883,43.077,41.671
27,2,2,43.077,50.89,43.077,41.457
28,2,2,43.846,50.918,43.846,42.19
29,2,2,43.077,49.739,43.077,41.259
30,2,2,42.308,49.916,42.308,40.409
31,2,2,42.308,49.432,42.308,40.065
32,2,2,42.308,49.432,42.308,40.065
33,2,2,43.077,50.657,43.077,41.277
34,2,2,47.692,48.789,47.692,45.204
35,2,2,47.692,48.789,47.692,45.204
36,2,2,47.692,50.723,47.692,45.935
37,2,2,47.692,51.404,47.692,46.102
