iter,step,fold,acc,prec,rec,f1score
0,2,0,40.769,42.415,40.769,38.997
1,2,0,40.0,41.381,40.0,38.065
2,2,0,43.077,44.389,43.077,41.619
3,2,0,43.846,44.6,43.846,42.233
4,2,0,40.769,42.545,40.769,39.329
5,2,0,40.0,41.037,40.0,38.052
6,2,0,40.0,41.48,40.0,37.611
7,2,0,40.0,41.602,40.0,37.937
8,2,0,42.308,41.593,42.308,39.095
9,2,0,42.308,41.593,42.308,39.095
10,2,0,42.308,42.917,42.308,40.398
11,2,0,42.308,42.917,42.308,40.398
12,2,0,43.077,43.595,43.077,41.061
13,2,0,43.077,44.041,43.077,41.311
14,2,0,42.308,43.676,42.308,40.87
15,2,0,44.615,45.266,44.615,43.158
16,2,0,48.462,52.412,48.462,47.447
17,2,0,45.385,51.063,45.385,42.63
18,2,0,46.154,51.716,46.154,43.434
19,2,0,46.154,47.605,46.154,43.655
20,2,0,46.154,47.71,46.154,43.841
21,2,0,46.923,48.552,46.923,44.473
22,2,0,50.769,51.443,50.769,48.373
23,2,0,52.308,52.532,52.308,48.655
24,2,0,51.538,50.844,51.538,48.281
25,2,0,51.538,50.746,51.538,47.438
26,2,0,51.538,50.746,51.538,47.438
27,2,0,51.538,52.62,51.538,47.616
28,2,0,51.538,52.761,51.538,47.653
29,2,0,50.0,52.53,50.0,46.101
30,2,0,49.231,50.641,49.231,45.361
31,2,0,50.0,52.135,50.0,46.19
32,2,0,50.0,57.648,50.0,47.017
33,2,0,50.0,57.648,50.0,47.017
34,2,0,50.769,61.898,50.769,47.621
35,2,0,49.231,57.502,49.231,44.786
36,2,0,49.231,57.7,49.231,44.886
37,2,0,49.231,57.7,49.231,44.886
38,2,0,48.462,57.345,48.462,44.338
39,2,0,49.231,61.96,49.231,45.657
40,2,0,49.231,65.037,49.231,45.44
41,2,0,49.231,65.037,49.231,45.44
42,2,0,49.231,65.494,49.231,45.659
43,2,0,48.462,65.26,48.462,44.841
44,2,0,50.769,66.99,50.769,48.031
45,2,0,50.769,66.99,50.769,48.031
46,2,0,50.769,66.622,50.769,48.134
47,2,0,50.0,65.962,50.0,47.305
48,2,0,50.0,65.962,50.0,47.305
49,2,0,49.231,64.987,49.231,46.569
50,2,0,49.231,64.987,49.231,46.569
0,2,1,39.231,41.684,39.231,35.054
1,2,1,39.231,43.304,39.231,35.17
2,2,1,37.692,36.965,37.692,33.439
3,2,1,36.154,35.887,36.154,31.698
4,2,1,36.923,36.283,36.923,32.355
5,2,1,36.923,36.198,36.923,32.376
6,2,1,36.923,36.932,36.923,33.129
7,2,1,36.923,36.655,36.923,32.791
8,2,1,37.692,36.988,37.692,33.094
9,2,1,37.692,37.265,37.692,33.432
10,2,1,37.692,44.473,37.692,35.223
11,2,1,37.692,43.55,37.692,34.775
12,2,1,36.923,42.46,36.923,33.664
13,2,1,37.692,45.279,37.692,34.893
14,2,1,42.308,48.786,42.308,38.42
15,2,1,43.077,48.693,43.077,39.155
16,2,1,41.538,46.666,41.538,37.707
17,2,1,40.769,45.96,40.769,36.938
18,2,1,40.769,47.93,40.769,37.701
19,2,1,40.769,50.102,40.769,38.327
20,2,1,41.538,52.243,41.538,39.507
21,2,1,41.538,52.243,41.538,39.507
22,2,1,43.077,53.5,43.077,41.665
23,2,1,43.846,54.884,43.846,42.386
24,2,1,43.077,53.689,43.077,41.787
25,2,1,41.538,50.685,41.538,39.541
26,2,1,41.538,50.741,41.538,39.981
27,2,1,40.769,48.862,40.769,38.778
28,2,1,40.769,49.121,40.769,38.701
29,2,1,40.769,49.121,40.769,38.701
30,2,1,40.769,49.121,40.769,38.701
31,2,1,41.538,50.847,41.538,39.815
32,2,1,40.769,50.397,40.769,39.223
33,2,1,40.769,49.559,40.769,39.107
34,2,1,40.0,47.139,40.0,37.869
35,2,1,40.0,48.324,40.0,38.214
36,2,1,40.769,49.753,40.769,39.428
37,2,1,40.769,49.528,40.769,39.514
38,2,1,38.462,45.306,38.462,36.787
39,2,1,38.462,45.306,38.462,36.787
40,2,1,38.462,44.934,38.462,36.612
41,2,1,38.462,44.934,38.462,36.612
42,2,1,38.462,44.934,38.462,36.612
43,2,1,38.462,44.934,38.462,36.612
44,2,1,38.462,44.934,38.462,36.612
45,2,1,37.692,39.931,37.692,35.101
46,2,1,37.692,39.807,37.692,35.019
47,2,1,37.692,40.234,37.692,35.066
48,2,1,38.462,41.15,38.462,35.754
49,2,1,35.385,40.221,35.385,33.801
50,2,1,37.692,42.452,37.692,36.589
0,2,2,40.769,37.59,40.769,37.136
1,2,2,40.769,37.657,40.769,37.406
2,2,2,37.692,33.27,37.692,33.677
3,2,2,40.0,32.712,40.0,34.861
4,2,2,36.923,31.259,36.923,32.579
5,2,2,36.923,31.001,36.923,32.442
6,2,2,35.385,30.594,35.385,31.755
7,2,2,36.154,31.356,36.154,32.329
8,2,2,37.692,38.933,37.692,36.578
9,2,2,38.462,40.237,38.462,37.407
10,2,2,36.923,39.813,36.923,36.789
11,2,2,39.231,41.991,39.231,38.112
12,2,2,37.692,34.766,37.692,34.377
13,2,2,37.692,34.524,37.692,34.39
14,2,2,39.231,35.433,39.231,35.519
15,2,2,40.0,36.202,40.0,36.289
16,2,2,40.0,36.09,40.0,36.424
17,2,2,40.769,36.874,40.769,37.166
18,2,2,41.538,37.491,41.538,37.913
19,2,2,41.538,37.491,41.538,37.913
20,2,2,42.308,37.535,42.308,38.306
21,2,2,40.0,37.46,40.0,36.578
22,2,2,39.231,40.71,39.231,37.326
23,2,2,39.231,39.066,39.231,36.728
24,2,2,40.0,46.782,40.0,37.9
25,2,2,40.769,48.471,40.769,39.01
26,2,2,40.0,49.467,40.0,38.743
27,2,2,38.462,41.51,38.462,36.704
28,2,2,37.692,41.481,37.692,35.837
29,2,2,37.692,41.481,37.692,35.837
30,2,2,39.231,45.796,39.231,38.07
31,2,2,42.308,40.921,42.308,39.412
32,2,2,43.077,48.407,43.077,41.743
33,2,2,43.077,48.407,43.077,41.743
34,2,2,43.077,48.435,43.077,41.789
35,2,2,41.538,44.579,41.538,39.652
36,2,2,44.615,47.583,44.615,42.48
37,2,2,45.385,47.811,45.385,43.14
