iter,step,fold,acc,prec,rec,f1score
0,2,0,40.769,42.415,40.769,38.997
1,2,0,42.308,44.19,42.308,40.889
2,2,0,40.769,42.117,40.769,38.522
3,2,0,38.462,39.179,38.462,35.917
4,2,0,36.923,40.162,36.923,35.054
5,2,0,37.692,40.506,37.692,35.58
6,2,0,36.923,41.131,36.923,35.176
7,2,0,36.154,41.063,36.154,34.651
8,2,0,39.231,46.06,39.231,39.64
9,2,0,40.769,47.263,40.769,40.991
10,2,0,39.231,46.53,39.231,39.936
11,2,0,39.231,46.652,39.231,40.162
12,2,0,39.231,45.72,39.231,39.776
13,2,0,40.0,45.977,40.0,40.104
14,2,0,40.769,44.628,40.769,39.024
15,2,0,41.538,45.915,41.538,39.84
16,2,0,43.077,46.447,43.077,40.846
17,2,0,43.077,46.688,43.077,40.902
18,2,0,42.308,46.112,42.308,39.816
19,2,0,42.308,46.112,42.308,39.816
20,2,0,42.308,45.922,42.308,39.974
21,2,0,43.077,46.303,43.077,40.603
22,2,0,43.077,45.145,43.077,40.426
23,2,0,41.538,39.879,41.538,38.181
24,2,0,39.231,38.94,39.231,36.083
25,2,0,40.769,39.85,40.769,37.646
26,2,0,42.308,51.31,42.308,40.991
27,2,0,42.308,51.31,42.308,40.991
28,2,0,40.0,47.198,40.0,38.183
29,2,0,40.0,47.198,40.0,38.183
30,2,0,40.0,47.198,40.0,38.183
31,2,0,40.0,47.198,40.0,38.183
32,2,0,40.769,52.97,40.769,39.287
33,2,0,41.538,53.623,41.538,40.178
34,2,0,41.538,53.623,41.538,40.178
35,2,0,41.538,53.56,41.538,40.104
36,2,0,41.538,53.56,41.538,40.104
37,2,0,40.769,42.608,40.769,38.465
38,2,0,41.538,43.934,41.538,39.521
39,2,0,40.769,42.608,40.769,38.465
40,2,0,40.769,42.608,40.769,38.465
41,2,0,40.769,42.67,40.769,38.539
42,2,0,40.0,41.697,40.0,37.644
43,2,0,40.0,41.568,40.0,37.493
44,2,0,40.769,42.608,40.769,38.465
45,2,0,40.769,42.55,40.769,38.395
46,2,0,41.538,42.913,41.538,39.03
47,2,0,41.538,42.973,41.538,39.103
48,2,0,40.769,41.323,40.769,37.946
49,2,0,40.769,41.392,40.769,38.025
50,2,0,42.308,42.941,42.308,39.288
0,2,1,39.231,41.684,39.231,35.054
