iter,step,fold,acc,prec,rec,f1score
0,2,0,40.769,42.415,40.769,38.997
1,2,0,41.538,42.59,41.538,39.39
2,2,0,39.231,40.548,39.231,36.571
3,2,0,39.231,41.838,39.231,36.577
4,2,0,39.231,38.257,39.231,35.92
5,2,0,40.0,37.594,40.0,36.322
6,2,0,42.308,40.739,42.308,39.001
7,2,0,43.077,40.476,43.077,38.694
8,2,0,44.615,42.071,44.615,39.912
9,2,0,43.846,41.388,43.846,39.117
10,2,0,43.846,42.472,43.846,39.51
11,2,0,43.077,41.482,43.077,37.822
12,2,0,45.385,44.265,45.385,40.312
13,2,0,45.385,44.265,45.385,40.312
14,2,0,45.385,44.046,45.385,40.4
15,2,0,45.385,44.046,45.385,40.4
16,2,0,46.154,44.759,46.154,42.118
17,2,0,46.154,44.759,46.154,42.118
18,2,0,43.846,43.412,43.846,38.978
19,2,0,43.846,43.348,43.846,38.797
20,2,0,44.615,44.337,44.615,40.158
21,2,0,45.385,44.482,45.385,40.471
22,2,0,46.154,44.751,46.154,40.986
23,2,0,46.154,44.043,46.154,40.96
24,2,0,46.923,54.344,46.923,42.602
25,2,0,50.769,61.416,50.769,47.425
26,2,0,51.538,62.619,51.538,48.376
27,2,0,52.308,63.349,52.308,49.137
28,2,0,51.538,62.414,51.538,48.61
29,2,0,52.308,64.465,52.308,49.772
30,2,0,51.538,65.479,51.538,49.881
31,2,0,51.538,65.479,51.538,49.881
32,2,0,53.077,66.477,53.077,51.271
33,2,0,53.077,63.4,53.077,50.78
34,2,0,52.308,56.716,52.308,47.81
35,2,0,52.308,56.716,52.308,47.81
36,2,0,53.077,57.13,53.077,48.493
37,2,0,53.077,56.448,53.077,48.193
38,2,0,52.308,45.99,52.308,46.707
39,2,0,52.308,45.99,52.308,46.707
40,2,0,50.0,45.632,50.0,44.838
41,2,0,50.0,45.632,50.0,44.838
42,2,0,49.231,45.295,49.231,44.181
43,2,0,49.231,45.295,49.231,44.181
44,2,0,49.231,54.681,49.231,45.347
45,2,0,49.231,54.681,49.231,45.347
46,2,0,49.231,54.622,49.231,45.275
47,2,0,49.231,54.622,49.231,45.275
48,2,0,49.231,54.565,49.231,45.204
49,2,0,48.462,44.58,48.462,43.456
50,2,0,48.462,44.58,48.462,43.456
0,2,1,39.231,41.684,39.231,35.054
