iter,step,fold,acc,prec,rec,f1score
0,2,0,40.769,42.415,40.769,38.997
1,2,0,40.769,40.953,40.769,38.145
2,2,0,43.846,45.29,43.846,42.027
3,2,0,43.077,43.61,43.077,40.462
4,2,0,40.0,38.575,40.0,36.018
5,2,0,40.0,37.7,40.0,35.651
6,2,0,40.769,39.684,40.769,36.285
7,2,0,38.462,37.557,38.462,34.003
8,2,0,38.462,38.589,38.462,34.462
9,2,0,39.231,38.631,39.231,34.977
10,2,0,40.0,42.29,40.0,36.764
11,2,0,40.0,42.29,40.0,36.764
12,2,0,40.0,42.29,40.0,36.764
13,2,0,40.0,41.664,40.0,36.297
14,2,0,39.231,40.172,39.231,35.017
15,2,0,40.0,41.321,40.0,36.01
16,2,0,43.846,44.747,43.846,41.195
17,2,0,43.846,44.747,43.846,41.195
18,2,0,43.846,44.747,43.846,41.195
19,2,0,43.846,44.747,43.846,41.195
20,2,0,45.385,46.951,45.385,43.099
21,2,0,45.385,46.951,45.385,43.099
22,2,0,46.923,46.255,46.923,42.957
23,2,0,47.692,48.059,47.692,44.174
24,2,0,47.692,47.106,47.692,43.832
25,2,0,48.462,48.053,48.462,44.682
26,2,0,46.923,47.2,46.923,43.618
27,2,0,46.923,47.2,46.923,43.618
28,2,0,46.154,46.434,46.154,42.865
29,2,0,46.923,47.125,46.923,43.562
30,2,0,47.692,48.616,47.692,44.602
31,2,0,47.692,48.616,47.692,44.602
32,2,0,47.692,53.39,47.692,45.77
33,2,0,47.692,53.458,47.692,45.744
34,2,0,46.923,46.826,46.923,43.72
35,2,0,46.923,45.923,46.923,43.33
36,2,0,47.692,46.621,47.692,43.791
37,2,0,47.692,46.621,47.692,43.791
38,2,0,47.692,44.614,47.692,43.546
39,2,0,46.923,44.887,46.923,43.184
40,2,0,46.923,44.218,46.923,42.962
41,2,0,49.231,45.317,49.231,44.758
42,2,0,47.692,44.573,47.692,43.557
43,2,0,47.692,44.573,47.692,43.557
44,2,0,47.692,48.217,47.692,44.507
45,2,0,48.462,48.722,48.462,45.213
46,2,0,48.462,49.273,48.462,45.649
47,2,0,48.462,49.273,48.462,45.649
48,2,0,48.462,49.273,48.462,45.649
