iter,step,fold,acc,prec,rec,f1score
0,2,0,55.385,57.225,55.385,55.136
1,2,0,53.846,56.455,53.846,54.358
2,2,0,57.692,59.92,57.692,58.167
3,2,0,53.846,56.588,53.846,54.004
4,2,0,49.231,52.371,49.231,49.769
5,2,0,55.385,56.325,55.385,55.14
6,2,0,50.769,52.909,50.769,51.085
7,2,0,56.923,60.379,56.923,58.185
8,2,0,56.923,59.441,56.923,57.151
9,2,0,60.0,60.256,60.0,59.941
10,2,0,60.769,62.6,60.769,60.018
11,2,0,61.538,64.087,61.538,61.403
12,2,0,61.538,62.718,61.538,60.821
13,2,0,61.538,63.692,61.538,61.795
14,2,0,64.615,65.434,64.615,63.778
15,2,0,62.308,62.264,62.308,62.026
16,2,0,61.538,62.748,61.538,61.079
17,2,0,58.462,61.091,58.462,58.061
18,2,0,56.154,61.321,56.154,56.73
19,2,0,61.538,64.516,61.538,61.402
20,2,0,62.308,65.749,62.308,62.316
21,2,0,57.692,61.952,57.692,57.768
22,2,0,55.385,59.892,55.385,55.969
23,2,0,57.692,61.137,57.692,57.398
24,2,0,60.0,66.312,60.0,59.973
25,2,0,53.846,56.513,53.846,53.445
26,2,0,53.846,60.4,53.846,54.031
27,2,0,54.615,60.105,54.615,54.231
28,2,0,59.231,61.667,59.231,57.733
29,2,0,63.077,67.608,63.077,63.105
30,2,0,63.077,71.411,63.077,63.119
31,2,0,60.769,65.725,60.769,60.809
32,2,0,65.385,70.772,65.385,65.408
33,2,0,63.077,70.077,63.077,62.898
34,2,0,62.308,66.364,62.308,62.603
35,2,0,65.385,72.28,65.385,66.326
36,2,0,66.154,69.955,66.154,66.787
37,2,0,66.923,69.905,66.923,67.144
38,2,0,62.308,64.502,62.308,62.685
39,2,0,62.308,65.358,62.308,62.648
40,2,0,63.077,64.625,63.077,63.226
41,2,0,65.385,66.753,65.385,65.472
42,2,0,63.846,66.289,63.846,64.097
43,2,0,69.231,71.495,69.231,69.168
44,2,0,62.308,64.513,62.308,62.937
45,2,0,61.538,66.685,61.538,62.851
46,2,0,70.0,70.502,70.0,69.942
47,2,0,66.154,67.45,66.154,66.233
48,2,0,65.385,67.392,65.385,65.393
49,2,0,70.769,71.78,70.769,70.922
50,2,0,66.154,68.841,66.154,65.912
0,2,1,57.692,57.438,57.692,56.57
1,2,1,50.769,51.99,50.769,50.644
2,2,1,63.846,67.769,63.846,63.309
3,2,1,60.769,63.447,60.769,60.138
4,2,1,58.462,60.45,58.462,57.595
5,2,1,56.154,58.603,56.154,56.225
6,2,1,56.923,56.953,56.923,55.955
7,2,1,62.308,63.834,62.308,62.208
8,2,1,63.846,65.758,63.846,63.179
9,2,1,60.769,65.806,60.769,60.53
10,2,1,66.923,65.717,66.923,65.719
11,2,1,66.923,65.738,66.923,65.562
12,2,1,70.0,69.095,70.0,68.975
13,2,1,67.692,70.107,67.692,66.999
14,2,1,66.154,66.303,66.154,65.008
15,2,1,66.923,69.167,66.923,66.269
16,2,1,68.462,68.036,68.462,67.95
17,2,1,72.308,72.882,72.308,71.895
18,2,1,68.462,67.902,68.462,67.758
19,2,1,73.077,73.027,73.077,72.167
20,2,1,70.0,70.979,70.0,69.387
21,2,1,69.231,70.66,69.231,69.005
22,2,1,72.308,73.017,72.308,71.288
23,2,1,72.308,72.92,72.308,71.775
24,2,1,69.231,71.625,69.231,68.905
25,2,1,72.308,74.759,72.308,71.845
26,2,1,71.538,71.718,71.538,70.693
27,2,1,71.538,72.38,71.538,70.821
28,2,1,70.769,70.946,70.769,70.652
29,2,1,73.846,74.204,73.846,73.168
30,2,1,69.231,68.895,69.231,68.524
31,2,1,70.0,69.428,70.0,69.054
32,2,1,73.846,74.564,73.846,73.766
33,2,1,72.308,73.674,72.308,72.478
34,2,1,73.077,74.574,73.077,73.287
35,2,1,69.231,70.303,69.231,69.131
36,2,1,76.154,76.529,76.154,75.877
37,2,1,76.154,75.989,76.154,75.301
38,2,1,71.538,70.953,71.538,70.772
39,2,1,76.154,76.831,76.154,75.871
40,2,1,70.769,72.064,70.769,70.512
41,2,1,67.692,67.976,67.692,67.125
42,2,1,71.538,72.866,71.538,71.12
43,2,1,75.385,75.351,75.385,74.713
