iter,step,fold,acc,prec,rec,f1score
0,2,0,55.385,57.225,55.385,55.136
1,2,0,52.308,53.316,52.308,51.508
2,2,0,53.846,52.715,53.846,52.375
3,2,0,55.385,56.577,55.385,54.456
4,2,0,50.769,48.81,50.769,48.54
5,2,0,53.077,52.95,53.077,51.257
6,2,0,51.538,49.882,51.538,48.549
7,2,0,53.077,53.801,53.077,51.258
8,2,0,54.615,55.747,54.615,53.231
9,2,0,54.615,55.354,54.615,52.743
10,2,0,52.308,52.333,52.308,50.59
11,2,0,50.769,49.7,50.769,48.021
12,2,0,53.077,53.628,53.077,50.885
13,2,0,53.846,56.514,53.846,52.627
14,2,0,50.0,50.947,50.0,47.302
15,2,0,54.615,56.273,54.615,53.32
16,2,0,53.846,56.618,53.846,52.44
17,2,0,54.615,57.774,54.615,54.113
18,2,0,51.538,56.667,51.538,49.885
19,2,0,51.538,56.075,51.538,49.752
20,2,0,53.077,58.234,53.077,50.913
21,2,0,55.385,60.935,55.385,53.866
22,2,0,56.923,67.143,56.923,56.595
23,2,0,54.615,62.611,54.615,53.503
24,2,0,47.692,51.388,47.692,45.27
25,2,0,49.231,54.542,49.231,46.103
26,2,0,51.538,62.417,51.538,49.198
27,2,0,52.308,61.527,52.308,50.507
28,2,0,48.462,52.679,48.462,45.642
29,2,0,53.077,60.754,53.077,50.82
30,2,0,50.769,56.676,50.769,48.643
31,2,0,54.615,63.393,54.615,52.759
32,2,0,54.615,67.233,54.615,53.644
33,2,0,54.615,69.684,54.615,54.133
34,2,0,52.308,63.56,52.308,51.086
35,2,0,52.308,69.054,52.308,52.241
36,2,0,53.077,66.771,53.077,51.735
37,2,0,52.308,63.305,52.308,50.525
38,2,0,52.308,68.989,52.308,50.996
39,2,0,50.769,64.566,50.769,48.933
40,2,0,50.769,70.848,50.769,50.12
41,2,0,50.0,61.57,50.0,48.471
42,2,0,52.308,68.687,52.308,51.495
43,2,0,51.538,67.252,51.538,50.094
44,2,0,55.385,75.545,55.385,56.043
45,2,0,51.538,67.291,51.538,50.924
46,2,0,51.538,69.707,51.538,50.236
47,2,0,48.462,63.737,48.462,47.19
48,2,0,50.769,64.686,50.769,49.248
49,2,0,50.769,61.722,50.769,48.454
50,2,0,49.231,63.97,49.231,48.47
0,2,1,57.692,57.438,57.692,56.57
1,2,1,57.692,56.973,57.692,56.611
2,2,1,59.231,60.504,59.231,58.896
3,2,1,60.0,61.09,60.0,59.44
4,2,1,60.0,59.997,60.0,59.015
5,2,1,57.692,58.133,57.692,56.567
6,2,1,55.385,55.524,55.385,54.297
7,2,1,55.385,57.57,55.385,53.499
8,2,1,56.154,58.466,56.154,55.504
9,2,1,64.615,66.317,64.615,63.69
10,2,1,56.154,56.954,56.154,54.574
11,2,1,57.692,59.112,57.692,57.708
12,2,1,60.0,61.978,60.0,59.21
13,2,1,53.077,55.863,53.077,53.033
14,2,1,56.923,57.041,56.923,56.023
15,2,1,59.231,59.523,59.231,58.235
16,2,1,53.846,54.125,53.846,52.668
17,2,1,53.846,57.257,53.846,53.588
18,2,1,55.385,55.138,55.385,53.985
19,2,1,54.615,57.822,54.615,53.948
20,2,1,54.615,56.691,54.615,53.789
21,2,1,54.615,55.539,54.615,53.491
22,2,1,55.385,55.267,55.385,53.766
23,2,1,54.615,55.032,54.615,52.63
24,2,1,57.692,58.555,57.692,56.83
25,2,1,54.615,56.767,54.615,53.309
26,2,1,55.385,57.617,55.385,53.87
27,2,1,56.923,58.094,56.923,55.591
28,2,1,59.231,62.394,59.231,59.31
29,2,1,60.769,62.991,60.769,60.061
30,2,1,60.0,62.875,60.0,59.41
31,2,1,57.692,60.652,57.692,56.898
32,2,1,55.385,59.162,55.385,53.588
33,2,1,56.923,58.099,56.923,55.448
34,2,1,56.154,58.367,56.154,54.794
35,2,1,58.462,61.059,58.462,57.836
36,2,1,56.923,58.526,56.923,55.901
37,2,1,56.923,58.822,56.923,55.866
38,2,1,56.154,57.594,56.154,54.376
39,2,1,57.692,63.464,57.692,57.813
40,2,1,57.692,58.381,57.692,56.697
41,2,1,59.231,61.521,59.231,57.837
42,2,1,54.615,56.528,54.615,53.196
43,2,1,55.385,56.038,55.385,53.71
44,2,1,55.385,57.1,55.385,53.704
45,2,1,56.923,59.445,56.923,55.243
46,2,1,53.846,54.947,53.846,51.961
