iter,step,fold,acc,prec,rec,f1score
0,2,0,40.769,39.499,40.769,38.388
1,2,0,40.769,39.487,40.769,38.628
2,2,0,42.308,40.829,42.308,40.631
3,2,0,43.077,42.001,43.077,40.925
4,2,0,43.846,43.296,43.846,41.624
5,2,0,41.538,42.416,41.538,40.779
6,2,0,42.308,43.895,42.308,41.44
7,2,0,41.538,42.651,41.538,40.322
8,2,0,41.538,45.361,41.538,41.372
9,2,0,41.538,45.315,41.538,41.17
10,2,0,41.538,45.942,41.538,41.38
11,2,0,43.846,49.29,43.846,43.575
12,2,0,46.154,49.924,46.154,45.943
13,2,0,44.615,47.418,44.615,44.372
14,2,0,43.077,45.591,43.077,42.148
15,2,0,43.846,47.831,43.846,43.423
16,2,0,46.154,49.719,46.154,45.354
17,2,0,46.154,50.671,46.154,45.954
18,2,0,45.385,49.865,45.385,45.841
19,2,0,45.385,50.263,45.385,46.06
20,2,0,46.923,51.048,46.923,46.657
21,2,0,46.154,50.416,46.154,45.937
22,2,0,46.154,54.514,46.154,46.636
23,2,0,46.923,54.874,46.923,47.29
24,2,0,45.385,53.3,45.385,44.898
25,2,0,44.615,52.897,44.615,44.269
26,2,0,46.154,53.315,46.154,46.122
27,2,0,46.154,53.564,46.154,45.906
28,2,0,46.154,51.687,46.154,45.433
29,2,0,46.154,51.435,46.154,45.303
30,2,0,49.231,53.718,49.231,47.857
31,2,0,49.231,53.718,49.231,47.857
32,2,0,46.154,51.519,46.154,45.118
33,2,0,47.692,53.571,47.692,47.375
34,2,0,43.846,50.04,43.846,43.816
35,2,0,40.769,46.112,40.769,40.951
36,2,0,40.0,44.583,40.0,39.611
37,2,0,40.0,44.694,40.0,39.727
38,2,0,43.077,45.977,43.077,41.664
39,2,0,45.385,47.96,45.385,44.448
40,2,0,45.385,48.165,45.385,44.587
41,2,0,45.385,48.753,45.385,45.136
42,2,0,45.385,47.041,45.385,43.981
43,2,0,46.154,47.982,46.154,44.744
44,2,0,46.923,49.512,46.923,45.43
45,2,0,47.692,50.871,47.692,46.768
46,2,0,50.0,54.262,50.0,49.621
47,2,0,49.231,54.068,49.231,48.766
