iter,step,fold,acc,prec,rec,f1score
0,2,0,40.769,39.499,40.769,38.388
1,2,0,42.308,42.37,42.308,40.241
2,2,0,43.077,43.631,43.077,41.508
3,2,0,42.308,41.733,42.308,40.394
4,2,0,45.385,46.93,45.385,44.54
5,2,0,44.615,46.648,44.615,43.912
6,2,0,46.923,47.906,46.923,45.716
7,2,0,45.385,46.517,45.385,44.484
8,2,0,50.769,51.948,50.769,49.933
9,2,0,48.462,49.466,48.462,47.493
10,2,0,45.385,48.155,45.385,44.864
11,2,0,46.154,49.234,46.154,45.797
12,2,0,46.154,49.171,46.154,45.969
13,2,0,44.615,45.889,44.615,43.718
14,2,0,41.538,42.83,41.538,40.785
15,2,0,41.538,43.433,41.538,40.694
16,2,0,43.077,47.002,43.077,43.426
17,2,0,46.923,50.92,46.923,46.988
18,2,0,46.923,51.825,46.923,46.662
19,2,0,46.923,52.35,46.923,46.59
20,2,0,44.615,50.172,44.615,43.472
21,2,0,44.615,49.19,44.615,43.438
22,2,0,44.615,50.705,44.615,43.659
23,2,0,46.923,52.599,46.923,46.089
24,2,0,48.462,55.06,48.462,48.106
25,2,0,48.462,54.73,48.462,47.608
26,2,0,50.769,57.008,50.769,50.356
27,2,0,50.0,56.155,50.0,49.534
28,2,0,48.462,53.799,48.462,47.524
29,2,0,47.692,53.178,47.692,46.861
30,2,0,46.923,51.317,46.923,45.558
31,2,0,47.692,51.674,47.692,46.056
32,2,0,49.231,52.93,49.231,47.582
33,2,0,50.769,54.846,50.769,49.44
34,2,0,46.923,52.272,46.923,45.992
35,2,0,48.462,55.052,48.462,47.186
36,2,0,50.0,56.239,50.0,48.544
37,2,0,45.385,51.016,45.385,44.094
38,2,0,47.692,53.636,47.692,46.966
39,2,0,46.154,51.205,46.154,45.007
40,2,0,50.0,54.031,50.0,48.247
41,2,0,46.923,52.491,46.923,46.608
42,2,0,48.462,53.313,48.462,46.508
43,2,0,50.769,54.588,50.769,48.239
44,2,0,51.538,56.834,51.538,50.23
45,2,0,54.615,59.201,54.615,53.676
46,2,0,53.846,58.986,53.846,53.335
47,2,0,53.846,58.72,53.846,53.097
48,2,0,54.615,59.419,54.615,54.355
49,2,0,53.846,58.719,53.846,53.605
50,2,0,56.154,60.398,56.154,56.034
0,2,1,44.615,43.891,44.615,43.695
1,2,1,46.923,47.69,46.923,46.842
2,2,1,45.385,46.83,45.385,45.552
3,2,1,42.308,43.325,42.308,42.161
4,2,1,43.846,45.381,43.846,43.899
5,2,1,46.154,47.572,46.154,46.226
6,2,1,49.231,50.913,49.231,49.545
7,2,1,46.923,48.828,46.923,47.437
8,2,1,49.231,52.877,49.231,50.008
9,2,1,49.231,51.487,49.231,49.531
10,2,1,50.0,54.705,50.0,50.762
11,2,1,48.462,54.356,48.462,49.424
12,2,1,50.0,55.85,50.0,50.815
13,2,1,48.462,53.594,48.462,49.196
14,2,1,50.0,55.322,50.0,50.758
15,2,1,50.0,54.739,50.0,50.483
16,2,1,45.385,50.496,45.385,45.655
17,2,1,42.308,45.851,42.308,42.35
18,2,1,43.077,46.847,43.077,43.15
19,2,1,43.846,47.362,43.846,43.383
20,2,1,43.846,47.079,43.846,43.449
21,2,1,43.846,48.27,43.846,43.69
22,2,1,43.846,48.324,43.846,43.725
23,2,1,45.385,49.825,45.385,45.464
24,2,1,46.154,50.604,46.154,46.028
25,2,1,46.923,50.735,46.923,46.503
26,2,1,43.846,48.764,43.846,43.08
27,2,1,45.385,53.229,45.385,44.882
28,2,1,44.615,49.647,44.615,43.286
29,2,1,46.154,51.581,46.154,45.495
30,2,1,44.615,49.771,44.615,43.915
31,2,1,48.462,53.971,48.462,47.795
32,2,1,50.0,55.728,50.0,49.372
33,2,1,51.538,56.312,51.538,51.103
34,2,1,50.0,54.965,50.0,50.083
35,2,1,50.0,54.965,50.0,50.083
36,2,1,50.0,60.687,50.0,50.812
37,2,1,49.231,58.685,49.231,49.779
38,2,1,53.077,61.199,53.077,53.52
39,2,1,51.538,61.295,51.538,52.016
40,2,1,51.538,60.664,51.538,52.603
41,2,1,51.538,61.42,51.538,52.904
42,2,1,50.769,58.762,50.769,51.696
43,2,1,50.769,58.682,50.769,51.33
44,2,1,50.0,57.155,50.0,50.191
45,2,1,50.0,56.157,50.0,50.023
46,2,1,51.538,59.481,51.538,51.643
47,2,1,50.0,58.406,50.0,49.796
48,2,1,53.077,59.847,53.077,53.221
49,2,1,52.308,59.737,52.308,52.305
50,2,1,53.077,60.475,53.077,53.034
0,2,2,42.308,43.239,42.308,40.926
1,2,2,42.308,44.377,42.308,41.429
2,2,2,41.538,45.622,41.538,41.283
3,2,2,44.615,47.957,44.615,43.834
4,2,2,45.385,48.244,45.385,44.922
5,2,2,45.385,46.495,45.385,44.492
6,2,2,46.923,47.871,46.923,46.321
7,2,2,46.923,47.603,46.923,46.035
8,2,2,46.154,46.362,46.154,45.155
9,2,2,45.385,45.165,45.385,44.496
10,2,2,43.846,43.849,43.846,43.202
11,2,2,44.615,45.287,44.615,44.24
12,2,2,46.923,46.96,46.923,45.845
13,2,2,46.154,46.401,46.154,45.107
14,2,2,44.615,45.454,44.615,43.399
15,2,2,46.154,46.653,46.154,44.899
16,2,2,43.077,42.931,43.077,42.079
17,2,2,46.154,46.282,46.154,45.36
18,2,2,47.692,48.226,47.692,46.78
19,2,2,48.462,49.721,48.462,47.665
20,2,2,48.462,49.539,48.462,47.569
21,2,2,45.385,46.71,45.385,44.653
22,2,2,46.923,47.854,46.923,45.509
23,2,2,46.154,47.186,46.154,44.612
24,2,2,45.385,45.524,45.385,43.401
25,2,2,46.154,46.642,46.154,44.337
26,2,2,43.846,45.977,43.846,42.837
27,2,2,45.385,47.492,45.385,44.679
28,2,2,43.846,45.606,43.846,42.51
29,2,2,46.154,48.598,46.154,44.158
30,2,2,46.154,47.595,46.154,45.531
31,2,2,47.692,49.344,47.692,46.787
32,2,2,47.692,48.879,47.692,46.513
33,2,2,47.692,48.633,47.692,46.297
34,2,2,49.231,50.8,49.231,48.185
35,2,2,47.692,49.385,47.692,46.341
36,2,2,50.769,51.616,50.769,49.092
37,2,2,50.0,51.385,50.0,48.529
38,2,2,49.231,50.05,49.231,47.128
39,2,2,50.0,50.977,50.0,48.177
40,2,2,46.923,46.465,46.923,43.96
41,2,2,46.923,46.489,46.923,44.063
42,2,2,45.385,48.165,45.385,42.215
43,2,2,46.154,49.088,46.154,44.298
44,2,2,46.923,49.55,46.923,45.011
45,2,2,46.923,49.183,46.923,45.17
46,2,2,46.923,48.796,46.923,44.869
47,2,2,46.923,48.118,46.923,44.929
48,2,2,46.923,48.312,46.923,44.808
49,2,2,47.692,49.412,47.692,45.747
50,2,2,50.0,51.406,50.0,47.999
0,5,0,40.769,39.499,40.769,38.388
1,5,0,45.385,44.275,45.385,43.851
2,5,0,46.923,49.622,46.923,46.436
3,5,0,45.385,49.447,45.385,44.308
4,5,0,40.0,42.044,40.0,38.951
5,5,0,38.462,40.685,38.462,37.012
6,5,0,40.769,43.225,40.769,39.86
7,5,0,43.077,45.723,43.077,41.99
8,5,0,43.846,47.462,43.846,42.706
9,5,0,45.385,52.858,45.385,44.705
10,5,0,48.462,54.29,48.462,48.247
11,5,0,48.462,52.04,48.462,47.293
12,5,0,47.692,50.758,47.692,46.576
13,5,0,51.538,55.609,51.538,50.316
14,5,0,51.538,55.535,51.538,50.114
15,5,0,50.769,55.23,50.769,49.278
16,5,0,49.231,55.204,49.231,47.878
17,5,0,50.0,57.737,50.0,48.681
18,5,0,50.769,57.993,50.769,48.659
19,5,0,50.0,57.111,50.0,47.947
20,5,0,55.385,61.647,55.385,54.063
0,5,1,44.615,43.891,44.615,43.695
1,5,1,46.923,48.245,46.923,47.067
2,5,1,43.846,46.508,43.846,44.545
3,5,1,44.615,45.667,44.615,44.558
4,5,1,44.615,48.42,44.615,45.225
5,5,1,46.154,47.979,46.154,46.491
6,5,1,44.615,50.169,44.615,45.976
7,5,1,50.0,54.379,50.0,51.281
8,5,1,52.308,55.732,52.308,53.305
9,5,1,51.538,55.611,51.538,52.143
10,5,1,49.231,56.97,49.231,49.25
11,5,1,51.538,58.195,51.538,51.85
12,5,1,53.077,60.874,53.077,53.075
13,5,1,52.308,60.0,52.308,52.028
14,5,1,46.923,55.254,46.923,46.061
15,5,1,46.923,55.834,46.923,46.136
16,5,1,51.538,58.437,51.538,51.695
17,5,1,50.0,57.555,50.0,49.967
18,5,1,49.231,58.577,49.231,49.88
19,5,1,46.154,55.664,46.154,45.742
20,5,1,50.0,57.893,50.0,49.844
0,5,2,42.308,43.239,42.308,40.926
1,5,2,46.154,47.931,46.154,45.376
2,5,2,48.462,50.148,48.462,47.873
3,5,2,46.923,47.767,46.923,46.263
4,5,2,49.231,49.836,49.231,48.048
5,5,2,46.923,47.008,46.923,45.266
6,5,2,44.615,45.641,44.615,44.03
7,5,2,43.077,44.161,43.077,42.607
8,5,2,50.0,50.517,50.0,48.498
9,5,2,47.692,48.69,47.692,46.419
10,5,2,46.923,47.018,46.923,45.149
11,5,2,46.923,46.69,46.923,45.229
12,5,2,47.692,48.811,47.692,46.606
13,5,2,48.462,49.431,48.462,47.224
14,5,2,46.923,45.656,46.923,44.972
15,5,2,47.692,47.129,47.692,45.275
16,5,2,45.385,44.766,45.385,42.936
17,5,2,44.615,42.716,44.615,41.882
18,5,2,46.154,44.381,46.154,43.837
19,5,2,46.923,45.528,46.923,44.481
20,5,2,49.231,49.131,49.231,47.622
0,10,0,40.769,39.499,40.769,38.388
1,10,0,41.538,39.805,41.538,39.417
2,10,0,43.077,45.184,43.077,41.883
3,10,0,48.462,52.55,48.462,47.092
4,10,0,50.0,53.98,50.0,49.556
5,10,0,50.0,53.778,50.0,49.028
6,10,0,48.462,51.649,48.462,47.457
7,10,0,50.0,51.698,50.0,49.122
8,10,0,49.231,51.614,49.231,47.928
9,10,0,47.692,51.022,47.692,46.071
10,10,0,47.692,53.328,47.692,46.717
0,10,1,44.615,43.891,44.615,43.695
1,10,1,46.154,48.829,46.154,46.7
2,10,1,51.538,57.087,51.538,52.71
3,10,1,50.0,55.908,50.0,50.234
4,10,1,47.692,50.351,47.692,47.855
5,10,1,45.385,49.563,45.385,45.836
6,10,1,49.231,53.433,49.231,47.729
7,10,1,48.462,53.74,48.462,47.226
8,10,1,45.385,51.957,45.385,45.164
9,10,1,46.923,52.598,46.923,46.8
10,10,1,48.462,54.912,48.462,48.942
0,10,2,42.308,43.239,42.308,40.926
1,10,2,46.923,49.852,46.923,46.238
2,10,2,46.923,48.143,46.923,46.098
3,10,2,46.154,50.212,46.154,45.75
4,10,2,45.385,47.099,45.385,44.959
5,10,2,50.769,51.887,50.769,50.265
6,10,2,50.769,50.453,50.769,48.419
7,10,2,49.231,48.21,49.231,47.051
8,10,2,48.462,47.665,48.462,46.05
9,10,2,46.923,46.264,46.923,44.304
10,10,2,49.231,50.267,49.231,47.852
0,25,0,40.769,39.499,40.769,38.388
1,25,0,42.308,43.538,42.308,41.611
2,25,0,45.385,47.64,45.385,44.53
3,25,0,51.538,51.974,51.538,50.236
4,25,0,49.231,52.825,49.231,48.464
0,25,1,44.615,43.891,44.615,43.695
1,25,1,47.692,50.243,47.692,47.532
2,25,1,46.154,48.007,46.154,46.306
3,25,1,50.769,54.126,50.769,50.805
4,25,1,50.0,53.927,50.0,50.108
0,25,2,42.308,43.239,42.308,40.926
1,25,2,49.231,49.789,49.231,48.175
2,25,2,45.385,45.541,45.385,44.097
3,25,2,50.769,50.744,50.769,49.535
4,25,2,48.462,47.898,48.462,46.232
